Date,Open,High,Low,Close,Volume,Market Cap
2018-05-23,0.058683,0.094617,0.058683,0.093163,83004.0,2291220
2018-05-24,0.093324,0.098304,0.07506,0.095424,108176.0,2346816
2018-05-25,0.095527,0.095606,0.086248,0.094446,39687.0,2322771
2018-05-26,0.09446,0.11665,0.0909,0.109021,116980.0,2681220
2018-05-27,0.109232,0.197111,0.084962,0.150052,429923.0,3690321
2018-05-28,0.138071,0.18253,0.08782,0.097209,272177.0,2390733
2018-05-29,0.097068,0.152846,0.08073,0.124612,371740.0,3064660
2018-05-30,0.124689,0.129347,0.114312,0.114732,132879.0,2821675
2018-05-31,0.114631,0.120955,0.10659,0.114388,84591.0,2813214
2018-06-01,0.114098,0.116756,0.104382,0.111537,75892.0,2743098
2018-06-02,0.111511,0.112258,0.093901,0.104634,70022.0,2573328
2018-06-03,0.104518,0.142834,0.085292,0.093783,96847.0,2306461
2018-06-04,0.093665,0.097391,0.068867,0.077424,67451.0,1904126
2018-06-05,0.077423,0.081186,0.065745,0.077016,81508.0,1894099
2018-06-06,0.076868,0.087481,0.071593,0.07435,56783.0,1828533
2018-06-07,0.074335,0.078954,0.071984,0.074266,25024.0,1826479
2018-06-08,0.074384,0.074912,0.068915,0.070876,24430.0,1743107
2018-06-09,0.070895,0.078536,0.06943,0.071397,25648.0,1755905
2018-06-10,0.07277,0.075075,0.055757,0.058276,16709.0,1433208
2018-06-11,0.058403,0.065853,0.055158,0.063281,24899.0,1556304
2018-06-12,0.063295,0.063776,0.050212,0.056904,38600.0,1399470
2018-06-13,0.05713,0.057613,0.045057,0.045278,13199.0,1113555
2018-06-14,0.04537,0.062337,0.044837,0.060382,6658.0,1485002
2018-06-15,0.060362,0.061058,0.039372,0.047084,9950.0,1157978
2018-06-16,0.046942,0.063126,0.046111,0.051709,7539.0,1271719
2018-06-17,0.05178,0.05392,0.043583,0.047849,5288.0,1176780
2018-06-18,0.047817,0.056963,0.047265,0.05563,8726.0,1368133
2018-06-19,0.055597,0.055854,0.050924,0.052991,13234.0,1303238
2018-06-20,0.053025,0.053025,0.048927,0.051315,5552.0,1262026
2018-06-21,0.0513,0.053766,0.047335,0.047702,5938.0,1173160
2018-06-22,0.047686,0.047689,0.042479,0.046504,2449.0,1143692
2018-06-23,0.046557,0.047764,0.041876,0.042001,1300.0,1032947
2018-06-24,0.04207,0.043586,0.034619,0.041095,8718.0,1010672
2018-06-25,0.040981,0.043354,0.038629,0.043354,2667.0,1066219
2018-06-26,0.043354,0.046322,0.036075,0.036075,3395.0,887220
2018-06-27,0.035974,0.03767,0.034334,0.036867,2418.0,906681
2018-06-28,0.036933,0.037056,0.028626,0.028803,4297.0,708367
2018-06-29,0.028814,0.031133,0.025228,0.029319,5389.0,721053
2018-06-30,0.029341,0.041098,0.029047,0.038584,14122.0,948920
2018-07-01,0.038622,0.04106,0.038495,0.038495,950.0,946741
2018-07-02,0.038516,0.038735,0.035024,0.037708,2342.0,927386
2018-07-03,0.037717,0.047288,0.037261,0.046412,15265.0,1141434
2018-07-04,0.046432,0.04788,0.042147,0.045946,4445.0,1129976
2018-07-05,0.046106,0.059814,0.041135,0.045451,12634.0,1117809
2018-07-06,0.045434,0.045557,0.039502,0.041664,1064.0,1024668
2018-07-07,0.041646,0.060753,0.04142,0.048609,16109.0,1195476
2018-07-08,0.048643,0.053478,0.044731,0.053011,5500.0,1303735
2018-07-09,0.053003,0.055623,0.043478,0.051082,6377.0,1256284
2018-07-10,0.051204,0.058608,0.04583,0.046869,9745.0,1152683
2018-07-11,0.046815,0.048555,0.043471,0.044045,4269.0,1083223
2018-07-12,0.044046,0.048305,0.043422,0.048305,5984.0,1187992
2018-07-13,0.048422,0.049936,0.041096,0.041318,10080.0,1016161
2018-07-14,0.041397,0.042332,0.040587,0.042091,2478.0,1035170
2018-07-15,0.042052,0.045335,0.040074,0.040074,4783.0,985567
2018-07-16,0.040125,0.046664,0.04002,0.045647,3123.0,1122637
2018-07-17,0.045595,0.056335,0.043879,0.055943,12630.0,1375831
2018-07-18,0.052056,0.059816,0.050928,0.055354,6922.0,1361367
2018-07-19,0.05533,0.05533,0.047791,0.051604,4921.0,1269119
2018-07-20,0.051622,0.051622,0.044175,0.045788,2142.0,1126092
2018-07-21,0.045802,0.049558,0.044435,0.048218,845.0,1185862
2018-07-22,0.048196,0.048287,0.041907,0.046719,2534.0,1148977
2018-07-23,0.046688,0.05632,0.043949,0.046921,2396.0,1153952
2018-07-24,0.046948,0.047785,0.040074,0.046168,3799.0,1135443
2018-07-25,0.045869,0.046204,0.038235,0.038772,8668.0,953541
2018-07-26,0.038741,0.041089,0.037218,0.037457,2089.0,921191
2018-07-27,0.037439,0.040977,0.036188,0.040431,770.0,994347
2018-07-28,0.040504,0.041471,0.035602,0.038566,4117.0,948482
2018-07-29,0.038601,0.038838,0.036045,0.036965,44.0,909110
2018-07-30,0.036987,0.037738,0.034875,0.035558,1600.0,874505
2018-07-31,0.035562,0.035569,0.031205,0.031498,2027.0,774652
2018-08-01,0.03145,0.032592,0.026201,0.030109,1939.0,740494
2018-08-02,0.030124,0.030458,0.023078,0.02404,3129.0,591233
2018-08-03,0.024053,0.028132,0.022947,0.028039,1867.0,689590
2018-08-04,0.028031,0.028221,0.021311,0.021367,547.0,525479
2018-08-05,0.02137,0.028339,0.02122,0.026015,675.0,639808
2018-08-06,0.026042,0.035574,0.024909,0.02882,4144.0,708783
2018-08-07,0.028813,0.030401,0.027995,0.028298,2202.0,695948
2018-08-08,0.028262,0.028318,0.021582,0.021741,1255.0,534680
2018-08-09,0.021775,0.023925,0.020902,0.022301,885.0,548460
2018-08-10,0.022277,0.02235,0.014264,0.014432,1314.0,354935
2018-08-11,0.01443,0.019719,0.014289,0.017699,252.0,435277
2018-08-12,0.017636,0.021011,0.016828,0.017638,370.0,433780
2018-08-13,0.017669,0.020409,0.01471,0.01471,388.0,361770
2018-08-14,0.014705,0.015043,0.011311,0.014425,1554.0,354756
2018-08-15,0.014467,0.014661,0.012356,0.012775,2026.0,314176
2018-08-16,0.012787,0.01313,0.010684,0.010795,534.0,265478
2018-08-17,0.010812,0.013828,0.010807,0.013822,104.0,339933
2018-08-18,0.013877,0.01404,0.011739,0.011928,963.0,293350
2018-08-19,0.011938,0.018593,0.011442,0.012056,655.0,296506
2018-08-20,0.012044,0.019092,0.012044,0.01465,684.0,360287
2018-08-21,0.014585,0.014816,0.010984,0.014086,410.0,346418
2018-08-22,0.014086,0.020275,0.012323,0.012346,794.0,303628
2018-08-23,0.012362,0.015838,0.010721,0.015834,348.0,389415
2018-08-24,0.015846,0.020217,0.012764,0.013687,104.0,336620
2018-08-25,0.013663,0.015315,0.011863,0.011912,860.0,292969
2018-08-26,0.011928,0.012366,0.010889,0.010936,332.0,268946
2018-08-27,0.010954,0.011454,0.01088,0.011454,490.0,281700
2018-08-28,0.011491,0.014733,0.011399,0.012823,975.0,315369
2018-08-29,0.01283,0.014285,0.011217,0.014126,21.0,347417
2018-08-30,0.014135,0.014229,0.013441,0.013608,20.0,334663
2018-08-31,0.011178,0.01368,0.010942,0.013647,1649.0,335619
2018-09-01,0.013638,0.014464,0.013606,0.014322,315.0,352222
2018-09-02,0.014311,0.014326,0.011409,0.01165,395.0,286516
2018-09-03,0.011658,0.012305,0.011391,0.011777,58.0,289627
2018-09-04,0.011778,0.013675,0.011194,0.011894,956.0,292512
2018-09-05,0.011895,0.014514,0.008595,0.008595,1345.0,211381
2018-09-06,0.008595,0.023889,0.008056,0.014639,5328.0,360023
2018-09-07,0.014659,0.016578,0.014571,0.015368,2071.0,377965
2018-09-08,0.015371,0.017679,0.010934,0.013611,2239.0,334754
2018-09-09,0.013559,0.014329,0.012201,0.013946,645.0,342980
2018-09-10,0.013945,0.015324,0.012336,0.015293,355.0,376115
2018-09-11,0.015315,0.015429,0.012387,0.012464,70.0,306547
2018-09-12,0.012466,0.012489,0.010723,0.010866,106.0,267244
2018-09-13,0.010876,0.016799,0.010876,0.016674,179.0,410062
2018-09-14,0.01661,0.016726,0.010994,0.011765,254.0,289351
2018-09-15,0.011748,0.015803,0.011663,0.013201,358.0,324670
2018-09-16,0.013201,0.013201,0.011489,0.011742,460.0,288781
2018-09-17,0.01173,0.014877,0.01173,0.012508,157.0,307617
