Date,Open,High,Low,Close,Volume,Market Cap
2018-02-16,2.95,3.31,2.92,3.28,1440790,
2018-02-17,3.28,4.33,3.27,4.31,2655480,
2018-02-18,4.31,4.37,3.3,3.55,2045200,
2018-02-19,3.54,3.79,3.32,3.61,822336,
2018-02-20,3.61,3.76,3.09,3.1,914425,
2018-02-21,3.1,3.3,2.78,2.9,685198,
2018-02-22,2.87,3.12,2.68,2.76,438750,
2018-02-23,2.75,3.38,2.7,3.37,1194280,
2018-02-24,3.36,3.46,3.03,3.25,967319,
2018-02-25,3.24,3.43,3.1,3.38,760678,
2018-02-26,3.38,3.84,3.37,3.77,1347310,
2018-02-27,3.77,3.86,3.53,3.76,1641740,
2018-02-28,3.75,3.82,3.4,3.4,1491160,
2018-03-01,3.4,3.61,3.37,3.42,548496,
2018-03-02,3.43,3.49,3.16,3.31,684493,
2018-03-03,3.3,3.4,3.19,3.24,448619,
2018-03-04,3.24,3.36,3.09,3.13,357507,
2018-03-05,3.14,3.29,3.11,3.17,514982,
2018-03-06,3.12,3.22,3.01,3.11,762863,85774473.0
2018-03-07,3.16,3.16,2.54,2.72,691527,75001832.0
2018-03-08,2.72,2.79,2.26,2.38,591706,65710678.0
2018-03-09,2.38,2.48,2.11,2.45,1106450,67539776.0
2018-03-10,2.44,2.61,2.37,2.38,444744,65779649.0
2018-03-11,2.38,2.59,2.31,2.48,751310,68289899.0
2018-03-12,2.5,2.63,2.4,2.44,486333,67348314.0
2018-03-13,2.44,2.52,2.34,2.41,328555,66499425.0
2018-03-14,2.41,2.47,1.95,2.01,454886,55511045.0
2018-03-15,2.01,2.06,1.89,2.03,243924,55988597.0
2018-03-16,2.03,2.12,1.93,2.07,307383,57189511.0
2018-03-17,2.07,2.1,1.77,1.87,256056,51500272.0
2018-03-18,1.86,1.9,1.43,1.78,660790,48974021.0
2018-03-19,1.77,1.91,1.69,1.91,431848,52611249.0
2018-03-20,1.91,2.27,1.68,2.2,987951,60742043.0
2018-03-21,2.22,2.43,2.16,2.21,1509350,61176896.0
2018-03-22,2.22,2.34,2.04,2.1,693830,58077809.0
2018-03-23,2.1,2.26,1.88,2.26,1696180,62454242.0
2018-03-24,2.28,2.55,2.24,2.47,2505830,68288013.0
2018-03-25,2.44,2.5,2.34,2.41,1225230,66679993.0
2018-03-26,2.41,2.46,1.98,2.2,888087,60858388.0
2018-03-27,2.14,2.26,2.03,2.2,333628,60849817.0
2018-03-28,2.2,2.29,2.11,2.16,379117,59803610.0
2018-03-29,2.17,2.2,1.9,1.93,461510,53434847.0
2018-03-30,1.93,2.05,1.77,1.9,451816,52536280.0
2018-03-31,1.9,2.05,1.88,1.93,179988,53419640.0
2018-04-01,1.93,1.96,1.76,1.84,106125,50953144.0
2018-04-02,1.85,1.94,1.84,1.92,425888,53082056.0
2018-04-03,1.92,2.27,1.91,2.26,548648,62370468.0
2018-04-04,2.26,2.26,2.01,2.05,312463,56660839.0
2018-04-05,2.05,2.12,1.96,2.09,189183,57879295.0
2018-04-06,2.14,2.28,2.0,2.28,288669,62971540.0
2018-04-07,2.28,2.42,2.22,2.4,336101,66268588.0
2018-04-08,2.4,3.03,2.36,2.89,802608,79967442.0
2018-04-09,2.9,3.46,2.8,3.39,990814,93750622.0
2018-04-10,3.38,3.46,3.02,3.33,1049680,92001597.0
2018-04-11,3.34,3.83,3.34,3.83,1750910,107080318.0
2018-04-12,3.82,4.08,3.52,4.08,2256610,114465212.0
2018-04-13,4.08,4.12,3.69,3.79,2419800,106289566.0
2018-04-14,3.79,3.89,3.54,3.76,1788380,105464208.0
2018-04-15,3.76,4.08,3.76,4.08,2668870,114245976.0
2018-04-16,4.08,4.1,3.7,3.92,4088820,112388758.0
2018-04-17,3.92,4.01,3.87,3.89,2712410,112615174.0
2018-04-18,3.89,4.12,3.88,4.09,3484130,118295271.0
2018-04-19,4.09,4.8,4.08,4.76,4347910,141412889.0
2018-04-20,4.76,5.29,4.76,5.27,2886220,156441175.0
2018-04-21,5.27,5.29,4.78,5.03,2986150,149320201.0
2018-04-22,5.0,5.3,4.89,5.06,5081890,150073589.0
2018-04-23,5.02,5.16,4.63,4.96,4123280,147365191.0
2018-04-24,4.97,5.85,4.9,5.66,4472930,168004409.0
2018-04-25,5.65,5.65,4.61,4.74,3413930,140672264.0
2018-04-26,4.78,5.6,4.64,5.58,6900110,165734152.0
2018-04-27,5.59,5.77,5.41,5.57,5892480,165237830.0
2018-04-28,5.53,6.11,5.53,6.03,7300120,178898559.0
2018-04-29,6.03,6.57,6.03,6.56,7409540,194648174.0
2018-04-30,6.56,8.6,6.3,6.62,6540560,196477323.0
2018-05-01,6.64,7.41,6.43,7.1,7396880,210693446.0
2018-05-02,7.08,8.53,6.95,8.45,10397800,250748889.0
2018-05-03,8.41,9.26,8.36,8.75,8699230,259748288.0
2018-05-04,8.74,8.74,7.28,8.24,8646900,244606904.0
2018-05-05,8.25,12.6,8.23,11.13,6563890,330410354.0
2018-05-06,8.66,9.01,7.06,8.06,7808710,239222760.0
2018-05-07,8.06,8.08,6.98,7.59,7125370,225399361.0
2018-05-08,7.63,7.93,7.34,7.69,8887640,228355029.0
2018-05-09,7.71,8.13,7.26,8.01,6361780,237648006.0
2018-05-10,8.01,8.37,7.87,8.02,6923730,238016685.0
2018-05-11,8.03,8.14,7.09,7.28,7142110,216181188.0
2018-05-12,7.27,7.37,6.75,7.26,7872190,215593142.0
2018-05-13,7.25,8.58,7.11,8.53,8708480,253121261.0
2018-05-14,8.51,9.43,8.05,9.05,7611680,268774699.0
2018-05-15,9.1,9.71,8.32,8.68,7575110,257720848.0
2018-05-16,8.69,8.93,7.83,8.31,7121620,246712413.0
2018-05-17,8.25,8.29,7.45,7.83,7146440,232376663.0
2018-05-18,7.83,8.22,7.38,8.14,7755250,241639955.0
2018-05-19,8.15,8.84,7.97,8.31,9484050,246757237.0
