Date,Open,High,Low,Close,Volume,Market Cap
2019-04-04,0.008103,0.014116,0.007896,0.010667,2516,
2019-04-05,0.010667,0.012391,0.009163,0.01056,1544,
2019-04-06,0.010563,0.010563,0.009226,0.009793,189,
2019-04-07,0.009782,0.011597,0.009143,0.010231,221,
2019-04-08,0.010233,0.01135,0.009421,0.009991,181,169022.0
2019-04-09,0.009991,0.012665,0.009471,0.012253,750,207289.0
2019-04-10,0.01225,0.013533,0.010046,0.012773,1923,216084.0
2019-04-11,0.012779,0.012799,0.008956,0.010357,592,175210.0
2019-04-12,0.010354,0.011692,0.009565,0.011467,456,193987.0
2019-04-13,0.011467,0.011471,0.009639,0.010052,167,170057.0
2019-04-14,0.010052,0.011776,0.009837,0.011641,2123,196936.0
2019-04-15,0.011641,0.017853,0.01121,0.015162,2612,257289.0
2019-04-16,0.015162,0.018212,0.011197,0.015836,742,268884.0
2019-04-17,0.015831,0.018994,0.013581,0.017772,1220,301953.0
2019-04-18,0.017779,0.018932,0.015562,0.018916,1721,321593.0
2019-04-19,0.018918,0.019638,0.016622,0.017086,999,290663.0
2019-04-20,0.017091,0.019375,0.016509,0.019341,282,329240.0
2019-04-21,0.019349,0.01944,0.017005,0.018469,647,314609.0
2019-04-22,0.018462,0.019008,0.016849,0.017338,345,295521.0
2019-04-23,0.017338,0.01907,0.016887,0.018451,708,314697.0
2019-04-24,0.018451,0.019277,0.016785,0.017175,242,293103.0
2019-04-25,0.017176,0.01784,0.015128,0.015241,320,260226.0
2019-04-26,0.015292,0.017551,0.015116,0.015551,97,265643.0
2019-04-27,0.015561,0.017053,0.014438,0.015791,227,269877.0
2019-04-28,0.015784,0.01838,0.0146,0.016182,1388,275279.0
2019-04-29,0.017061,0.017516,0.015069,0.015959,550,272996.0
2019-04-30,0.015961,0.016613,0.011543,0.013659,540,233761.0
2019-05-01,0.013656,0.01572,0.012603,0.015024,17,257245.0
2019-05-02,0.015028,0.015441,0.012558,0.014106,114,241645.0
2019-05-03,0.014103,0.015794,0.012654,0.013374,146,229216.0
2019-05-04,0.013374,0.014168,0.012473,0.013166,136,225763.0
2019-05-05,0.013163,0.013657,0.010402,0.012528,1322,214934.0
2019-05-06,0.012522,0.013465,0.011758,0.012448,60,213662.0
2019-05-07,0.012444,0.013566,0.011891,0.012327,72,211681.0
2019-05-08,0.012314,0.013251,0.01083,0.012944,163,222386.0
2019-05-09,0.012943,0.013215,0.010851,0.012287,441,211190.0
2019-05-10,0.01228,0.01421,0.011169,0.013463,207,231531.0
2019-05-11,0.013486,0.014743,0.010977,0.01445,1249,248624.0
2019-05-12,0.014443,0.015226,0.012788,0.013263,407,228309.0
2019-05-13,0.013263,0.016,0.012753,0.015543,177,267701.0
2019-05-14,0.015553,0.016057,0.013533,0.014448,274,248952.0
2019-05-15,0.01444,0.016259,0.014431,0.016169,107,279145.0
2019-05-16,0.016155,0.016478,0.013869,0.013949,583,240930.0
2019-05-17,0.013936,0.014826,0.011094,0.012916,223,223196.0
