Date,Open,High,Low,Close,Volume,Market Cap
2019-02-22,0.002731,0.002863,0.002574,0.002726,120198,
2019-02-23,0.002718,0.002979,0.002612,0.002979,167990,
2019-02-24,0.002988,0.003025,0.002423,0.002452,287147,
2019-02-25,0.002433,0.003117,0.002433,0.002539,98744,
2019-02-26,0.002531,0.002783,0.002502,0.002691,74461,
2019-02-27,0.002692,0.003246,0.002687,0.003146,200108,
2019-02-28,0.003147,0.003721,0.00313,0.003527,241652,1824650.0
2019-03-01,0.003583,0.004313,0.003582,0.004126,245293,2134661.0
2019-03-02,0.00413,0.005244,0.004112,0.005162,500287,2670736.0
2019-03-03,0.00516,0.006029,0.005118,0.005676,829585,2936317.0
2019-03-04,0.005669,0.006671,0.005652,0.006582,797610,3405009.0
2019-03-05,0.006583,0.006909,0.006482,0.006724,447510,3478741.0
2019-03-06,0.006725,0.006882,0.006361,0.006734,465132,3483873.0
2019-03-07,0.006747,0.006936,0.00664,0.006762,204157,3498419.0
2019-03-08,0.006774,0.006859,0.00657,0.006655,432029,3443040.0
2019-03-09,0.00664,0.006962,0.006633,0.006853,469110,3545447.0
2019-03-10,0.006874,0.006904,0.006562,0.006727,462310,3480025.0
2019-03-11,0.006725,0.006888,0.006586,0.006669,469049,3450256.0
2019-03-12,0.006654,0.00668,0.006169,0.006457,1415318,3340701.0
2019-03-13,0.006463,0.006516,0.006236,0.006444,964060,3333846.0
2019-03-14,0.006443,0.006522,0.006305,0.006487,953236,3356281.0
2019-03-15,0.006487,0.006753,0.005143,0.006468,499580,3346066.0
2019-03-16,0.00646,0.006817,0.005117,0.006432,507371,3327385.0
2019-03-17,0.006427,0.006493,0.006156,0.006243,427369,3229819.0
2019-03-18,0.00625,0.006392,0.006156,0.006214,587146,3214931.0
2019-03-19,0.006212,0.006478,0.005802,0.006312,205467,3265657.0
2019-03-20,0.006316,0.006348,0.005502,0.005886,412554,3045150.0
2019-03-21,0.005888,0.005913,0.004637,0.005404,1206547,2795817.0
2019-03-22,0.005397,0.005401,0.004674,0.00478,531608,2473134.0
2019-03-23,0.004781,0.005091,0.004755,0.005045,847159,2610007.0
2019-03-24,0.005051,0.005059,0.004768,0.004878,588027,2523564.0
2019-03-25,0.004848,0.005095,0.004129,0.004842,858721,2504825.0
2019-03-26,0.004885,0.004987,0.004545,0.00469,419542,2426580.0
2019-03-27,0.004687,0.004987,0.004671,0.004814,701148,2490441.0
2019-03-28,0.004816,0.005081,0.00355,0.004836,371446,2501988.0
2019-03-29,0.004836,0.004888,0.004238,0.004386,1022808,2269181.0
2019-03-30,0.004383,0.004585,0.003778,0.004121,596713,2131836.0
2019-03-31,0.004121,0.004454,0.003856,0.00395,308587,2043337.0
2019-04-01,0.003948,0.004456,0.003431,0.003862,899598,1998030.0
2019-04-02,0.003867,0.004174,0.003823,0.004025,973058,2082578.0
2019-04-03,0.004025,0.004171,0.003541,0.003733,138900,1931104.0
2019-04-04,0.003747,0.00395,0.003362,0.00348,53836,1800432.0
2019-04-05,0.003479,0.003812,0.003294,0.003371,58219,1743912.0
2019-04-06,0.003365,0.003933,0.003358,0.003457,42215,1788414.0
2019-04-07,0.00346,0.003923,0.002611,0.003219,125908,1665418.0
2019-04-08,0.003221,0.00334,0.002902,0.003114,42078,1610945.0
2019-04-09,0.003114,0.003114,0.002586,0.00259,87211,1340046.0
2019-04-10,0.00259,0.003037,0.002205,0.002327,139139,1203988.0
2019-04-11,0.002637,0.002639,0.001968,0.00237,149748,1225895.0
2019-04-12,0.002368,0.00253,0.002039,0.002268,73156,1173195.0
2019-04-13,0.002259,0.002467,0.002213,0.002306,82793,1192867.0
2019-04-14,0.002306,0.002403,0.002219,0.002243,122640,1160504.0
2019-04-15,0.002243,0.002456,0.001244,0.002186,307462,1131068.0
2019-04-16,0.002186,0.002352,0.001325,0.002217,276455,1146783.0
2019-04-17,0.002216,0.002286,0.001748,0.0018,194595,931449.0
2019-04-18,0.001821,0.00238,0.0018,0.002352,141038,1216657.0
2019-04-19,0.002352,0.002364,0.002262,0.002288,108223,1183968.0
2019-04-20,0.002288,0.002373,0.002093,0.002098,117183,1085470.0
2019-04-21,0.002098,0.002269,0.001614,0.001864,292923,964131.0
2019-04-22,0.001863,0.002271,0.001814,0.001898,163357,981821.0
2019-04-23,0.001898,0.002116,0.001826,0.001966,255605,1016983.0
2019-04-24,0.001966,0.001971,0.001794,0.001907,495885,986357.0
2019-04-25,0.001908,0.001974,0.001737,0.001824,261241,943593.0
2019-04-26,0.001826,0.002212,0.001614,0.00197,218167,1019036.0
2019-04-27,0.00197,0.00216,0.001836,0.001949,235137,1008252.0
2019-04-28,0.001949,0.002303,0.001848,0.002283,120839,1181314.0
2019-04-29,0.002284,0.002313,0.001689,0.001725,125778,892619.0
2019-04-30,0.001726,0.002054,0.001692,0.001897,61470,981427.0
2019-05-01,0.001898,0.002007,0.0018,0.001837,82390,950279.0
2019-05-02,0.001837,0.00405,0.001777,0.002382,110838,1232589.0
2019-05-03,0.002396,0.002542,0.00206,0.002115,126906,1094304.0
2019-05-04,0.002121,0.002192,0.001832,0.002191,122921,1133562.0
2019-05-05,0.002188,0.002401,0.002103,0.002149,46203,1111755.0
2019-05-06,0.00215,0.002155,0.001708,0.00178,71082,920783.0
2019-05-07,0.00178,0.001851,0.001602,0.00164,103347,848399.0
2019-05-08,0.001647,0.001751,0.001605,0.001718,58867,889064.0
2019-05-09,0.001718,0.001762,0.001642,0.001667,85903,862223.0
2019-05-10,0.001666,0.001699,0.001616,0.001663,68026,860116.0
2019-05-11,0.001662,0.001792,0.001585,0.001637,130822,847081.0
2019-05-12,0.001635,0.001749,0.001563,0.001605,118219,830575.0
2019-05-13,0.001605,0.001767,0.00158,0.001693,157669,875752.0
2019-05-14,0.001691,0.001895,0.00168,0.001867,200578,965683.0
2019-05-15,0.001866,0.002525,0.001819,0.002305,571213,1192731.0
2019-05-16,0.002301,0.006022,0.002276,0.004973,1049606,2572743.0
2019-05-17,0.004937,0.005657,0.002859,0.004707,574208,2435304.0
