Date,Open,High,Low,Close,Volume,Market Cap
2017-05-01,51.64,77.74,51.64,74.84,13582400,82667516
2017-05-02,78.0,108.05,75.12,89.79,24464700,99179369
2017-05-03,90.12,93.96,74.66,78.41,8826750,86613222
2017-05-04,78.64,89.43,78.35,88.68,6149800,97954047
2017-05-05,88.58,90.61,81.4,86.77,4400090,95841187
2017-05-06,86.7,115.14,86.7,114.74,7706590,126740657
2017-05-07,114.93,116.73,103.86,105.1,3392570,116095723
2017-05-08,104.61,124.65,100.36,117.84,4710080,130169304
2017-05-09,117.81,123.55,97.06,99.81,2728910,110249349
2017-05-10,99.82,111.21,99.33,108.47,1340590,119818191
2017-05-11,109.64,116.59,106.36,109.51,1502340,120960337
2017-05-12,109.98,114.88,105.82,106.35,966219,117472042
2017-05-13,106.19,111.99,101.7,111.04,596459,122655883
2017-05-14,111.66,116.39,110.09,112.35,686450,124099582
2017-05-15,111.82,122.39,109.17,120.13,2149280,132698815
2017-05-16,120.02,125.75,119.31,120.22,1782330,132794914
2017-05-17,120.27,124.28,116.29,121.55,1145960,134262915
2017-05-18,121.86,137.26,121.1,136.71,1741360,151005185
2017-05-19,136.95,179.22,135.02,166.4,5786480,183801567
2017-05-20,168.12,180.55,156.88,178.84,2776440,197547085
2017-05-21,179.09,217.2,178.23,215.99,4641290,238584812
2017-05-22,211.88,243.33,196.8,223.0,6796350,246326884
2017-05-23,221.27,239.38,203.25,230.29,3339550,254376031
2017-05-24,230.86,284.36,229.0,264.3,4987370,291945346
2017-05-25,264.47,285.59,220.43,223.2,3733870,246540070
2017-05-26,220.86,254.95,192.54,203.66,2538650,224958590
2017-05-27,204.34,215.28,137.26,190.47,2116920,210390153
2017-05-28,191.19,221.68,191.19,209.28,1655050,231173014
2017-05-29,210.05,226.94,203.74,224.76,1427840,248263230
2017-05-30,223.82,255.73,223.82,255.73,2948800,282472382
2017-05-31,254.19,260.85,238.8,258.48,3223960,285519946
2017-06-01,258.94,266.41,239.9,250.67,2793310,276883157
2017-06-02,249.92,254.45,245.91,253.37,1704490,279871073
2017-06-03,253.15,264.12,250.73,259.77,1844740,286940449
2017-06-04,258.68,266.33,257.45,263.66,1764410,291232886
2017-06-05,263.54,271.17,258.19,259.37,2900230,286499717
2017-06-06,260.2,270.67,249.59,267.44,3759020,295409340
2017-06-07,265.82,269.75,244.4,250.05,1863430,276203834
2017-06-08,250.88,261.86,246.19,259.28,1108080,286401409
2017-06-09,258.86,264.01,257.09,258.23,1039800,285238276
2017-06-10,258.07,264.99,249.27,259.32,2586810,286445593
2017-06-11,259.24,273.43,254.46,270.17,1722230,298429289
2017-06-12,269.99,276.81,237.93,262.82,4611240,290303925
2017-06-13,267.61,274.06,259.27,270.42,3634110,298698809
2017-06-14,270.28,275.93,233.85,245.45,1756630,271118302
