Date,Open,High,Low,Close,Volume,Market Cap
2018-06-13,0.022758,0.024636,0.022153,0.023339,1495680,
2018-06-14,0.023372,0.023939,0.017954,0.022912,2490340,
2018-06-15,0.022888,0.022901,0.019837,0.02182,1599050,
2018-06-16,0.021748,0.02182,0.01923,0.020578,1233170,
2018-06-17,0.020424,0.021126,0.019761,0.020141,979390,
2018-06-18,0.020104,0.020583,0.017369,0.019205,1502800,
2018-06-19,0.019224,0.025559,0.018866,0.024581,1855710,
2018-06-20,0.024632,0.034451,0.02233,0.027954,5513710,
2018-06-21,0.027924,0.032595,0.027784,0.029454,802701,
2018-06-22,0.029946,0.032964,0.023936,0.024943,859043,
2018-06-23,0.024933,0.028122,0.023772,0.026939,263845,
2018-06-24,0.027606,0.028168,0.022913,0.025619,384430,
2018-06-25,0.025543,0.026012,0.023833,0.024863,484469,
2018-06-26,0.02483,0.024969,0.021441,0.022325,831911,
2018-06-27,0.022239,0.023416,0.020774,0.023305,781872,
2018-06-28,0.023296,0.023936,0.021185,0.021283,696126,
2018-06-29,0.021278,0.023573,0.021009,0.022907,485051,
2018-06-30,0.022909,0.025864,0.022811,0.025822,147171,
2018-07-01,0.025841,0.031328,0.025078,0.031018,889228,
2018-07-02,0.031085,0.036215,0.027647,0.034631,2028870,
2018-07-03,0.034625,0.045991,0.034457,0.04123,3131270,
2018-07-04,0.041196,0.045072,0.036568,0.041554,2740790,
2018-07-05,0.041734,0.059268,0.041296,0.054443,3897020,27086700.0
2018-07-06,0.054508,0.060104,0.049896,0.059171,3583410,29445952.0
2018-07-07,0.059174,0.059529,0.053319,0.059274,3133440,29504429.0
2018-07-08,0.059308,0.087678,0.059308,0.078004,6109250,38837371.0
2018-07-09,0.076861,0.116462,0.071884,0.10163,8880570,50612541.0
2018-07-10,0.105792,0.114968,0.067319,0.06859,8525130,34166408.0
2018-07-11,0.0689,0.076225,0.057144,0.074125,3577110,36932668.0
2018-07-12,0.074635,0.076733,0.058522,0.06762,4754700,33699982.0
2018-07-13,0.069286,0.077897,0.06691,0.072138,4397990,35959998.0
2018-07-14,0.072005,0.074497,0.062632,0.064352,1104480,32086773.0
2018-07-15,0.064309,0.071907,0.060201,0.070487,1844730,35154388.0
2018-07-16,0.070576,0.080167,0.067104,0.080167,1937940,39991728.0
2018-07-17,0.08015,0.101585,0.073198,0.091895,3336630,45853311.0
2018-07-18,0.091366,0.100854,0.084261,0.084405,2706040,42126142.0
2018-07-19,0.084399,0.086394,0.077074,0.081029,2323340,40451195.0
2018-07-20,0.081065,0.081065,0.064879,0.071211,2019640,35558487.0
2018-07-21,0.071425,0.071969,0.066514,0.068668,1493000,34297026.0
2018-07-22,0.069037,0.073568,0.068704,0.071213,871816,35576464.0
2018-07-23,0.071201,0.073927,0.062743,0.065958,1701690,32959099.0
2018-07-24,0.06587,0.07169,0.063711,0.069415,1181020,34694967.0
2018-07-25,0.068928,0.069198,0.05416,0.06036,1562600,30176823.0
2018-07-26,0.060133,0.070649,0.060133,0.06371,1206820,31859038.0
2018-07-27,0.063826,0.065392,0.062233,0.063775,754635,31899355.0
2018-07-28,0.063901,0.064689,0.058071,0.059677,547101,29856614.0
2018-07-29,0.059837,0.064592,0.057648,0.064247,857402,32150886.0
2018-07-30,0.064196,0.064268,0.052074,0.055693,1225110,27877021.0
2018-07-31,0.055659,0.056528,0.046513,0.047026,681287,23544309.0
2018-08-01,0.046953,0.049433,0.043564,0.048774,940076,24425378.0
2018-08-02,0.049015,0.04996,0.044619,0.046943,1002340,23514511.0
