Date,Open,High,Low,Close,Volume,Market Cap
2015-06-26,0.020716,0.021824,0.017524,0.017539,1121.0,2511
2015-06-27,0.017536,0.025133,0.014681,0.025124,1109.0,5247
2015-06-28,0.025121,0.025121,0.014388,0.015015,928.0,4119
2015-06-29,0.014998,0.018764,0.008307,0.012524,851.0,4260
2015-06-30,0.012523,0.013277,0.003126,0.004093,623.0,1662
2015-07-01,0.004098,0.004126,8.5e-05,0.000266,406.0,121
2015-07-02,0.000266,0.002083,0.000266,0.002043,11.0,931
2015-07-03,0.002044,0.002057,0.001661,0.001666,4.0,833
2015-07-04,0.001667,0.00167,0.000191,0.000196,0.0,98
2015-07-05,0.000196,0.000275,0.000196,0.000272,1.0,136
2015-07-06,0.000271,0.000274,0.000148,0.000148,7.0,74
2015-07-07,0.000148,0.000149,0.000146,0.000146,1.0,73
2015-07-08,0.000146,0.001908,0.000145,0.00189,25.0,966
2015-07-09,0.00189,0.001901,0.001864,0.001885,19.0,965
2015-07-10,0.001884,0.002062,0.001707,0.001718,1.0,883
2015-07-11,0.001718,0.002064,0.001715,0.002052,5.0,1057
2015-07-12,0.002052,0.002118,0.001798,0.001878,2.0,970
2015-07-13,0.001877,0.00217,0.001716,0.001761,7.0,913
2015-07-14,0.001761,0.002091,0.001729,0.002083,15.0,1083
2015-07-15,0.002085,0.002273,0.001721,0.001724,29.0,898
2015-07-16,0.001725,0.002153,0.000509,0.002152,8.0,1125
2015-07-17,0.002152,0.002169,0.002106,0.002158,0.0,1131
2015-07-18,0.002156,0.002181,0.002124,0.00213,5.0,1119
2015-07-19,0.002129,0.002136,0.000528,0.000528,0.0,278
2015-07-20,0.000528,0.002143,0.000527,0.002143,0.0,1132
2015-07-21,0.002142,0.002155,0.002132,0.002138,0.0,1132
2015-07-22,0.00053,0.002124,0.00053,0.002124,1.0,1128
2015-07-23,0.002124,0.00213,0.00053,0.00053,0.0,282
2015-07-24,0.00053,0.000555,0.000528,0.000553,0.0,295
2015-07-27,0.000517,0.000517,0.000514,0.000514,0.0,277
2015-07-28,0.000514,0.000533,0.000513,0.00053,0.0,286
2015-07-29,0.00053,0.00053,0.00052,0.000524,0.0,283
2015-07-30,0.002206,0.004961,0.000573,0.004952,29.0,2689
2015-07-31,0.004951,0.004973,0.000879,0.000882,0.0,481
2015-08-01,0.000883,0.000931,0.000866,0.000931,1.0,508
2015-08-02,0.000925,0.002193,0.000884,0.000887,1.0,486
2015-08-03,0.000888,0.000895,0.00088,0.00089,0.0,489
2015-08-07,0.000878,0.001731,0.000877,0.001731,0.0,960
2015-08-08,0.001732,0.001733,0.001659,0.001663,0.0,925
2015-08-10,0.000459,0.000461,0.000459,0.00046,0.0,257
2015-08-11,0.00046,0.001614,0.00046,0.000479,0.0,268
2015-08-12,0.000479,0.000479,0.00047,0.000477,0.0,268
2015-08-14,0.001555,0.001578,0.001553,0.001568,0.0,886
2015-08-15,0.001567,0.001571,0.001564,0.00157,0.0,888
2015-08-17,0.000463,0.000464,0.00046,0.000462,18.0,263
2015-08-18,0.000462,0.000462,0.000452,0.000452,11.0,258
2015-08-28,0.000417,0.000419,0.000414,0.000414,0.0,241
2015-08-29,0.000414,0.000417,0.000123,0.000124,6.0,72
2015-08-30,0.000124,0.000125,0.000123,0.000123,6.0,72
2017-02-24,0.023271,0.023365,0.023217,0.023356,1.0,23711
2017-02-25,0.023291,0.023379,0.02263,0.022865,0.0,23253
2017-02-26,0.022874,0.023338,0.022593,0.023233,0.0,23694
2017-02-28,0.023451,0.023569,0.023356,0.023481,0.0,24133
2017-03-01,0.023483,0.023598,0.017059,0.017665,14.0,18219
2017-03-02,0.017697,0.024487,0.016812,0.022493,6.0,23283
2017-03-03,0.022488,0.02302,0.022488,0.022831,0.0,23704
2017-03-04,0.015973,0.028259,0.015381,0.028228,11.0,29420
2017-03-05,0.028209,0.028375,0.027844,0.028371,0.0,29771
2017-03-06,0.028379,0.028551,0.015949,0.025457,2.0,26897
2017-03-07,0.025464,0.025509,0.024096,0.024538,0.0,26036
2017-03-09,0.023857,0.023857,0.023713,0.02377,0.0,25624
2017-03-10,0.023787,0.026551,0.022601,0.023429,1.0,25419
2017-03-11,0.02342,0.024003,0.01428,0.01759,25.0,19221
2017-03-12,0.017602,0.018356,0.012489,0.018272,1.0,20103
2017-03-13,0.018278,0.018511,0.012945,0.013021,0.0,14411
2017-03-14,0.013024,0.018622,0.012909,0.01855,0.0,20661
2017-03-15,0.018553,0.026206,0.013289,0.024992,3.0,28011
2017-03-16,0.025027,0.02516,0.023037,0.023744,0.0,26789
2017-03-17,0.023591,0.024534,0.021991,0.022005,0.0,25001
2017-03-18,0.021994,0.027587,0.010875,0.02715,9.0,31020
2017-03-19,0.027231,0.02845,0.014658,0.015054,20.0,17256
2017-03-20,0.015061,0.029358,0.015058,0.029244,0.0,33625
2017-03-21,0.029276,0.031007,0.029276,0.03088,0.0,35595
2017-03-22,0.027682,0.029183,0.027542,0.029072,12.0,33635
2017-03-23,0.029097,0.029318,0.014635,0.028727,16.0,33336
2017-03-24,0.028724,0.028779,0.02577,0.025857,0.0,30101
2017-03-25,0.02583,0.026824,0.024924,0.026742,1.0,31226
2017-03-26,0.026776,0.033855,0.02344,0.028996,715.0,33960
2017-03-27,0.029156,0.034274,0.022452,0.031113,116.0,36554
2017-03-28,0.031077,0.053005,0.030877,0.033409,3415.0,39373
2017-03-29,0.033375,0.05405,0.03291,0.05405,3897.0,63897
2017-03-30,0.054167,0.098845,0.047089,0.09884,4659.0,117246
2017-03-31,0.098854,0.309093,0.069796,0.228172,15152.0,271526
2017-04-01,0.228154,0.304669,0.156429,0.161685,2841.0,193007
2017-04-02,0.161701,0.246075,0.157112,0.181007,4108.0,216754
2017-04-03,0.181129,0.214499,0.151476,0.169,11232.0,202960
2017-04-04,0.16664,0.213671,0.146125,0.169724,9216.0,204516
2017-04-05,0.169855,0.179714,0.146517,0.153706,8683.0,185656
2017-04-06,0.155344,0.159941,0.054141,0.090685,8288.0,109855
2017-04-07,0.090399,0.094557,0.08552,0.090349,4463.0,109777
2017-04-08,0.090022,0.091363,0.052697,0.060398,4290.0,73595
2017-04-09,0.06172,0.071252,0.057145,0.066993,4687.0,81852
2017-04-10,0.06702,0.0682,0.016206,0.01805,2039.0,22119
2017-04-11,0.017509,0.132198,0.017509,0.065449,5467.0,80440
2017-04-12,0.065438,0.082851,0.047049,0.054771,4782.0,67506
2017-04-13,0.054801,0.092675,0.052906,0.058747,2131.0,72611
2017-04-14,0.0588,0.077374,0.058789,0.063378,5027.0,78579
2017-04-15,0.062837,0.077159,0.062293,0.065599,2442.0,81554
2017-04-16,0.064931,0.084359,0.059013,0.063969,2979.0,79750
