Date,Open,High,Low,Close,Volume,Market Cap
2018-08-14,0.075772,0.076375,0.075055,0.075218,34679,
2018-08-15,0.075333,0.089257,0.072245,0.080269,73533,
2018-08-16,0.080229,0.098398,0.073269,0.076813,171071,4086072.0
2018-08-17,0.076838,0.090571,0.065596,0.089311,251478,4750944.0
2018-08-18,0.089518,0.098464,0.071298,0.075066,148701,3993172.0
2018-08-19,0.075089,0.082551,0.060412,0.068593,35701,3648823.0
2018-08-20,0.068498,0.079138,0.063343,0.067311,105965,3580643.0
2018-08-21,0.06722,0.07382,0.047679,0.049919,95909,2655460.0
2018-08-22,0.049924,0.070144,0.049384,0.054831,183007,2916755.0
2018-08-23,0.05487,0.063051,0.045538,0.049143,195463,2614202.0
2018-08-24,0.049158,0.055533,0.039407,0.043109,165932,2293179.0
2018-08-25,0.043054,0.049117,0.037411,0.038537,21694,2049991.0
2018-08-26,0.038599,0.038622,0.032797,0.036129,380,1921913.0
2018-08-27,0.03613,0.036197,0.029216,0.032286,35767,1717468.0
2018-08-28,0.032294,0.099214,0.028863,0.052572,264283,2796582.0
2018-08-29,0.052591,0.072138,0.049323,0.057792,88260,3074287.0
2018-08-30,0.057819,0.079273,0.056703,0.070686,166297,3760139.0
2018-08-31,0.070731,0.093868,0.031976,0.036171,150372,1924121.0
2018-09-01,0.036151,0.049012,0.035302,0.041818,87456,2224493.0
2018-09-02,0.041829,0.044863,0.038722,0.040716,45584,2165904.0
2018-09-03,0.040711,0.042127,0.040215,0.041283,56842,2196076.0
2018-09-04,0.041285,0.050181,0.039568,0.047212,194967,2511439.0
2018-09-05,0.047189,0.048296,0.040646,0.040646,43704,2162164.0
2018-09-06,0.040681,0.046781,0.036995,0.042429,136456,2257011.0
2018-09-07,0.042414,0.057066,0.026156,0.030851,139790,1641133.0
2018-09-08,0.030875,0.036828,0.027918,0.031675,108843,1684965.0
2018-09-09,0.03151,0.041545,0.029179,0.035971,121103,1913498.0
2018-09-10,0.035966,0.036195,0.024676,0.026813,74997,1426341.0
2018-09-11,0.026927,0.027771,0.023988,0.024522,5403,1304460.0
2018-09-12,0.024525,0.024569,0.022313,0.023557,7277,1253126.0
2018-09-13,0.023574,0.027066,0.022763,0.025825,26355,1373762.0
2018-09-14,0.025764,0.026488,0.023709,0.023765,15683,1264164.0
2018-09-15,0.023739,0.024875,0.023739,0.024214,21396,1288060.0
2018-09-16,0.024238,0.024238,0.022939,0.023022,829,1224677.0
2018-09-17,0.023042,0.023249,0.018832,0.020433,25137,1086944.0
2018-09-18,0.020434,0.02135,0.019393,0.021287,17762,1132368.0
2018-09-19,0.021276,0.022355,0.019625,0.020617,53260,1096743.0
2018-09-20,0.02062,0.021964,0.019511,0.021758,41387,1157401.0
2018-09-21,0.021759,0.023403,0.021013,0.022227,23540,1182366.0
2018-09-22,0.02226,0.024326,0.021185,0.021563,8439,1147050.0
2018-09-23,0.021571,0.022606,0.019275,0.021607,24803,1149406.0
2018-09-24,0.021855,0.021855,0.01704,0.019963,28184,1061937.0
2018-09-25,0.019958,0.021289,0.019049,0.021289,27164,1132458.0
2018-09-26,0.021291,0.024118,0.020394,0.024089,40127,1281447.0
2018-09-27,0.024104,0.024319,0.021562,0.024198,42358,1287192.0
2018-09-28,0.024205,0.025326,0.023301,0.025319,37210,1346846.0
2018-09-29,0.025294,0.025789,0.0236,0.025328,40098,1347330.0
2018-09-30,0.025315,0.030086,0.024452,0.028712,23982,1527348.0
2018-10-01,0.028668,0.031631,0.026293,0.030647,27785,1630249.0
2018-10-02,0.030609,0.036421,0.029648,0.034473,68130,1833827.0
2018-10-03,0.034485,0.040665,0.033947,0.03968,85702,2110794.0
2018-10-04,0.039697,0.047067,0.039633,0.046012,73995,2447642.0
2018-10-05,0.046062,0.056383,0.045564,0.054406,72931,2894136.0
2018-10-06,0.054462,0.056393,0.048494,0.048525,73508,2581284.0
2018-10-07,0.0486,0.053892,0.046571,0.04901,81745,2607084.0
2018-10-08,0.049147,0.053991,0.048785,0.053671,27131,2855064.0
2018-10-09,0.053652,0.053792,0.045678,0.046516,62682,2474404.0
2018-10-10,0.046426,0.051011,0.045836,0.049853,99314,2651960.0
2018-10-11,0.049779,0.051467,0.034596,0.034669,104910,1844248.0
2018-10-12,0.034649,0.044332,0.034597,0.041946,54926,2231313.0
2018-10-13,0.041926,0.043406,0.041926,0.042259,47913,2247963.0
2018-10-14,0.042262,0.043148,0.040385,0.040409,24733,2149552.0
2018-10-15,0.040457,0.044766,0.035835,0.042594,75255,2265794.0
2018-10-16,0.042577,0.04696,0.042415,0.046419,76034,2469250.0
2018-10-17,0.046515,0.04658,0.043812,0.044533,73413,2368924.0
2018-10-18,0.044566,0.045092,0.041504,0.041549,63410,2210221.0
2018-10-19,0.041546,0.047097,0.025528,0.02874,73213,1528827.0
2018-10-20,0.029305,0.037826,0.026294,0.027852,68708,1481568.0
2018-10-21,0.027859,0.035873,0.026477,0.034061,55327,1811889.0
2018-10-22,0.034056,0.050295,0.032566,0.04425,67171,2353885.0
2018-10-23,0.044258,0.045718,0.025658,0.025662,101173,1365102.0
2018-10-24,0.025594,0.030872,0.025594,0.028463,17710,1514113.0
2018-10-25,0.02849,0.037544,0.026774,0.029562,51163,1572580.0
2018-10-26,0.029529,0.030718,0.022755,0.024674,131044,1312567.0
2018-10-27,0.024615,0.025085,0.022798,0.023746,30872,1263175.0
2018-10-28,0.023779,0.024261,0.023342,0.024237,34890,1289294.0
2018-10-29,0.024186,0.030786,0.023041,0.026456,161198,1407313.0
2018-10-30,0.026428,0.034214,0.02637,0.028108,84551,1495229.0
2018-10-31,0.028096,0.028195,0.018617,0.020303,91617,1079997.0
2018-11-01,0.020303,0.020979,0.019654,0.02008,51621,1068145.0
2018-11-02,0.019903,0.020822,0.019741,0.02009,59854,1068677.0
2018-11-03,0.02009,0.020465,0.019187,0.019422,45359,1033164.0
2018-11-04,0.019422,0.019679,0.019024,0.01945,49371,1034675.0
2018-11-05,0.019448,0.020488,0.019421,0.020097,49004,1069071.0
2018-11-06,0.020125,0.020554,0.019587,0.020327,47369,1084471.0
2018-11-07,0.020346,0.020583,0.019912,0.020367,54697,1083407.0
2018-11-08,0.020369,0.0204,0.019786,0.019794,51372,1052936.0
2018-11-09,0.019793,0.020064,0.019737,0.019978,51762,1062724.0
