Date,Open,High,Low,Close,Volume,Market Cap
2016-05-04,0.081798,0.081834,0.062388,0.062541,1267.0,59414
2016-05-05,0.06254,0.081548,0.059064,0.081482,6486.0,77408
2016-05-06,0.081476,0.083887,0.078339,0.083616,1103.0,79434
2016-05-07,0.083618,0.083742,0.083132,0.083353,586.0,194438
2016-05-08,0.083333,0.090792,0.082958,0.090774,2719.0,212658
2016-05-09,0.090706,0.090706,0.083347,0.086979,1133.0,204637
2016-05-10,0.086984,0.087252,0.08162,0.081766,1809.0,193320
2016-05-11,0.081761,0.086184,0.08132,0.086028,3600.0,204344
2016-05-12,0.085975,0.089143,0.085267,0.088582,1788.0,210679
2016-05-13,0.088597,0.088635,0.026926,0.043994,8737.0,104633
2016-05-14,0.043997,0.090432,0.015658,0.052225,6353.0,124210
2016-05-15,0.052236,0.072494,0.014591,0.035397,2619.0,85912
2016-05-16,0.035398,0.072433,0.011588,0.018937,15957.0,46062
2016-05-17,0.018469,0.027283,0.01001,0.010241,2526.0,24909
2016-05-18,0.010239,0.040901,0.010236,0.040254,2449.0,97909
2016-05-19,0.040245,0.040786,0.024612,0.024612,465.0,59864
2016-05-20,0.02456,0.040693,0.024537,0.038868,2282.0,97255
2016-05-21,0.038868,0.039001,0.024377,0.035012,769.0,88132
2016-05-22,0.035014,0.035425,0.017714,0.029422,3089.0,74352
2016-05-23,0.029424,0.035407,0.022498,0.033347,4212.0,84270
2016-05-24,0.033357,0.034486,0.018124,0.026777,2032.0,67667
2016-05-25,0.026782,0.027762,0.023346,0.024728,430.0,62489
2016-05-26,0.024732,0.033883,0.01797,0.02542,18143.0,64239
2016-05-27,0.025421,0.025435,0.013301,0.018832,2673.0,47590
2016-05-28,0.018815,0.019237,0.00996,0.019081,1000.0,48220
2016-05-29,0.018989,0.019594,0.010505,0.017571,979.0,44403
2016-05-30,0.017646,0.01891,0.010736,0.011329,910.0,28628
2016-05-31,0.011335,0.024199,0.011335,0.023654,2818.0,60637
2016-06-01,0.023642,0.042716,0.019498,0.038995,5552.0,344548
2016-06-02,0.038969,0.045912,0.029861,0.043007,9954.0,379993
2016-06-03,0.042922,0.069261,0.012011,0.027132,24326.0,239735
2016-06-04,0.027156,0.03959,0.011482,0.020034,12123.0,177031
2016-06-05,0.020055,0.021698,0.012089,0.012091,5883.0,106851
2016-06-06,0.012084,0.017213,0.011588,0.013347,6353.0,117957
2016-06-07,0.013345,0.023261,0.005935,0.011691,7765.0,103850
2016-06-08,0.011702,0.018519,0.011647,0.018496,4579.0,164306
2016-06-09,0.018514,0.043184,0.014504,0.040857,18619.0,363012
2016-06-10,0.040846,0.041669,0.01155,0.020736,13537.0,184243
2016-06-11,0.016209,0.020838,0.011621,0.016382,11438.0,145559
2016-06-12,0.016462,0.016719,0.012326,0.015393,5931.0,141206
