Date,Open,High,Low,Close,Volume,Market Cap
2019-01-12,1.74,1.81,1.32,1.8,332221,
2019-01-13,1.8,1.8,1.47,1.59,327150,
2019-01-14,1.59,1.75,1.19,1.74,121174,
2019-01-15,1.74,1.8,1.29,1.77,77631,
2019-01-16,1.77,1.78,1.53,1.7,150655,
2019-01-17,1.7,1.74,1.57,1.69,91980,
2019-01-18,1.69,1.78,1.32,1.32,81340,
2019-01-19,1.32,1.67,1.32,1.63,153537,
2019-01-20,1.63,2.82,1.63,2.82,138175,
2019-01-21,2.82,3.2,2.35,3.19,30865,
2019-01-22,3.18,3.35,2.83,3.22,15665,
2019-01-23,3.22,3.32,2.86,3.01,9506,
2019-01-24,3.01,3.26,2.99,3.05,9445,
2019-01-25,3.05,3.42,3.03,3.19,8209,
2019-01-26,3.18,3.28,2.99,3.11,9874,
2019-01-27,3.11,3.27,3.01,3.14,12034,
2019-01-28,3.14,3.15,2.86,3.09,23966,
2019-01-29,3.1,3.1,2.88,2.93,8472,
2019-01-30,2.92,3.08,2.91,3.07,6413,
2019-01-31,3.07,3.34,3.02,3.03,7996,
2019-02-01,3.03,3.16,2.97,3.13,6527,
2019-02-02,3.13,3.23,3.05,3.23,3450,
2019-02-03,3.22,3.23,2.93,3.08,8910,
2019-02-04,3.09,3.16,2.96,3.14,2708,
2019-02-05,3.13,3.15,2.9,2.95,3606,
2019-02-06,2.96,3.17,2.82,2.87,7036,
2019-02-07,2.87,3.05,2.86,2.95,3864,
2019-02-08,2.96,3.39,2.88,3.31,5326,
2019-02-09,3.31,3.42,3.02,3.39,7624,
2019-02-10,3.38,3.72,3.13,3.72,13727,
2019-02-11,3.73,3.73,3.16,3.37,9568,
2019-02-12,3.37,3.67,2.96,3.67,16008,
2019-02-13,3.67,4.0,3.58,4.0,8205,
2019-02-14,3.99,4.28,3.77,4.22,16007,
2019-02-15,4.22,4.96,4.0,4.64,59445,
2019-02-16,4.65,6.09,4.65,5.42,47437,
2019-02-17,5.42,6.15,5.4,6.08,10876,
2019-02-18,6.05,6.75,5.81,6.39,58505,
2019-02-19,6.4,6.84,6.36,6.63,14827,
2019-02-20,6.64,8.16,5.2,7.82,222674,
2019-02-21,7.81,9.8,7.67,9.73,190239,
2019-02-22,9.72,9.9,9.18,9.74,162859,
2019-02-23,9.72,11.1,9.15,10.76,191046,
2019-02-24,10.77,12.56,10.61,10.72,252504,
2019-02-25,10.74,12.67,10.37,11.03,193543,
2019-02-26,11.0,13.22,10.81,13.12,176868,
2019-02-27,13.12,13.47,11.31,11.69,130507,
2019-02-28,11.69,13.01,10.04,12.93,131946,
2019-03-01,12.92,12.97,10.54,12.33,188154,
2019-03-02,12.31,12.36,11.48,12.21,146290,
2019-03-03,12.21,12.94,8.75,9.59,62247,
2019-03-04,9.59,12.54,9.17,12.43,136831,
2019-03-05,12.43,12.86,12.15,12.81,130739,
2019-03-06,12.8,12.91,11.72,12.84,130432,
2019-03-07,12.84,13.92,12.69,13.21,140473,
2019-03-08,13.23,13.33,12.35,12.76,139223,
2019-03-09,12.75,12.98,12.57,12.89,126861,
2019-03-10,12.9,12.94,9.1,11.86,131615,
2019-03-11,11.87,11.92,9.8,9.89,124459,
2019-03-12,9.9,11.36,9.84,10.13,133226,
2019-03-13,10.09,10.34,9.83,10.2,132254,
2019-03-14,10.2,13.14,10.2,11.36,90087,
2019-03-15,11.35,11.89,11.34,11.84,119765,
2019-03-16,11.84,13.58,7.32,13.41,110418,
2019-03-17,13.41,13.55,13.26,13.44,104898,
2019-03-18,13.45,13.57,11.37,11.69,26708,
2019-03-19,11.69,11.96,11.39,11.86,13014,
2019-03-20,11.86,11.87,11.16,11.62,8970,
2019-03-21,11.63,11.63,9.62,9.91,11977,
2019-03-22,9.9,10.79,9.62,9.9,8151,
2019-03-23,9.89,10.31,9.6,9.89,5165,
2019-03-24,9.9,11.93,9.61,11.91,32738,
2019-03-25,11.92,12.17,10.46,10.49,17010,
2019-03-26,10.49,12.04,9.92,12.04,20739,
2019-03-27,12.05,12.25,9.79,9.87,4922,
2019-03-28,9.87,10.59,9.82,10.24,5288,
2019-03-29,10.25,10.48,9.79,10.48,9591,
2019-03-30,10.49,10.62,8.52,9.17,8817,
