Date,Open,High,Low,Close,Volume,Market Cap
2017-11-08,3.86,3.89,3.55,3.89,160993,
2017-11-09,3.89,4.32,3.47,3.81,151818,2043234.0
2017-11-10,3.82,4.86,3.82,4.48,186276,2440291.0
2017-11-11,4.6,4.73,3.41,3.41,108495,1918311.0
2017-11-12,3.41,3.9,2.76,3.07,83628,1748806.0
2017-11-13,3.07,4.43,3.0,3.79,103825,2234459.0
2017-11-14,3.8,4.28,3.69,4.11,130634,2473749.0
2017-11-15,4.09,4.63,4.05,4.14,143699,2571912.0
2017-11-16,4.09,4.85,3.93,4.43,87832,2803079.0
2017-11-17,4.42,4.68,3.85,3.88,77591,2525617.0
2017-11-18,3.9,4.31,3.49,3.84,134012,2526192.0
2017-11-19,3.88,3.99,3.08,3.22,97817,2159181.0
2017-11-20,3.22,3.91,2.92,3.68,158414,2518684.0
2017-11-21,3.82,3.87,3.07,3.24,136375,2261625.0
2017-11-22,3.25,3.82,3.15,3.63,146828,2582718.0
2017-11-23,3.63,3.65,3.22,3.22,117032,2329865.0
2017-11-24,3.29,3.47,2.85,3.27,177461,2412527.0
2017-11-25,3.26,3.27,2.19,2.66,144130,2001550.0
2017-11-26,2.66,3.0,1.82,2.36,128997,1804185.0
2017-11-27,2.36,2.76,1.95,2.54,172121,1978677.0
2017-11-28,2.55,4.54,2.42,4.54,173648,3596655.0
2017-11-29,4.47,4.55,3.21,3.22,157218,2593775.0
2017-11-30,3.27,3.99,3.25,3.78,94320,3097035.0
2017-12-01,3.72,4.04,3.47,3.72,97781,3099998.0
2017-12-02,3.72,4.09,3.63,3.99,108372,3378352.0
2017-12-03,4.0,4.51,3.69,4.51,157982,3876232.0
2017-12-04,4.64,5.02,3.87,4.18,91105,3648611.0
2017-12-05,4.19,4.69,3.97,3.97,99369,3514542.0
2017-12-06,3.96,4.48,3.56,3.78,99087,3396927.0
2017-12-07,3.77,4.76,3.37,4.61,123745,4205693.0
2017-12-08,4.55,4.6,2.56,3.73,127059,3457926.0
2017-12-09,3.73,4.59,3.57,3.86,115701,3630931.0
2017-12-10,3.88,4.33,3.37,4.01,72599,3824203.0
2017-12-11,3.98,5.17,3.93,4.33,109927,4187305.0
2017-12-12,4.35,5.16,4.21,4.6,111906,4514743.0
2017-12-13,4.61,5.49,4.36,4.84,121576,4814306.0
2017-12-14,4.82,5.2,4.43,4.72,156122,4760377.0
2017-12-15,4.73,5.12,4.61,4.81,114327,4914587.0
2017-12-16,4.95,6.12,4.77,5.36,135167,5556228.0
2017-12-17,5.35,5.79,5.16,5.2,139807,5458582.0
2017-12-18,5.26,5.33,4.98,5.15,148884,5480341.0
2017-12-19,5.15,5.24,4.76,4.94,105712,5316596.0
2017-12-20,4.93,4.93,4.25,4.61,122478,5022981.0
2017-12-21,4.86,5.19,4.21,4.41,139178,4873401.0
2017-12-22,4.43,4.47,3.12,3.82,93624,4268077.0
2017-12-23,3.7,4.45,3.66,4.01,77684,4536822.0
2017-12-24,4.05,4.17,3.46,3.96,83759,4531906.0
2017-12-25,4.0,4.22,3.73,4.07,118217,4718620.0
2017-12-26,4.02,4.92,4.02,4.6,138086,5397402.0
2017-12-27,4.6,5.31,4.46,4.76,152100,5650439.0
2017-12-28,5.16,5.47,4.36,4.87,110424,5848673.0
2017-12-29,4.93,6.23,4.86,5.94,236938,7215952.0
2017-12-30,5.91,6.59,4.83,5.68,192357,6969032.0
2017-12-31,5.62,6.43,5.19,5.83,131203,7232416.0
2018-01-01,5.85,6.19,5.42,5.45,150883,6845630.0
2018-01-02,5.45,7.52,5.06,7.27,334480,9224326.0
2018-01-03,7.24,14.15,6.08,8.53,438904,10938132.0
2018-01-04,8.57,9.34,7.52,8.45,287234,10948597.0
2018-01-05,8.45,9.92,7.89,9.67,230679,12660616.0
2018-01-06,9.67,11.01,9.02,10.08,264180,13332054.0
2018-01-07,10.69,13.24,9.74,11.26,313559,15041775.0
2018-01-08,11.55,12.1,9.54,11.02,299797,14788539.0
2018-01-09,10.99,13.61,10.09,10.44,288978,14232429.0
2018-01-10,10.64,11.59,9.59,10.81,194322,14892213.0
2018-01-11,10.8,18.43,9.19,14.6,740381,20306576.0
2018-01-12,14.69,19.0,14.01,15.74,567736,22114758.0
2018-01-13,15.72,19.05,14.18,15.07,410166,21374000.0
2018-01-14,17.23,17.23,12.62,13.31,307572,19058872.0
2018-01-15,13.41,16.76,13.11,13.11,441579,18951094.0
2018-01-16,13.34,13.85,9.14,11.82,400402,17261607.0
2018-01-17,11.76,11.98,8.67,10.8,269478,15916331.0
2018-01-18,10.84,12.91,10.64,11.63,390019,17290605.0
2018-01-19,11.5,13.42,10.91,11.38,271471,17074293.0
2018-01-20,11.5,13.0,11.46,11.62,308416,17594185.0
2018-01-21,11.65,12.32,10.19,10.37,215719,15851833.0
2018-01-22,10.95,11.23,7.64,8.79,274904,13549438.0
2018-01-23,8.81,10.44,7.16,8.24,208134,12823102.0
2018-01-24,8.24,9.2,7.93,8.92,202621,13984717.0
2018-01-25,9.07,9.24,7.35,7.68,170650,12154405.0
2018-01-26,7.66,8.61,7.26,8.41,188590,13421044.0
2018-01-27,8.4,9.05,8.17,8.4,215182,13532863.0
2018-01-28,8.33,8.96,8.05,8.25,134286,13394274.0
2018-01-29,8.24,8.47,6.68,6.79,189965,11117139.0
2018-01-30,7.19,7.23,5.42,5.58,172254,9214857.0
2018-01-31,5.51,6.16,5.21,5.58,129525,9293943.0
2018-02-01,5.59,5.9,3.64,4.31,86713,7240827.0
2018-02-02,4.3,5.32,3.86,4.95,143738,8385038.0
2018-02-03,4.99,7.01,4.41,6.48,146403,11055535.0
2018-02-04,6.48,6.48,4.5,4.94,51734,8495302.0
2018-02-05,4.89,4.96,3.82,3.87,66371,6705681.0
2018-02-06,3.87,4.71,3.25,4.67,90029,8161574.0
2018-02-07,4.62,4.9,4.0,4.18,60317,7355534.0
2018-02-08,4.16,4.83,4.12,4.21,68097,7478218.0
2018-02-09,4.17,4.58,3.83,4.1,66207,7330842.0
2018-02-10,4.28,4.53,3.81,3.94,66148,7098537.0
2018-02-11,3.94,3.94,3.16,3.35,60666,6083497.0
2018-02-12,3.37,3.88,3.28,3.75,109095,6864795.0
2018-02-13,3.76,3.84,3.5,3.71,46856,6843255.0
2018-02-14,3.7,4.69,3.0,3.62,149640,6720142.0
2018-02-15,3.62,3.77,3.25,3.4,77178,6350799.0
2018-02-16,3.38,3.63,2.92,3.26,80058,6139728.0
2018-02-17,3.26,4.28,3.22,3.73,69824,7008158.0
2018-02-18,3.65,4.02,3.14,3.15,35746,5928675.0
2018-02-19,3.14,3.28,2.89,3.0,46880,5651453.0
2018-02-20,3.01,3.49,2.36,3.0,72916,5810429.0
2018-02-21,2.99,3.52,2.63,3.02,63039,5901103.0
2018-02-22,3.02,3.74,2.62,3.21,70565,6306295.0
2018-02-23,3.2,3.66,3.07,3.58,20134,7083315.0
2018-02-24,3.57,3.66,2.93,3.3,19429,6582179.0
2018-02-25,3.3,3.63,2.4,2.59,61584,5193822.0
2018-02-26,2.59,2.98,2.4,2.98,86255,6024744.0
2018-02-27,2.99,3.21,2.75,2.77,52271,5614438.0
2018-02-28,2.76,2.76,1.92,1.96,39621,4011283.0
2018-03-01,1.93,2.24,1.91,2.09,49294,4310230.0
2018-03-02,2.09,2.2,1.68,2.16,57370,4475155.0
2018-03-03,2.15,2.29,1.92,1.96,22550,4094076.0
2018-03-04,1.96,2.03,1.28,1.44,45807,3020692.0
2018-03-05,1.28,1.66,1.27,1.42,54752,3006563.0
2018-03-06,1.41,1.7,1.26,1.5,52182,3199717.0
2018-03-07,1.5,1.59,1.27,1.48,24982,3173531.0
2018-03-08,1.48,1.48,1.14,1.2,18506,2597796.0
2018-03-09,1.2,1.26,1.05,1.25,27127,2712646.0
2018-03-10,1.27,1.3,1.09,1.09,24436,2385354.0
2018-03-11,1.09,1.32,1.06,1.28,20251,2820974.0
2018-03-12,1.28,1.6,1.23,1.33,25516,2936130.0
2018-03-13,1.32,1.46,1.11,1.19,25961,2638877.0
2018-03-14,1.19,1.38,1.03,1.08,24854,2418303.0
2018-03-15,1.08,1.15,0.99812,1.05,15395,2375346.0
2018-03-16,1.05,1.21,1.02,1.07,20136,2436236.0
2018-03-17,1.08,1.17,0.93916,1.0,17610,2281073.0
2018-03-18,0.99765,1.04,0.912745,0.989461,15372,2270131.0
2018-03-19,0.985292,1.08,0.979487,1.05,21898,2425843.0
2018-03-20,1.06,1.37,1.03,1.24,32226,2889230.0
2018-03-21,1.25,1.59,1.17,1.36,52072,3184380.0
2018-03-22,1.36,1.44,1.22,1.25,23682,2929587.0
2018-03-23,1.25,1.43,1.2,1.37,30389,3225855.0
2018-03-24,1.49,1.77,1.32,1.5,37474,3574963.0
2018-03-25,1.48,1.54,1.27,1.27,28708,3038122.0
2018-03-26,1.27,1.3,1.14,1.21,21270,2900028.0
2018-03-27,1.2,1.28,1.01,1.03,21720,2478323.0
2018-03-28,0.998424,1.07,0.987076,1.01,38452,2451421.0
2018-03-29,1.01,1.02,0.841174,0.891513,16076,2179243.0
2018-03-30,0.889297,0.925276,0.839576,0.909204,13893,2234816.0
2018-03-31,0.909343,0.98217,0.874178,0.931114,12378,2301316.0
2018-04-01,0.931086,0.954448,0.849237,0.900315,12266,2237366.0
2018-04-02,0.904745,0.983038,0.883985,0.893552,13218,2232640.0
2018-04-03,0.894187,1.03,0.892153,0.998488,19912,2503761.0
2018-04-04,0.997799,1.02,0.880927,0.909718,17544,2296376.0
2018-04-05,0.910099,0.921905,0.840816,0.85479,19008,2170921.0
2018-04-06,0.850434,0.85602,0.790526,0.806839,10485,2060016.0
2018-04-07,0.807803,0.870368,0.806604,0.827076,11454,2122784.0
2018-04-08,0.827617,0.887176,0.787599,0.81697,11520,2107908.0
2018-04-09,0.818294,0.83287,0.615466,0.624288,24147,1619361.0
2018-04-10,0.624798,0.638155,0.547323,0.608736,15608,1587251.0
2018-04-11,0.609323,0.629488,0.480465,0.560676,19634,1468676.0
2018-04-12,0.559323,0.607957,0.512321,0.541957,10664,1427858.0
2018-04-13,0.550164,0.564201,0.498705,0.527166,19341,1396375.0
2018-04-14,0.538887,0.564353,0.490435,0.492908,14457,1310294.0
2018-04-15,0.493436,0.52488,0.493436,0.51796,9921,1383789.0
2018-04-16,0.517741,0.525827,0.487918,0.501231,8201,1345842.0
2018-04-17,0.501483,0.526207,0.453749,0.473801,18127,1278682.0
2018-04-18,0.474003,0.71918,0.473517,0.717847,37091,1947012.0
2018-04-19,0.718461,0.90768,0.679868,0.878315,32755,2394492.0
2018-04-20,0.862768,1.16,0.832928,1.01,32657,2777243.0
2018-04-21,1.01,1.19,0.804535,0.853812,22383,2351291.0
2018-04-22,0.853812,0.868628,0.739991,0.844872,20573,2338111.0
2018-04-23,0.843168,0.921912,0.841554,0.886652,16664,2466466.0
2018-04-24,0.887407,0.91364,0.806383,0.888851,22785,2485436.0
2018-04-25,0.883685,0.890145,0.747519,0.748479,16401,2103147.0
2018-04-26,0.754594,0.813228,0.714196,0.752025,17649,2123624.0
2018-04-27,0.753066,0.882712,0.737354,0.737354,15296,2092444.0
2018-04-28,0.734468,0.78759,0.732585,0.780089,12080,2224310.0
2018-04-29,0.779878,0.84882,0.770097,0.794881,18015,2277855.0
2018-04-30,0.794616,0.833111,0.767742,0.771765,15925,2222633.0
2018-05-01,0.77244,0.779574,0.724869,0.735856,11753,2131756.0
2018-05-02,0.734748,0.777124,0.712489,0.729765,15923,2126050.0
2018-05-03,0.729791,0.806918,0.727869,0.774363,19437,2268988.0
2018-05-04,0.774061,0.774061,0.637639,0.648356,21083,1909483.0
2018-05-05,0.648049,0.699813,0.63647,0.658665,14502,1952820.0
2018-05-06,0.658717,0.665181,0.623994,0.636546,10550,1897057.0
2018-05-07,0.637002,0.653168,0.611816,0.615783,7891,1844723.0
2018-05-08,0.61709,0.63411,0.568899,0.580422,6718,1747103.0
2018-05-09,0.579535,0.606619,0.539655,0.558988,8045,1690892.0
2018-05-10,0.558831,0.590462,0.447483,0.448469,10835,1364097.0
2018-05-11,0.449005,0.570584,0.423114,0.472933,13517,1447192.0
2018-05-12,0.471543,0.549075,0.434618,0.538734,12516,1656594.0
2018-05-13,0.538547,0.542152,0.457248,0.48996,9054,1513573.0
2018-05-14,0.489872,0.491823,0.439469,0.439769,7070,1364821.0
2018-05-15,0.439015,0.478091,0.408607,0.410627,9924,1280391.0
2018-05-16,0.410221,0.421271,0.372613,0.402228,9239,1260211.0
2018-05-17,0.402474,0.451535,0.371453,0.380304,9834,1197211.0
2018-05-18,0.381688,0.434947,0.374553,0.3863,7233,1222484.0
2018-05-19,0.386242,0.392759,0.376417,0.379254,5822,1205988.0
2018-05-20,0.379537,0.426471,0.37756,0.403184,6553,1288486.0
2018-05-21,0.427735,0.453304,0.387818,0.400614,7334,1285785.0
2018-05-22,0.400541,0.40365,0.375475,0.379276,9069,1222785.0
2018-05-23,0.378883,0.380063,0.349376,0.353106,5535,1143293.0
2018-05-24,0.352215,0.377907,0.339805,0.354783,6318,1154080.0
2018-05-25,0.35545,0.379297,0.34808,0.358184,5514,1170322.0
2018-05-26,0.357715,0.389614,0.344058,0.344743,7014,1131218.0
2018-05-27,0.344896,0.380871,0.340284,0.346034,7520,1140285.0
2018-05-28,0.346115,0.356858,0.330185,0.346713,10078,1147425.0
2018-05-29,0.3466,0.361839,0.321945,0.335905,10389,1116433.0
2018-05-30,0.333518,0.360672,0.324798,0.337082,5701,1125502.0
2018-05-31,0.337019,0.37798,0.333615,0.344439,5503,1156253.0
2018-06-01,0.34469,0.409623,0.34396,0.391861,9514,1321425.0
2018-06-02,0.391691,0.423833,0.375617,0.396981,7111,1344883.0
2018-06-03,0.398692,0.423714,0.385597,0.394127,6130,1340551.0
2018-06-04,0.394773,0.400162,0.346994,0.360088,8143,1229909.0
2018-06-05,0.360261,0.37264,0.343502,0.348658,3844,1195708.0
2018-06-06,0.348565,0.371872,0.343512,0.350128,5246,1205574.0
2018-06-07,0.35045,0.379178,0.3501,0.351592,3220,1216705.0
2018-06-08,0.351859,0.369396,0.318842,0.326886,6046,1135968.0
2018-06-09,0.326669,0.32747,0.248572,0.300063,8311,1047946.0
2018-06-10,0.30044,0.30044,0.233064,0.235513,7204,826094.0
2018-06-11,0.23585,0.250315,0.216719,0.220795,3543,777966.0
2018-06-12,0.220676,0.237956,0.202926,0.20591,3666,728353.0
2018-06-13,0.206443,0.206752,0.186842,0.191815,4174,681127.0
2018-06-14,0.19173,0.218875,0.191674,0.218875,3793,781095.0
2018-06-15,0.209478,0.273085,0.207157,0.2546,7360,912552.0
2018-06-16,0.253671,0.266414,0.238026,0.254437,3485,915876.0
2018-06-17,0.255112,0.259433,0.21906,0.227478,2601,822083.0
2018-06-18,0.226701,0.228755,0.206348,0.216156,1995,784629.0
2018-06-19,0.21604,0.235949,0.206515,0.207655,4851,756882.0
2018-06-20,0.207783,0.235496,0.202533,0.21202,4998,775756.0
2018-06-21,0.212063,0.2214,0.202117,0.204216,5837,750281.0
2018-06-22,0.20399,0.207139,0.180728,0.18456,1730,680484.0
2018-06-23,0.184584,0.188371,0.178079,0.185026,2236,685173.0
2018-06-24,0.187036,0.223835,0.180248,0.199234,4828,741445.0
2018-06-25,0.19885,0.202714,0.188273,0.192254,3171,718557.0
2018-06-26,0.192254,0.199825,0.185153,0.187655,2129,704363.0
2018-06-27,0.187579,0.187739,0.165361,0.173221,2328,652929.0
2018-06-28,0.169418,0.192296,0.166785,0.170077,2554,644041.0
2018-06-29,0.170186,0.194642,0.163753,0.189799,3058,721312.0
2018-06-30,0.181369,0.184475,0.17781,0.181934,3241,693995.0
2018-07-01,0.181975,0.184066,0.170831,0.172798,2217,661550.0
2018-07-02,0.172818,0.179317,0.162439,0.171777,1942,660507.0
2018-07-03,0.170973,0.174123,0.138001,0.148848,3277,574678.0
2018-07-04,0.148791,0.173764,0.147328,0.160385,1981,621566.0
2018-07-05,0.160727,0.177228,0.155027,0.156483,2878,609110.0
2018-07-06,0.156458,0.168625,0.149192,0.155017,1761,605490.0
2018-07-07,0.154754,0.169293,0.151242,0.159479,2057,625378.0
2018-07-08,0.1593,0.168128,0.158252,0.16369,1477,644336.0
2018-07-09,0.163655,0.172461,0.15933,0.160014,2999,632225.0
2018-07-10,0.159902,0.160216,0.135991,0.136044,3071,539483.0
2018-07-11,0.13605,0.146191,0.130424,0.138242,1633,550076.0
2018-07-12,0.138212,0.148973,0.120364,0.123171,2024,492090.0
2018-07-13,0.123292,0.156559,0.104347,0.10676,1870,428153.0
2018-07-14,0.106464,0.120945,0.087654,0.110489,3343,444765.0
2018-07-15,0.110461,0.122195,0.097853,0.110094,2427,444800.0
2018-07-16,0.110216,0.123577,0.104003,0.118323,2264,479660.0
2018-07-17,0.117894,0.182175,0.113026,0.172792,5490,702960.0
2018-07-18,0.172717,0.172738,0.131543,0.150171,2704,613181.0
2018-07-19,0.150098,0.178278,0.138709,0.165684,2169,655488.0
2018-07-20,0.165809,0.187201,0.153401,0.161096,1874,638661.0
2018-07-21,0.161057,0.184964,0.15564,0.160241,2616,636579.0
2018-07-22,0.160199,0.190691,0.155027,0.179177,2147,713253.0
2018-07-23,0.178969,0.198176,0.156413,0.176916,5732,705722.0
2018-07-24,0.177176,0.199212,0.164546,0.185272,2622,740477.0
2018-07-25,0.181841,0.186559,0.155589,0.163486,1815,654725.0
2018-07-26,0.163429,0.169535,0.154499,0.157807,1850,633266.0
2018-07-27,0.15772,0.16331,0.151525,0.158361,1701,636723.0
2018-07-28,0.158689,0.159522,0.136358,0.147839,1228,595625.0
2018-07-29,0.148434,0.162254,0.13812,0.155583,2653,628036.0
2018-07-30,0.150989,0.160804,0.133974,0.14484,2118,585837.0
2018-07-31,0.144566,0.155197,0.138005,0.143497,2818,581569.0
2018-08-01,0.143624,0.147881,0.139552,0.146682,1335,595566.0
2018-08-02,0.146762,0.149549,0.124577,0.125127,847,509040.0
2018-08-03,0.125114,0.129694,0.11073,0.111252,826,453411.0
2018-08-04,0.111412,0.129401,0.105443,0.106143,903,433258.0
2018-08-05,0.10619,0.10708,0.104607,0.10642,1127,434963.0
2018-08-06,0.106548,0.118765,0.103162,0.109466,1105,448166.0
2018-08-07,0.109424,0.119954,0.081914,0.082975,933,340394.0
2018-08-08,0.083067,0.09753,0.080551,0.082052,660,337265.0
2018-08-09,0.082238,0.096983,0.081535,0.087063,594,358546.0
2018-08-10,0.086973,0.099255,0.080712,0.082166,509,339002.0
2018-08-11,0.082088,0.086128,0.080684,0.083698,127,346020.0
2018-08-12,0.083448,0.089777,0.082661,0.088559,383,366834.0
2018-08-13,0.088528,0.088949,0.06126,0.061508,797,255254.0
2018-08-14,0.061452,0.085309,0.04902,0.065058,3016,270493.0
2018-08-15,0.065005,0.088629,0.06281,0.071067,949,295950.0
2018-08-16,0.070967,0.081692,0.070515,0.077845,1003,324816.0
2018-08-17,0.077851,0.07995,0.066374,0.074298,1492,310602.0
2018-08-18,0.074469,0.07922,0.067808,0.073682,1172,308638.0
2018-08-19,0.073706,0.082347,0.063307,0.065155,1030,273457.0
2018-08-20,0.065049,0.079892,0.064414,0.069178,1181,290878.0
2018-08-21,0.069077,0.074409,0.065504,0.069443,503,292545.0
2018-08-22,0.069457,0.084742,0.069099,0.070727,986,298453.0
2018-08-23,0.070745,0.083989,0.070613,0.075884,1256,320782.0
2018-08-24,0.075944,0.116186,0.07239,0.106699,2543,451907.0
2018-08-25,0.106507,0.107242,0.089018,0.097302,1015,412876.0
2018-08-26,0.097511,0.112635,0.090845,0.091015,1073,386967.0
2018-08-27,0.090973,0.095964,0.084209,0.086231,1391,367333.0
2018-08-28,0.086062,0.106459,0.085928,0.099902,1318,426373.0
2018-08-29,0.099989,0.135423,0.099087,0.131241,4862,561211.0
2018-08-30,0.131313,0.160368,0.119379,0.130805,2379,560414.0
2018-08-31,0.130934,0.131838,0.121636,0.126315,894,542211.0
2018-09-01,0.126162,0.128508,0.092752,0.107727,1057,463300.0
2018-09-02,0.107776,0.139832,0.097838,0.122099,1415,526078.0
2018-09-03,0.12207,0.124578,0.109139,0.109738,941,473700.0
2018-09-04,0.109738,0.137196,0.094923,0.095087,3367,411230.0
2018-09-05,0.095166,0.112412,0.090897,0.090897,1172,393860.0
2018-09-06,0.091058,0.097401,0.084374,0.085398,770,370580.0
2018-09-07,0.085304,0.092412,0.085041,0.087065,461,378513.0
2018-09-08,0.087172,0.092682,0.085237,0.091812,879,399898.0
