Date,Open,High,Low,Close,Volume,Market Cap
2018-08-06,0.581621,0.588304,0.580341,0.586745,396045,
2018-08-07,0.586655,0.592103,0.545023,0.551655,387240,
2018-08-08,0.551526,0.554375,0.47943,0.48499,374986,
2018-08-09,0.486124,0.507738,0.484343,0.50132,414941,
2018-08-10,0.500956,0.503778,0.472773,0.477206,388990,
2018-08-11,0.475158,0.48167,0.459778,0.473671,424377,
2018-08-12,0.473493,0.479375,0.461339,0.467533,419588,
2018-08-13,0.467184,0.479998,0.457651,0.460193,409452,
2018-08-14,0.459079,0.459079,0.432218,0.452071,384431,
2018-08-15,0.452662,0.475711,0.452662,0.457079,406176,
2018-08-16,0.456924,0.470218,0.450931,0.454306,408609,
2018-08-17,0.454503,0.481175,0.453432,0.479296,439974,
2018-08-18,0.480224,0.48266,0.445215,0.464951,415551,
2018-08-19,0.465102,0.471685,0.461564,0.468378,424451,
2018-08-20,0.468085,0.473149,0.438757,0.454236,405669,
2018-08-21,0.453561,0.474875,0.453492,0.472327,429458,
2018-08-22,0.47235,0.48839,0.4577,0.465,414613,
2018-08-23,0.465388,0.470138,0.438903,0.463546,405508,
2018-08-24,0.461939,0.477045,0.418702,0.47561,443783,
2018-08-25,0.475078,0.480209,0.444199,0.476795,440884,
2018-08-26,0.477294,0.477294,0.423751,0.471701,424600,
2018-08-27,0.471757,0.475566,0.424575,0.474368,420498,
2018-08-28,0.474378,0.500535,0.471498,0.494808,440392,
2018-08-29,0.494976,0.500674,0.49088,0.493773,434367,
2018-08-30,0.493961,0.496478,0.47968,0.492152,429712,
2018-08-31,0.492408,0.492408,0.481447,0.485977,422122,
2018-09-01,0.488792,0.499648,0.486207,0.493215,435699,
2018-09-02,0.494086,0.501305,0.483867,0.491148,422633,
2018-09-03,0.490225,0.495273,0.467889,0.473578,422041,
2018-09-04,0.471636,0.476336,0.468199,0.472533,426794,
2018-09-05,0.472608,0.474803,0.437485,0.437485,381267,
2018-09-06,0.43779,0.43779,0.424538,0.430508,393332,
2018-09-07,0.430433,0.434623,0.412987,0.427891,416719,
2018-09-08,0.428081,0.43368,0.409824,0.414889,411626,
2018-09-09,0.414531,0.424356,0.410158,0.417571,408396,
2018-09-10,0.417521,0.421289,0.409431,0.411975,403098,
2018-09-11,0.412329,0.416328,0.408053,0.412127,400659,
2018-09-12,0.412145,0.412451,0.402724,0.407788,405629,
2018-09-13,0.40798,0.425693,0.38199,0.424594,356499,
2018-09-14,0.42415,0.435032,0.422541,0.430589,335677,
2018-09-15,0.431652,0.437658,0.428881,0.436573,427257,
2018-09-16,0.434855,0.434855,0.427239,0.433839,429607,
2018-09-17,0.433863,0.435671,0.41599,0.419019,398973,
