Date,Open,High,Low,Close,Volume,Market Cap
2018-01-19,0.330211,0.342784,0.233693,0.317758,2442080,
2018-01-20,0.320231,0.425548,0.315552,0.425548,1860590,
2018-01-21,0.426493,0.426493,0.315457,0.325704,634883,
2018-01-22,0.328042,0.369891,0.250558,0.322244,809609,
2018-01-23,0.308862,0.318921,0.273681,0.300637,411643,
2018-01-24,0.299303,0.319981,0.252078,0.308614,661835,
2018-01-25,0.31177,0.325113,0.239793,0.294402,434689,
2018-01-26,0.294912,0.310751,0.265607,0.309377,309763,
2018-01-27,0.309304,0.329186,0.294484,0.319946,322427,
2018-01-28,0.321938,0.368827,0.306138,0.354144,442516,
2018-01-29,0.353738,0.361392,0.285664,0.29998,465677,
2018-01-30,0.30011,0.328099,0.251282,0.275426,350941,
2018-01-31,0.275811,0.302616,0.234743,0.265435,245001,
2018-02-01,0.265996,0.273516,0.186579,0.24183,356864,
2018-02-02,0.241151,0.241151,0.162616,0.210631,239020,
2018-02-03,0.211502,0.244223,0.184559,0.216105,71318,
2018-02-04,0.216146,0.226326,0.187311,0.191459,57630,
2018-02-05,0.182488,0.194217,0.125582,0.154503,76277,
2018-02-06,0.154883,0.18115,0.123856,0.180103,116069,
2018-02-07,0.178892,0.201396,0.158336,0.164418,100935,
2018-02-08,0.16384,0.183945,0.158733,0.163438,48030,32851038.0
2018-02-09,0.163188,0.179133,0.153621,0.177152,41818,35607552.0
2018-02-10,0.177201,0.204946,0.147777,0.170608,70309,34292208.0
2018-02-11,0.170446,0.170446,0.10882,0.15235,65004,30622350.0
2018-02-12,0.153071,0.171941,0.146098,0.163786,58299,32920986.0
2018-02-13,0.164575,0.165193,0.141557,0.150538,29041,30258138.0
2018-02-14,0.150307,0.170548,0.138371,0.1568,63385,31516800.0
2018-02-15,0.156886,0.168012,0.149992,0.16061,74576,32282610.0
2018-02-16,0.156133,0.163801,0.150816,0.153105,48719,30774105.0
2018-02-17,0.15305,0.173605,0.151228,0.173605,73104,34894605.0
2018-02-18,0.178083,0.18327,0.149667,0.15178,52506,30507780.0
2018-02-19,0.151154,0.156784,0.134883,0.139353,67050,28009953.0
2018-02-20,0.139428,0.152059,0.131548,0.132369,86615,26606169.0
2018-02-21,0.132204,0.139026,0.111458,0.122962,38110,24715362.0
2018-02-22,0.122807,0.134164,0.110801,0.113733,29361,22860333.0
2018-02-23,0.113604,0.119989,0.108975,0.111509,41313,22413309.0
2018-02-24,0.111386,0.115554,0.101632,0.109054,23978,21919854.0
2018-02-25,0.108822,0.118334,0.101356,0.110833,16056,22277433.0
2018-02-26,0.110936,0.120896,0.109975,0.109975,10836,22104975.0
2018-02-27,0.110285,0.158202,0.109109,0.12147,45860,24415470.0
2018-02-28,0.121444,0.123373,0.108634,0.108695,7320,21847695.0
2018-03-01,0.108806,0.118943,0.108184,0.11777,16569,23671770.0
2018-03-02,0.117656,0.118534,0.11054,0.111185,24311,22348185.0
2018-03-03,0.111068,0.118868,0.10656,0.113336,29009,22780536.0
2018-03-04,0.113277,0.115541,0.101885,0.106294,8747,21365094.0
2018-03-05,0.106294,0.111347,0.100819,0.10498,26822,21100980.0
2018-03-06,0.104853,0.104853,0.092304,0.093896,47681,18873176.0
2018-03-07,0.093935,0.09915,0.075126,0.088566,41739,17801706.0
2018-03-08,0.088432,0.095319,0.083809,0.08469,7392,17022791.0
2018-03-09,0.084341,0.099978,0.077168,0.092263,15687,18544803.0
2018-03-10,0.092281,0.094338,0.081501,0.081839,7148,16449539.0
2018-03-11,0.081568,0.092727,0.078398,0.087422,6332,17571902.0
2018-03-12,0.087221,0.092615,0.083168,0.087088,22874,17504648.0
2018-03-13,0.086718,0.087743,0.080448,0.081154,31375,16311894.0
2018-03-14,0.081175,0.086082,0.066017,0.066545,25501,13375565.0
2018-03-15,0.066538,0.074661,0.058873,0.072355,16842,14543355.0
2018-03-16,0.072551,0.073977,0.069362,0.069888,8730,14047428.0
2018-03-17,0.070003,0.072817,0.066762,0.067109,7762,13488909.0
2018-03-18,0.066988,0.066988,0.055401,0.064492,15807,12962892.0
2018-03-19,0.064228,0.067593,0.061742,0.066982,20364,13463282.0
2018-03-20,0.067607,0.067868,0.063332,0.06696,2524,13458980.0
2018-03-21,0.067267,0.069953,0.065044,0.065804,7812,13226624.0
2018-03-22,0.065794,0.069385,0.059117,0.061933,6550,12448513.0
2018-03-23,0.061928,0.06471,0.051338,0.063473,30395,12758033.0
2018-03-24,0.064141,0.065431,0.06307,0.063223,2108,12707763.0
2018-03-25,0.062446,0.063353,0.055758,0.060715,13903,12203635.0
2018-03-26,0.060599,0.094531,0.051073,0.067499,40074,13567379.0
2018-03-27,0.067403,0.073135,0.057059,0.05879,10701,11816750.0
2018-03-28,0.058785,0.066045,0.05842,0.060749,17571,12210529.0
2018-03-29,0.060833,0.061059,0.050575,0.052711,21597,10594991.0
2018-03-30,0.052568,0.058187,0.048529,0.054816,20337,11018096.0
2018-03-31,0.054802,0.057639,0.051663,0.053078,14139,10668638.0
2018-04-01,0.053085,0.055259,0.048586,0.053821,19787,10818041.0
2018-04-02,0.054042,0.059074,0.053567,0.056763,15718,11409423.0
2018-04-03,0.056809,0.061966,0.056526,0.059753,10431,12010333.0
2018-04-04,0.059723,0.061951,0.049647,0.051521,19556,10355741.0
2018-04-05,0.051509,0.052482,0.048206,0.051267,5562,10304587.0
2018-04-06,0.051018,0.054208,0.050186,0.053618,4074,10777138.0
2018-04-07,0.05367,0.056479,0.05016,0.053881,3067,10830081.0
2018-04-08,0.053886,0.057418,0.051391,0.051593,9056,10370153.0
2018-04-09,0.051684,0.057182,0.042396,0.042764,12599,8595604.0
2018-04-10,0.042886,0.050029,0.040202,0.041402,68988,8321742.0
2018-04-11,0.041471,0.052397,0.041471,0.044576,43215,8959816.0
2018-04-12,0.044415,0.054277,0.043202,0.052616,24103,10575776.0
2018-04-13,0.052692,0.060281,0.052692,0.054108,51422,10875628.0
2018-04-14,0.054903,0.056978,0.053212,0.055551,15327,11165791.0
2018-04-15,0.055567,0.060364,0.051746,0.059547,30482,11968867.0
2018-04-16,0.059563,0.062567,0.053909,0.057088,62446,11474768.0
2018-04-17,0.057102,0.057161,0.03962,0.052934,91110,10639734.0
2018-04-18,0.052975,0.055909,0.050239,0.052201,190432,10492321.0
2018-04-19,0.052239,0.057954,0.051896,0.055457,166614,11146757.0
2018-04-20,0.055482,0.061685,0.046354,0.055548,149188,11165128.0
2018-04-21,0.055561,0.056244,0.046121,0.049284,295105,9905984.0
2018-04-22,0.049286,0.049286,0.040939,0.0433,179540,8703320.0
2018-04-23,0.04321,0.052628,0.043175,0.047059,266901,9458839.0
2018-04-24,0.047099,0.048718,0.043988,0.044882,268536,9021383.0
2018-04-25,0.044623,0.051517,0.038469,0.045078,403738,9060698.0
2018-04-26,0.04546,0.050395,0.04162,0.045401,400720,9125621.0
2018-04-27,0.045464,0.04938,0.041564,0.046116,224015,9269396.0
2018-04-28,0.045961,0.056379,0.045757,0.051958,387745,10443558.0
2018-04-29,0.051938,0.055175,0.047541,0.051824,298373,10416684.0
2018-04-30,0.051807,0.05689,0.045862,0.054831,307888,11021051.0
2018-05-01,0.054884,0.054884,0.049158,0.052918,372578,10636598.0
2018-05-02,0.052836,0.059381,0.050164,0.053554,527785,10764434.0
2018-05-03,0.053594,0.056432,0.045312,0.055911,597593,11238111.0
2018-05-04,0.055891,0.055891,0.047343,0.048867,375780,9822247.0
2018-05-05,0.048846,0.05508,0.048767,0.050241,359896,10098501.0
2018-05-06,0.050275,0.054837,0.047848,0.04848,354583,9744460.0
2018-05-07,0.048515,0.0506,0.046617,0.049409,332037,9931129.0
2018-05-08,0.049514,0.050478,0.044757,0.050428,366778,10135988.0
2018-05-09,0.050351,0.055332,0.046809,0.05051,404762,10152490.0
2018-05-10,0.050497,0.050759,0.043779,0.046726,434967,9391986.0
2018-05-11,0.046782,0.046782,0.039429,0.039771,386508,7993911.0
2018-05-12,0.039655,0.045263,0.037731,0.041323,373776,8305883.0
2018-05-13,0.041308,0.049089,0.040857,0.043252,430428,8693672.0
2018-05-14,0.043244,0.045065,0.040449,0.042879,340797,8618699.0
2018-05-15,0.042806,0.050971,0.04068,0.043408,560235,8724968.0
2018-05-16,0.043383,0.0446,0.037243,0.041044,392024,8249784.0
2018-05-17,0.041069,0.041299,0.038011,0.038664,401038,7771464.0
2018-05-18,0.038698,0.039885,0.036648,0.037885,476053,7614986.0
2018-05-19,0.03788,0.039134,0.034961,0.038715,394254,7781635.0
2018-05-20,0.038743,0.04007,0.034009,0.036809,363618,7398669.0
2018-05-21,0.036855,0.039072,0.03177,0.032357,459987,6503817.0
2018-05-22,0.032351,0.040639,0.03053,0.038044,588526,7646864.0
2018-05-23,0.038005,0.038115,0.029245,0.033041,423055,6641181.0
2018-05-24,0.032957,0.034848,0.029699,0.034712,505647,6977052.0
2018-05-25,0.034777,0.039016,0.034044,0.036872,509647,7411332.0
2018-05-26,0.036826,0.039581,0.035395,0.037598,429870,7557218.0
2018-05-27,0.037615,0.037615,0.034224,0.035115,371152,7058135.0
2018-05-28,0.035123,0.038922,0.034899,0.036043,300316,7244543.0
2018-05-29,0.036027,0.041494,0.035324,0.037897,666447,7617237.0
2018-05-30,0.037922,0.047201,0.037034,0.038263,234716,7690763.0
2018-05-31,0.037279,0.044953,0.037097,0.037657,553704,7569077.0
2018-06-01,0.037685,0.038674,0.037087,0.038375,461763,7713415.0
2018-06-02,0.038359,0.03966,0.036365,0.036365,488306,7309365.0
2018-06-03,0.036375,0.038624,0.032097,0.036579,722841,7352299.0
2018-06-04,0.036674,0.03758,0.034767,0.037513,821325,7540033.0
2018-06-05,0.037158,0.037539,0.034407,0.035914,472203,7218714.0
2018-06-06,0.035904,0.036212,0.034275,0.0359,782309,7215800.0
2018-06-07,0.035932,0.036355,0.032536,0.035406,467054,7116606.0
2018-06-08,0.035433,0.038354,0.032513,0.033384,667446,6710244.0
2018-06-09,0.03337,0.03908,0.03336,0.03563,515768,7161550.0
2018-06-10,0.035675,0.035675,0.031052,0.033508,496091,6735028.0
2018-06-11,0.033556,0.033768,0.030036,0.032887,497460,6610187.0
2018-06-12,0.032869,0.033695,0.030294,0.031674,418152,6366434.0
2018-06-13,0.031756,0.032723,0.029569,0.031044,466715,6239764.0
2018-06-14,0.03103,0.033452,0.03037,0.032897,493721,6612197.0
2018-06-15,0.032843,0.03292,0.031034,0.031295,400982,6290375.0
2018-06-16,0.031181,0.032435,0.030651,0.031437,415892,6318917.0
2018-06-17,0.031521,0.032704,0.031016,0.031119,418517,6254959.0
2018-06-18,0.031013,0.034533,0.030077,0.034082,456141,6850583.0
2018-06-19,0.034064,0.03495,0.0323,0.032439,456490,6520159.0
2018-06-20,0.032459,0.035609,0.031649,0.033294,448087,6692014.0
2018-06-21,0.0333,0.033923,0.032442,0.032509,442955,6534410.0
2018-06-22,0.032474,0.033066,0.028159,0.028555,369363,5739535.0
2018-06-23,0.028559,0.029989,0.027463,0.029652,382243,5959972.0
2018-06-24,0.029647,0.030233,0.026894,0.029669,407602,5963429.0
2018-06-25,0.029611,0.030002,0.02786,0.029114,403266,5851874.0
2018-06-26,0.029114,0.030303,0.028338,0.028376,347823,5703476.0
2018-06-27,0.028364,0.029447,0.027815,0.028887,312996,5806327.0
2018-06-28,0.028898,0.031479,0.028177,0.028337,256356,5695737.0
2018-06-29,0.028355,0.029168,0.026849,0.028858,292397,5800559.0
2018-06-30,0.028897,0.03038,0.028457,0.028983,279454,5825543.0
2018-07-01,0.028989,0.029152,0.025541,0.027361,286230,5499601.0
2018-07-02,0.027364,0.029197,0.026794,0.026946,305547,5416066.0
2018-07-03,0.026823,0.029712,0.02661,0.028554,286334,5739354.0
2018-07-04,0.028543,0.02956,0.028033,0.028281,302654,5684561.0
2018-07-05,0.028342,0.029416,0.027215,0.028143,293801,5656823.0
2018-07-06,0.028139,0.029154,0.027465,0.02883,227886,5794890.0
2018-07-07,0.028782,0.029748,0.02843,0.029462,246817,5921922.0
2018-07-08,0.029429,0.030613,0.029276,0.029932,235012,6016332.0
2018-07-09,0.029925,0.030529,0.028925,0.029355,208357,5900395.0
2018-07-10,0.029335,0.029777,0.027113,0.027124,200908,5451904.0
2018-07-11,0.027125,0.028995,0.026062,0.028068,208828,5641769.0
2018-07-12,0.028062,0.028165,0.026855,0.027965,197342,5620965.0
2018-07-13,0.027993,0.028102,0.025679,0.026346,190338,5295526.0
2018-07-14,0.026273,0.027598,0.02489,0.02489,195938,5002810.0
2018-07-15,0.024883,0.025919,0.024836,0.02575,205725,5175810.0
2018-07-16,0.025779,0.026861,0.025469,0.026327,194611,5291747.0
2018-07-17,0.026262,0.027332,0.023563,0.025371,278732,5099571.0
2018-07-18,0.02536,0.026064,0.021872,0.022803,136823,4583363.0
2018-07-19,0.022792,0.026688,0.019838,0.025374,207561,5100214.0
2018-07-20,0.025393,0.025653,0.02177,0.021844,258826,4390584.0
2018-07-21,0.02184,0.02492,0.019513,0.022589,221729,4540289.0
2018-07-22,0.022582,0.02316,0.021061,0.023123,186057,4647683.0
2018-07-23,0.023096,0.027013,0.023038,0.023387,187831,4700888.0
2018-07-24,0.023421,0.033462,0.022853,0.024077,219332,4839437.0
2018-07-25,0.023637,0.02478,0.022706,0.024411,198957,4906551.0
2018-07-26,0.023683,0.02625,0.023232,0.0237,181395,4763680.0
2018-07-27,0.023687,0.024139,0.0228,0.023807,199149,4785167.0
2018-07-28,0.023856,0.024714,0.020917,0.021785,231437,4378805.0
2018-07-29,0.021872,0.022429,0.020597,0.021845,277482,4390805.0
2018-07-30,0.021857,0.025101,0.021549,0.02351,284019,4725510.0
2018-07-31,0.023466,0.023904,0.018277,0.01962,290778,3943680.0
2018-08-01,0.019637,0.025869,0.018018,0.025546,280347,5134847.0
2018-08-02,0.02556,0.026909,0.023739,0.025263,288925,5077863.0
2018-08-03,0.025261,0.025261,0.021852,0.023196,248028,4662497.0
2018-08-04,0.023229,0.023887,0.021814,0.022573,230225,4537113.0
2018-08-05,0.022583,0.025622,0.02226,0.025062,244110,5037462.0
2018-08-06,0.025092,0.02542,0.022134,0.022154,273344,4452914.0
2018-08-07,0.022145,0.02503,0.021131,0.022706,269942,4563866.0
2018-08-08,0.022731,0.022731,0.019131,0.019435,259781,3906375.0
2018-08-09,0.019479,0.020701,0.019317,0.020184,250282,4057024.0
2018-08-10,0.020163,0.020257,0.016939,0.017144,259447,3445924.0
