Date,Open,High,Low,Close,Volume,Market Cap
2018-01-15,0.4998,0.68527,0.495439,0.518874,34763400,
2018-01-16,0.516724,0.558982,0.288504,0.507971,44173800,
2018-01-17,0.494843,0.528884,0.378159,0.516605,27514200,
2018-01-18,0.518516,0.632063,0.495118,0.624355,32763900,93653250.0
2018-01-19,0.621885,0.73504,0.578251,0.73105,29183500,109657500.0
2018-01-20,0.729868,1.07,0.713275,1.03,57177600,154758000.0
2018-01-21,1.03,1.03,0.699382,0.815784,34346200,122367600.0
2018-01-22,0.808085,0.870385,0.650708,0.783364,22828100,117504600.0
2018-01-23,0.78415,0.802684,0.677008,0.767402,20043800,115110300.0
2018-01-24,0.764268,0.770597,0.635104,0.688635,22435700,103295250.0
2018-01-25,0.697954,0.760265,0.618898,0.630954,17603000,94643100.0
2018-01-26,0.634538,0.806054,0.611783,0.776532,20776000,116479800.0
2018-01-27,0.775317,0.81593,0.744743,0.801701,10599700,120255150.0
2018-01-28,0.805616,0.808582,0.726168,0.760695,11007500,114104250.0
2018-01-29,0.760015,0.773678,0.664773,0.702842,10273400,105426300.0
2018-01-30,0.70232,0.709911,0.560359,0.639592,10669300,95938800.0
2018-01-31,0.644033,0.652188,0.564514,0.637294,7547510,95594100.0
2018-02-01,0.637547,0.693024,0.447612,0.493917,12051300,74087550.0
2018-02-02,0.4867,0.487482,0.342618,0.464035,13379200,69605250.0
2018-02-03,0.465068,0.499811,0.392558,0.446832,4102890,67024800.0
2018-02-04,0.447386,0.4682,0.347465,0.369705,4432950,55455750.0
2018-02-05,0.368414,0.375701,0.212883,0.270095,8416700,40514250.0
2018-02-06,0.2671,0.350974,0.185504,0.345873,12523500,51880950.0
2018-02-07,0.340881,0.4111,0.318008,0.343827,6709920,51574050.0
2018-02-08,0.343247,0.394279,0.343247,0.350341,2870500,52551150.0
2018-02-09,0.353762,0.381523,0.327601,0.371503,2612570,55725450.0
2018-02-10,0.371628,0.379946,0.319771,0.344676,2561970,51701400.0
2018-02-11,0.344374,0.344964,0.300336,0.306811,2432140,46021650.0
2018-02-12,0.309212,0.341192,0.309212,0.326065,1668020,48909750.0
2018-02-13,0.32578,0.334738,0.308356,0.312906,1358820,46935900.0
2018-02-14,0.31412,0.372041,0.30823,0.358911,1959050,53836650.0
2018-02-15,0.359057,0.409967,0.353651,0.409619,2836180,61442850.0
2018-02-16,0.408696,0.408696,0.379749,0.395004,1409010,59250600.0
2018-02-17,0.395005,0.411931,0.384595,0.407852,1194650,61177800.0
2018-02-18,0.408696,0.419921,0.369398,0.37443,1718540,56164500.0
2018-02-19,0.372915,0.385261,0.349979,0.356934,1712670,53540100.0
2018-02-20,0.361575,0.368532,0.295412,0.295412,2745180,44311800.0
2018-02-21,0.299845,0.325654,0.278002,0.296356,1366660,44453400.0
2018-02-22,0.296061,0.322051,0.242585,0.242585,2129470,36387750.0
2018-02-23,0.236581,0.284131,0.233256,0.262133,1457410,39319950.0
2018-02-24,0.262062,0.269727,0.240051,0.247266,1329690,37089900.0
2018-02-25,0.246955,0.265726,0.239475,0.246308,944070,36946200.0
2018-02-26,0.246437,0.263066,0.233689,0.253656,1093050,38048400.0
2018-02-27,0.2545,0.263598,0.249825,0.2559,1836780,38385000.0
