Date,Open,High,Low,Close,Volume,Market Cap
2017-10-07,1.74,3.88,1.21,3.16,294867,1990555
2017-10-08,3.15,3.31,1.4,1.79,118846,1125175
2017-10-09,1.79,2.55,1.67,1.86,33085,1171659
2017-10-10,1.87,2.1,1.31,1.54,28363,970638
2017-10-11,1.55,1.86,1.31,1.85,28461,1165571
2017-10-12,1.85,2.96,1.63,2.5,55908,1576637
2017-10-13,2.51,2.73,1.87,1.92,32213,1210116
2017-10-14,1.92,2.62,1.77,2.03,22968,1280034
2017-10-15,2.04,3.47,1.97,2.13,29776,1341440
2017-10-16,2.13,2.29,1.84,2.25,26658,1419077
2017-10-17,2.25,2.39,1.79,2.16,36474,1359283
2017-10-18,2.16,3.04,1.91,2.21,36158,1389680
2017-10-19,2.21,4.24,2.19,3.55,98774,2232180
2017-10-20,3.64,3.64,2.17,2.56,42894,1609351
2017-10-21,2.55,2.55,2.14,2.25,5480,1416804
2017-10-22,2.25,2.43,1.88,2.07,13503,1302486
2017-10-23,2.07,2.59,1.83,2.4,10967,1513191
2017-10-24,2.4,2.69,2.2,2.38,8856,1497224
2017-10-25,2.38,3.04,1.89,2.86,24385,1800148
2017-10-26,2.86,2.86,1.82,2.24,23146,1408676
2017-10-27,2.24,2.28,1.91,2.12,3720,1334275
2017-10-28,2.12,2.24,1.84,1.85,9900,1163821
2017-10-29,1.85,2.15,1.84,1.84,13255,1160427
2017-10-30,1.83,3.26,1.25,2.36,205643,1486728
2017-10-31,2.35,2.62,2.11,2.14,36440,1345022
2017-11-01,2.13,2.57,1.94,1.95,22227,1227820
2017-11-02,1.95,2.14,1.69,1.83,19104,1150907
2017-11-03,1.83,2.14,1.47,1.98,11450,1249712
2017-11-04,1.98,2.59,1.69,2.28,48324,1438538
2017-11-05,2.28,2.78,2.28,2.42,25241,1520904
2017-11-06,2.42,2.56,2.23,2.37,9682,1493686
2017-11-07,2.37,2.99,1.78,2.14,27384,1349455
2017-11-08,2.14,3.54,2.13,3.54,26688,2231229
2017-11-09,3.54,3.54,2.41,2.66,4328,1675592
2017-11-10,2.67,2.74,2.05,2.3,4511,1449248
2017-11-11,2.29,2.37,2.0,2.25,1785,1413694
2017-11-12,2.24,2.54,1.5,2.08,11372,1306729
2017-11-13,2.08,2.36,1.91,2.15,5561,1354913
2017-11-14,2.35,2.42,1.84,2.24,18115,1409463
2017-11-15,2.24,2.34,1.98,2.01,4156,1268178
2017-11-16,2.02,2.44,1.74,1.81,7495,1138876
2017-11-17,1.81,2.37,1.81,2.22,4192,1395832
2017-11-18,2.26,2.5,1.94,2.46,3259,1549979
2017-11-19,2.46,2.74,2.31,2.54,16853,1599995
2017-11-20,2.54,2.73,2.08,2.35,24342,1480262
2017-11-21,2.35,2.42,2.08,2.11,7812,1326675
2017-11-22,2.11,2.41,1.83,1.83,14989,1151373
2017-11-23,1.83,2.3,1.83,2.03,6589,1280110
2017-11-24,2.03,2.37,1.85,2.23,18631,1406787
2017-11-25,2.23,2.36,2.03,2.22,6780,1396720
2017-11-26,2.22,2.48,1.9,2.37,26163,1491469
2017-11-27,2.37,2.52,1.92,1.97,16168,1241307
2017-11-28,1.98,2.22,1.73,2.07,8248,1300232
2017-11-29,2.06,2.39,1.7,1.75,9561,1104467
2017-11-30,1.78,2.48,1.77,2.45,13743,1541977
2017-12-01,2.44,2.74,1.59,2.3,29037,1450828
2017-12-02,2.3,2.98,2.3,2.93,29720,1847696
2017-12-03,2.94,3.24,2.56,3.14,10228,1977484
2017-12-04,3.15,6.24,3.14,5.28,77849,3327486
2017-12-05,5.29,6.33,4.51,5.71,63660,3597199
2017-12-06,5.7,7.3,5.49,6.55,30413,4123042
2017-12-07,6.57,6.98,3.93,5.08,36590,3199317
2017-12-08,5.07,5.65,4.05,5.58,10277,3511188
2017-12-09,5.57,6.37,4.15,4.94,8605,3108099
2017-12-10,4.96,6.64,4.12,6.41,7368,4034582
2017-12-11,6.37,6.99,5.54,5.72,12840,3600510
2017-12-12,5.72,6.61,5.33,5.69,13804,3583612
2017-12-13,5.7,6.55,4.82,5.03,9247,3167490
2017-12-14,5.02,5.67,4.79,5.32,13973,3350813
