Date,Open,High,Low,Close,Volume,Market Cap
2015-07-07,0.000296,0.000308,0.000294,0.000303,38.0,
2015-07-08,0.000303,0.000407,0.000293,0.00033,72.0,
2015-07-09,0.00033,0.000406,0.000321,0.000401,8.0,
2015-07-10,0.000401,0.000583,0.000324,0.00035,27.0,
2015-07-11,0.00035,0.000588,0.000347,0.000577,9.0,
2015-07-12,0.000577,0.000596,0.000375,0.000398,10.0,
2015-07-13,0.000398,0.000515,0.000306,0.000514,18.0,
2015-07-14,0.000514,0.000519,0.0003,0.000506,7.0,
2015-07-15,0.000302,0.000499,0.000302,0.000346,3.0,
2015-07-16,0.000346,0.000387,0.000272,0.000275,9.0,
2015-07-17,0.000275,0.00039,0.000268,0.000388,5.0,
2015-07-18,0.000388,0.000393,0.00028,0.00028,3.0,
2015-07-19,0.00028,0.000385,0.000278,0.000279,4.0,
2015-07-20,0.000279,0.000393,0.000278,0.000393,6.0,
2015-07-21,0.000393,0.000398,0.000295,0.000392,7.0,
2015-07-22,0.000391,0.000397,0.000295,0.000297,3.0,
2015-07-23,0.000297,0.00042,0.000297,0.00042,10.0,
2015-07-24,0.00042,0.000434,0.000308,0.000308,11.0,
2015-07-25,0.000308,0.000445,0.000306,0.000442,4.0,
2015-07-26,0.000442,0.000445,0.000314,0.000322,3.0,
2015-07-27,0.000322,0.000444,0.000314,0.000438,4.0,
2015-07-28,0.000438,0.000442,0.000329,0.000406,8.0,
2015-07-29,0.000406,0.000431,0.000362,0.000405,2.0,
2015-07-30,0.000405,0.000428,0.000401,0.000403,3.0,
2015-07-31,0.000403,0.000409,0.000317,0.000322,10.0,
2015-08-01,0.000322,0.000403,0.000319,0.000321,4.0,
2015-08-02,0.00032,0.000395,0.000311,0.000317,15.0,
2015-08-03,0.000317,0.000393,0.000314,0.000388,3.0,
2015-08-04,0.000337,0.000386,0.000337,0.000385,8.0,
2015-08-05,0.000385,0.000385,0.000316,0.000316,21.0,
2015-08-06,0.000316,0.000375,0.000315,0.000337,6.0,
2015-08-07,0.000337,0.000367,0.000334,0.000338,5.0,
2015-08-08,0.000338,0.000339,0.000315,0.000316,3.0,
2015-08-09,0.000316,0.00034,0.000308,0.000339,2.0,
2015-08-10,0.00034,0.000342,0.000307,0.000331,0.0,
2015-08-11,0.00033,0.000332,0.000307,0.000327,3.0,
2015-08-12,0.000327,0.000359,0.000319,0.000322,8.0,
2015-08-13,0.000322,0.000353,0.000318,0.000351,2.0,
2015-08-14,0.000351,0.000492,0.000348,0.000377,58.0,
2015-08-15,0.000377,0.00047,0.000377,0.000466,5.0,
2015-08-16,0.000466,0.000467,0.000368,0.00045,2.0,
2015-08-17,0.00045,0.000465,0.000448,0.000464,1.0,
2015-08-18,0.000464,0.000464,0.000378,0.000378,1.0,
2015-08-19,0.000404,0.000425,0.000319,0.000324,4.0,
2015-08-20,0.000324,0.000444,0.000324,0.000337,14.0,
2015-08-21,0.000337,0.000437,0.000333,0.000433,3.0,
2015-08-22,0.000433,0.000437,0.000336,0.000336,4.0,
2015-08-23,0.000336,0.000437,0.000332,0.000335,3.0,
