Date,Open,High,Low,Close,Volume,Market Cap
2016-08-12,0.005878,0.005893,0.005832,0.005876,34,
2016-08-13,0.005874,0.011279,0.00585,0.008784,299,
2016-08-14,0.008714,0.010452,0.006257,0.006281,27,
2016-08-15,0.006281,0.008594,0.006196,0.00624,52,5923.0
2016-08-16,0.00624,0.008399,0.006234,0.008356,45,8042.0
2016-08-17,0.00836,0.00962,0.006719,0.008558,124,8339.0
2016-08-18,0.008565,0.00858,0.006997,0.007575,64,7478.0
2016-08-19,0.007576,0.009215,0.007471,0.008922,87,8922.0
2016-08-20,0.008929,0.009267,0.008205,0.008551,18,8652.0
2016-08-21,0.008554,0.009767,0.008327,0.009121,67,9334.0
2016-08-22,0.009121,0.009535,0.007927,0.007927,99,8213.0
2016-08-23,0.007927,0.008832,0.007573,0.007596,42,7967.0
2016-08-24,0.007596,0.008649,0.007546,0.007711,35,8159.0
2016-08-25,0.007711,0.00806,0.005772,0.005783,107,6200.0
2016-08-26,0.005783,0.007543,0.003917,0.007535,130,8173.0
2016-08-27,0.007533,0.007538,0.005698,0.005705,22,6257.0
2016-08-28,0.005704,0.008524,0.005703,0.005739,62,6360.0
2016-08-29,0.005741,0.00801,0.005735,0.005741,35,6433.0
2016-08-30,0.005741,0.006405,0.005204,0.005215,19,5903.0
2016-08-31,0.005216,0.006906,0.005179,0.006906,89,7909.0
2016-09-01,0.006907,0.006916,0.005724,0.005729,22,6621.0
2016-09-02,0.00573,0.008955,0.005714,0.005819,107,6799.0
2016-09-03,0.005819,0.010815,0.005816,0.007065,330,8337.0
2016-09-04,0.007069,0.009442,0.007054,0.007304,49,8716.0
2016-09-05,0.007308,0.01141,0.007169,0.007285,125,8775.0
2016-09-06,0.007284,0.0094,0.006251,0.006257,128,7610.0
2016-09-07,0.006258,0.0117,0.006228,0.007676,571,9425.0
2016-09-08,0.007676,0.011878,0.007667,0.008173,264,10147.0
2016-09-09,0.008174,0.011596,0.008094,0.011585,388,14513.0
2016-09-10,0.011586,0.012463,0.009025,0.009664,301,12223.0
2016-09-11,0.009663,0.010061,0.009383,0.009708,28,12402.0
2016-09-12,0.009712,0.011429,0.00884,0.008868,41,11440.0
2016-09-13,0.008868,0.012183,0.008861,0.010857,460,14131.0
2016-09-14,0.01085,0.012187,0.010661,0.010913,107,14324.0
2016-09-15,0.010911,0.012046,0.00891,0.010506,383,13926.0
2016-09-16,0.010505,0.010644,0.009373,0.010561,62,14119.0
2016-09-17,0.010566,0.0108,0.009549,0.01072,109,14509.0
2016-09-18,0.010725,0.010737,0.008603,0.010252,304,13931.0
2016-09-19,0.010368,0.010386,0.009204,0.009985,32,13673.0
