Date,Open,High,Low,Close,Volume,Market Cap
2018-01-12,0.29744,0.298555,0.264058,0.297152,6821280,
2018-01-13,0.297175,0.318003,0.265331,0.290608,8515460,
2018-01-14,0.291581,0.317003,0.199441,0.240212,7530270,
2018-01-15,0.239566,0.264481,0.21356,0.244876,5880790,
2018-01-16,0.246517,0.246517,0.138789,0.16327,5951190,
2018-01-17,0.163068,0.165869,0.108422,0.146836,3741140,
2018-01-18,0.144162,0.189671,0.144162,0.172686,4565040,
2018-01-19,0.171881,0.212081,0.153316,0.19988,3518840,
2018-01-20,0.200807,0.236564,0.194674,0.207478,4809430,
2018-01-21,0.206796,0.206796,0.136481,0.151828,10202800,
2018-01-22,0.154308,0.164823,0.132793,0.141338,3022550,
2018-01-23,0.144049,0.152975,0.133019,0.142067,2990560,
2018-01-24,0.142038,0.190499,0.138575,0.178954,5730680,
2018-01-25,0.180126,0.219567,0.180126,0.201272,6419940,
2018-01-26,0.197934,0.223662,0.163329,0.211628,6622190,
2018-01-27,0.211729,0.2262,0.203044,0.216446,3278600,
2018-01-28,0.217018,0.227837,0.202685,0.217878,2986130,
2018-01-29,0.217835,0.224193,0.193164,0.205561,2120060,
2018-01-30,0.205601,0.209772,0.173442,0.179886,3124410,
2018-01-31,0.17988,0.185723,0.166571,0.182031,2026900,
2018-02-01,0.182359,0.193748,0.15496,0.167046,3178050,
2018-02-02,0.166834,0.171877,0.14267,0.168958,4146660,
2018-02-03,0.172006,0.208114,0.156701,0.2019,4140330,
2018-02-04,0.202129,0.203925,0.169775,0.178627,2146640,
2018-02-05,0.17324,0.190856,0.152733,0.161447,2344010,
2018-02-06,0.157854,0.176411,0.128792,0.172582,3934550,
2018-02-07,0.172252,0.187778,0.162352,0.162352,1358900,
2018-02-08,0.16226,0.190055,0.16226,0.189553,1765930,
2018-02-09,0.189724,0.199364,0.166784,0.191852,2166340,
2018-02-10,0.19189,0.202806,0.180051,0.187289,1668210,
2018-02-11,0.187428,0.188684,0.165682,0.176682,2074340,
2018-02-12,0.176647,0.187161,0.173924,0.178584,1567750,
2018-02-13,0.179572,0.189006,0.17387,0.187396,1479900,
2018-02-14,0.187258,0.191607,0.180234,0.190284,1435020,
2018-02-15,0.191606,0.198667,0.183775,0.19717,1271720,
2018-02-16,0.196914,0.201199,0.188716,0.200513,690037,
2018-02-17,0.200511,0.216152,0.195357,0.213915,1186950,
2018-02-18,0.214781,0.222433,0.189729,0.195723,1231390,
2018-02-19,0.19544,0.204445,0.190891,0.198954,482400,
2018-02-20,0.198862,0.203473,0.167899,0.180878,1343540,
2018-02-21,0.182135,0.18324,0.17012,0.176125,669891,
2018-02-22,0.176059,0.180967,0.16874,0.171497,490968,
2018-02-23,0.171419,0.178473,0.166689,0.171408,601785,
2018-02-24,0.171353,0.175876,0.161855,0.167244,593193,
2018-02-25,0.167079,0.168137,0.152627,0.159314,743414,
2018-02-26,0.15859,0.17515,0.155839,0.163707,942974,
2018-02-27,0.163948,0.171276,0.15459,0.164768,1194920,
2018-02-28,0.165834,0.173841,0.156016,0.158006,620287,
2018-03-01,0.158087,0.164158,0.155795,0.162993,501178,
2018-03-02,0.162848,0.163312,0.150487,0.153023,604137,
2018-03-03,0.153012,0.1566,0.150337,0.15252,310544,
2018-03-04,0.152401,0.158127,0.149539,0.152398,497322,
2018-03-05,0.152381,0.156339,0.15028,0.152653,272637,
2018-03-06,0.152554,0.156352,0.13393,0.134082,817561,
2018-03-07,0.134056,0.14009,0.101012,0.110184,1500140,
2018-03-08,0.109357,0.123765,0.089731,0.089909,1084550,
2018-03-09,0.089656,0.094424,0.080118,0.09395,718990,
2018-03-10,0.093965,0.099784,0.091871,0.092154,184002,
2018-03-11,0.092058,0.101827,0.088398,0.101827,120644,
2018-03-12,0.101826,0.103033,0.092584,0.094866,226870,
2018-03-13,0.094696,0.09977,0.092454,0.096207,208214,
2018-03-14,0.09622,0.099258,0.087628,0.090561,292253,
2018-03-15,0.090544,0.090651,0.08057,0.084062,508434,
2018-03-16,0.084038,0.090415,0.081894,0.085063,180375,
2018-03-17,0.085027,0.085291,0.078401,0.079642,241151,
2018-03-18,0.079546,0.079546,0.060148,0.071885,498535,
2018-03-19,0.0718,0.084963,0.065964,0.078516,261298,
2018-03-20,0.080112,0.086188,0.076548,0.085187,320114,
2018-03-21,0.084655,0.097243,0.078417,0.085581,687729,
2018-03-22,0.085532,0.093543,0.082519,0.088625,382468,
2018-03-23,0.088611,0.090541,0.080371,0.089277,454265,
2018-03-24,0.089549,0.09348,0.0874,0.089695,1056310,
2018-03-25,0.08895,0.091041,0.084059,0.086333,1109580,
2018-03-26,0.085988,0.086645,0.078683,0.081307,473967,
2018-03-27,0.081262,0.081813,0.076355,0.076893,1069090,
2018-03-28,0.07703,0.085128,0.075921,0.084251,834954,
2018-03-29,0.083361,0.084388,0.071393,0.072165,667166,
2018-03-30,0.071836,0.077318,0.0688,0.071002,364268,
2018-03-31,0.070991,0.077227,0.070991,0.0734,902791,
2018-04-01,0.07357,0.074671,0.067421,0.07149,424666,
2018-04-02,0.071633,0.074317,0.067638,0.071064,634807,
2018-04-03,0.071314,0.078895,0.070539,0.078825,590808,
2018-04-04,0.07884,0.079116,0.070873,0.07172,866552,
2018-04-05,0.071703,0.07245,0.068956,0.07005,329951,
2018-04-06,0.069072,0.069804,0.061995,0.065295,779318,
2018-04-07,0.065311,0.070919,0.06526,0.069904,826352,
2018-04-08,0.069917,0.072628,0.06739,0.067947,528705,
2018-04-09,0.068038,0.071335,0.062202,0.064542,821612,
2018-04-10,0.064568,0.064876,0.062263,0.06367,467023,
2018-04-11,0.063705,0.067055,0.063705,0.066392,1159000,
2018-04-12,0.066055,0.07724,0.065462,0.073585,1371580,
2018-04-13,0.073691,0.087563,0.071365,0.086558,1839250,
2018-04-14,0.08669,0.088746,0.08031,0.082177,907866,
2018-04-15,0.082231,0.087699,0.082149,0.085147,1273750,
2018-04-16,0.085307,0.085337,0.076945,0.080357,546938,
2018-04-17,0.080363,0.086316,0.078114,0.083362,797605,
2018-04-18,0.083484,0.100073,0.082822,0.09701,2407240,
2018-04-19,0.096959,0.129755,0.096946,0.129755,4880820,
2018-04-20,0.13022,0.156306,0.13022,0.145733,8796570,
2018-04-21,0.146788,0.150124,0.117452,0.125434,17287300,
2018-04-22,0.126284,0.145414,0.124053,0.135956,12080900,
2018-04-23,0.133665,0.139945,0.127611,0.135174,7583940,
2018-04-24,0.13558,0.142437,0.133857,0.14104,7577390,
2018-04-25,0.140633,0.14198,0.107495,0.110102,7190940,
2018-04-26,0.110473,0.128899,0.105867,0.128899,6544180,
2018-04-27,0.130144,0.138695,0.124983,0.129113,6880000,
2018-04-28,0.128782,0.154967,0.128581,0.148282,8823890,
2018-04-29,0.148357,0.166855,0.139044,0.156759,10952600,
2018-04-30,0.156601,0.156601,0.141849,0.144599,8642570,
2018-05-01,0.144484,0.144484,0.132221,0.137606,6461000,
2018-05-02,0.137658,0.149025,0.137267,0.146501,6235070,
2018-05-03,0.146555,0.195811,0.142426,0.162333,12605400,
2018-05-04,0.162321,0.17318,0.159549,0.168304,9253860,
2018-05-05,0.168145,0.174851,0.160913,0.169686,9881490,
2018-05-06,0.169859,0.178239,0.153737,0.158385,9921410,
2018-05-07,0.157913,0.160375,0.144577,0.153608,9126260,
2018-05-08,0.153929,0.168186,0.153929,0.162709,9047740,
2018-05-09,0.162204,0.173788,0.151703,0.163459,9632850,
2018-05-10,0.161805,0.181624,0.161805,0.167178,9910160,
2018-05-11,0.167116,0.176946,0.145348,0.149,11092000,
2018-05-12,0.149987,0.154641,0.123366,0.139988,9885900,
2018-05-13,0.140042,0.151106,0.13703,0.148116,7862740,
2018-05-14,0.148732,0.156835,0.144954,0.155536,8563300,
2018-05-15,0.155311,0.164223,0.152277,0.154569,8224520,
2018-05-16,0.154377,0.154878,0.148277,0.153297,7952730,
2018-05-17,0.1538,0.156202,0.141412,0.144396,7704590,
2018-05-18,0.144942,0.156733,0.137373,0.151123,10053900,
2018-05-19,0.150702,0.156727,0.148282,0.153441,8871830,
2018-05-20,0.153645,0.180902,0.153218,0.172493,11018400,
2018-05-21,0.17315,0.181525,0.151014,0.159951,12385700,
2018-05-22,0.157564,0.159122,0.144789,0.145426,8314790,
2018-05-23,0.145518,0.145824,0.11039,0.11705,7988970,
2018-05-24,0.117011,0.127578,0.112603,0.12533,7426860,
2018-05-25,0.125273,0.12751,0.117674,0.119628,6214310,
2018-05-26,0.119906,0.128326,0.118707,0.120947,6255470,
2018-05-27,0.120977,0.125659,0.116996,0.124285,6279750,
2018-05-28,0.124693,0.126197,0.114938,0.11602,6190850,
2018-05-29,0.116243,0.126673,0.115908,0.124216,6565960,
2018-05-30,0.124408,0.126461,0.119896,0.123419,6244320,
2018-05-31,0.122891,0.139495,0.12189,0.132565,6476350,
2018-06-01,0.132506,0.133972,0.122342,0.126692,6460330,
2018-06-02,0.126763,0.134272,0.12531,0.130178,6453410,
2018-06-03,0.130324,0.132404,0.12674,0.128562,5343330,
2018-06-04,0.128614,0.12974,0.118297,0.121268,5689150,
2018-06-05,0.120009,0.123476,0.111839,0.121695,6896880,
2018-06-06,0.121776,0.122534,0.118216,0.119797,6036090,
2018-06-07,0.119882,0.122853,0.118887,0.119896,5885000,
2018-06-08,0.119823,0.125461,0.118292,0.120548,6449530,
2018-06-09,0.120816,0.121012,0.111469,0.112049,7351020,
2018-06-10,0.111722,0.113345,0.084485,0.093922,7339640,
2018-06-11,0.09363,0.101121,0.087452,0.100385,5140790,
2018-06-12,0.099988,0.100428,0.085383,0.086448,4635230,
2018-06-13,0.086448,0.089075,0.077252,0.081546,4851330,
2018-06-14,0.081841,0.084899,0.080355,0.084899,4060610,
2018-06-15,0.084597,0.085821,0.081203,0.083572,3819550,
2018-06-16,0.083288,0.083783,0.080705,0.083269,3800080,
2018-06-17,0.083523,0.08512,0.081978,0.082372,3780810,
2018-06-18,0.082648,0.086026,0.082334,0.085525,3678990,
2018-06-19,0.085273,0.099111,0.085172,0.090368,4824820,
2018-06-20,0.090111,0.090384,0.082519,0.086709,4368260,
2018-06-21,0.086769,0.089282,0.083147,0.08358,3959940,
2018-06-22,0.083732,0.087581,0.072387,0.077581,4785460,
