Date,Open,High,Low,Close,Volume,Market Cap
2017-10-04,0.27838,0.894248,0.248221,0.248221,29279,79713141
2017-10-05,0.24821,0.264685,0.164836,0.193574,37375,62163925
2017-10-06,0.19104,0.263618,0.137081,0.219387,91866,70453455
2017-10-07,0.238483,0.247991,0.078742,0.078742,320679,25287128
2017-10-08,0.078507,0.112118,0.078303,0.090208,125518,28969326
2017-10-09,0.090219,0.11344,0.080634,0.09149,99534,29380735
2017-10-10,0.089071,0.091725,0.080758,0.086758,66911,27861207
2017-10-11,0.084652,0.094137,0.081557,0.090818,128801,29164963
2017-10-12,0.090828,0.092645,0.080205,0.086527,80933,27787025
2017-10-13,0.086379,0.102291,0.080428,0.099199,96528,31856675
2017-10-14,0.099289,0.186564,0.087715,0.186481,169065,59886095
2017-10-15,0.186742,0.201174,0.073064,0.088545,940520,28435016
2017-10-16,0.088561,0.090762,0.072223,0.073515,266298,23608412
2017-10-17,0.074377,0.074377,0.065523,0.06633,223218,21301165
2017-10-18,0.066277,0.081987,0.058146,0.063249,221095,20311772
2017-10-19,0.063143,0.066854,0.058292,0.062578,288788,20096032
2017-10-20,0.062633,0.06428,0.05751,0.058729,283333,18860197
2017-10-21,0.058697,0.065221,0.052,0.06341,267505,20363507
2017-10-22,0.063461,0.074861,0.05617,0.060283,313257,19359149
2017-10-23,0.060226,0.060329,0.047613,0.050499,219922,16217265
2017-10-24,0.050687,0.063079,0.04913,0.054193,201816,17403420
2017-10-25,0.054099,0.055195,0.051184,0.053917,171496,17314818
2017-10-26,0.05386,0.054439,0.047845,0.053136,218392,17064041
2017-10-27,0.053241,0.054057,0.04884,0.050163,139577,16109235
2017-10-28,0.050252,0.050835,0.047409,0.047409,157179,15224917
2017-10-29,0.047627,0.05054,0.043144,0.045754,203041,14693402
2017-10-30,0.045447,0.046383,0.040551,0.044621,208272,14329617
2017-10-31,0.044112,0.047627,0.040259,0.040919,203432,13140765
2017-11-01,0.040865,0.043251,0.036253,0.038692,289363,12425527
2017-11-02,0.038762,0.039085,0.02502,0.032345,240389,10387169
2017-11-03,0.032425,0.035763,0.029934,0.034472,265287,11070165
2017-11-04,0.03457,0.034949,0.031914,0.032765,242671,10522144
2017-11-05,0.032632,0.033822,0.030711,0.031577,188850,10140600
2017-11-06,0.031628,0.032671,0.030444,0.030581,299098,9820618
2017-11-07,0.030581,0.032481,0.029653,0.030522,338374,9801607
2017-11-08,0.030435,0.031928,0.026972,0.030441,343560,9775691
2017-11-09,0.029678,0.032587,0.029281,0.030885,332586,9918373
2017-11-10,0.030956,0.049052,0.030956,0.038883,528880,12486672
2017-11-11,0.038936,0.042808,0.035429,0.036266,311035,11646319
2017-11-12,0.0369,0.037443,0.030999,0.032311,227436,10376347
2017-11-13,0.032391,0.038447,0.031111,0.033136,285125,10641222
2017-11-14,0.033405,0.035586,0.032621,0.034154,255268,10968140
2017-11-15,0.034251,0.035748,0.032091,0.033837,266319,10866211
2017-11-16,0.032649,0.035767,0.02977,0.032301,402073,10373039
2017-11-17,0.032468,0.034056,0.029744,0.030955,265287,9940884
2017-11-18,0.031261,0.031644,0.027971,0.031531,320495,10125699
2017-11-19,0.03138,0.033161,0.030699,0.032089,300334,10304990
2017-11-20,0.032032,0.032837,0.031195,0.032265,261324,10361511
2017-11-21,0.032166,0.032607,0.029789,0.030114,337191,9670743
2017-11-22,0.03017,0.032308,0.029606,0.031396,505707,10082570
2017-11-23,0.032214,0.032693,0.030423,0.030522,586854,9801800
2017-11-24,0.030452,0.032301,0.029822,0.03072,702269,9865321
2017-11-25,0.030614,0.033597,0.029739,0.031155,677719,10005144
2017-11-26,0.031024,0.03322,0.028982,0.030092,1030950,9663742
2017-11-27,0.030775,0.031657,0.023538,0.026511,938464,8513555
2017-11-28,0.026513,0.027634,0.022651,0.023543,870994,7560611
2017-11-29,0.023544,0.02643,0.020429,0.02151,601091,6907577
2017-11-30,0.02184,0.024419,0.017589,0.022004,606253,7066219
2017-12-01,0.022055,0.022694,0.018734,0.02173,632687,6978292
2017-12-02,0.021666,0.023516,0.021565,0.022732,582117,7300265
2017-12-03,0.022844,0.024298,0.021768,0.022988,690766,7382283
2017-12-04,0.022897,0.024297,0.022421,0.023614,542630,7583219
2017-12-05,0.023764,0.026417,0.0235,0.024802,657119,7964731
2017-12-06,0.024566,0.028986,0.024566,0.028986,954736,9308468
2017-12-07,0.028734,0.117826,0.028722,0.050924,2612180,16353653
2017-12-08,0.050574,0.07099,0.040988,0.049868,1094850,16014563
2017-12-09,0.049247,0.05015,0.038678,0.0436,475747,14001639
2017-12-10,0.042615,0.049302,0.038036,0.044039,430656,14142490
2017-12-11,0.043921,0.047721,0.043609,0.047721,835783,15325016
2017-12-12,0.047752,0.048939,0.043418,0.044384,856990,14253379
2017-12-13,0.043552,0.048633,0.040037,0.04161,622536,13362415
2017-12-14,0.041176,0.045198,0.040033,0.042043,561058,13501692
2017-12-15,0.042096,0.046793,0.041695,0.045536,599879,14623330
2017-12-16,0.045642,0.049573,0.044734,0.047594,625051,15284232
2017-12-17,0.047871,0.073269,0.047569,0.065661,2975080,21086324
2017-12-18,0.065771,0.065771,0.058035,0.065251,959036,20954561
2017-12-19,0.06499,0.071433,0.061447,0.064847,1180550,20824886
2017-12-20,0.06518,0.06518,0.051709,0.05433,682625,17447544
2017-12-21,0.056584,0.062513,0.0533,0.056338,805520,18092325
2017-12-22,0.056219,0.057144,0.040259,0.047342,603210,15203369
2017-12-23,0.047683,0.05728,0.046962,0.053302,502524,17117286
2017-12-24,0.053568,0.053568,0.045327,0.05035,418603,16169319
2017-12-25,0.051163,0.054072,0.049522,0.051351,427177,16490746
2017-12-26,0.051291,0.056547,0.051291,0.055063,515893,17682810
2017-12-27,0.055307,0.057355,0.049854,0.053766,382881,17266133
2017-12-28,0.053813,0.054732,0.046052,0.049912,434181,16028693
2017-12-29,0.04986,0.053111,0.049691,0.052132,465066,16741491
2017-12-30,0.051791,0.052173,0.043805,0.046921,409494,15068138
2017-12-31,0.046269,0.052093,0.045877,0.05103,423163,16387725
2018-01-01,0.050837,0.072349,0.048635,0.055797,1619880,17918396
2018-01-02,0.055936,0.074851,0.055167,0.065076,1652730,20898427
2018-01-03,0.066401,0.072318,0.063028,0.069762,1190080,22403310
2018-01-04,0.069204,0.144622,0.068603,0.131166,6649310,42122358
2018-01-05,0.133328,0.219866,0.131644,0.177423,14348800,56977229
2018-01-06,0.176695,0.183881,0.153501,0.168783,3525750,54202598
