Date,Open,High,Low,Close,Volume,Market Cap
2018-10-03,0.001036,0.00133,0.001016,0.001198,281,239622
2018-10-04,0.001199,0.001218,0.000921,0.000982,657,196379
2018-10-05,0.000984,0.001075,0.000921,0.000954,342,190735
2018-10-06,0.000956,0.000956,0.000917,0.000919,17,183862
2018-10-07,0.000923,0.000924,0.000756,0.000759,49,151731
2018-10-08,0.000762,0.00088,0.000591,0.000756,25,151170
2018-10-09,0.000758,0.00135,0.000718,0.001347,62,269440
2018-10-10,0.001346,0.001421,0.001029,0.001031,45,206216
2018-10-11,0.001029,0.001191,0.000782,0.000817,420,163436
2018-10-12,0.000816,0.001105,0.000759,0.000854,32,170863
2018-10-13,0.000854,0.000938,0.000854,0.000933,286,186592
2018-10-14,0.000933,0.000945,0.000855,0.000933,286,186582
2018-10-15,0.000934,0.001011,0.000803,0.000839,3,167716
2018-10-16,0.000838,0.001052,0.000715,0.000868,7896,173691
2018-10-17,0.000871,0.001006,0.000602,0.001006,19095,201158
2018-10-18,0.001005,0.001016,0.000836,0.000842,1679,168418
2018-10-19,0.000842,0.000903,0.000818,0.000892,7684,178304
2018-10-20,0.000878,0.001029,0.000864,0.000991,8781,198144
2018-10-21,0.000991,0.00103,0.00084,0.000846,1602,169165
2018-10-22,0.000845,0.000977,0.000838,0.00094,9018,187920
2018-10-23,0.00094,0.000944,0.000799,0.000824,40568,164899
2018-10-24,0.000838,0.00118,0.000806,0.000857,49733,171396
2018-10-25,0.000829,0.000866,0.000807,0.000861,32692,172176
2018-10-26,0.00086,0.00087,0.000783,0.000815,31925,163095
2018-10-27,0.000795,0.000821,0.000784,0.000795,37176,158949
2018-10-28,0.000794,0.000799,0.000784,0.000792,37518,158497
2018-10-29,0.000792,0.000888,0.000759,0.000887,17223,177394
2018-10-30,0.000887,0.00089,0.000757,0.000765,29787,152949
2018-10-31,0.000775,0.00089,0.000761,0.000803,21354,160634
2018-11-01,0.000883,0.001219,0.000792,0.000859,9338,171896
2018-11-02,0.000826,0.000902,0.000795,0.000829,7419,165867
2018-11-03,0.000803,0.000873,0.000795,0.000865,9765,173051
2018-11-04,0.000879,0.000881,0.000795,0.00088,9755,175912
2018-11-05,0.000848,0.000886,0.000803,0.000827,9700,165341
2018-11-06,0.000832,0.000895,0.000806,0.000872,12297,176053
2018-11-07,0.000864,0.000926,0.000841,0.000859,17827,171767
2018-11-08,0.000858,0.00087,0.00082,0.000844,11640,168881
2018-11-09,0.000844,0.000862,0.000832,0.000857,10024,171412
2018-11-10,0.000856,0.00099,0.000625,0.000967,769,193491
2018-11-11,0.000967,0.000984,0.000928,0.000951,1712,190262
2018-11-12,0.000953,0.000956,0.000823,0.000844,4926,168889
2018-11-13,0.000843,0.000844,0.000794,0.000797,10420,159422
2018-11-14,0.000798,0.000805,0.000699,0.000767,5507,153393
2018-11-15,0.00077,0.000885,0.000705,0.00073,64,146057
2018-11-16,0.00073,0.000784,0.000713,0.000751,14,150112
2018-11-17,0.000751,0.000808,0.000736,0.00078,5348,155955
2018-11-18,0.000782,0.000814,0.000734,0.000774,7661,154758
2018-11-19,0.000775,0.000775,0.000646,0.000664,10622,132743
2018-11-20,0.000647,0.000672,0.000422,0.000437,9437,87385
2018-11-21,0.000439,0.000573,0.000421,0.000568,6578,113571
2018-11-22,0.000556,0.000636,0.000523,0.000612,520,122420
2018-11-23,0.000606,0.000632,0.000552,0.000564,247,112754
2018-11-24,0.000459,0.000741,0.000452,0.000541,5,108227
2018-11-25,0.000541,0.000605,0.000491,0.000589,28,117779
2018-11-26,0.000588,0.0006,0.000514,0.000547,159,109365
2018-11-27,0.000546,0.000609,0.000497,0.00051,0,101960
2018-11-28,0.00051,0.000534,0.000422,0.000468,19,93550
2018-11-29,0.00047,0.000595,0.000467,0.000563,1,112622
2018-11-30,0.000564,0.000564,0.000472,0.000481,46,96297
2018-12-01,0.000483,0.000593,0.000475,0.000507,24,101341
2018-12-02,0.000506,0.000523,0.000405,0.000521,227,104186
2018-12-03,0.000522,0.000522,0.000288,0.000478,0,95655
2018-12-04,0.000478,0.000565,0.00047,0.000475,46,94935
2018-12-05,0.000475,0.000508,0.000424,0.000424,4,84713
2018-12-06,0.000423,0.000446,0.000395,0.000395,139,78945
2018-12-07,0.000394,0.000457,0.000381,0.000449,269,89884
2018-12-08,0.000449,0.000497,0.000408,0.000493,50,98666
2018-12-09,0.000492,0.000557,0.00047,0.000512,9,102459
2018-12-10,0.000512,0.000512,0.00045,0.000474,11,94780
2018-12-11,0.000473,0.000492,0.00045,0.000479,42,95821
2018-12-12,0.000478,0.000548,0.000421,0.000422,2,84422
2018-12-13,0.000553,0.000623,0.000376,0.000381,3,76160
2018-12-14,0.000382,0.000603,0.000378,0.000399,6,79861
2018-12-15,0.0004,0.000487,0.000394,0.000454,88,90766
2018-12-16,0.000454,0.000526,0.000424,0.000517,1258,103452
2018-12-17,0.000517,0.000553,0.000484,0.00052,1733,104019
2018-12-18,0.00052,0.000564,0.000446,0.000474,720,92480
2018-12-19,0.000476,0.000579,0.000472,0.000507,1367,101434
2018-12-20,0.000506,0.000596,0.000504,0.000596,1582,119277
2018-12-21,0.000595,0.000616,0.000501,0.000507,403,101472
2018-12-22,0.000508,0.000624,0.000502,0.000618,1,123661
2018-12-23,0.000619,0.000634,0.000564,0.000611,3090,122281
2018-12-24,0.000612,0.000662,0.00056,0.00056,594,111917
2018-12-25,0.000562,0.000607,0.000499,0.000508,46,101590
2018-12-26,0.000508,0.000613,0.000506,0.00061,2727,122028
2018-12-27,0.000607,0.000611,0.000549,0.000578,184,115544
2018-12-28,0.000578,0.000731,0.000569,0.00072,6047,215969
2018-12-29,0.00072,0.000917,0.000603,0.000855,2460,256443
2018-12-30,0.000848,0.000993,0.000794,0.000987,2149,296124
2018-12-31,0.00099,0.001003,0.000897,0.000965,2242,289406
2019-01-01,0.000971,0.001327,0.00054,0.001327,2796,398071
2019-01-02,0.001325,0.001333,0.000869,0.000871,2806,261410
2019-01-03,0.00087,0.000983,0.000643,0.00097,3502,291065
2019-01-04,0.00097,0.001209,0.000919,0.000937,2147,281121
2019-01-05,0.000939,0.001214,0.000207,0.000549,2516,164557
2019-01-06,0.000548,0.000559,0.000212,0.000223,102,66792
2019-01-07,0.000223,0.000316,0.000161,0.000162,88,48488
2019-01-08,0.000162,0.000648,0.000156,0.000156,156,46877
2019-01-09,0.000156,0.000312,0.000151,0.000164,86,49181
2019-01-10,0.000164,0.00032,0.000145,0.000146,33,43777
2019-01-11,0.000146,0.000252,0.000145,0.000227,63,67961
2019-01-12,0.000227,0.000253,0.00011,0.000133,8,40039
2019-01-13,0.000133,0.000193,0.000132,0.000161,13,48209
2019-01-14,0.000161,0.000273,0.000161,0.000229,4,68820
2019-01-15,0.000229,0.00023,8.3e-05,0.000143,34,42832
2019-01-16,0.000142,0.00015,0.000115,0.000146,21,43835
2019-01-17,0.000146,0.00017,0.00012,0.00017,174,51057
2019-01-18,0.00018,0.000181,0.000112,0.000116,132,34669
2019-01-19,0.000116,0.000136,0.000114,0.000118,12,35328
2019-01-20,0.000118,0.000241,0.000107,0.000239,15,71576
2019-01-21,0.000238,0.000239,0.000108,0.000108,12,32291
2019-01-22,0.000108,0.000281,8.7e-05,0.000246,16,73846
2019-01-23,0.000246,0.000249,0.000128,0.000136,19,40667
2019-01-24,0.000136,0.00019,0.000108,0.000108,6,32455
2019-01-25,0.000108,0.000135,0.000108,0.00011,8,32925
2019-01-26,0.00011,0.000141,9.2e-05,9.5e-05,37,28459
2019-01-27,9.5e-05,0.000105,8.5e-05,9.6e-05,154,28846
2019-01-28,9.6e-05,0.000119,9.2e-05,0.000101,83,30278
2019-01-29,0.000101,0.000123,6.9e-05,7.5e-05,288,22528
2019-01-30,7.5e-05,0.000201,7.3e-05,7.7e-05,158,23244
2019-01-31,7.7e-05,0.000134,3.8e-05,6.7e-05,197,20182
2019-02-01,6.7e-05,6.8e-05,4.1e-05,6.7e-05,170,20081
2019-02-02,7e-05,8.8e-05,3.7e-05,7.1e-05,37,21348
2019-02-03,7.1e-05,0.000172,6e-05,0.000139,325,41610
2019-02-04,0.000139,0.000139,8.5e-05,8.6e-05,584,25691
2019-02-05,8.5e-05,0.000101,5e-05,7.6e-05,1,22930
2019-02-06,7.7e-05,0.000134,3.9e-05,0.000121,193,36191
2019-02-07,0.000121,0.000121,9.1e-05,9.9e-05,139,29660
2019-02-08,9.9e-05,0.000132,9.7e-05,0.000107,225,32022
2019-02-09,0.000107,0.00011,4.2e-05,4.3e-05,203,12814
2019-02-10,4.3e-05,5.6e-05,3.7e-05,4.9e-05,159,14813
2019-02-11,4.9e-05,0.000116,4.1e-05,0.000111,3177,44516
2019-02-12,0.000111,0.000303,6e-05,0.000105,6492,42004
2019-02-13,0.000105,0.000244,7.8e-05,0.000201,19609,80405
2019-02-14,0.000201,0.000204,9.6e-05,0.000164,1287,65635
2019-02-15,0.000164,0.000217,0.000118,0.000118,25726,47259
2019-02-16,0.000122,0.000171,0.0001,0.000145,111491,57987
2019-02-17,0.000146,0.000158,0.000103,0.000157,30626,62655
2019-02-18,0.000155,0.00016,0.000116,0.000121,66968,48556
2019-02-19,0.000119,0.000991,0.000119,0.000163,33529,65174
2019-02-20,0.000161,0.000258,0.000148,0.0002,60866,80029
2019-02-21,0.000237,0.000421,0.000159,0.000271,52902,108582
2019-02-22,0.000277,0.000287,0.000246,0.000248,42632,99265
2019-02-23,0.000251,0.000363,0.00024,0.000311,116118,124239
2019-02-24,0.000306,0.000323,0.00025,0.000256,64530,102549
2019-02-25,0.000256,0.000277,0.000243,0.000253,37006,91098
2019-02-26,0.000253,0.000256,0.000244,0.000251,32766,103145
2019-02-27,0.000251,0.000258,0.000234,0.000241,15438,215536
2019-02-28,0.000241,0.000247,0.000238,0.000242,57542,216154
2019-03-01,0.000239,0.000245,0.000237,0.000239,69317,213247
2019-03-02,0.000238,0.000262,0.000238,0.000257,51067,256890
2019-03-03,0.000258,0.00026,0.000252,0.000254,32359,253970
2019-03-04,0.000254,0.000255,0.00024,0.000245,64779,244665
2019-03-05,0.000245,0.000246,0.000229,0.000239,87110,238736
2019-03-06,0.000239,0.000242,0.000168,0.000182,76277,182295
2019-03-07,0.000185,0.000199,0.000151,0.000177,54953,176708
2019-03-08,0.000178,0.000191,0.000162,0.000171,8503,171479
2019-03-09,0.000173,0.000202,0.00017,0.00019,20699,190197
2019-03-10,0.000191,0.000203,0.000182,0.000185,69311,184803
2019-03-11,0.000183,0.000192,0.000177,0.00018,37637,180162
2019-03-12,0.00018,0.000182,0.000156,0.000156,52251,156030
2019-03-13,0.000156,0.000208,0.000155,0.000174,139159,173628
2019-03-14,0.000174,0.000243,0.000128,0.000155,118020,155328
2019-03-15,0.000153,0.000192,0.000146,0.000147,6669,147075
2019-03-16,0.000147,0.00022,0.000147,0.000206,3625,205685
2019-03-17,0.000205,0.000206,0.000175,0.000184,39166,184123
2019-03-18,0.000186,0.00019,0.000183,0.000185,66855,185187
2019-03-19,0.000185,0.000203,0.000185,0.000201,64867,200814
2019-03-20,0.000201,0.000206,0.000181,0.000183,27938,182887
2019-03-21,0.000183,0.00031,0.000154,0.00031,45179,310224
2019-03-22,0.000195,0.00059,0.000183,0.000193,131602,192815
2019-03-23,0.000193,0.000196,0.000134,0.000174,28,173756
2019-03-24,0.000174,0.000252,0.000122,0.000218,63404,217700
2019-03-25,0.000218,0.000431,0.000121,0.000338,93490,337569
2019-03-26,0.000338,0.000468,0.000216,0.000233,13745,232791
2019-03-27,0.000236,0.000406,0.000173,0.000296,25515,296162
2019-03-28,0.000296,0.000354,0.000219,0.000219,3076,218856
2019-03-29,0.000219,0.000219,0.000131,0.000142,27143,141983
2019-03-30,0.000142,0.000196,0.000125,0.000142,21639,141655
2019-03-31,0.000142,0.000188,0.000116,0.000122,242,121700
2019-04-01,0.000122,0.000183,0.000115,0.000172,4335,172366
2019-04-02,0.000172,0.000243,0.000168,0.000212,12652,211624
2019-04-03,0.000212,0.000247,0.000139,0.000153,2834,153058
2019-04-04,0.000153,0.000258,0.000134,0.00014,15651,139813
2019-04-05,0.00014,0.000218,0.000133,0.00015,344,149923
2019-04-06,0.00015,0.00018,0.000148,0.000155,7597,155390
2019-04-07,0.000155,0.000241,0.00012,0.000167,122,167237
2019-04-08,0.000167,0.000205,0.000166,0.000167,10928,167104
2019-04-09,0.000167,0.000182,0.000116,0.000121,102,121015
2019-04-10,0.000121,0.000195,0.000121,0.000172,10874,172329
2019-04-11,0.000172,0.000202,0.000119,0.000124,347,123690
2019-04-12,0.000124,0.0002,0.000123,0.000148,14072,148037
2019-04-13,0.000148,0.000165,0.000107,0.000149,8439,149284
2019-04-14,0.000149,0.000151,0.000108,0.000149,8,149227
2019-04-15,0.000149,0.00015,0.000116,0.000132,19,132444
2019-04-16,0.000132,0.000156,0.000104,0.000155,6498,154913
2019-04-17,0.000155,0.000161,0.000119,0.00014,21,139908
2019-04-18,0.00014,0.000148,0.000139,0.000139,24,139425
2019-04-19,0.000139,0.00014,0.00011,0.00012,847,119805
2019-04-20,0.00012,0.000121,8.3e-05,0.000106,239,106211
2019-04-21,0.000177,0.000193,0.00014,0.00014,35,139782
2019-04-22,0.000139,0.000143,7.6e-05,0.000101,168,101004
2019-04-23,0.000101,0.000112,9.4e-05,0.000107,50,106554
2019-04-24,0.000107,0.000165,0.000103,0.00013,3454,130257
2019-04-25,0.00013,0.000133,0.000102,0.000103,104,103257
2019-04-26,0.000104,0.000111,6.6e-05,0.000105,4,104651
2019-04-27,0.000105,0.000137,0.000102,0.000123,1240,122831
2019-04-28,0.000123,0.000128,6.1e-05,7.4e-05,0,73505
2019-04-29,7.4e-05,0.000121,7.1e-05,0.000112,8317,112049
2019-04-30,0.000112,0.000181,0.000112,0.00012,9,119926
2019-05-01,0.00012,0.00012,5.4e-05,0.000108,228,107974
2019-05-02,0.000108,0.000233,5.4e-05,8.2e-05,5161,82359
2019-05-03,8.4e-05,0.000299,7.4e-05,0.000231,6022,230726
2019-05-04,0.000231,0.000274,0.000205,0.000206,894,205675
2019-05-05,0.000206,0.000311,6.7e-05,6.8e-05,1,67522
2019-05-06,6.8e-05,0.000221,6e-05,0.000117,6928,117218
2019-05-07,0.000117,0.000156,9.4e-05,0.000154,1018,153788
2019-05-08,0.000154,0.000154,7.6e-05,7.7e-05,6,76603
2019-05-09,7.7e-05,0.000233,7.6e-05,0.000232,6848,231972
2019-05-10,0.000232,0.000308,0.000145,0.000188,5911,188429
2019-05-11,0.000188,0.000306,0.000188,0.000277,1835,276943
2019-05-12,0.000277,0.000287,0.000105,0.000105,1702,105391
2019-05-13,0.000105,0.000199,0.000105,0.000122,7256,121890
2019-05-14,0.000122,0.000162,7.9e-05,0.000137,6542,136559
2019-05-15,0.000137,0.00016,0.000121,0.000128,3887,127515
2019-05-16,0.000127,0.000197,0.000124,0.000196,339,195603
2019-05-17,0.000196,0.000198,8.1e-05,0.000193,523,192587
