Date,Open,High,Low,Close,Volume,Market Cap
2014-06-21,0.153823,0.205667,0.104616,0.154967,132164,193509
2014-06-22,0.154668,0.204221,0.090731,0.13072,71849,163233
2014-06-23,0.130681,0.147567,0.105247,0.124702,17801,155720
2014-06-24,0.124737,0.130061,0.024401,0.035062,35829,43784
2014-06-25,0.035005,0.047661,0.031317,0.033224,5847,41488
2014-06-26,0.029676,0.034296,0.006396,0.010226,4056,12769
2014-06-27,0.010245,0.016158,0.006566,0.009258,935,11560
2014-06-28,0.004212,0.053032,0.0042,0.03741,12380,46715
2014-06-29,0.032798,0.032838,0.015005,0.015093,3990,18848
2014-06-30,0.015068,0.017814,0.012144,0.01281,623,15997
2014-07-01,0.012815,0.029261,0.012815,0.01732,1139,21628
2014-07-02,0.024344,0.02486,0.017555,0.017903,879,22356
2014-07-03,0.02077,0.02077,0.012936,0.019328,695,25005
2014-07-04,0.019335,0.020691,0.019335,0.020125,707,26308
2014-07-05,0.020102,0.020206,0.02004,0.020142,708,26550
2014-07-06,0.02015,0.044343,0.02014,0.044343,2132,58575
2014-07-07,0.044379,0.044408,0.03013,0.030692,1415,40544
2014-07-08,0.0306,0.033154,0.025665,0.025674,470,33915
2014-07-09,0.025692,0.025783,0.020531,0.020546,396,27143
2014-07-10,0.020557,0.031988,0.018469,0.018842,425,24892
2014-07-11,0.018839,0.025286,0.01863,0.019712,223,26042
2014-07-12,0.019708,0.032788,0.019701,0.025418,712,33581
2014-07-13,0.025438,0.040994,0.025249,0.036706,1740,48495
2014-07-14,0.03671,0.124554,0.036686,0.065957,11208,87142
2014-07-15,0.0744,0.074888,0.047009,0.062159,1613,82127
2014-07-16,0.062201,0.062303,0.027697,0.030858,1211,40772
2014-07-17,0.030845,0.046275,0.028159,0.030531,414,40343
2014-07-18,0.030496,0.062333,0.022729,0.047077,488,62207
2014-07-19,0.047106,0.048067,0.023006,0.033626,104,44433
2014-07-20,0.033628,0.048007,0.033406,0.033678,94,44505
2014-07-21,0.033681,0.043562,0.03342,0.043555,309,57562
2014-07-22,0.043559,0.047583,0.025582,0.047573,587,62876
2014-07-23,0.047541,0.047813,0.032151,0.032216,71,42582
2014-07-24,0.03222,0.036201,0.031023,0.036104,62,47724
2014-07-25,0.033107,0.045803,0.02215,0.032224,2024,42600
2014-07-26,0.039142,0.039178,0.031902,0.031953,238,42245
2014-07-27,0.031946,0.045328,0.021874,0.021889,1277,28944
2014-07-28,0.0219,0.044058,0.020423,0.020423,968,27007
2014-07-29,0.020418,0.02743,0.013212,0.019922,262,26347
2014-07-30,0.019922,0.037376,0.018108,0.031615,293,41818
2014-07-31,0.031619,0.058606,0.026204,0.057873,2457,76565
2014-08-01,0.05787,0.147457,0.052677,0.090665,12899,119957
2014-08-02,0.090663,0.119459,0.079545,0.0884,1906,116961
2014-08-03,0.088334,0.095301,0.070771,0.078079,1162,103313
2014-08-04,0.078022,0.118324,0.07054,0.082541,1283,109221
2014-08-05,0.075988,0.09359,0.029273,0.058473,5117,77375
2014-08-06,0.058525,0.065055,0.035308,0.05404,1058,71510
2014-08-07,0.054039,0.056437,0.036121,0.051767,538,68521
2014-08-08,0.051768,0.05258,0.030814,0.030814,861,40787
2014-08-09,0.030808,0.045795,0.026653,0.026716,427,35366
2014-08-10,0.026707,0.044193,0.022637,0.044164,447,58465
2014-08-11,0.044181,0.044197,0.022325,0.022415,13,29675
2014-08-12,0.022421,0.038991,0.021963,0.023441,139,31034
2014-08-13,0.023471,0.035831,0.021307,0.021866,68,28951
2014-08-14,0.021847,0.026018,0.020239,0.020239,82,26797
2014-08-15,0.020445,0.033131,0.020299,0.021063,89,27888
2014-08-16,0.021098,0.030432,0.020671,0.022836,46,30238
2014-08-17,0.022811,0.025642,0.017755,0.019578,339,25925
2014-08-18,0.019567,0.01988,0.016289,0.016926,36,22414
2014-08-19,0.016927,0.025451,0.016709,0.025427,14,33671
2014-08-20,0.025418,0.035181,0.024423,0.035009,450,46362
2014-08-21,0.034904,0.036371,0.030648,0.033817,441,44785
2014-08-22,0.033839,0.035426,0.030203,0.035135,209,46531
2014-08-23,0.03509,0.05054,0.026443,0.026468,451,35060
2014-08-24,0.026479,0.028291,0.026429,0.028037,6,37139
2014-08-25,0.028033,0.04433,0.027704,0.04422,523,58582
2014-08-26,0.044224,0.044626,0.031672,0.042967,91,56980
2014-08-27,0.043019,0.043302,0.026182,0.027127,916,35979
2014-08-28,0.027113,0.033818,0.027113,0.030494,127,40448
2014-08-29,0.030531,0.039728,0.025376,0.039527,244,52433
2014-08-30,0.039533,0.039561,0.029062,0.029191,4,38726
2014-08-31,0.029113,0.036737,0.02822,0.036367,394,48247
2014-09-01,0.036369,0.038164,0.028767,0.037553,116,49826
2014-09-02,0.037522,0.064915,0.023812,0.064452,1329,85516
2014-09-03,0.066275,0.06713,0.040658,0.043938,1885,58297
2014-09-04,0.043947,0.063763,0.043939,0.061702,6466,81867
2014-09-05,0.061703,0.135403,0.061682,0.109975,39096,145915
2014-09-06,0.116679,0.117036,0.100603,0.110536,12443,146660
2014-09-07,0.110605,0.112471,0.086878,0.086878,13349,115270
2014-09-08,0.086793,0.095347,0.07507,0.085238,4856,113094
2014-09-09,0.085289,0.101039,0.07146,0.07146,4006,94814
2014-09-10,0.071494,0.136266,0.07148,0.119854,11035,182295
2014-09-11,0.119919,0.155487,0.107968,0.12284,9397,187953
2014-09-12,0.122797,0.142958,0.112099,0.133288,8059,206083
2014-09-13,0.133299,0.133326,0.110025,0.121906,3697,189596
2014-09-14,0.121935,0.166849,0.121848,0.139067,22939,216719
2014-09-15,0.13903,0.170433,0.121743,0.142611,30617,223120
2014-09-16,0.142672,0.142672,0.096832,0.121981,15301,191468
2014-09-17,0.121954,0.144918,0.108168,0.128328,23937,202986
2014-09-18,0.128195,0.128195,0.095018,0.10611,2571,168601
2014-09-19,0.106026,0.126744,0.090903,0.102639,2171,163304
2014-09-20,0.102607,0.109057,0.092491,0.093067,1666,148457
2014-09-21,0.09288,0.118495,0.091784,0.103693,4946,165730
2014-09-22,0.103766,0.120036,0.097826,0.116612,1903,186404
2014-09-23,0.116595,0.123353,0.081455,0.095874,18709,165540
2014-09-24,0.095865,0.116448,0.095493,0.116381,2069,200949
2014-09-25,0.116368,0.116468,0.093353,0.095711,2999,165260
2014-09-26,0.094707,0.103242,0.082538,0.084974,3464,146767
2014-09-27,0.091434,0.121723,0.084703,0.110248,3867,190443
2014-09-28,0.110234,0.110329,0.090355,0.090523,1668,156383
2014-09-29,0.090463,0.099482,0.083789,0.091584,1001,158238
2014-09-30,0.091735,0.103387,0.085977,0.094801,1411,163820
2014-10-01,0.09492,0.09824,0.085553,0.090216,1100,155907
2014-10-02,0.090157,0.107125,0.088061,0.106708,1581,184432
2014-10-03,0.106739,0.10719,0.090137,0.092405,2580,159734
2014-10-04,0.092503,0.097269,0.077139,0.087234,1349,150813
2014-10-05,0.087247,0.094091,0.057708,0.067441,2663,116608
2014-10-06,0.067416,0.080452,0.056403,0.063216,1744,109319
2014-10-07,0.063313,0.084244,0.061511,0.06562,1364,113483
2014-10-08,0.065606,0.082574,0.064964,0.074568,1007,128967
2014-10-09,0.074528,0.087666,0.067188,0.087666,1637,151641
2014-10-10,0.087585,0.089173,0.06734,0.068924,982,119238
2014-10-11,0.068886,0.078249,0.068164,0.069431,608,120130
2014-10-12,0.06949,0.088073,0.068254,0.087928,756,152157
2014-10-13,0.087783,0.092592,0.076394,0.085952,908,148750
2014-10-14,0.086234,0.097622,0.074246,0.078828,3700,136433
2014-10-15,0.078845,0.082084,0.06857,0.069124,3443,119651
2014-10-16,0.069079,0.077654,0.065853,0.073728,515,127627
2014-10-17,0.073766,0.098465,0.067081,0.075458,6567,130637
2014-10-18,0.075501,0.094163,0.052334,0.080578,4253,139544
2014-10-19,0.080539,0.101363,0.055942,0.070604,4436,122282
2014-10-20,0.070547,0.089749,0.064665,0.076826,1615,133072
2014-10-21,0.076741,0.076886,0.065913,0.066582,597,115340
2014-10-22,0.06652,0.077238,0.065967,0.075817,253,131360
2014-10-23,0.075778,0.076191,0.060902,0.062223,1250,107816
2014-10-24,0.062253,0.082886,0.061407,0.08279,1434,143474
2014-10-25,0.082851,0.090702,0.069699,0.069832,1619,121030
2014-10-26,0.069876,0.079079,0.068306,0.068635,1503,118975
2014-10-27,0.06865,0.085161,0.068163,0.070894,2135,122904
2014-10-28,0.070937,0.079337,0.070852,0.073355,209,127188
2014-10-29,0.073656,0.073753,0.059811,0.064403,621,111677
2014-10-30,0.064426,0.066378,0.052515,0.064262,995,111448
2014-10-31,0.064207,0.064296,0.041472,0.051943,603,90095
2014-11-01,0.051993,0.069942,0.051993,0.066688,35,115685
2014-11-02,0.066755,0.070931,0.052072,0.052076,357,90345
2014-11-03,0.052024,0.066488,0.042271,0.058199,115,100985
2014-11-04,0.058096,0.067923,0.055008,0.067863,89,117766
2014-11-05,0.067948,0.069403,0.059465,0.060683,119,105318
2014-11-06,0.060678,0.066552,0.040539,0.042187,338,73228
2014-11-07,0.042251,0.065752,0.040848,0.065679,1818,114017
2014-11-08,0.065629,0.069097,0.047679,0.052612,1551,91346
2014-11-09,0.052595,0.065518,0.049152,0.065452,411,113655
2014-11-10,0.065272,0.070726,0.05393,0.059017,373,102492
2014-11-11,0.058845,0.067602,0.053881,0.054012,499,93814
2014-11-12,0.054054,0.067642,0.03907,0.050162,830,87141
2014-11-13,0.050602,0.071286,0.050602,0.058945,114,102415
2014-11-14,0.05862,0.058737,0.039154,0.039376,790,68424
2014-11-15,0.039557,0.03997,0.015842,0.031347,1428,54480
2014-11-16,0.03123,0.045143,0.03022,0.044994,651,78209
2014-11-17,0.045049,0.046857,0.031423,0.032248,139,56061
2014-11-18,0.032279,0.03792,0.030059,0.03364,352,58489
2014-11-19,0.033523,0.036511,0.024528,0.02512,711,43680
2014-11-20,0.025104,0.027655,0.023874,0.024344,228,42335
2014-11-21,0.024347,0.026708,0.015086,0.015086,1176,26240
2014-11-22,0.015119,0.023235,0.012426,0.022135,596,38503
2014-11-23,0.022063,0.022166,0.016884,0.016908,166,29416
2014-11-24,0.01688,0.030977,0.01688,0.030152,824,52464
2014-11-25,0.030151,0.031525,0.02392,0.029172,76,50768
2014-11-26,0.029224,0.030042,0.018402,0.028851,178,50220
2014-11-27,0.029018,0.029747,0.01804,0.028553,227,49709
2014-11-28,0.02853,0.028886,0.021291,0.02154,1,37504
2014-11-29,0.021523,0.026732,0.02097,0.026652,20,46410
2014-11-30,0.026654,0.026924,0.015675,0.020777,210,36185
2014-12-01,0.020789,0.022069,0.01903,0.021989,47,38302
2014-12-02,0.021989,0.022084,0.020877,0.020972,83,36535
2014-12-03,0.020995,0.022398,0.020799,0.022114,3,38528
2014-12-04,0.022156,0.022329,0.020429,0.020531,2,35775
2014-12-05,0.020522,0.026815,0.017626,0.017795,215,31013
2014-12-06,0.017791,0.023489,0.017516,0.01778,18,30994
2014-12-07,0.017782,0.022299,0.017708,0.022228,9,38753
2014-12-08,0.02222,0.022255,0.013157,0.018342,806,31982
2014-12-09,0.018341,0.023463,0.010962,0.018375,576,32046
2014-12-10,0.018375,0.031443,0.018107,0.030445,598,53106
2014-12-11,0.030267,0.031763,0.024131,0.028613,471,49918
2014-12-12,0.028611,0.031747,0.026025,0.031717,1859,55341
2014-12-13,0.031693,0.043621,0.028074,0.036217,2267,63205
2014-12-14,0.03615,0.041495,0.031501,0.031879,513,55640
2014-12-15,0.031854,0.041603,0.029374,0.041424,949,72308
2014-12-16,0.041464,0.041486,0.029615,0.029615,1096,51701
2014-12-17,0.029597,0.035601,0.029421,0.035233,578,61511
2014-12-18,0.035234,0.035446,0.029429,0.03431,441,59909
2014-12-19,0.034286,0.034345,0.028291,0.028615,1011,49974
2014-12-20,0.028595,0.030254,0.028453,0.030135,2,52637
2014-12-21,0.030097,0.030232,0.019242,0.019254,112,33632
2014-12-22,0.019267,0.023537,0.019229,0.023531,1,41115
2014-12-23,0.02354,0.028315,0.023369,0.028171,533,49231
2014-12-24,0.028155,0.028185,0.019972,0.020046,5,35038
2014-12-25,0.02003,0.021087,0.014642,0.021023,179,36751
2014-12-26,0.021032,0.021046,0.014294,0.014763,34,25811
2014-12-27,0.014748,0.018059,0.011021,0.011055,161,19331
2014-12-28,0.011066,0.014868,0.010888,0.01484,4,25951
2014-12-29,0.014862,0.019154,0.014416,0.019054,500,33323
2014-12-30,0.019057,0.019136,0.01485,0.018877,759,33015
2014-12-31,0.018888,0.018927,0.016293,0.016528,795,28908
2015-01-01,0.016541,0.018496,0.016253,0.018437,573,32256
2015-01-02,0.018427,0.018524,0.018397,0.018477,336,32329
2015-01-03,0.018466,0.018484,0.013427,0.013427,162,23496
2015-01-04,0.01343,0.015901,0.008185,0.008293,387,14513
