Date,Open,High,Low,Close,Volume,Market Cap
2018-10-15,4.49,4.69,4.43,4.59,30905.0,
2018-10-16,4.64,4.76,4.12,4.36,29219.0,8729.0
2018-10-17,4.44,4.53,4.13,4.34,36847.0,8676.0
2018-10-18,4.3,4.51,4.16,4.19,24580.0,8382.0
2018-10-19,4.19,4.95,4.18,4.42,35753.0,8835.0
2018-10-20,4.43,4.66,4.36,4.44,33003.0,8878.0
2018-10-21,4.52,4.98,4.43,4.88,36112.0,9754.0
2018-10-22,4.89,6.5,4.83,6.36,67402.0,12725.0
2018-10-23,6.32,6.43,5.42,6.21,45053.0,12420.0
2018-10-24,6.18,6.48,6.03,6.19,46069.0,12372.0
2018-10-25,6.19,6.44,6.05,6.24,42665.0,12481.0
2018-10-26,6.23,6.31,5.15,6.11,46328.0,12224.0
2018-10-27,5.96,6.42,5.39,6.08,45455.0,12154.0
2018-10-28,6.11,6.35,5.96,6.35,43329.0,12706.0
2018-10-29,6.24,7.22,6.16,7.03,54387.0,14059.0
2018-10-30,7.01,7.17,6.78,6.81,51275.0,13612.0
2018-10-31,6.88,7.48,6.81,7.37,35841.0,14737.0
2018-11-01,7.36,9.48,6.76,8.43,33803.0,16851.0
2018-11-02,8.33,12.41,8.25,11.75,47898.0,23503.0
2018-11-03,11.75,14.83,11.69,13.82,33149.0,27647.0
2018-11-04,13.82,15.51,13.32,14.45,27405.0,28908.0
2018-11-05,14.5,14.63,11.44,12.07,25553.0,24141.0
2018-11-06,12.12,15.46,12.04,12.26,29367.0,24498.0
2018-11-07,12.27,15.54,12.23,13.74,21469.0,27490.0
2018-11-08,13.56,15.37,13.2,14.37,37162.0,28741.0
2018-11-09,14.38,15.2,13.01,13.58,33956.0,27154.0
2018-11-10,13.89,14.77,12.68,13.66,27752.0,27328.0
2018-11-11,15.21,15.23,13.38,13.54,12338.0,27088.0
2018-11-12,13.58,13.81,11.96,12.08,14565.0,24154.0
2018-11-13,11.99,14.95,11.93,12.02,17018.0,24036.0
2018-11-14,11.98,14.07,11.63,11.8,17434.0,23608.0
2018-11-15,11.87,12.44,10.75,12.07,15842.0,24150.0
2018-11-16,12.09,12.15,11.45,11.56,16352.0,23112.0
2018-11-17,11.6,12.48,11.45,11.95,16796.0,23893.0
2018-11-18,11.98,12.31,11.94,12.17,16022.0,24331.0
2018-11-19,12.17,12.24,9.48,10.04,8093.0,20081.0
2018-11-20,9.95,10.24,4.67,7.61,8333.0,15221.0
2018-11-21,7.62,8.65,7.51,8.59,7407.0,17187.0
2018-11-22,8.5,8.6,7.86,8.01,7373.0,16012.0
2018-11-23,7.91,8.08,7.58,7.75,8189.0,15509.0
2018-11-24,7.75,7.91,5.96,5.96,7327.0,11915.0
2018-11-25,5.96,5.99,3.91,5.34,6514.0,10671.0
2018-11-26,5.5,6.02,5.2,5.3,6832.0,10600.0
2018-11-27,5.3,5.64,5.12,5.35,9673.0,10695.0
2018-11-28,5.39,7.14,5.32,6.5,12146.0,12991.0
2018-11-29,6.66,6.9,6.08,6.15,11201.0,12296.0
2018-11-30,6.16,6.69,5.72,6.5,12018.0,13000.0
2018-12-01,6.52,7.0,5.85,7.0,12881.0,13993.0
2018-12-02,6.99,7.13,6.01,6.46,6579.0,12925.0
2018-12-03,6.51,7.02,6.12,6.38,5743.0,12763.0
2018-12-04,6.38,6.75,5.41,5.9,10967.0,11805.0
2018-12-05,6.03,6.09,5.5,5.53,10166.0,11068.0
2018-12-06,5.65,6.05,5.34,5.35,11283.0,10705.0
2018-12-07,5.34,5.34,4.54,4.84,8690.0,9671.0
2018-12-08,4.83,5.0,4.7,4.94,8065.0,9877.0
2018-12-09,4.89,5.22,4.74,5.18,8816.0,10366.0
2018-12-10,5.17,5.37,5.01,5.26,9507.0,10516.0
2018-12-11,5.25,5.36,4.77,4.95,8575.0,9890.0
2018-12-12,4.94,5.42,4.93,5.23,9553.0,10452.0
2018-12-13,5.36,5.81,4.85,5.03,10157.0,10056.0
2018-12-14,5.02,5.06,4.3,4.56,8145.0,9126.0
2018-12-15,4.56,4.64,4.19,4.44,8910.0,8884.0
2018-12-16,4.51,4.74,4.34,4.36,7494.0,8719.0
2018-12-17,4.35,4.83,4.35,4.7,9024.0,9400.0
2018-12-18,4.7,4.87,4.22,4.73,8219.0,9452.0
