Date,Open,High,Low,Close,Volume,Market Cap
2016-05-18,2.3e-05,2.3e-05,2.3e-05,2.3e-05,113.0,370
2016-05-19,2.3e-05,2.7e-05,9e-06,9e-06,28.0,161
2016-05-20,1.8e-05,4.4e-05,9e-06,2.2e-05,121.0,458
2016-05-21,2.2e-05,3.1e-05,9e-06,1.8e-05,144.0,407
2016-05-22,1.8e-05,2.2e-05,1.3e-05,2.2e-05,25.0,554
2016-05-23,2.2e-05,2.2e-05,1.3e-05,1.8e-05,9.0,487
2016-05-24,1.8e-05,1.8e-05,9e-06,1.8e-05,14.0,527
2016-05-25,1.8e-05,1.8e-05,9e-06,9e-06,19.0,277
2016-05-26,9e-06,1.8e-05,9e-06,1.8e-05,36.0,588
2016-05-27,1.8e-05,3.3e-05,1.4e-05,2.8e-05,108.0,986
2016-05-28,2.8e-05,3.5e-05,1.5e-05,2.7e-05,69.0,980
2016-05-29,2.6e-05,3.2e-05,2.1e-05,2.1e-05,55.0,822
2016-05-30,2.1e-05,2.2e-05,1.6e-05,1.6e-05,27.0,660
2016-05-31,1.6e-05,2.2e-05,1.6e-05,1.6e-05,15.0,690
2016-06-01,1.6e-05,2.7e-05,1.6e-05,2.1e-05,32.0,981
2016-06-02,2.1e-05,2.1e-05,1.6e-05,1.6e-05,3.0,769
2016-06-03,1.6e-05,1.7e-05,1.6e-05,1.7e-05,26.0,853
2016-06-04,1.7e-05,1.8e-05,1.7e-05,1.7e-05,29.0,897
2016-06-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,30.0,941
2016-06-06,1.7e-05,1.8e-05,1.7e-05,1.8e-05,27.0,998
2016-06-07,1.8e-05,2.3e-05,1.7e-05,1.7e-05,37.0,1020
2016-06-08,1.7e-05,1.7e-05,1.7e-05,1.7e-05,26.0,1067
2016-06-09,1.7e-05,1.7e-05,1.1e-05,1.7e-05,35.0,1097
2016-06-10,1.7e-05,1.7e-05,1.1e-05,1.2e-05,13.0,760
2016-06-11,1.2e-05,1.7e-05,1.2e-05,1.2e-05,11.0,827
2016-06-12,1.2e-05,1.4e-05,1.2e-05,1.3e-05,32.0,949
2016-06-13,1.3e-05,2.1e-05,7e-06,2.1e-05,108.0,1538
2016-06-14,2.1e-05,2.1e-05,7e-06,1.4e-05,7.0,1028
2016-06-15,1.4e-05,1.4e-05,7e-06,7e-06,6.0,536
2016-06-16,7e-06,1.5e-05,7e-06,1.5e-05,27.0,1211
2016-06-17,1.5e-05,3e-05,1.4e-05,1.5e-05,87.0,1218
2016-06-18,1.5e-05,1.6e-05,7e-06,1.5e-05,11.0,1262
2016-06-19,1.5e-05,1.5e-05,7e-06,1.5e-05,13.0,1306
2016-06-20,1.5e-05,1.5e-05,7e-06,7e-06,10.0,648
2016-06-21,7e-06,2e-05,7e-06,1.3e-05,51.0,1193
2016-06-22,1.3e-05,1.4e-05,6e-06,1.2e-05,6.0,1094
2016-06-23,1.2e-05,1.2e-05,6e-06,6e-06,15.0,586
2016-06-24,6e-06,7e-06,6e-06,7e-06,1.0,639
2016-06-25,7e-06,7e-06,6e-06,7e-06,7.0,652
2016-06-26,7e-06,7e-06,6e-06,6e-06,8.0,630
2016-06-27,6e-06,7e-06,6e-06,7e-06,12.0,670
2016-06-28,7e-06,7e-06,6e-06,6e-06,5.0,676
2016-06-29,6e-06,1.3e-05,6e-06,6e-06,12.0,683
2016-06-30,6e-06,7e-06,6e-06,7e-06,65.0,731
2016-07-01,7e-06,7e-06,7e-06,7e-06,1.0,750
2016-07-02,7e-06,1.4e-05,7e-06,7e-06,12.0,796
2016-07-03,7e-06,7e-06,6e-06,7e-06,0.0,759
2016-07-04,7e-06,7e-06,7e-06,7e-06,0.0,803
2016-07-05,7e-06,7e-06,7e-06,7e-06,16.0,803
2016-07-06,7e-06,7e-06,7e-06,7e-06,0.0,824
2016-07-07,7e-06,1.3e-05,6e-06,1.3e-05,1.0,1585
2016-07-08,1.3e-05,1.3e-05,6e-06,7e-06,16.0,840
2016-07-09,7e-06,7e-06,6e-06,7e-06,3.0,835
2016-07-10,7e-06,7e-06,6e-06,6e-06,1.0,841
2016-07-11,7e-06,7e-06,6e-06,6e-06,0.0,862
2016-07-12,6e-06,7e-06,6e-06,7e-06,0.0,879
2016-07-13,7e-06,7e-06,7e-06,7e-06,1.0,891
2016-07-14,7e-06,1.3e-05,7e-06,1.3e-05,47.0,1795
2016-07-15,1.3e-05,1.3e-05,7e-06,1.3e-05,41.0,1832
2016-07-16,1.3e-05,1.3e-05,7e-06,7e-06,0.0,928
2016-07-17,7e-06,7e-06,7e-06,7e-06,7.0,966
2016-07-18,7e-06,7e-06,7e-06,7e-06,10.0,972
2016-07-19,7e-06,1.3e-05,7e-06,1.3e-05,34.0,1971
2016-07-20,1.3e-05,1.3e-05,7e-06,7e-06,26.0,991
2016-07-21,7e-06,7e-06,7e-06,7e-06,0.0,1005
2016-07-22,7e-06,7e-06,6e-06,7e-06,0.0,998
2016-07-23,7e-06,7e-06,6e-06,7e-06,0.0,1015
2016-07-24,7e-06,7e-06,7e-06,7e-06,1.0,1046
2016-07-25,7e-06,7e-06,7e-06,7e-06,1.0,1049
2016-07-26,7e-06,7e-06,6e-06,7e-06,1.0,1060
2016-07-27,7e-06,7e-06,6e-06,7e-06,71.0,1079
2016-07-28,7e-06,7e-06,7e-06,7e-06,20.0,1095
2016-07-29,7e-06,7e-06,7e-06,7e-06,9.0,1115
2016-07-30,7e-06,7e-06,7e-06,7e-06,0.0,1126
2016-07-31,7e-06,7e-06,6e-06,6e-06,0.0,1102
2016-08-03,6e-06,6e-06,5e-06,6e-06,0.0,1023
2016-08-04,6e-06,6e-06,6e-06,6e-06,0.0,1043
2016-08-07,6e-06,6e-06,6e-06,6e-06,10.0,1121
2016-08-08,6e-06,6e-06,6e-06,6e-06,0.0,1132
2016-08-09,6e-06,6e-06,6e-06,6e-06,0.0,1130
2016-08-13,6e-06,6e-06,6e-06,6e-06,0.0,1181
2016-08-14,6e-06,6e-06,6e-06,6e-06,6.0,1162
2016-08-15,6e-06,6e-06,6e-06,6e-06,0.0,1166
2016-08-16,6e-06,6e-06,6e-06,6e-06,0.0,1198
2016-08-17,6e-06,6e-06,6e-06,6e-06,0.0,1202
2016-08-18,6e-06,6e-06,6e-06,6e-06,14.0,1216
2016-08-19,6e-06,6e-06,6e-06,6e-06,8.0,1231
2016-08-20,6e-06,6e-06,6e-06,6e-06,0.0,1257
2016-08-21,6e-06,6e-06,6e-06,6e-06,0.0,1267
2016-08-22,6e-06,6e-06,6e-06,6e-06,1.0,1285
2016-08-23,6e-06,6e-06,6e-06,6e-06,0.0,1296
2016-08-24,6e-06,6e-06,6e-06,6e-06,0.0,1301
2016-08-25,6e-06,6e-06,6e-06,6e-06,7.0,1308
2016-08-26,6e-06,6e-06,6e-06,6e-06,7.0,1325
2016-08-27,6e-06,6e-06,6e-06,6e-06,12.0,1316
2016-08-28,6e-06,6e-06,6e-06,6e-06,1.0,1335
2016-08-29,6e-06,6e-06,6e-06,6e-06,1.0,1347
2016-08-30,6e-06,6e-06,6e-06,6e-06,5.0,1369
2016-08-31,6e-06,6e-06,6e-06,6e-06,0.0,1378
2016-09-01,6e-06,6e-06,6e-06,6e-06,2.0,1383
2016-09-02,6e-06,6e-06,6e-06,6e-06,0.0,1405
2016-09-03,6e-06,6e-06,6e-06,6e-06,1.0,1474
2016-09-04,6e-06,6e-06,6e-06,6e-06,185.0,1513
2016-09-05,6e-06,1.2e-05,6e-06,6e-06,156.0,1520
2016-09-06,6e-06,1.2e-05,6e-06,6e-06,65.0,1537
2016-09-07,6e-06,1.2e-05,6e-06,6e-06,5.0,1561
2016-09-08,6e-06,6e-06,6e-06,6e-06,4.0,1605
2016-09-09,6e-06,6e-06,6e-06,6e-06,28.0,1611
2016-09-10,6e-06,6e-06,6e-06,6e-06,4.0,1627
2016-09-11,6e-06,6e-06,6e-06,6e-06,2.0,1596
2016-09-12,6e-06,1.2e-05,6e-06,6e-06,31.0,1614
2016-09-13,6e-06,6e-06,6e-06,6e-06,72.0,1630
2016-09-14,6e-06,6e-06,6e-06,6e-06,7.0,1648
2016-09-15,6e-06,6e-06,6e-06,6e-06,3.0,1653
2016-09-16,6e-06,1.2e-05,6e-06,6e-06,72.0,1666
2016-09-17,6e-06,6e-06,6e-06,6e-06,0.0,1678
2016-09-18,6e-06,6e-06,6e-06,6e-06,1.0,1702
2016-09-19,6e-06,6e-06,6e-06,6e-06,30.0,1713
2016-09-20,6e-06,6e-06,6e-06,6e-06,83.0,1727
2016-09-21,6e-06,6e-06,6e-06,6e-06,52.0,1708
2016-09-22,6e-06,1.2e-05,6e-06,1.2e-05,53.0,3437
2016-09-23,1.2e-05,1.2e-05,6e-06,6e-06,88.0,1751
2016-09-24,6e-06,1.2e-05,6e-06,6e-06,17.0,1764
2016-09-25,6e-06,6e-06,6e-06,6e-06,1.0,1772
2016-09-26,6e-06,6e-06,6e-06,6e-06,3.0,1806
2016-09-27,6e-06,6e-06,6e-06,6e-06,24.0,1815
2016-09-28,6e-06,6e-06,6e-06,6e-06,15.0,1824
2016-09-29,6e-06,6e-06,6e-06,6e-06,9.0,1840
2016-09-30,6e-06,1.2e-05,6e-06,6e-06,30.0,1865
2016-10-01,6e-06,1.2e-05,6e-06,6e-06,7.0,1892
2016-10-02,6e-06,6e-06,6e-06,6e-06,0.0,1896
2016-10-03,6e-06,6e-06,6e-06,6e-06,1.0,1914
2016-10-04,6e-06,1.2e-05,6e-06,6e-06,45.0,1922
2016-10-05,6e-06,6e-06,6e-06,6e-06,25.0,1944
2016-10-06,6e-06,1.2e-05,6e-06,6e-06,4.0,1951
2016-10-07,6e-06,1.2e-05,6e-06,6e-06,11.0,1973
2016-10-08,6e-06,1.2e-05,6e-06,6e-06,13.0,1990
2016-10-09,6e-06,1.2e-05,6e-06,6e-06,9.0,1996
2016-10-10,6e-06,1.2e-05,6e-06,6e-06,30.0,2017
2016-10-11,6e-06,1.3e-05,6e-06,1.3e-05,17.0,4212
2016-10-12,1.3e-05,1.3e-05,6e-06,1.3e-05,7.0,4205
2016-10-13,1.3e-05,1.3e-05,6e-06,1.3e-05,14.0,4237
2016-10-14,1.3e-05,1.3e-05,6e-06,6e-06,6.0,2145
2016-10-15,6e-06,6e-06,6e-06,6e-06,16.0,2154
2016-10-16,6e-06,6e-06,6e-06,6e-06,8.0,2177
2016-10-17,6e-06,6e-06,6e-06,6e-06,11.0,2185
2016-10-18,6e-06,6e-06,6e-06,6e-06,11.0,2195
2016-10-19,6e-06,6e-06,6e-06,6e-06,10.0,2184
2016-10-20,6e-06,6e-06,6e-06,6e-06,2.0,2201
2016-10-21,6e-06,6e-06,6e-06,6e-06,10.0,2222
2016-10-22,6e-06,7e-06,6e-06,7e-06,10.0,2320
2016-10-23,7e-06,7e-06,7e-06,7e-06,5.0,2335
2016-10-24,7e-06,7e-06,7e-06,7e-06,2.0,2341
2016-10-25,7e-06,7e-06,7e-06,7e-06,3.0,2367
2016-10-26,7e-06,7e-06,7e-06,7e-06,23.0,2459
2016-10-27,7e-06,7e-06,7e-06,7e-06,10.0,2507
2016-10-28,7e-06,1.4e-05,7e-06,7e-06,14.0,2529
2016-10-29,7e-06,7e-06,7e-06,7e-06,1.0,2639
2016-10-30,7e-06,7e-06,7e-06,7e-06,1.0,2633
2016-11-01,7e-06,7e-06,7e-06,7e-06,2.0,2744
2016-11-02,7e-06,7e-06,7e-06,7e-06,1.0,2798
2016-11-03,7e-06,7e-06,7e-06,7e-06,0.0,2673
2016-11-04,7e-06,7e-06,7e-06,7e-06,0.0,2695
2016-11-05,7e-06,7e-06,7e-06,7e-06,4.0,2712
2016-11-06,7e-06,7e-06,7e-06,7e-06,0.0,2761
2016-11-07,7e-06,7e-06,7e-06,7e-06,0.0,2741
2016-11-08,7e-06,7e-06,7e-06,7e-06,0.0,2746
2016-11-11,7e-06,7e-06,7e-06,7e-06,0.0,2854
2016-11-12,7e-06,7e-06,7e-06,7e-06,0.0,2825
2016-11-13,7e-06,7e-06,7e-06,7e-06,0.0,2829
2016-11-14,7e-06,7e-06,7e-06,7e-06,0.0,2839
2016-11-15,7e-06,7e-06,7e-06,7e-06,0.0,2898
2016-11-16,7e-06,7e-06,7e-06,7e-06,2.0,3049
2016-11-17,7e-06,8e-06,7e-06,7e-06,1.0,3055
2016-11-18,7e-06,8e-06,7e-06,8e-06,1.0,3115
2016-11-19,8e-06,8e-06,7e-06,8e-06,4.0,3130
2016-11-20,8e-06,8e-06,7e-06,7e-06,0.0,3065
2016-11-21,7e-06,7e-06,7e-06,7e-06,0.0,3116
2016-11-22,7e-06,7e-06,7e-06,7e-06,0.0,3128
2016-11-23,7e-06,7e-06,7e-06,7e-06,2.0,3172
2016-11-24,7e-06,7e-06,7e-06,7e-06,0.0,3173
2016-11-25,7e-06,7e-06,7e-06,7e-06,0.0,3172
2016-11-26,7e-06,7e-06,7e-06,7e-06,1.0,3184
2016-11-27,7e-06,7e-06,7e-06,7e-06,1.0,3201
2016-11-28,7e-06,7e-06,7e-06,7e-06,8.0,3219
2016-11-29,7e-06,7e-06,7e-06,7e-06,2.0,3235
2016-11-30,7e-06,1.5e-05,7e-06,7e-06,412.0,3297
2016-12-01,7e-06,1.5e-05,7e-06,8e-06,21.0,3362
2016-12-02,8e-06,8e-06,8e-06,8e-06,0.0,3475
2016-12-03,8e-06,8e-06,8e-06,8e-06,0.0,3463
2016-12-04,8e-06,8e-06,8e-06,8e-06,0.0,3475
2016-12-05,8e-06,8e-06,8e-06,8e-06,0.0,3441
2016-12-06,8e-06,8e-06,8e-06,8e-06,0.0,3478
2016-12-07,8e-06,8e-06,8e-06,8e-06,0.0,3520
2016-12-08,8e-06,8e-06,8e-06,8e-06,44.0,3551
2016-12-09,8e-06,8e-06,8e-06,8e-06,1.0,3577
2016-12-10,8e-06,8e-06,8e-06,8e-06,0.0,3604
2016-12-11,8e-06,8e-06,8e-06,8e-06,0.0,3598
2016-12-12,8e-06,8e-06,8e-06,8e-06,0.0,3664
2016-12-13,8e-06,8e-06,8e-06,8e-06,24.0,3691
2016-12-14,8e-06,8e-06,8e-06,8e-06,8.0,3706
2016-12-15,8e-06,8e-06,8e-06,8e-06,11.0,3712
2016-12-16,8e-06,8e-06,8e-06,8e-06,1.0,3760
2016-12-17,8e-06,8e-06,8e-06,8e-06,0.0,3799
2016-12-18,8e-06,8e-06,8e-06,8e-06,1.0,3825
2016-12-19,8e-06,8e-06,8e-06,8e-06,1.0,3855
2016-12-20,8e-06,8e-06,8e-06,8e-06,109.0,3914
2016-12-21,8e-06,8e-06,8e-06,8e-06,8.0,4095
2016-12-22,8e-06,1.7e-05,8e-06,9e-06,208.0,4262
2016-12-23,9e-06,1.8e-05,9e-06,9e-06,35.0,4563
2016-12-24,9e-06,9e-06,9e-06,9e-06,9.0,4467
2016-12-25,9e-06,9e-06,9e-06,9e-06,1.0,4478
2016-12-26,9e-06,9e-06,9e-06,9e-06,9.0,4553
