Date,Open,High,Low,Close,Volume,Market Cap
2017-10-22,0.000174,0.000176,0.000122,0.000174,509584,
2017-10-23,0.000174,0.000227,7e-05,0.000127,352270,
2017-10-24,0.000127,0.000159,6.7e-05,0.000103,37190,
2017-10-25,0.000152,0.00016,8e-05,8.2e-05,36055,
2017-10-26,8.2e-05,0.000145,6.9e-05,0.000117,8471,
2017-10-27,0.000117,0.000178,6.3e-05,6.4e-05,16239,
2017-10-28,6.4e-05,0.000128,6.4e-05,6.8e-05,9800,
2017-10-29,6.8e-05,0.000129,6.1e-05,0.000128,7846,
2017-10-30,0.000129,0.00015,6.5e-05,9.1e-05,29865,
2017-10-31,9.1e-05,0.000173,7e-05,7.6e-05,19320,
2017-11-01,7.5e-05,0.000149,7e-05,7.3e-05,11704,
2017-11-02,7.3e-05,0.000142,7.3e-05,0.000107,13748,
2017-11-03,0.000107,0.000225,0.000101,0.000223,7740,1394645.0
2017-11-04,0.000223,0.000223,7.6e-05,0.00017,31433,1062044.0
2017-11-05,0.00017,0.000266,9.8e-05,0.000196,5675,1222333.0
2017-11-06,0.000197,0.000197,8e-05,8.5e-05,24090,528541.0
2017-11-07,0.000152,0.000186,8.5e-05,0.000123,8675,769832.0
2017-11-08,0.000123,0.000223,0.000112,0.000223,16435,1391374.0
2017-11-09,0.000223,0.000223,7.7e-05,0.000148,48716,927054.0
2017-11-10,0.000149,0.000364,0.000146,0.000275,442644,1720535.0
2017-11-11,0.000274,0.000341,0.000138,0.000141,68723,879449.0
2017-11-12,0.000141,0.000211,0.000128,0.000197,25464,1230739.0
2017-11-13,0.000197,0.000335,0.000136,0.000271,49110,1695438.0
2017-11-14,0.000272,0.000353,0.000166,0.000176,51818,1099388.0
2017-11-15,0.000176,0.000245,0.000145,0.000222,25751,1387224.0
2017-11-16,0.000223,0.000382,0.00016,0.000321,32710,2006740.0
2017-11-17,0.000321,0.000412,0.000177,0.000251,116469,1566250.0
2017-11-18,0.00025,0.000322,0.00016,0.000241,131181,1503421.0
2017-11-19,0.00024,0.000312,0.000158,0.000164,63866,1025729.0
