Date,Open,High,Low,Close,Volume,Market Cap
2018-07-10,0.008672,0.008672,0.007796,0.007828,55972,
2018-07-11,0.0078,0.008065,0.007469,0.007976,73803,
2018-07-12,0.007975,0.007993,0.007604,0.007724,68162,
2018-07-13,0.007723,0.007967,0.007681,0.007921,64913,
2018-07-14,0.007919,0.007935,0.007339,0.007807,66316,
2018-07-15,0.007802,0.008299,0.007029,0.008132,50908,
2018-07-16,0.008141,0.008647,0.008108,0.008647,62109,
2018-07-17,0.008639,0.008719,0.008026,0.008588,48145,
2018-07-18,0.008589,0.009001,0.008022,0.008201,57077,
2018-07-19,0.008157,0.008271,0.007267,0.007444,63884,
2018-07-20,0.007453,0.007681,0.007321,0.007396,52739,
2018-07-21,0.007399,0.007717,0.00731,0.00764,79172,
2018-07-22,0.007633,0.007795,0.007608,0.007709,72029,
2018-07-23,0.007703,0.007928,0.007469,0.007492,56986,
2018-07-24,0.007496,0.008094,0.007491,0.008094,65032,
2018-07-25,0.008038,0.008147,0.006587,0.007866,63279,
2018-07-26,0.007863,0.007919,0.007548,0.007572,70382,
2018-07-27,0.007607,0.007767,0.006992,0.007608,47896,
2018-07-28,0.007618,0.007699,0.007464,0.007509,45144,
2018-07-29,0.007528,0.007571,0.007255,0.007321,44228,
2018-07-30,0.007321,0.007326,0.007053,0.007217,50463,
2018-07-31,0.007214,0.007247,0.006444,0.006664,50823,
2018-08-01,0.006661,0.006671,0.006331,0.006472,54604,
2018-08-02,0.006478,0.006549,0.005725,0.005766,97348,
2018-08-03,0.005745,0.006311,0.00552,0.006013,97252,
2018-08-04,0.006014,0.006522,0.005605,0.006149,36452,
2018-08-05,0.006138,0.007439,0.006008,0.006868,47330,
2018-08-06,0.00688,0.007745,0.006736,0.006787,34369,
2018-08-07,0.006787,0.007008,0.006313,0.006401,45552,
2018-08-08,0.006403,0.006407,0.005688,0.005789,27099,
2018-08-09,0.005816,0.005939,0.005697,0.005827,47737,
2018-08-10,0.005816,0.006542,0.005809,0.005973,31637,
2018-08-11,0.005972,0.005995,0.005171,0.00545,33293,
2018-08-12,0.005427,0.005684,0.005349,0.0056,30387,
2018-08-13,0.005563,0.005654,0.004908,0.004908,31561,
2018-08-14,0.004945,0.004945,0.004309,0.004499,34555,2130531.0
2018-08-15,0.004576,0.005101,0.004518,0.004829,50472,2287087.0
2018-08-16,0.00486,0.005091,0.004798,0.004931,47664,2335302.0
2018-08-17,0.004878,0.005108,0.004825,0.0051,41042,2415327.0
2018-08-18,0.005128,0.005171,0.004587,0.004732,2158,2240979.0
2018-08-19,0.004736,0.005067,0.00468,0.004996,40923,2365990.0
2018-08-20,0.004993,0.005073,0.004559,0.004573,29586,2165766.0
2018-08-21,0.004562,0.004832,0.004509,0.004604,46999,2180480.0
2018-08-22,0.004602,0.004977,0.004422,0.00488,34771,2311055.0
2018-08-23,0.004921,0.005005,0.004807,0.004988,51236,2362400.0
2018-08-24,0.004976,0.004989,0.004753,0.004968,32646,2352820.0
2018-08-25,0.004922,0.005086,0.004658,0.004695,19005,2223495.0
2018-08-26,0.004692,0.004696,0.00442,0.004621,20959,2188474.0
2018-08-27,0.004624,0.004696,0.004551,0.004674,20323,2213412.0
2018-08-28,0.00471,0.004829,0.004668,0.004785,18510,2265956.0
2018-08-29,0.004789,0.004894,0.004685,0.00472,20852,2235401.0
2018-08-30,0.004724,0.004745,0.004502,0.004633,23284,2194034.0
2018-08-31,0.004634,0.004797,0.004561,0.004797,21720,2271833.0
2018-09-01,0.004797,0.004896,0.004718,0.004838,17171,2291193.0
2018-09-02,0.004844,0.004906,0.004781,0.004841,20581,2292614.0
2018-09-03,0.004842,0.004949,0.004787,0.004897,7556,2319177.0
2018-09-04,0.004897,0.004952,0.00486,0.004905,6410,2322814.0
2018-09-05,0.004906,0.004924,0.004513,0.004513,1000,2137370.0
2018-09-06,0.004513,0.004752,0.004276,0.004367,5127,2068213.0
2018-09-07,0.004367,0.004412,0.004098,0.004126,254,1953801.0
2018-09-08,0.004126,0.004188,0.003549,0.003704,796,1753956.0
2018-09-09,0.003671,0.003948,0.003523,0.003708,1517,1756035.0
2018-09-10,0.003693,0.003811,0.003023,0.003409,1808,1614278.0
2018-09-11,0.003414,0.003679,0.003091,0.003175,28233,1503442.0
2018-09-12,0.003175,0.003185,0.002878,0.003068,20334,1452925.0
2018-09-13,0.00307,0.003632,0.00307,0.003621,65241,1714923.0
2018-09-14,0.003599,0.003735,0.003456,0.003578,136496,1694285.0
2018-09-15,0.003575,0.003782,0.003555,0.003733,80195,1768049.0
2018-09-16,0.00374,0.003765,0.002651,0.003467,54452,1641675.0
2018-09-17,0.003419,0.003682,0.002392,0.002714,96785,1285108.0
2018-09-18,0.002714,0.003363,0.002584,0.003257,182230,1542432.0
