Date,Open,High,Low,Close,Volume,Market Cap
2018-07-27,0.140111,0.14773,0.137547,0.143728,157700000.0,
2018-07-28,0.150458,0.150458,0.119962,0.120317,112651000.0,
2018-07-29,0.120453,0.126657,0.087526,0.097574,74807504.0,
2018-07-30,0.097904,0.109742,0.09684,0.102898,50355400.0,
2018-10-23,0.034348,0.034395,0.034348,0.034395,,9160778.0
2018-10-24,0.034356,0.034439,0.031358,0.033721,,8023679.0
2018-10-25,0.03371,0.033999,0.033207,0.033613,,7998005.0
2018-10-26,0.033579,0.033769,0.031547,0.032168,,7654012.0
2018-10-27,0.032172,0.032295,0.031909,0.032128,,7644637.0
2018-10-28,0.032157,0.032187,0.030735,0.031096,,7399152.0
2018-10-29,0.031067,0.031283,0.027012,0.02721,,6475025.0
2018-10-30,0.027418,0.029336,0.026383,0.027096,,6448016.0
2018-10-31,0.027096,0.027096,0.024792,0.024862,,5916355.0
2018-11-01,0.024834,0.025472,0.019927,0.022013,,7641747.0
2018-11-02,0.02193,0.033872,0.02193,0.027129,,8407585.0
2018-11-03,0.027009,0.029677,0.026003,0.026672,,8251570.0
2018-11-04,0.026672,0.027569,0.025175,0.026804,,8292313.0
2018-11-05,0.026782,0.02711,0.024696,0.026822,,8297882.0
2018-11-06,0.026853,0.026875,0.02322,0.025056,,7699831.0
2018-11-07,0.02508,0.025383,0.021614,0.021933,,6773256.0
2018-11-08,0.021913,0.023317,0.017644,0.01921,,6032341.0
2018-11-09,0.019137,0.022221,0.014413,0.016698,,5552205.0
2018-11-10,0.016691,0.01893,0.016691,0.017563,,5839960.0
2018-11-11,0.017557,0.018811,0.017161,0.017388,,5781771.0
2018-11-12,0.017341,0.019163,0.017341,0.018254,,6031260.0
2018-11-13,0.018345,0.01923,0.016858,0.01732,,5717361.0
2018-11-14,0.017839,0.018618,0.012984,0.013532,,4458447.0
2018-11-15,0.014299,0.017625,0.012639,0.015827,,5214574.0
2018-11-16,0.015123,0.016687,0.014083,0.014777,,4868652.0
2018-11-17,0.014858,0.016439,0.012775,0.014373,,4735739.0
2018-11-18,0.01432,0.016265,0.012965,0.015426,,5082518.0
2018-11-19,0.015801,0.016374,0.010872,0.012063,,3974372.0
2018-11-20,0.012053,0.012053,0.00657,0.008688,,2862586.0
2018-11-21,0.00864,0.008902,0.005607,0.007381,,2505622.0
2018-11-22,0.007279,0.007701,0.006387,0.006834,,2320143.0
2018-11-23,0.006811,0.007076,0.004092,0.006066,,2059370.0
2018-11-24,0.006132,0.006581,0.004774,0.004852,,1647141.0
2018-11-25,0.004848,0.005403,0.004197,0.004896,,1661983.0
2018-11-26,0.005139,0.005257,0.00446,0.004801,,1629811.0
2018-11-27,0.004798,0.005329,0.004486,0.005253,,1888476.0
2018-11-28,0.005257,0.006405,0.004928,0.006077,,2184610.0
2018-11-29,0.006059,0.006865,0.005639,0.00616,,2214485.0
2018-11-30,0.006193,0.010781,0.006019,0.008606,,3093787.0
2018-12-01,0.008566,0.009598,0.007186,0.008905,,3202055.0
2018-12-02,0.008887,0.009316,0.007895,0.00856,,3077993.0
2018-12-03,0.008471,0.008527,0.00662,0.008027,,3037434.0
2018-12-04,0.008017,0.00866,0.006764,0.007255,,2745490.0
2018-12-05,0.007307,0.007454,0.005039,0.005088,,1925320.0
2018-12-06,0.005073,0.005457,0.004422,0.004422,,1673362.0
2018-12-07,0.0044,0.017133,0.003169,0.004727,,1788980.0
2018-12-08,0.004723,0.006056,0.004415,0.004596,,1739234.0
2018-12-09,0.004584,0.005695,0.004363,0.00568,,2149509.0
2018-12-10,0.005762,0.006613,0.003617,0.004286,,1630698.0
2018-12-11,0.004281,0.004876,0.003898,0.004832,,1848013.0
2018-12-12,0.004716,0.005423,0.003996,0.004183,,1620865.0
2018-12-13,0.004268,0.004315,0.001561,0.002336,,1269444.0
2018-12-14,0.002319,0.003011,0.002019,0.002021,,1103121.0
2018-12-15,0.002021,0.002253,0.001932,0.002055,,1121762.0
2018-12-16,0.002062,0.002225,0.00201,0.002125,,1160191.0
2018-12-17,0.002126,0.002373,0.002053,0.002115,,1154435.0
2018-12-18,0.002096,0.002142,0.001909,0.002036,,1111425.0
2018-12-19,0.002041,0.002311,0.002001,0.002173,,1186138.0
2018-12-20,0.002143,0.002312,0.002076,0.002189,,1195205.0
2018-12-21,0.002193,0.002443,0.001932,0.002003,,1076776.0
2018-12-22,0.002002,0.002183,0.001959,0.00213,,1144878.0
2018-12-23,0.002145,0.00257,0.00204,0.002327,,1250904.0
2018-12-24,0.002356,0.002491,0.002073,0.002202,,1183712.0
2018-12-25,0.002206,0.002241,0.00191,0.002026,,1089438.0
2018-12-26,0.002033,0.002095,0.001922,0.002038,,1095680.0
2018-12-27,0.002036,0.002236,0.001973,0.002008,,1079542.0
2018-12-28,0.001987,0.002075,0.001842,0.001955,,1051065.0
2018-12-29,0.00196,0.002239,0.001869,0.002025,,1088709.0
2018-12-30,0.002023,0.00211,0.001948,0.002093,,1163634.0
2018-12-31,0.002094,0.002102,0.001936,0.002035,,1131815.0
2019-01-01,0.002025,0.002029,0.001809,0.001812,,1007747.0
2019-01-02,0.001818,0.001988,0.001788,0.001837,,1021539.0
2019-01-03,0.001879,0.001951,0.001816,0.001847,21224.0,1027228.0
2019-01-04,0.001894,0.002251,0.001833,0.002002,34314.0,1113238.0
2019-01-05,0.001997,0.002058,0.001953,0.00198,18047.0,1101323.0
2019-01-06,0.001979,0.002083,0.001866,0.002072,16810.0,1152057.0
2019-01-07,0.002078,0.002085,0.001932,0.001968,12898.0,1096482.0
2019-01-08,0.00197,0.002309,0.001936,0.002007,22685.0,1118055.0
2019-01-09,0.00204,0.002216,0.002007,0.002216,17023.0,1234669.0
2019-01-10,0.002103,0.002387,0.001996,0.00221,32537.0,1231182.0
2019-01-11,0.002152,0.002321,0.002027,0.002214,15114.0,1233803.0
2019-01-12,0.002196,0.002263,0.002082,0.00218,14409.0,1214892.0
2019-01-13,0.002145,0.004921,0.002082,0.003509,89349.0,1954936.0
2019-01-14,0.003511,0.003692,0.002857,0.003631,38273.0,2023077.0
2019-01-15,0.003627,0.003712,0.003396,0.00357,25375.0,1988881.0
2019-01-16,0.003538,0.003704,0.003202,0.003275,33208.0,1824464.0
2019-01-17,0.003272,0.003339,0.002536,0.002887,34277.0,1629587.0
2019-01-18,0.002916,0.002993,0.00224,0.002402,28667.0,1415122.0
2019-01-19,0.002423,0.002578,0.002243,0.00243,29106.0,1431854.0
2019-01-20,0.002426,0.002614,0.002187,0.00244,27070.0,1441288.0
2019-01-21,0.002424,0.002544,0.002259,0.002414,22703.0,1425489.0
2019-01-22,0.002403,0.002505,0.002263,0.002369,25314.0,1460333.0
2019-01-23,0.002369,0.00238,0.00234,0.00234,,1442644.0
2019-01-24,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-25,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-26,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-27,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-28,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-29,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-30,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-01-31,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-02-01,0.00234,0.00234,0.00234,0.00234,,1442644.0
2019-05-06,0.00234,0.00234,0.001289,0.001289,32115.0,794478.0
2019-05-07,0.001288,0.00137,0.001288,0.001316,39645.0,1185742.0
2019-05-08,0.001306,0.001332,0.001286,0.001321,43264.0,1190210.0
2019-05-09,0.001317,0.001343,0.001277,0.00131,43127.0,1180958.0
2019-05-10,0.001304,0.001351,0.001295,0.001327,43124.0,1196232.0
2019-05-11,0.001322,0.001508,0.00131,0.001445,50560.0,1302053.0
2019-05-12,0.001445,0.001512,0.001347,0.001379,47407.0,1242546.0
2019-05-13,0.001379,0.001562,0.001357,0.001483,45072.0,1336261.0
2019-05-14,0.001483,0.00158,0.001451,0.00151,42088.0,1361029.0
2019-05-15,0.001509,0.001652,0.001491,0.001626,45070.0,1465521.0
2019-05-16,0.001628,0.001725,0.001577,0.001626,46432.0,1465581.0
2019-05-17,0.001624,0.001655,0.001437,0.001514,66560.0,1364301.0
