Date,Open,High,Low,Close,Volume,Market Cap
2017-06-16,0.035097,0.068171,0.035097,0.054881,32224.0,60306
2017-06-17,0.044989,0.09992,0.02498,0.0627,35341.0,73233
2017-06-18,0.070419,0.22477,0.070419,0.114883,44223.0,142030
2017-06-19,0.114933,0.172337,0.062725,0.0934,19413.0,121705
2017-06-20,0.068745,0.096923,0.017486,0.031225,6388.0,42796
2017-06-21,0.031225,0.062375,0.014039,0.025105,5375.0,36100
2017-06-22,0.025105,0.07494,0.022482,0.059927,10004.0,90217
2017-06-23,0.061151,0.096923,0.03747,0.051402,11128.0,80902
2017-06-24,0.051445,0.061042,0.038395,0.038529,3048.0,63273
2017-06-25,0.03857,0.056789,0.037726,0.045449,5962.0,77727
2017-06-26,0.045351,0.05103,0.024238,0.045693,4531.0,81042
2017-06-27,0.046772,0.046772,0.026935,0.031424,3337.0,57995
2017-06-28,0.031648,0.041944,0.027483,0.027746,4000.0,53109
2017-06-29,0.030758,0.047805,0.022929,0.02848,4367.0,56439
2017-06-30,0.028537,0.035588,0.024063,0.029261,2933.0,59978
2017-07-01,0.02925,0.048146,0.024122,0.048146,6498.0,101973
2017-07-02,0.04814,0.048195,0.029499,0.042328,3395.0,92505
2017-07-03,0.032861,0.091523,0.032608,0.091523,13962.0,206248
2017-07-04,0.091315,0.11691,0.054499,0.054499,19845.0,126457
2017-07-05,0.05447,0.08992,0.053364,0.060649,7470.0,144801
2017-07-06,0.060679,0.077633,0.057207,0.057453,7362.0,141058
2017-07-07,0.057495,0.062178,0.049272,0.050306,4661.0,126911
2017-07-08,0.050348,0.05765,0.047917,0.048311,4340.0,125120
2017-07-09,0.048341,0.048492,0.036034,0.037229,4745.0,98938
2017-07-10,0.037296,0.086504,0.035909,0.038918,7274.0,106020
2017-07-11,0.039626,0.048709,0.031108,0.031108,2897.0,86782
2017-07-12,0.031062,0.03551,0.028471,0.03243,1945.0,92662
2017-07-13,0.032454,0.047368,0.029903,0.033608,5800.0,98270
2017-07-14,0.033574,0.05293,0.033179,0.042466,5642.0,127014
2017-07-15,0.039855,0.047965,0.029213,0.029596,3475.0,90443
2017-07-16,0.029507,0.035893,0.023739,0.024871,3489.0,77587
2017-07-17,0.024844,0.036159,0.024837,0.03378,2814.0,107553
2017-07-18,0.033851,0.048603,0.030697,0.036424,4929.0,118305
2017-07-19,0.036484,0.042482,0.033916,0.036979,1709.0,122363
2017-07-20,0.036868,0.04299,0.032279,0.041014,4397.0,138473
2017-07-21,0.041318,0.0493,0.039253,0.040942,4835.0,140963
2017-07-22,0.040934,0.065534,0.04076,0.061899,9448.0,217289
2017-07-23,0.061895,0.062274,0.045292,0.05153,3142.0,183869
2017-07-24,0.051471,0.061121,0.045787,0.048159,7384.0,175116
2017-07-25,0.048154,0.059606,0.042518,0.047056,5738.0,174345
2017-07-26,0.047077,0.047568,0.039568,0.040908,3572.0,154329
2017-07-27,0.041025,0.049037,0.039485,0.044591,6493.0,171261
2017-07-28,0.044737,0.05658,0.044737,0.049141,6834.0,192003
2017-07-29,0.048956,0.054687,0.043931,0.044605,6015.0,177210
2017-07-30,0.044599,0.050789,0.040614,0.041425,5026.0,167132
2017-07-31,0.041468,0.043902,0.038013,0.03969,2892.0,162136
2017-08-01,0.039709,0.061139,0.036999,0.054122,43803.0,222450
2017-08-02,0.054112,0.054439,0.043279,0.043731,6973.0,181774
2017-08-03,0.043795,0.053499,0.043795,0.051051,11449.0,214953
2017-08-04,0.050898,0.05291,0.049054,0.050141,22026.0,213638
2017-08-05,0.050714,0.056181,0.046902,0.04819,35716.0,208327
2017-08-06,0.048529,0.051973,0.036286,0.044977,12995.0,197096
2017-08-07,0.044868,0.063668,0.037242,0.063668,43667.0,283123
2017-08-08,0.062112,0.062555,0.051023,0.05278,10867.0,237549
2017-08-09,0.052726,0.062224,0.049506,0.057238,13917.0,261350
2017-08-10,0.056536,0.064164,0.055441,0.05814,8353.0,269152
2017-08-11,0.058158,0.075304,0.057845,0.075089,16455.0,352285
2017-08-12,0.075031,0.077694,0.069629,0.070773,10544.0,335812
2017-08-13,0.070766,0.079562,0.063788,0.064139,5245.0,308242
2017-08-14,0.068875,0.123994,0.056437,0.123994,34561.0,604074
2017-08-15,0.098984,0.124516,0.082062,0.085647,113580.0,422619
2017-08-16,0.085744,0.106632,0.081181,0.090641,19169.0,452610
2017-08-17,0.090596,0.102426,0.074348,0.088295,17919.0,446568
2017-08-18,0.085005,0.093722,0.064928,0.078168,32679.0,400258
2017-08-19,0.078112,0.083401,0.05529,0.059458,21480.0,308369
2017-08-20,0.059181,0.066636,0.056584,0.057329,15026.0,301142
2017-08-21,0.056235,0.073839,0.05616,0.069379,15293.0,368726
2017-08-22,0.069539,0.077778,0.058886,0.071244,12187.0,383267
2017-08-23,0.074384,0.082918,0.065418,0.080471,22321.0,438293
2017-08-24,0.080497,0.104617,0.07706,0.089122,19066.0,490814
2017-08-25,0.088983,0.130415,0.088965,0.124634,45724.0,694124
2017-08-26,0.124994,0.219956,0.113313,0.166393,91527.0,937924
2017-08-27,0.166351,0.194481,0.143968,0.159544,62629.0,909664
2017-08-28,0.159704,0.190931,0.138189,0.151028,32238.0,871009
2017-08-29,0.15128,0.153668,0.132236,0.140232,37154.0,818015
2017-08-30,0.140271,0.173623,0.13508,0.141781,31982.0,836224
2017-08-31,0.140685,0.145043,0.099903,0.108906,31817.0,648878
2017-09-01,0.10708,0.15921,0.099161,0.137656,32251.0,828242
2017-09-02,0.137698,0.146468,0.110121,0.11273,10677.0,685821
2017-09-03,0.112793,0.122801,0.099654,0.103655,13451.0,637675
2017-09-04,0.103699,0.116048,0.08941,0.090636,12466.0,563566
2017-09-05,0.091101,0.10875,0.076588,0.090361,21921.0,567931
2017-09-06,0.090467,0.109034,0.090467,0.098307,13748.0,624485
2017-09-07,0.098119,0.100806,0.082846,0.086614,14878.0,556019
2017-09-08,0.08659,0.090827,0.075017,0.078792,19330.0,511046
2017-09-09,0.080115,0.082701,0.069479,0.076371,7089.0,500319
2017-09-10,0.076452,0.083754,0.057767,0.073097,13269.0,483896
2017-09-11,0.073666,0.110869,0.062751,0.107227,34170.0,717113
2017-09-12,0.1037,0.108566,0.079798,0.084101,27347.0,568153
2017-09-13,0.084128,0.09787,0.072865,0.092551,15276.0,631444
2017-09-14,0.092556,0.102859,0.064245,0.066753,16275.0,460018
2017-09-15,0.067274,0.08606,0.061577,0.078437,8636.0,545821
2017-09-16,0.078269,0.091616,0.073212,0.07784,11502.0,546969
2017-09-17,0.076184,0.07967,0.072282,0.077168,6775.0,547512
2017-09-18,0.077014,0.103448,0.076283,0.088778,18380.0,635969
2017-09-19,0.089643,0.101373,0.079713,0.085197,12425.0,616088
2017-09-20,0.085073,0.091103,0.080032,0.084047,10879.0,613488
2017-09-21,0.080307,0.083107,0.06617,0.066786,10763.0,491999
2017-09-22,0.066709,0.079929,0.066573,0.069484,8449.0,516541
2017-09-23,0.069746,0.073431,0.067133,0.068246,25528.0,511952
2017-09-24,0.068241,0.088958,0.063429,0.085592,85861.0,647899
2017-09-25,0.085254,0.087872,0.078378,0.080673,34135.0,616104
2017-09-26,0.079801,0.090659,0.078775,0.082677,11838.0,636920
2017-09-27,0.082446,0.089296,0.081759,0.085006,32829.0,660679
2017-09-28,0.084925,0.092809,0.080276,0.084352,22653.0,661291
2017-09-29,0.08246,0.08484,0.077089,0.078973,9572.0,624542
2017-09-30,0.078978,0.08659,0.078043,0.082279,8846.0,656293
2017-10-01,0.081867,0.084953,0.079106,0.079731,8253.0,641429
2017-10-02,0.079062,0.081779,0.072411,0.07399,10437.0,600263
2017-10-03,0.073546,0.08194,0.07085,0.072158,11473.0,590275
2017-10-04,0.072366,0.075606,0.068867,0.069718,9818.0,575077
2017-10-05,0.069704,0.076357,0.066454,0.066454,11556.0,552658
2017-10-06,0.066561,0.074607,0.06348,0.067957,12605.0,569813
2017-10-07,0.067978,0.068889,0.06118,0.06636,7360.0,560958
2017-10-08,0.066186,0.068666,0.059813,0.06783,11636.0,577705
2017-10-09,0.067848,0.068357,0.054047,0.058271,12161.0,500232
2017-10-10,0.058597,0.061672,0.056459,0.0583,6850.0,504390
2017-10-11,0.05829,0.059352,0.055874,0.056203,3983.0,490137
2017-10-12,0.056251,0.071571,0.054407,0.064694,8393.0,568437
2017-10-13,0.064897,0.06676,0.042583,0.05839,11508.0,517005
2017-10-14,0.058406,0.084031,0.054509,0.075001,14308.0,669274
2017-10-15,0.075135,0.076078,0.05447,0.057344,9978.0,515585
2017-10-16,0.057352,0.064482,0.054657,0.056053,4955.0,507752
