Date,Open,High,Low,Close,Volume,Market Cap
2014-05-21,0.054233,0.065872,0.054233,0.058986,141,13061
2014-05-22,0.059012,0.111996,0.053921,0.111996,596,24799
2014-05-23,0.112134,0.113944,0.063269,0.083319,769,18449
2014-05-24,0.083236,0.103246,0.073225,0.073545,483,16285
2014-05-25,0.07354,0.12106,0.064332,0.074761,1081,16554
2014-05-26,0.074884,0.114638,0.058166,0.092143,756,20403
2014-05-27,0.092181,0.093382,0.05959,0.06294,385,13937
2014-05-28,0.062848,0.084652,0.059235,0.0663,241,14681
2014-05-29,0.066362,0.066366,0.02838,0.028426,420,6295
2014-05-30,0.028426,0.063948,0.028425,0.038812,109,8594
2014-05-31,0.038808,0.067326,0.018537,0.048724,128,10789
2014-06-01,0.048647,0.064441,0.034838,0.053477,267,11842
2014-06-02,0.053569,0.05408,0.034759,0.036652,47,8116
2014-06-03,0.036684,0.037433,0.026396,0.034047,7,7540
2014-06-04,0.034048,0.043176,0.025311,0.042724,350,9461
2014-06-05,0.042732,0.045438,0.019657,0.019826,53,4390
2014-06-06,0.019844,0.019907,0.006605,0.006608,18,1463
2014-06-07,0.006602,0.028796,0.00652,0.028491,22,6309
2014-06-08,0.028492,0.028655,0.006626,0.025851,189,5725
2014-06-09,0.025845,0.025907,0.007325,0.008806,298,1950
2014-06-10,0.008803,0.023054,0.008767,0.018133,134,4016
2014-06-11,0.018138,0.021696,0.01622,0.021678,74,4801
2014-06-12,0.021649,0.034705,0.021579,0.032169,276,7124
2014-06-13,0.031989,0.033519,0.03192,0.032658,2,7232
2014-06-14,0.032691,0.032751,0.01063,0.011057,15,2449
2014-06-15,0.010976,0.027441,0.005739,0.011827,37,2619
2014-06-16,0.011859,0.024242,0.011741,0.022659,114,5018
2014-06-17,0.022687,0.023819,0.022618,0.023819,1,5275
2014-06-18,0.023818,0.024304,0.012088,0.024295,283,5380
2014-06-19,0.024306,0.032832,0.018157,0.026938,25,5966
2014-06-20,0.026913,0.048255,0.012498,0.04805,258,10641
2014-06-21,0.048126,0.050193,0.029506,0.048287,32,10694
2014-06-22,0.048194,0.049061,0.02097,0.044557,4,9868
2014-06-23,0.044544,0.048848,0.02359,0.047791,44,10584
2014-06-24,0.047804,0.047804,0.023566,0.046658,16,10333
2014-06-25,0.046583,0.046682,0.019831,0.01996,104,4420
2014-06-26,0.045307,0.046055,0.006313,0.006444,164,1427
2014-06-27,0.006456,0.029228,0.006443,0.006677,20,1479
2014-06-28,0.009579,0.023925,0.008948,0.008948,6,1982
2014-06-29,0.008945,0.011785,0.008945,0.01175,26,2602
2014-06-30,0.011759,0.012384,0.011704,0.012224,2,2707
2014-07-01,0.012578,0.02302,0.012546,0.02241,9,4963
2014-07-02,0.022428,0.026226,0.016306,0.026034,4,5766
2014-07-03,0.026029,0.039657,0.01529,0.039456,117,8739
2014-07-04,0.039471,0.039478,0.01494,0.01648,68,3650
2014-07-05,0.016461,0.018299,0.014846,0.018299,65,4053
2014-07-06,0.018306,0.048354,0.018297,0.019567,373,4334
2014-07-07,0.019583,0.043808,0.019328,0.021001,15,4651
2014-07-08,0.020933,0.040767,0.016895,0.016895,41,3742
2014-07-09,0.016906,0.018791,0.013392,0.013483,166,2986
2014-07-10,0.01349,0.018463,0.007418,0.018404,4,4076
2014-07-11,0.0185,0.036895,0.018473,0.03689,202,8171
2014-07-12,0.036883,0.03689,0.030732,0.031046,33,6876
2014-07-13,0.03107,0.031095,0.015919,0.025054,1,5549
2014-07-14,0.025056,0.025087,0.008729,0.017997,153,3986
2014-07-15,0.018017,0.02188,0.018007,0.021755,0,4819
2014-07-16,0.02177,0.021808,0.021175,0.021218,117,4700
2014-07-17,0.021209,0.021262,0.011322,0.011596,9,2569
2014-07-18,0.011582,0.011955,0.011569,0.011947,0,2646
2014-07-19,0.011954,0.012273,0.011867,0.012256,1,2715
2014-07-20,0.012257,0.012986,0.012171,0.012965,2,2872
2014-07-21,0.012966,0.024849,0.011534,0.024845,165,5503
2014-07-22,0.024847,0.031173,0.016151,0.016167,92,3581
2014-07-23,0.016155,0.016202,0.013602,0.013627,1,3019
2014-07-24,0.013629,0.01804,0.013485,0.017992,16,3985
2014-07-25,0.017985,0.018014,0.013139,0.013783,7,3053
2014-07-26,0.013793,0.013806,0.012473,0.012512,11,2772
2014-07-27,0.012509,0.012578,0.012462,0.012471,11,2762
2014-07-28,0.012477,0.012486,0.012079,0.0123,11,2724
2014-07-29,0.012297,0.012356,0.012216,0.012279,11,2720
2014-07-30,0.01228,0.012288,0.011863,0.011913,11,2639
2014-07-31,0.011915,0.012311,0.011855,0.012311,11,2727
2014-08-01,0.01231,0.012556,0.012256,0.012493,11,2767
2014-08-02,0.012493,0.012493,0.012309,0.012376,11,2741
2014-08-03,0.012367,0.012372,0.01224,0.012264,11,2717
2017-09-13,0.063123,0.120188,0.057614,0.057617,841,20475
2017-09-14,0.057575,0.178341,0.049523,0.050064,560,17994
2017-09-15,0.050454,0.286152,0.050454,0.075012,2555,27537
2017-09-16,0.075373,0.379081,0.063883,0.15102,2646,56191
2017-09-17,0.150917,0.206495,0.069128,0.114778,1607,43274
2017-09-18,0.114549,0.199788,0.099753,0.199788,1821,76242
2017-09-19,0.200271,0.20542,0.110279,0.189827,2418,73005
2017-09-20,0.189574,0.19467,0.186283,0.194231,2474,74703
2017-09-21,0.465566,0.582827,0.205501,0.253751,3237,99149
2017-09-22,0.25346,0.391665,0.234378,0.239441,2051,94652
2017-09-23,0.238765,0.360741,0.187006,0.208424,1038,83337
2017-09-24,0.208406,0.22623,0.080854,0.1691,1228,68357
2017-09-25,0.168929,0.176222,0.097936,0.118524,1074,48558
2017-09-26,0.118512,0.152222,0.105836,0.128488,1057,53230
2017-09-27,0.128129,0.159883,0.106234,0.11953,1102,50010
2017-09-28,0.119535,0.374637,0.118256,0.138538,2296,58650
2017-09-29,0.251449,0.251477,0.137725,0.166567,2816,71381
2017-09-30,0.166588,0.171152,0.119733,0.121633,1303,52664
2017-10-01,0.121699,0.225178,0.119721,0.123089,1183,53899
2017-10-02,0.123035,0.157627,0.088155,0.089154,674,39439
2017-10-03,0.089157,0.167726,0.06026,0.107915,1685,48281
2017-10-04,0.108165,0.159927,0.105061,0.105313,970,47639
2017-10-05,0.105409,0.135006,0.103513,0.108222,752,49463
2017-10-06,0.108221,0.136702,0.107992,0.109529,1609,50587
2017-10-07,0.109565,0.131489,0.108693,0.116601,900,54408
2017-10-08,0.116289,0.150522,0.115556,0.133447,1321,62913
2017-10-09,0.133481,0.170639,0.133103,0.142686,1489,67938
2017-10-10,0.142676,0.164728,0.12342,0.124376,667,59802
2017-10-11,0.124356,0.157376,0.087192,0.141434,1423,68703
2017-10-12,0.141554,0.158797,0.09528,0.103924,2316,50973
2017-10-13,0.104244,0.197604,0.090247,0.092558,662,45819
2017-10-14,0.092583,0.156941,0.091717,0.101922,1361,50941
2017-10-15,0.102104,0.187977,0.094924,0.109042,2498,55056
2017-10-16,0.109057,0.177063,0.097874,0.119261,1976,60747
2017-10-17,0.11928,0.173405,0.107396,0.115983,1008,59543
2017-10-18,0.115991,0.140224,0.105689,0.139553,782,72256
