Date,Open,High,Low,Close,Volume,Market Cap
2019-04-17,0.183474,0.185682,0.167629,0.173397,1897373,
2019-04-18,0.170468,0.231392,0.151865,0.221505,1883895,
2019-04-19,0.221248,0.222323,0.164794,0.187157,1098212,
2019-04-20,0.18725,0.194369,0.162853,0.170582,838305,
2019-04-21,0.170362,0.18168,0.162228,0.180475,905629,
2019-04-22,0.179273,0.196481,0.168649,0.172953,1156395,
2019-04-23,0.172953,0.173686,0.150902,0.15433,714762,
2019-04-24,0.15433,0.159115,0.112436,0.133582,1151851,
2019-04-25,0.133885,0.154691,0.115463,0.128031,1145405,
2019-04-26,0.128726,0.134533,0.118057,0.130897,1057438,
2019-04-27,0.131434,0.1552,0.126038,0.143116,1106477,
2019-04-28,0.143324,0.156559,0.136321,0.142024,1064267,
2019-04-29,0.142793,0.14813,0.127961,0.132753,963816,
2019-04-30,0.133399,0.139373,0.125393,0.128711,997834,
2019-05-01,0.127926,0.133604,0.115905,0.120678,1038736,
2019-05-02,0.119459,0.129386,0.116862,0.123541,1031693,3042379.0
2019-05-03,0.12494,0.129035,0.119345,0.125096,1037793,3080675.0
2019-05-04,0.124675,0.128573,0.108875,0.111788,974978,2752949.0
2019-05-05,0.112116,0.118045,0.107384,0.115709,962864,2849516.0
2019-05-06,0.114973,0.11933,0.107784,0.111301,961285,2615930.0
2019-05-07,0.1086,0.115345,0.107593,0.107593,851716,2528782.0
2019-05-08,0.108517,0.133538,0.091742,0.107512,858498,2526880.0
2019-05-09,0.103808,0.113541,0.086282,0.092415,862442,2218408.0
2019-05-10,0.091953,0.10299,0.078338,0.078338,659531,1880500.0
2019-05-11,0.079964,0.115611,0.07883,0.091399,846363,2194023.0
2019-05-12,0.090132,0.112235,0.081787,0.093147,869324,2245290.0
2019-05-13,0.093147,0.109653,0.08536,0.093794,1026343,2261071.0
2019-05-14,0.097773,0.107894,0.088479,0.096504,983589,2326526.0
2019-05-15,0.095825,0.126561,0.095825,0.126561,1155288,3051264.0
2019-05-16,0.127012,0.134758,0.114977,0.120993,1186695,2917246.0
2019-05-17,0.121386,0.123594,0.09759,0.102478,1077366,2470901.0
