Date,Open,High,Low,Close,Volume,Market Cap
2018-04-25,1.19,1.3,1.19,1.29,138573,
2018-04-26,1.3,2.02,1.18,1.95,359906,9821006.0
2018-04-27,1.96,2.06,1.42,1.42,196271,7183018.0
2018-04-28,1.43,1.67,1.07,1.41,134321,7115826.0
2018-04-29,1.35,1.48,1.03,1.07,71968,5460353.0
2018-04-30,1.07,1.39,0.978,1.14,77286,5826364.0
2018-05-01,1.22,1.24,0.989472,1.15,40878,5890093.0
2018-05-02,1.17,1.23,1.08,1.19,61246,6099948.0
2018-05-03,1.19,1.49,1.13,1.4,41582,7212249.0
2018-05-04,1.4,1.42,1.22,1.3,25794,6689726.0
2018-05-05,1.3,1.42,1.09,1.26,59820,6500455.0
2018-05-06,1.26,1.33,0.979504,0.988373,56333,5137454.0
2018-05-07,0.990243,1.07,0.786025,0.844445,60664,4395604.0
2018-05-08,0.860338,1.01,0.699884,0.837445,72827,4385173.0
2018-05-09,0.836165,0.894435,0.724796,0.82316,36631,4314518.0
2018-05-10,0.822939,0.904185,0.803112,0.821034,34487,4317862.0
2018-05-11,0.821974,0.846522,0.698971,0.700452,24647,3696092.0
2018-05-12,0.699724,0.744459,0.634874,0.651358,25050,3448630.0
2018-05-13,0.651201,0.687212,0.636347,0.652488,20176,3466177.0
2018-05-14,0.652342,0.686786,0.56311,0.586001,26556,3123222.0
2018-05-15,0.584972,0.614868,0.570985,0.581281,17490,3108428.0
2018-05-16,0.580946,0.603159,0.552963,0.577801,14529,3100162.0
2018-05-17,0.578136,0.608053,0.556567,0.559324,22032,3010787.0
2018-05-18,0.557319,0.575647,0.540977,0.55602,25503,3002943.0
2018-05-19,0.555796,0.573166,0.496367,0.507848,20039,2751742.0
2018-05-20,0.508227,0.668591,0.487182,0.64965,37457,3531719.0
2018-05-21,0.654621,0.670547,0.547224,0.662176,27930,3611654.0
2018-05-22,0.662022,0.740986,0.601315,0.733207,30481,4012654.0
2018-05-23,0.694881,0.717362,0.627679,0.661057,26574,3625579.0
2018-05-24,0.659419,0.678084,0.553829,0.613579,26179,3382005.0
2018-05-25,0.614732,0.65958,0.532677,0.568768,15750,3138938.0
2018-05-26,0.568022,0.585425,0.50709,0.541578,17307,2998703.0
2018-05-27,0.542034,0.542034,0.470774,0.470774,19429,2617503.0
2018-05-28,0.470884,0.505272,0.436097,0.483295,20069,2691063.0
2018-05-29,0.483138,0.519111,0.45802,0.49976,11840,2798216.0
