Date,Open,High,Low,Close,Volume,Market Cap
2018-10-05,0.226756,0.579408,0.192909,0.518478,46161,
2018-10-06,0.51856,0.763026,0.168609,0.268103,39486,
2018-10-07,0.26848,0.269037,0.122979,0.126507,6033,
2018-10-08,0.126768,0.220397,0.126586,0.204127,16410,6373750.0
2018-10-09,0.204047,0.272609,0.160848,0.239243,46377,7470228.0
2018-10-10,0.238866,0.44478,0.232328,0.444414,27043,13876576.0
2018-10-11,0.444107,0.444457,0.116911,0.237861,31554,7427075.0
2018-10-12,0.237764,0.241171,0.126836,0.203848,23827,6409584.0
2018-10-13,0.203607,0.230085,0.156549,0.18649,24644,5866835.0
2018-10-14,0.186492,0.283532,0.147357,0.218012,25316,6862992.0
2018-10-15,0.218385,0.320423,0.216908,0.319986,28449,10073122.0
2018-10-16,0.319985,0.331816,0.189656,0.190892,14156,6044544.0
2018-10-17,0.191228,0.324069,0.183896,0.241957,21462,7661504.0
2018-10-18,0.241421,0.343431,0.153346,0.175603,11968,5561564.0
2018-10-19,0.175603,0.281725,0.142447,0.182774,32208,5789236.0
2018-10-20,0.182578,0.182782,0.140226,0.145166,41437,4598029.0
2018-10-21,0.14522,0.26312,0.144819,0.200861,28520,6362129.0
2018-10-22,0.200861,0.245501,0.127094,0.127248,16281,4032074.0
2018-10-23,0.127333,0.129348,0.107891,0.129079,12240,4090093.0
2018-10-24,0.129021,0.135542,0.101119,0.125178,25918,3966483.0
2018-10-25,0.125184,0.142042,0.084683,0.088266,11768,2796849.0
2018-10-26,0.088153,0.13117,0.078599,0.097796,17509,3098833.0
2018-10-27,0.09787,0.100732,0.07744,0.087903,8625,2785360.0
2018-10-28,0.087816,0.110424,0.081058,0.086658,11454,2745910.0
2018-10-29,0.086573,0.114227,0.07265,0.110011,16814,3485890.0
2018-10-30,0.10998,0.110064,0.070597,0.071395,3851,2262287.0
2018-10-31,0.071449,0.086555,0.045695,0.047876,9094,1517034.0
2018-11-01,0.047876,0.060266,0.047488,0.052859,2563,1674942.0
