Date,Open,High,Low,Close,Volume,Market Cap
2019-03-15,0.136224,0.136606,0.13489,0.136606,26954,
2019-03-16,0.136002,0.139172,0.127116,0.127997,26146,
2019-03-17,0.128199,0.128758,0.118984,0.120296,25931,
2019-03-18,0.120523,0.121154,0.113483,0.113725,23366,
2019-03-19,0.113726,0.121983,0.09556,0.096645,21233,
2019-03-20,0.096897,0.097171,0.041564,0.041564,10476,
2019-03-21,0.041566,0.145147,0.040046,0.069061,64567,
2019-03-22,0.067182,0.071482,0.048175,0.050106,11209,
2019-03-23,0.049777,0.051343,0.041457,0.042148,8527,
2019-03-24,0.042282,0.047067,0.041307,0.044333,11447,
2019-03-25,0.044642,0.044992,0.040518,0.041056,10451,
2019-03-26,0.04127,0.042611,0.040307,0.041369,8117,
2019-03-27,0.041421,0.044201,0.040423,0.04083,7632,
2019-03-28,0.040736,0.069599,0.040354,0.053862,19834,
2019-03-29,0.053206,0.306689,0.052278,0.054085,15298,
2019-03-30,0.05396,0.057848,0.05396,0.054274,11329,
2019-03-31,0.054274,0.070922,0.045314,0.050683,19084,
2019-04-01,0.051102,0.1054,0.050095,0.050565,17018,
2019-04-02,0.050588,0.052774,0.038915,0.04169,11971,
2019-04-03,0.04169,0.045011,0.038184,0.038383,7829,
2019-04-04,0.038368,0.06887,0.038368,0.04164,9620,
2019-04-05,0.041588,0.044168,0.04018,0.041284,8001,
2019-04-06,0.041709,0.0443,0.03924,0.039327,6418,
2019-04-07,0.03932,0.045984,0.038396,0.045027,12543,
2019-04-08,0.045103,0.047553,0.039073,0.040814,8435,
2019-04-09,0.040814,0.042739,0.037432,0.04134,9769,
2019-04-10,0.041335,0.042785,0.039749,0.039931,9147,
2019-04-11,0.039917,0.041071,0.036429,0.036647,7524,
2019-04-12,0.03668,0.038446,0.036306,0.03738,13129,
2019-04-13,0.03706,0.038293,0.032547,0.034374,9169,
2019-04-14,0.034374,0.036289,0.032015,0.032512,6312,
2019-04-15,0.032512,0.032572,0.031472,0.031592,4708,
2019-04-16,0.03159,0.031665,0.022455,0.022638,6088,
2019-04-17,0.022639,0.035315,0.022131,0.031123,9617,
2019-04-18,0.030532,0.031458,0.018915,0.019607,7549,
2019-04-19,0.019395,0.038898,0.017695,0.023537,8863,
2019-04-20,0.023661,0.023661,0.013146,0.016301,5274,
2019-04-21,0.016406,0.01959,0.014861,0.01701,7129,
2019-04-22,0.017008,0.017625,0.014964,0.015051,4838,
2019-04-23,0.015051,0.016506,0.01497,0.015254,4909,
2019-04-24,0.015254,0.015785,0.012842,0.013054,3852,
2019-04-25,0.013069,0.013518,0.012527,0.012791,3113,
2019-04-26,0.01281,0.034878,0.012053,0.012141,5417,
2019-04-27,0.012395,0.013975,0.010817,0.011956,3719,
2019-04-28,0.012076,0.030201,0.011832,0.018276,6146,
2019-04-29,0.018183,0.019446,0.015428,0.017646,5647,
2019-04-30,0.017527,0.021842,0.016536,0.021528,6411,
2019-05-01,0.021141,0.030542,0.02107,0.025115,9688,
2019-05-02,0.025013,0.033013,0.024433,0.03208,15755,
2019-05-03,0.032079,0.039497,0.026455,0.035575,13079,
2019-05-04,0.035552,0.036183,0.03168,0.03441,10327,
2019-05-05,0.034416,0.035092,0.032327,0.033816,8985,
2019-05-06,0.033814,0.037924,0.032019,0.036988,11113,
2019-05-07,0.037364,0.053097,0.036973,0.047531,15485,
2019-05-08,0.047212,0.061522,0.045613,0.060125,20805,
2019-05-09,0.060115,0.062693,0.049931,0.050455,16697,
2019-05-10,0.050457,0.055053,0.049645,0.050271,15928,
2019-05-11,0.050533,0.052558,0.04906,0.050233,15792,
2019-05-12,0.050877,0.054269,0.048956,0.052894,16889,
2019-05-13,0.052894,0.05701,0.050671,0.05445,19832,
2019-05-14,0.054431,0.056115,0.044376,0.045222,13688,
2019-05-15,0.045376,0.050847,0.042553,0.043556,13816,
2019-05-16,0.043815,0.055885,0.042902,0.054289,18826,
2019-05-17,0.054082,0.055389,0.023044,0.023083,7610,
