Date,Open,High,Low,Close,Volume,Market Cap
2018-10-31,0.020443,0.02559,0.019554,0.025569,2352540,
2018-11-01,0.025489,0.030092,0.024541,0.02918,1786300,
2018-11-02,0.028738,0.028738,0.022736,0.022808,260851,
2018-11-03,0.02281,0.024659,0.022777,0.023866,48838,
2018-11-04,0.023866,0.025716,0.022081,0.025716,288696,
2018-11-05,0.025534,0.026916,0.024976,0.025779,215022,
2018-11-06,0.025867,0.026091,0.02476,0.025021,36202,
2018-11-07,0.025065,0.025196,0.022852,0.02337,60916,
2018-11-08,0.023415,0.024742,0.023069,0.023418,140036,
2018-11-09,0.023444,0.023736,0.022615,0.022813,117924,
2018-11-10,0.022764,0.023058,0.022057,0.022603,114165,
2018-11-11,0.022395,0.022597,0.021926,0.022139,124607,
2018-11-12,0.022305,0.022473,0.021974,0.022013,113904,
2018-11-13,0.021988,0.022053,0.021576,0.021715,60841,
2018-11-14,0.021672,0.021713,0.018452,0.018734,70085,
2018-11-15,0.018742,0.021449,0.018703,0.019706,90774,
2018-11-16,0.019728,0.020808,0.018351,0.01938,62409,
2018-11-17,0.019397,0.023372,0.017922,0.021491,81149,
2018-11-18,0.021318,0.021318,0.019274,0.019676,92469,
2018-11-19,0.019719,0.019804,0.017115,0.017211,279766,
2018-11-20,0.017268,0.017491,0.01541,0.01541,67460,
2018-11-21,0.015645,0.0199,0.015259,0.015499,212592,
2018-11-22,0.01552,0.01694,0.014129,0.01615,53960,
2018-11-23,0.015915,0.016095,0.014768,0.015146,50436,
2018-11-24,0.015136,0.017453,0.013745,0.014532,52830,
2018-11-25,0.014509,0.01539,0.013614,0.013621,55819,
2018-11-26,0.013487,0.01437,0.012779,0.013525,61127,
2018-11-27,0.013459,0.013604,0.012228,0.013393,80179,
2018-11-28,0.013347,0.014219,0.013135,0.013259,96025,
2018-11-29,0.013256,0.015892,0.011389,0.012358,475182,
2018-11-30,0.012366,0.013803,0.011179,0.011368,124107,
2018-12-01,0.011398,0.012314,0.011007,0.011907,15730,
2018-12-02,0.011876,0.012046,0.011489,0.011598,18597,
2018-12-03,0.011567,0.011598,0.010642,0.010712,26826,
2018-12-04,0.010697,0.012138,0.010511,0.01163,17910,
2018-12-05,0.011627,0.011667,0.010867,0.010867,19823,
2018-12-06,0.010799,0.011285,0.009762,0.009762,21049,
2018-12-07,0.009856,0.017411,0.008981,0.014088,52574,
2018-12-08,0.014079,0.014456,0.013194,0.014116,12810,
2018-12-09,0.014095,0.017072,0.013979,0.015971,19893,
2018-12-10,0.015962,0.016572,0.012288,0.016005,90492,
2018-12-11,0.015998,0.018204,0.015279,0.017217,29496,
2018-12-12,0.017211,0.018939,0.017159,0.018667,141642,
2018-12-13,0.018532,0.018616,0.015414,0.015474,50864,
2018-12-14,0.015478,0.016077,0.014743,0.015711,44141,
2018-12-15,0.015725,0.016658,0.015444,0.016647,45552,
2018-12-16,0.016648,0.016885,0.016375,0.016432,105885,
2018-12-17,0.016487,0.017798,0.014905,0.017686,78365,
2018-12-18,0.017702,0.018426,0.017055,0.017982,65313,
2018-12-19,0.017876,0.019786,0.017629,0.018423,88490,
2018-12-20,0.018417,0.019195,0.017971,0.018167,37041,
2018-12-21,0.018255,0.018941,0.016393,0.016648,21327,
2018-12-22,0.016627,0.018574,0.016627,0.018319,18277,
2018-12-23,0.01832,0.019167,0.017457,0.017727,33545,
2018-12-24,0.017725,0.020072,0.017686,0.018522,38909,
2018-12-25,0.018627,0.018951,0.017659,0.017974,19481,
2018-12-26,0.017999,0.018747,0.017532,0.018535,10433,
2018-12-27,0.018555,0.020021,0.014908,0.015027,318151,
2018-12-28,0.015038,0.017821,0.014028,0.01754,123073,
2018-12-29,0.017455,0.017954,0.017233,0.017233,35780,
2018-12-30,0.017077,0.017531,0.016341,0.016983,36484,
2018-12-31,0.016918,0.017242,0.015634,0.015634,23559,
2019-01-01,0.015676,0.0169,0.015623,0.016759,25989,
2019-01-02,0.016789,0.017984,0.0164,0.017249,12756,
2019-01-03,0.017217,0.017831,0.017014,0.017646,51560,
2019-01-04,0.017655,0.018603,0.016989,0.017953,90687,
2019-01-05,0.017913,0.019089,0.017854,0.018252,151509,
2019-01-06,0.018226,0.018739,0.017607,0.018362,83949,
2019-01-07,0.018364,0.018652,0.017344,0.017416,76824,
2019-01-08,0.017421,0.018082,0.017196,0.01737,50660,
2019-01-09,0.017342,0.017901,0.017342,0.01767,37995,
2019-01-10,0.017686,0.018176,0.015044,0.015172,23906,
2019-01-11,0.015175,0.015477,0.014894,0.015049,18656,
2019-01-12,0.015046,0.015436,0.014818,0.015306,16657,
2019-01-13,0.015257,0.016056,0.015257,0.015301,21745,
2019-01-14,0.015307,0.016521,0.015064,0.016356,19338,
2019-01-15,0.016419,0.016464,0.015176,0.015288,18806,
2019-01-16,0.015136,0.015224,0.014691,0.015128,19247,
2019-01-17,0.015116,0.01528,0.01461,0.014987,17922,
2019-01-18,0.014843,0.015114,0.014424,0.014617,13261,
2019-01-19,0.014572,0.015196,0.014461,0.014691,54559,
2019-01-20,0.014695,0.015096,0.014213,0.014499,34837,
2019-01-21,0.014482,0.014905,0.014299,0.014565,23365,
2019-01-22,0.01455,0.015005,0.014215,0.014519,16694,
2019-01-23,0.014585,0.014912,0.013872,0.014161,21853,
2019-01-24,0.014167,0.014275,0.013656,0.01396,17034,
2019-01-25,0.013981,0.014176,0.01374,0.013874,15253,
2019-01-26,0.013902,0.014654,0.013718,0.013919,20438,
2019-01-27,0.014046,0.014478,0.01373,0.013947,22585,
2019-01-28,0.01395,0.01395,0.012566,0.012982,13941,
2019-01-29,0.013036,0.013185,0.01234,0.01275,10407,
2019-01-30,0.012742,0.013312,0.012493,0.013061,15284,
2019-01-31,0.01306,0.013338,0.012638,0.012898,13176,
2019-02-01,0.012904,0.012963,0.012529,0.012736,10425,
2019-02-02,0.012719,0.013263,0.012719,0.013239,13507,
2019-02-03,0.013219,0.013555,0.012834,0.013001,16363,
2019-02-04,0.013025,0.013196,0.012758,0.01287,15063,
2019-02-05,0.012852,0.015982,0.01269,0.013006,22204,
2019-02-06,0.013085,0.013227,0.012784,0.012939,12432,
2019-02-07,0.012993,0.01313,0.012674,0.012959,21062,
2019-02-08,0.012966,0.01472,0.012606,0.014693,12779,
2019-02-09,0.014709,0.014719,0.01415,0.014273,15282,
2019-02-10,0.014279,0.014995,0.014033,0.014995,12299,
2019-02-11,0.01502,0.01502,0.014505,0.014778,21490,
2019-02-12,0.014764,0.01524,0.014546,0.014886,44410,
2019-02-13,0.014886,0.015177,0.014462,0.014639,13395,
2019-02-14,0.01461,0.014839,0.013491,0.014104,19361,
2019-02-15,0.014106,0.01529,0.014012,0.014626,17992,
2019-02-16,0.014604,0.014881,0.014526,0.01466,14640,
2019-02-17,0.014661,0.015676,0.01457,0.015561,13314,
2019-02-18,0.015604,0.017398,0.015078,0.015203,121005,
2019-02-19,0.015211,0.015948,0.015103,0.01574,12829,
2019-02-20,0.015723,0.016466,0.015466,0.016234,10552,
2019-02-21,0.016225,0.016299,0.015779,0.016299,10307,
2019-02-22,0.016287,0.016787,0.015738,0.01584,11185,
2019-02-23,0.015756,0.016028,0.015444,0.015723,10615,
2019-02-24,0.015742,0.016296,0.014711,0.014983,14442,
2019-02-25,0.014564,0.015359,0.014552,0.015222,9180,
2019-02-26,0.015195,0.015289,0.014315,0.014463,8475,
2019-02-27,0.014466,0.014466,0.013652,0.014019,8082,
2019-02-28,0.014187,0.014429,0.013771,0.014087,8168,
2019-03-01,0.014083,0.014356,0.013781,0.013781,9919,
2019-03-02,0.013763,0.014677,0.013607,0.014643,10824,
2019-03-03,0.014601,0.014758,0.014424,0.014626,7922,
2019-03-04,0.01463,0.014889,0.014194,0.014343,7669,
2019-03-05,0.014349,0.015073,0.014264,0.014764,8985,
2019-03-06,0.014761,0.015406,0.014695,0.014887,9756,
2019-03-07,0.01489,0.015354,0.01482,0.01494,8389,
2019-03-08,0.014923,0.015283,0.014724,0.014858,8767,
2019-03-09,0.014848,0.016014,0.014822,0.015561,8079,
2019-03-10,0.015588,0.015904,0.015261,0.015424,6719,
2019-03-11,0.015433,0.015697,0.015174,0.015549,8558,
2019-03-12,0.015554,0.024769,0.014677,0.015102,10159,
2019-03-13,0.015116,0.015279,0.014744,0.014815,7445,
2019-03-14,0.014764,0.015237,0.014666,0.014713,7496,
2019-03-15,0.014653,0.015477,0.014644,0.015218,9523,
2019-03-16,0.015221,0.015808,0.015053,0.015101,8731,
2019-03-17,0.015105,0.015591,0.014736,0.015108,8294,
2019-03-18,0.014999,0.015652,0.014999,0.01537,7834,
2019-03-19,0.015377,0.015698,0.015175,0.015435,8796,
2019-03-20,0.015446,0.015543,0.015025,0.015293,8359,
2019-03-21,0.0153,0.015552,0.014756,0.01501,7018,
2019-03-22,0.015001,0.015155,0.014786,0.014917,6262,
2019-03-23,0.014889,0.015472,0.01481,0.015336,7015,
2019-03-24,0.015341,0.01556,0.014126,0.014249,7396,
2019-03-25,0.014271,0.014446,0.013643,0.013784,8988,
2019-03-26,0.013772,0.013841,0.013595,0.013687,6661,
2019-03-27,0.013695,0.014606,0.013683,0.014457,5786,
2019-03-28,0.014436,0.014996,0.014155,0.014456,7459,
2019-03-29,0.014456,0.014757,0.01396,0.014472,6467,
2019-03-30,0.014453,0.015451,0.014294,0.014789,7648,
2019-03-31,0.014789,0.015323,0.014231,0.0151,7603,
2019-04-01,0.015103,0.015652,0.014833,0.015476,8336,
2019-04-02,0.015482,0.016832,0.015251,0.015812,8488,
2019-04-03,0.015812,0.016566,0.014617,0.014839,7062,
2019-04-04,0.014836,0.015923,0.014424,0.015056,6406,
2019-04-05,0.015051,0.015557,0.014839,0.015165,7193,
2019-04-06,0.015169,0.016055,0.014707,0.015497,7787,
2019-04-07,0.015493,0.016025,0.015175,0.01592,10061,
2019-04-08,0.015921,0.016116,0.015157,0.015477,7587,
2019-04-09,0.015477,0.019972,0.014821,0.014981,8687,
2019-04-10,0.01498,0.016609,0.014932,0.016105,4185,
2019-04-11,0.016101,0.024106,0.015846,0.022236,685,
2019-04-12,0.022232,0.02224,0.018682,0.020343,953,
2019-04-13,0.020354,0.027142,0.019222,0.019883,1575,
2019-04-14,0.019883,0.024056,0.018812,0.019517,1262,
2019-04-15,0.019517,0.021126,0.016865,0.016986,1914,
2019-04-16,0.016987,0.020915,0.016893,0.018888,1235,
2019-04-17,0.018884,0.023326,0.018233,0.023325,654,
2019-04-18,0.023328,0.031288,0.02029,0.020735,1087,
2019-04-19,0.020745,0.023969,0.019461,0.023398,713,
2019-04-20,0.02338,0.03134,0.016604,0.016648,3629,
2019-04-21,0.016645,0.017553,0.016447,0.017044,3997,
2019-04-22,0.017045,0.031445,0.016826,0.030014,421,
2019-04-23,0.030014,0.030431,0.015451,0.016344,33995,
2019-04-24,0.016344,0.016713,0.015274,0.015712,21613,
2019-04-25,0.01571,0.017383,0.014971,0.015118,6725,
2019-04-26,0.015128,0.0159,0.014404,0.015806,3527,
2019-04-27,0.015809,0.020581,0.015781,0.01954,764,
2019-04-28,0.01955,0.024983,0.019545,0.023791,493,
2019-04-29,0.023791,0.024005,0.017097,0.01727,1533,
2019-04-30,0.017272,0.025794,0.016964,0.025711,486,
2019-05-01,0.02565,0.029633,0.018019,0.01815,1424,
2019-05-02,0.018141,0.019282,0.016848,0.01893,985,
2019-05-03,0.018932,0.023698,0.018866,0.022657,673,
2019-05-04,0.022667,0.030151,0.02256,0.029193,337,
2019-05-05,0.029184,0.029298,0.020972,0.02109,705,
2019-05-06,0.021093,0.023192,0.017556,0.017609,1761,
2019-05-07,0.017603,0.021155,0.017538,0.01998,1092,
2019-05-08,0.019994,0.024867,0.019638,0.021804,858,
2019-05-09,0.021809,0.022123,0.019312,0.020326,1095,
2019-05-10,0.02033,0.020863,0.018145,0.018452,2277,
2019-05-11,0.01846,0.020135,0.017773,0.018388,18687,
2019-05-12,0.018383,0.020529,0.018129,0.01918,7608,
2019-05-13,0.01918,0.020941,0.01812,0.020264,20496,
2019-05-14,0.020262,0.021617,0.019565,0.020521,24348,
2019-05-15,0.020477,0.020772,0.018775,0.020243,35317,
2019-05-16,0.020233,0.020746,0.01858,0.019384,18158,
2019-05-17,0.01939,0.019992,0.017674,0.017904,17580,
