Date,Open,High,Low,Close,Volume,Market Cap
2018-10-09,0.016436,0.01655,0.012829,0.014113,126179,
2018-10-10,0.014232,0.0164,0.008753,0.009738,482543,
2018-10-11,0.009709,0.009709,0.007682,0.007682,1423500,
2018-10-12,0.0076,0.009752,0.007585,0.009748,1797850,
2018-10-13,0.009735,0.009989,0.009319,0.009563,2730720,
2018-10-14,0.009585,0.011578,0.009558,0.010642,4576170,
2018-10-15,0.01061,0.011902,0.009919,0.010826,9281280,
2018-10-16,0.010848,0.011541,0.010041,0.01036,14588100,
2018-10-17,0.010467,0.010802,0.009576,0.009773,3922560,
2018-10-18,0.009738,0.009949,0.009171,0.009221,797840,
2018-10-19,0.009235,0.009744,0.009212,0.009593,624369,
2018-10-20,0.009583,0.009884,0.009495,0.009774,526978,
2018-10-21,0.009854,0.01004,0.009795,0.009921,539766,
2018-10-22,0.009945,0.009971,0.009554,0.009734,436498,
2018-10-23,0.009725,0.009967,0.009458,0.009748,390651,
2018-10-24,0.009739,0.010142,0.009608,0.009778,360812,
2018-10-25,0.009862,0.011089,0.009788,0.011023,668727,
2018-10-26,0.010997,0.012044,0.010893,0.011937,957341,
2018-10-27,0.012023,0.013918,0.011893,0.013372,1597300,
2018-10-28,0.013365,0.014804,0.012525,0.012525,1092640,
2018-10-29,0.012468,0.01364,0.011014,0.011095,1208000,
2018-10-30,0.011103,0.012761,0.011003,0.012638,1208660,
2018-10-31,0.012675,0.012681,0.011837,0.012206,871007,
2018-11-01,0.01217,0.014564,0.012055,0.012579,1142920,
2018-11-02,0.012557,0.012557,0.01195,0.012107,1175930,
2018-11-03,0.01212,0.012121,0.010728,0.011495,997050,
2018-11-04,0.011509,0.011567,0.010473,0.010992,734081,
2018-11-05,0.011007,0.012696,0.010921,0.012427,847418,
2018-11-06,0.012441,0.01317,0.011895,0.01291,745823,
2018-11-07,0.01294,0.013345,0.012768,0.012985,863066,
2018-11-08,0.012952,0.013153,0.012632,0.012632,571737,
2018-11-09,0.012634,0.012947,0.01244,0.012473,653020,
2018-11-10,0.012495,0.012768,0.012449,0.01268,618723,
2018-11-11,0.012658,0.012719,0.011955,0.012116,874925,
2018-11-12,0.012151,0.0126,0.012136,0.012415,536759,
2018-11-13,0.012404,0.012501,0.012112,0.012283,602502,
2018-11-14,0.012283,0.012339,0.009528,0.010241,498911,
2018-11-15,0.010215,0.010552,0.009269,0.009608,521591,
2018-11-16,0.009673,0.010795,0.009306,0.010665,435005,
2018-11-17,0.010631,0.010631,0.009426,0.009701,684451,
2018-11-18,0.009721,0.009963,0.009489,0.009807,375898,
2018-11-19,0.009799,0.009835,0.00746,0.007757,388417,
2018-11-20,0.00771,0.007877,0.006348,0.006493,347811,
2018-11-21,0.00651,0.00689,0.006004,0.006711,459928,
2018-11-22,0.006696,0.006861,0.00614,0.006311,368802,
2018-11-23,0.006185,0.00631,0.005578,0.005727,310631,
2018-11-24,0.00572,0.006035,0.004719,0.004926,356442,
2018-11-25,0.004968,0.004977,0.004179,0.004794,307482,
2018-11-26,0.004756,0.005283,0.004207,0.004462,305491,4814284.0
2018-11-27,0.004479,0.004588,0.004062,0.004496,263189,4850177.0
2018-11-28,0.004494,0.005525,0.004378,0.005525,312287,5960192.0
2018-11-29,0.005527,0.005852,0.005143,0.005743,483698,6195915.0
2018-11-30,0.005727,0.006215,0.00546,0.005706,523707,6156271.0
2018-12-01,0.005761,0.006589,0.005741,0.006403,520363,6908381.0
2018-12-02,0.006401,0.007357,0.0063,0.007194,485518,7761435.0
2018-12-03,0.00714,0.007424,0.005021,0.005444,432867,5873555.0
2018-12-04,0.005445,0.006278,0.005115,0.005578,408505,6018130.0
2018-12-05,0.005574,0.005919,0.004895,0.005052,386118,5482019.0
2018-12-06,0.005047,0.005497,0.004349,0.004349,324268,4718242.0
2018-12-07,0.004335,0.005127,0.003963,0.005127,314876,5562631.0
2018-12-08,0.005095,0.00527,0.004249,0.004619,386397,5011910.0
2018-12-09,0.004634,0.005468,0.004532,0.005131,301731,5567537.0
2018-12-10,0.005123,0.005433,0.004401,0.004932,307999,5353808.0
2018-12-11,0.004615,0.004969,0.00409,0.004287,336994,4653732.0
2018-12-12,0.004324,0.00453,0.004143,0.004313,303212,4682268.0
2018-12-13,0.004318,0.004444,0.003745,0.003835,272716,4163277.0
2018-12-14,0.003832,0.004042,0.003532,0.003532,243423,3834624.0
2018-12-15,0.003542,0.003927,0.003481,0.003607,232579,3916087.0
2018-12-16,0.003607,0.004363,0.003579,0.004137,263434,4491458.0
2018-12-17,0.004088,0.004544,0.003713,0.00452,320366,4907126.0
2018-12-18,0.00453,0.004565,0.003936,0.004248,323841,4611684.0
2018-12-19,0.004524,0.004738,0.004012,0.004273,246260,4638974.0
2018-12-20,0.004019,0.005026,0.003987,0.004132,266723,4485917.0
2018-12-21,0.004127,0.004573,0.003987,0.004433,297224,4812521.0
2018-12-22,0.004414,0.004911,0.004068,0.004562,303533,4952375.0
2018-12-23,0.004601,0.005748,0.004601,0.004941,324535,5364065.0
2018-12-24,0.005539,0.006608,0.004862,0.0053,278787,5754019.0
2018-12-25,0.005629,0.005878,0.00406,0.004315,288507,4683902.0
2018-12-26,0.00433,0.005532,0.0041,0.004785,282626,5195686.0
2018-12-27,0.004522,0.004851,0.004056,0.00465,177199,5049409.0
2018-12-28,0.004653,0.005159,0.004039,0.004824,217286,5238353.0
2018-12-29,0.004842,0.00536,0.004555,0.004699,231961,5102429.0
2018-12-30,0.004676,0.005298,0.004435,0.005155,424741,5597414.0
2018-12-31,0.005049,0.005302,0.004117,0.004484,410444,4869168.0
2019-01-01,0.00449,0.004874,0.004163,0.004495,372752,4881121.0
2019-01-02,0.004653,0.005463,0.004469,0.005047,405353,5480556.0
2019-01-03,0.005041,0.005478,0.004656,0.00501,403238,5440512.0
2019-01-04,0.005003,0.005427,0.004649,0.004915,321393,5337751.0
2019-01-05,0.005127,0.005766,0.004778,0.00485,245389,5266753.0
2019-01-06,0.004843,0.00566,0.004644,0.005143,263566,5584938.0
2019-01-07,0.005182,0.005314,0.004684,0.004896,251803,5316438.0
2019-01-08,0.004893,0.005007,0.004668,0.004748,252526,5156152.0
2019-01-09,0.004736,0.005021,0.004643,0.004765,298777,5174737.0
2019-01-10,0.004762,0.004944,0.004047,0.004074,224742,4423787.0
2019-01-11,0.004061,0.004265,0.003949,0.004029,292123,4374715.0
2019-01-12,0.00402,0.004365,0.004,0.004159,255398,4516011.0
2019-01-13,0.004139,0.004744,0.004139,0.004195,279394,4555827.0
2019-01-14,0.0042,0.004828,0.004039,0.004519,277083,4909573.0
2019-01-15,0.004514,0.004732,0.004075,0.004179,221342,4540380.0
2019-01-16,0.004171,0.004464,0.004064,0.004236,225007,4602855.0
2019-01-17,0.004246,0.004513,0.004193,0.004335,216636,4710268.0
2019-01-18,0.004491,0.004702,0.004307,0.004482,271755,4870285.0
2019-01-19,0.004482,0.00469,0.004291,0.004406,256288,4788034.0
2019-01-20,0.004415,0.004647,0.00421,0.004292,245074,4663762.0
2019-01-21,0.004346,0.004383,0.004035,0.00406,244636,4412176.0
2019-01-22,0.004058,0.004186,0.004042,0.004095,244558,4449332.0
2019-01-23,0.004078,0.004331,0.004001,0.004069,270060,4421129.0
2019-01-24,0.004067,0.004363,0.004014,0.004162,238661,4522187.0
2019-01-25,0.004177,0.004426,0.004058,0.004386,256785,4765611.0
2019-01-26,0.004377,0.004512,0.004196,0.004196,295105,4559805.0
2019-01-27,0.004218,0.004291,0.003911,0.004137,251351,4495593.0
2019-01-28,0.004119,0.004119,0.00365,0.003854,223880,4189671.0
2019-01-29,0.00383,0.004079,0.003717,0.004025,245137,4375181.0
2019-01-30,0.004013,0.00427,0.003895,0.004151,235777,4512592.0
2019-01-31,0.004138,0.004509,0.004052,0.004436,243351,4821574.0
2019-02-01,0.004479,0.004857,0.004397,0.004809,247074,5222235.0
2019-02-02,0.004785,0.005316,0.004772,0.005298,380909,5753924.0
2019-02-03,0.005301,0.00537,0.004954,0.005045,289619,5479247.0
2019-02-04,0.005143,0.005314,0.004983,0.005036,300760,5469301.0
2019-02-05,0.005074,0.0052,0.004914,0.005035,305070,5468668.0
2019-02-06,0.005075,0.005127,0.004657,0.004837,285470,5253546.0
2019-02-07,0.004908,0.005157,0.004766,0.005019,295032,5451167.0
2019-02-08,0.005025,0.006137,0.004934,0.005981,335957,6500652.0
2019-02-09,0.005989,0.006122,0.00581,0.006034,354288,6558048.0
2019-02-10,0.006006,0.006349,0.005848,0.006317,353292,6866561.0
2019-02-11,0.006278,0.00633,0.005838,0.006014,274427,6536553.0
2019-02-12,0.006105,0.006232,0.00588,0.006158,273388,6692844.0
2019-02-13,0.00621,0.006275,0.005776,0.005986,356649,6506256.0
2019-02-14,0.005984,0.006087,0.005036,0.005348,326273,5813161.0
2019-02-15,0.005387,0.005594,0.004666,0.00509,309265,5532907.0
2019-02-16,0.005094,0.005281,0.004698,0.004828,247010,5247555.0
2019-02-17,0.004815,0.005434,0.004706,0.00539,193802,5858549.0
2019-02-18,0.005384,0.005905,0.005384,0.005822,219956,6597567.0
2019-02-19,0.005426,0.007727,0.005197,0.007136,132938,8090006.0
2019-02-20,0.007119,0.012839,0.006956,0.008136,3608949,9223905.0
2019-02-21,0.007773,0.009855,0.007353,0.008193,5489383,10204032.0
2019-02-22,0.008245,0.008434,0.00798,0.008279,1471255,10311347.0
2019-02-23,0.008251,0.008949,0.007064,0.008554,1173756,10653873.0
2019-02-24,0.008568,0.008697,0.007462,0.007884,1108900,9819393.0
2019-02-25,0.00788,0.010027,0.007689,0.009355,2280730,11650678.0
2019-02-26,0.009701,0.0138,0.009121,0.011949,6362702,14881617.0
2019-02-27,0.011873,0.013443,0.010541,0.010747,3030115,13384820.0
2019-02-28,0.010761,0.012149,0.009991,0.010817,2204854,13472062.0
2019-03-01,0.010806,0.010831,0.010026,0.010154,1290913,12645544.0
2019-03-02,0.010122,0.012884,0.009827,0.012045,3239501,15001174.0
2019-03-03,0.011972,0.0138,0.010771,0.013635,2440121,16980977.0
2019-03-04,0.013653,0.020127,0.013596,0.019162,9120803,23864971.0
2019-03-05,0.018994,0.021448,0.016369,0.019276,11861408,24007529.0
2019-03-06,0.01927,0.02143,0.017483,0.020111,6106000,25046239.0
2019-03-07,0.019922,0.02333,0.018947,0.020309,6508464,25293515.0
2019-03-08,0.020262,0.021459,0.018076,0.020863,5424434,25982995.0
2019-03-09,0.021334,0.023224,0.019499,0.023224,4897135,28923960.0
2019-03-10,0.02357,0.02357,0.020492,0.020626,4829162,25688486.0
2019-03-11,0.020561,0.02241,0.018612,0.020054,3650227,24975810.0
2019-03-12,0.020236,0.020236,0.017236,0.018709,4665237,23300213.0
2019-03-13,0.018712,0.018712,0.015926,0.017427,1974416,21704125.0
2019-03-14,0.017419,0.027925,0.016954,0.02185,14598568,27212771.0
2019-03-15,0.022374,0.025697,0.019821,0.020632,9124853,25695915.0
2019-03-16,0.020464,0.020704,0.018572,0.020333,6992133,25323786.0
2019-03-17,0.020286,0.021442,0.019085,0.021442,4027315,26704760.0
2019-03-18,0.021501,0.023314,0.021277,0.022749,5306780,28332866.0
2019-03-19,0.022803,0.026777,0.022667,0.026267,6863899,32713822.0
2019-03-20,0.02649,0.028139,0.024528,0.025992,6078222,32370962.0
2019-03-21,0.026114,0.034143,0.02265,0.024277,4069466,30234874.0
