Date,Open,High,Low,Close,Volume,Market Cap
2018-08-13,0.006935,0.009636,0.006935,0.007394,14317,
2018-08-14,0.007389,0.009694,0.006428,0.007186,8069,
2018-08-15,0.007192,0.008058,0.004096,0.005432,10340,
2018-08-16,0.005426,0.006561,0.004787,0.005819,8386,
2018-08-17,0.00582,0.006737,0.005418,0.005691,10537,
2018-08-18,0.005704,0.006053,0.002789,0.002894,17245,
2018-08-19,0.003106,0.005215,0.002416,0.004227,14483,
2018-08-20,0.004222,0.004228,0.001302,0.002244,16576,
2018-08-21,0.002241,0.002249,0.001424,0.001925,8820,
2018-08-22,0.001873,0.002797,0.001846,0.001929,8135,
2018-08-23,0.00193,0.002142,0.001754,0.002036,7116,64249.0
2018-08-24,0.002037,0.003524,0.002037,0.003223,9073,101735.0
2018-08-25,0.003468,0.003468,0.001386,0.002253,10647,71117.0
2018-08-26,0.002256,0.002608,0.00188,0.002406,13080,75945.0
2018-08-27,0.002406,0.002892,0.002017,0.002491,18961,87832.0
2018-08-28,0.003175,0.003806,0.002398,0.003232,31495,122902.0
2018-08-29,0.003233,0.003868,0.00263,0.003671,18950,142370.0
2018-08-30,0.003672,0.005472,0.003325,0.00473,13631,186789.0
2018-08-31,0.004733,0.006551,0.004727,0.006246,16510,249796.0
2018-09-01,0.00624,0.006812,0.005404,0.005704,12257,231244.0
2018-09-02,0.005706,0.006404,0.005593,0.006404,9787,259629.0
2018-09-03,0.006404,0.006811,0.0056,0.005662,10526,229688.0
2018-09-04,0.006088,0.006836,0.004483,0.004487,719153,182027.0
2018-09-05,0.004485,0.006287,0.004461,0.004869,29979,202164.0
2018-09-06,0.00506,0.005156,0.004452,0.004589,13772,190527.0
2018-09-07,0.004593,0.00497,0.004266,0.004896,20068,203256.0
2018-09-08,0.004898,0.009697,0.004725,0.006564,25893,274930.0
2018-09-09,0.006545,0.011753,0.006329,0.009161,29546,397434.0
2018-09-10,0.00916,0.010481,0.008059,0.010067,29965,442945.0
2018-09-11,0.009847,0.010526,0.008763,0.010479,84976,466285.0
2018-09-12,0.010495,0.01294,0.008885,0.009747,67364,433743.0
2018-09-13,0.009757,0.014705,0.009757,0.014607,264558,667127.0
2018-09-14,0.014667,0.014764,0.011775,0.013595,60771,621585.0
2018-09-15,0.013577,0.02081,0.011902,0.012233,53426,563013.0
2018-09-16,0.012241,0.013099,0.011696,0.012746,471066,594272.0
2018-09-17,0.012733,0.015878,0.011344,0.011705,326319,557455.0
2018-09-18,0.011704,0.014329,0.010381,0.013914,67900,662630.0
2018-09-19,0.013893,0.013893,0.009256,0.012132,15322,577767.0
2018-09-20,0.012133,0.012329,0.010489,0.011067,9404,527854.0
2018-09-21,0.011069,0.01123,0.008123,0.010194,8943,497674.0
2018-09-22,0.010214,0.010861,0.00896,0.009461,7585,461909.0
2018-09-23,0.009466,0.011453,0.008843,0.009911,8076,483878.0
2018-09-24,0.009917,0.011094,0.007232,0.010542,9188,514678.0
2018-09-25,0.010537,0.011392,0.007397,0.008615,9326,420559.0
2018-09-26,0.008607,0.02447,0.008388,0.015357,37623,778751.0
2018-09-27,0.015371,0.0169,0.012525,0.01658,19985,846263.0
2018-09-28,0.016587,0.016768,0.013318,0.014094,13255,719387.0
2018-09-29,0.01408,0.014404,0.011889,0.013721,12363,700381.0
2018-09-30,0.012324,0.01389,0.012255,0.013277,12131,681011.0
2018-10-01,0.013245,0.014327,0.012132,0.014014,12582,718850.0
2018-10-02,0.013982,0.014262,0.012561,0.012786,14338,665927.0
2018-10-03,0.013113,0.017211,0.012,0.014135,25651,742548.0
2018-10-04,0.014147,0.017816,0.014077,0.014311,24268,751804.0
2018-10-05,0.014331,0.016508,0.014328,0.015835,23057,832167.0
2018-10-06,0.01586,0.019851,0.015467,0.019615,29147,1032870.0
2018-10-07,0.019672,0.024446,0.019484,0.023109,40555,1216862.0
2018-10-08,0.022953,0.029275,0.022554,0.027902,64718,1488668.0
2018-10-09,0.027965,0.029499,0.024121,0.025889,64939,1385158.0
2018-10-10,0.025813,0.027503,0.021426,0.025039,75446,1339643.0
2018-10-11,0.024966,0.024977,0.020196,0.022955,56893,1228509.0
2018-10-12,0.022971,0.025824,0.021891,0.025138,54158,1359654.0
2018-10-13,0.025123,0.02825,0.022614,0.023714,43855,1297199.0
2018-10-14,0.023828,0.028264,0.016967,0.021746,78116,1191707.0
2018-10-15,0.021414,0.023226,0.016787,0.020505,87536,1123699.0
2018-10-16,0.020599,0.021149,0.010362,0.01665,74605,913486.0
2018-10-17,0.016693,0.016693,0.011795,0.014287,38038,783865.0
2018-10-18,0.013237,0.016817,0.011386,0.016603,27303,912645.0
2018-10-19,0.015511,0.017943,0.013941,0.015247,25327,838123.0
2018-10-20,0.015241,0.018449,0.01482,0.016662,18952,916760.0
2018-10-21,0.016668,0.019676,0.014718,0.017314,26505,956085.0
2018-10-22,0.01731,0.01731,0.014413,0.016045,18468,892910.0
2018-10-23,0.016119,0.017874,0.014665,0.015472,26771,861034.0
2018-10-24,0.015422,0.01569,0.011806,0.012767,20768,710485.0
2018-10-25,0.012774,0.015965,0.010254,0.015676,23925,872376.0
2018-10-26,0.015648,0.015713,0.012916,0.014476,25533,811171.0
2018-10-27,0.014441,0.018504,0.014156,0.017208,29446,965975.0
2018-10-28,0.017266,0.018341,0.012519,0.014177,26785,797229.0
2018-10-29,0.014213,0.016101,0.012432,0.01439,23859,824156.0
2018-10-30,0.014372,0.014797,0.012916,0.014754,12406,847931.0
2018-10-31,0.014789,0.016076,0.014155,0.015603,20387,896718.0
2018-11-01,0.015603,0.021268,0.015602,0.017289,46426,996398.0
2018-11-02,0.017335,0.02058,0.017335,0.018624,28976,1077026.0
2018-11-03,0.018343,0.025479,0.017539,0.025479,51851,1475254.0
2018-11-04,0.023731,0.024913,0.01989,0.020711,107969,1225093.0
2018-11-05,0.0193,0.023279,0.017245,0.021527,41751,1273355.0
2018-11-06,0.021579,0.024096,0.020456,0.022423,45761,1362521.0
2018-11-07,0.022437,0.02627,0.022356,0.025854,34933,1543409.0
2018-11-08,0.025856,0.026177,0.018157,0.021338,54337,1281926.0
2018-11-09,0.021326,0.0214,0.017081,0.018117,49637,1091143.0
2018-11-10,0.018113,0.019556,0.015126,0.015181,33734,921922.0
2018-11-11,0.015164,0.018359,0.013352,0.014271,34966,866622.0
2018-11-12,0.014294,0.016491,0.013054,0.016113,38674,978514.0
2018-11-13,0.01608,0.017335,0.015119,0.017326,43911,1062239.0
2018-11-14,0.017298,0.017778,0.012281,0.014321,37643,878002.0
2018-11-15,0.014386,0.014386,0.011214,0.013143,32202,805799.0
2018-11-16,0.013166,0.013493,0.010744,0.011846,40980,726270.0
2018-11-17,0.011855,0.012143,0.010773,0.010962,25962,672067.0
2018-11-18,0.010975,0.012297,0.010804,0.012017,37212,736753.0
2018-11-19,0.012097,0.012529,0.010063,0.01028,21886,630243.0
2018-11-20,0.010183,0.010712,0.009068,0.009213,23754,564864.0
2018-11-21,0.009271,0.009823,0.008932,0.009565,21096,586427.0
2018-11-22,0.009549,0.009565,0.008445,0.008445,20211,517744.0
2018-11-23,0.008392,0.008646,0.007882,0.00847,28453,519273.0
2018-11-24,0.008464,0.009446,0.007878,0.008199,14624,502686.0
2018-11-25,0.008187,0.008248,0.006757,0.008242,18961,505288.0
2018-11-26,0.007705,0.008132,0.007092,0.007409,16672,454250.0
2018-11-27,0.007402,0.007628,0.006947,0.007411,13109,470097.0
2018-11-28,0.007426,0.008343,0.007167,0.007945,18963,507719.0
2018-11-29,0.007964,0.008589,0.007582,0.008101,32948,522507.0
2018-11-30,0.008118,0.008403,0.007418,0.007465,16048,481893.0
2018-12-01,0.007449,0.008012,0.003833,0.007092,18900,461367.0
2018-12-02,0.007071,0.007761,0.006308,0.007215,16612,470841.0
2018-12-03,0.007232,0.007234,0.005081,0.006152,14973,402506.0
2018-12-04,0.006146,0.007396,0.006146,0.007234,16987,473460.0
2018-12-05,0.007241,0.007465,0.006617,0.00711,16308,465369.0
2018-12-06,0.007104,0.007396,0.006502,0.006757,14424,442420.0
2018-12-07,0.006686,0.006686,0.005576,0.006103,14424,400642.0
2018-12-08,0.0061,0.006613,0.00479,0.005299,13411,353288.0
2018-12-09,0.005281,0.006085,0.004627,0.005012,14217,334196.0
2018-12-10,0.005006,0.005703,0.004201,0.004322,16502,288803.0
2018-12-11,0.004318,0.004925,0.004263,0.004547,11737,304038.0
2018-12-12,0.004319,0.004803,0.004319,0.004445,10582,299624.0
2018-12-13,0.004447,0.004682,0.004155,0.004322,11259,292626.0
2018-12-14,0.004327,0.004444,0.00353,0.003858,16645,266210.0
2018-12-15,0.003858,0.004063,0.00367,0.003806,12453,262577.0
2018-12-16,0.003805,0.004492,0.003674,0.004483,14586,309328.0
2018-12-17,0.004489,0.005159,0.004031,0.004866,11023,336389.0
2018-12-18,0.004865,0.00615,0.004858,0.005227,18995,362645.0
2018-12-19,0.005252,0.005927,0.005034,0.005181,14853,359493.0
2018-12-20,0.005177,0.005663,0.004926,0.005486,17746,382316.0
2018-12-21,0.00555,0.005689,0.004871,0.005309,18504,371296.0
