Date,Open,High,Low,Close,Volume,Market Cap
2018-11-19,5e-06,9e-06,5e-06,7e-06,18896,
2018-11-20,7e-06,9e-06,6e-06,6e-06,20295,
2018-11-21,7e-06,7e-06,5e-06,6e-06,13974,
2018-11-22,6e-06,6e-06,5e-06,5e-06,8764,
2018-11-23,5e-06,6e-06,5e-06,6e-06,9236,
2018-11-24,6e-06,6e-06,4e-06,5e-06,8048,
2018-11-25,5e-06,5e-06,4e-06,5e-06,9663,
2018-11-26,5e-06,5e-06,4e-06,4e-06,9261,
2018-11-27,4e-06,4e-06,4e-06,4e-06,9781,
2018-11-28,4e-06,5e-06,4e-06,5e-06,16857,66472.0
2018-11-29,5e-06,6e-06,5e-06,5e-06,49721,72898.0
2018-11-30,5e-06,6e-06,4e-06,5e-06,43775,66425.0
2018-12-01,5e-06,6e-06,4e-06,5e-06,51068,68861.0
2018-12-02,5e-06,7e-06,4e-06,4e-06,42418,58015.0
2018-12-03,4e-06,6e-06,4e-06,5e-06,44896,64587.0
2018-12-04,5e-06,6e-06,5e-06,5e-06,45862,64777.0
2018-12-05,5e-06,6e-06,4e-06,5e-06,47042,68012.0
2018-12-06,5e-06,5e-06,4e-06,4e-06,38108,56716.0
2018-12-07,4e-06,4e-06,3e-06,4e-06,36633,51186.0
2018-12-08,3e-06,4e-06,3e-06,4e-06,35300,52543.0
2018-12-09,4e-06,4e-06,3e-06,4e-06,35812,57257.0
2018-12-10,4e-06,4e-06,2e-06,3e-06,27348,43684.0
2018-12-11,3e-06,4e-06,2e-06,3e-06,23509,40730.0
2018-12-12,3e-06,4e-06,2e-06,3e-06,23433,37708.0
2018-12-13,3e-06,4e-06,2e-06,3e-06,30001,48357.0
2018-12-14,3e-06,3e-06,2e-06,3e-06,23237,41440.0
2018-12-15,3e-06,3e-06,2e-06,3e-06,22177,36347.0
2018-12-16,3e-06,3e-06,2e-06,3e-06,21981,37434.0
2018-12-17,3e-06,3e-06,2e-06,3e-06,21195,37569.0
2018-12-18,3e-06,3e-06,2e-06,3e-06,26035,42508.0
2018-12-19,3e-06,4e-06,2e-06,3e-06,19286,46688.0
2018-12-20,3e-06,4e-06,3e-06,3e-06,14236,43883.0
2018-12-21,3e-06,4e-06,3e-06,4e-06,29526,49268.0
2018-12-22,4e-06,4e-06,3e-06,4e-06,35085,57933.0
2018-12-23,4e-06,5e-06,3e-06,4e-06,31827,52781.0
2018-12-24,4e-06,5e-06,3e-06,4e-06,34682,56672.0
2018-12-25,3e-06,5e-06,3e-06,5e-06,39404,65336.0
2018-12-26,4e-06,5e-06,4e-06,5e-06,54447,65661.0
2018-12-27,5e-06,5e-06,4e-06,4e-06,46314,56201.0
2018-12-28,4e-06,5e-06,4e-06,5e-06,61519,64496.0
2018-12-29,5e-06,5e-06,4e-06,4e-06,42249,60745.0
2018-12-30,4e-06,5e-06,4e-06,4e-06,42286,61456.0
2018-12-31,4e-06,4e-06,3e-06,4e-06,38820,57705.0
2019-01-01,4e-06,5e-06,3e-06,4e-06,40496,61832.0
2019-01-02,4e-06,5e-06,3e-06,4e-06,32921,50319.0
2019-01-03,4e-06,5e-06,3e-06,4e-06,43760,54028.0
2019-01-04,4e-06,5e-06,3e-06,4e-06,40481,53629.0
2019-01-05,4e-06,5e-06,4e-06,4e-06,44714,59475.0
2019-01-06,4e-06,4e-06,3e-06,4e-06,38164,52123.0
2019-01-07,4e-06,4e-06,4e-06,4e-06,37577,50569.0
2019-01-08,4e-06,5e-06,3e-06,4e-06,42622,60608.0
2019-01-09,4e-06,5e-06,4e-06,4e-06,36046,53062.0
2019-01-10,4e-06,4e-06,3e-06,4e-06,37133,50655.0
2019-01-11,4e-06,4e-06,3e-06,3e-06,36531,48587.0
2019-01-12,3e-06,6e-06,3e-06,4e-06,38316,53198.0
2019-01-13,5e-06,5e-06,3e-06,4e-06,44846,62644.0
2019-01-14,4e-06,5e-06,3e-06,4e-06,38376,56975.0
2019-01-15,4e-06,5e-06,3e-06,3e-06,30588,43018.0
2019-01-16,3e-06,4e-06,3e-06,4e-06,37331,50240.0
2019-01-17,4e-06,4e-06,3e-06,3e-06,24998,41734.0
2019-01-18,3e-06,3e-06,3e-06,3e-06,10432,44371.0
2019-01-19,3e-06,4e-06,3e-06,3e-06,18084,45599.0
2019-01-20,3e-06,5e-06,3e-06,5e-06,40460,64524.0
2019-01-21,5e-06,7e-06,3e-06,4e-06,31958,52841.0
2019-01-22,4e-06,5e-06,3e-06,5e-06,28534,64577.0
2019-01-23,5e-06,5e-06,3e-06,4e-06,26378,50371.0
2019-01-24,4e-06,7e-06,3e-06,3e-06,26853,44216.0
2019-01-25,3e-06,7e-06,3e-06,4e-06,33032,59990.0
2019-01-26,4e-06,4e-06,3e-06,3e-06,8180,47054.0
2019-01-27,3e-06,4e-06,3e-06,4e-06,35615,53899.0
2019-01-28,4e-06,5e-06,3e-06,4e-06,38227,51519.0
2019-01-29,4e-06,5e-06,3e-06,4e-06,42803,55471.0
2019-01-30,4e-06,5e-06,3e-06,4e-06,46735,59830.0
2019-01-31,4e-06,5e-06,4e-06,4e-06,43433,56175.0
2019-02-01,5e-06,5e-06,4e-06,4e-06,38264,54621.0
2019-02-02,4e-06,5e-06,3e-06,4e-06,36268,53314.0
2019-02-03,4e-06,5e-06,3e-06,4e-06,38578,54876.0
2019-02-04,4e-06,4e-06,3e-06,4e-06,36761,50139.0
2019-02-05,4e-06,4e-06,3e-06,3e-06,33378,45140.0
2019-02-06,3e-06,4e-06,3e-06,3e-06,35163,45960.0
2019-02-07,3e-06,4e-06,3e-06,3e-06,33714,46322.0
2019-02-08,3e-06,4e-06,3e-06,4e-06,39402,54050.0
2019-02-09,4e-06,4e-06,4e-06,4e-06,43883,60849.0
2019-02-10,4e-06,5e-06,4e-06,4e-06,45627,58497.0
2019-02-11,4e-06,5e-06,4e-06,4e-06,30620,56062.0
2019-02-12,4e-06,4e-06,4e-06,4e-06,26989,56804.0
2019-02-13,4e-06,5e-06,4e-06,4e-06,27372,55286.0
2019-02-14,4e-06,5e-06,4e-06,4e-06,19255,51904.0
2019-02-15,4e-06,5e-06,4e-06,4e-06,22958,51999.0
2019-02-16,4e-06,6e-06,4e-06,4e-06,25415,56169.0
2019-02-17,4e-06,5e-06,4e-06,4e-06,22082,56630.0
2019-02-18,4e-06,6e-06,4e-06,6e-06,38998,85898.0
2019-02-19,6e-06,6e-06,4e-06,5e-06,30680,71260.0
2019-02-20,5e-06,6e-06,4e-06,4e-06,21756,64941.0
2019-02-21,4e-06,4e-06,3e-06,4e-06,22644,57617.0
2019-02-22,4e-06,4e-06,3e-06,4e-06,25503,56717.0
2019-02-23,4e-06,5e-06,4e-06,4e-06,27253,65799.0
2019-02-24,5e-06,5e-06,4e-06,4e-06,21458,60023.0
2019-02-25,4e-06,6e-06,4e-06,4e-06,21185,57441.0
2019-02-26,4e-06,6e-06,4e-06,5e-06,31604,74603.0
2019-02-27,4e-06,6e-06,4e-06,4e-06,26390,58173.0
2019-02-28,4e-06,5e-06,4e-06,5e-06,25508,71108.0
2019-03-01,5e-06,6e-06,4e-06,4e-06,27345,66115.0
2019-03-02,4e-06,6e-06,4e-06,5e-06,34504,81183.0
2019-03-03,5e-06,6e-06,4e-06,5e-06,33423,81263.0
2019-03-04,5e-06,6e-06,4e-06,4e-06,26571,61797.0
2019-03-05,4e-06,6e-06,4e-06,5e-06,28989,67519.0
2019-03-06,4e-06,6e-06,4e-06,4e-06,28222,67128.0
2019-03-07,5e-06,6e-06,4e-06,5e-06,33640,79903.0
2019-03-08,5e-06,6e-06,4e-06,6e-06,28219,83422.0
2019-03-09,6e-06,6e-06,4e-06,5e-06,16411,68522.0
2019-03-10,4e-06,5e-06,4e-06,5e-06,30986,75897.0
2019-03-11,5e-06,5e-06,3e-06,4e-06,19124,60870.0
2019-03-12,4e-06,5e-06,4e-06,5e-06,27986,69137.0
2019-03-13,5e-06,5e-06,3e-06,4e-06,22944,65565.0
2019-03-14,3e-06,5e-06,3e-06,4e-06,23103,63959.0
2019-03-15,4e-06,5e-06,3e-06,4e-06,19806,56656.0
2019-03-16,4e-06,5e-06,4e-06,4e-06,28590,67487.0
2019-03-17,5e-06,5e-06,3e-06,4e-06,20725,56438.0
2019-03-18,4e-06,5e-06,3e-06,4e-06,21724,57168.0
2019-03-19,4e-06,5e-06,3e-06,4e-06,28800,67578.0
2019-03-20,4e-06,5e-06,3e-06,4e-06,28761,65959.0
2019-03-21,4e-06,1e-05,4e-06,5e-06,28297,78570.0
2019-03-22,5e-06,8e-06,4e-06,6e-06,27684,88640.0
2019-03-23,6e-06,8e-06,4e-06,5e-06,37951,74378.0
2019-03-24,5e-06,8e-06,5e-06,6e-06,36838,92392.0
