Date,Open,High,Low,Close,Volume,Market Cap
2013-05-03,0.099005,0.146625,0.096204,0.146625,,149530.0
2013-05-04,0.14715,0.30383,0.13875,0.292736,,299107.0
2013-05-05,0.293777,0.307749,0.107143,0.11591,,118657.0
2013-05-06,0.11598,0.228133,0.11541,0.211124,,216880.0
2013-05-07,0.21103,0.256576,0.18563,0.21185,,218273.0
2013-05-08,0.20824,0.2312,0.20824,0.227131,,234628.0
2013-05-09,0.2264,0.226931,0.21852,0.225351,,233395.0
2013-05-10,0.225609,0.236236,0.1989,0.19924,,206848.0
2013-05-11,0.20009,0.21983,0.193808,0.218962,,228050.0
2013-05-12,0.219716,0.239571,0.21755,0.237015,,247204.0
2013-05-13,0.236644,0.248081,0.235985,0.247759,,259210.0
2013-05-14,0.247759,0.28728,0.245714,0.274291,,287694.0
2013-05-15,0.274045,0.309015,0.254611,0.308395,,324275.0
2013-05-16,0.308395,0.31769,0.28756,0.299275,,315545.0
2013-05-17,0.297889,0.327158,0.293759,0.314426,,332210.0
2013-05-18,0.315666,0.318222,0.220673,0.222297,,235338.0
2013-05-19,0.22178,0.223182,0.191314,0.195184,,207096.0
2013-05-20,0.196,0.200266,0.188828,0.190076,,202107.0
2013-05-21,0.190107,0.191634,0.172189,0.173261,,184641.0
2013-05-22,0.173275,0.189722,0.17202,0.18955,,202113.0
2013-05-23,0.189414,0.202844,0.161383,0.163316,,174507.0
2013-05-24,0.162801,0.163445,0.06985,0.07326,,78304.0
2013-05-25,0.073205,0.109543,0.071946,0.109543,,117114.0
2013-05-26,0.109548,0.135995,0.10841,0.12176,,130393.0
2013-05-27,0.121779,0.123571,0.113751,0.118353,,126797.0
2013-05-28,0.118376,0.12089,0.114764,0.117394,,125816.0
2013-05-29,0.117394,0.124114,0.116177,0.123842,,132754.0
2013-05-30,0.123795,0.123795,0.1143,0.115919,,124481.0
2013-05-31,0.115919,0.118846,0.089531,0.090301,,97015.0
2013-06-01,0.090172,0.090847,0.072804,0.073702,,79206.0
2013-06-02,0.073702,0.073759,0.06558,0.073376,,78887.0
2013-06-03,0.073501,0.075879,0.031651,0.033,,35601.0
2013-06-04,0.032599,0.036556,0.032211,0.036427,,39398.0
2013-06-05,0.036421,0.053747,0.035971,0.053637,,58154.0
2013-06-06,0.053747,0.058336,0.053474,0.057136,,62092.0
2013-06-07,0.057605,0.059475,0.05321,0.05575,,60721.0
2013-06-08,0.0555,0.057393,0.053652,0.056538,,61722.0
2013-06-09,0.056325,0.056907,0.040689,0.0411,,44972.0
2013-06-10,0.04128,0.045251,0.039046,0.04414,,48407.0
2013-06-11,0.04414,0.048224,0.043595,0.046936,,51599.0
2013-06-12,0.046979,0.046979,0.044858,0.045319,,49936.0
2013-06-13,0.045582,0.046221,0.042126,0.04358,,48124.0
2013-06-14,0.043559,0.043874,0.041066,0.041894,,46362.0
2013-06-15,0.041903,0.043453,0.041065,0.041395,,45890.0
2013-06-16,0.041317,0.041797,0.033803,0.033933,,37617.0
2013-06-17,0.034066,0.034679,0.020087,0.02034,,22656.0
2013-06-18,0.02039,0.022222,0.020207,0.021482,,23982.0
2013-06-19,0.021412,0.021482,0.016611,0.016995,,19017.0
2013-06-20,0.016995,0.019117,0.016893,0.017956,,20138.0
2013-06-21,0.018141,0.018745,0.017554,0.01785,,20067.0
2013-06-22,0.01785,0.021848,0.017706,0.021663,,24413.0
2013-06-23,0.021643,0.021764,0.021251,0.021525,,24316.0
2013-06-24,0.021585,0.021672,0.020206,0.020558,,23280.0
2013-06-25,0.020428,0.030159,0.020212,0.030144,,34216.0
2013-06-26,0.029964,0.036974,0.029844,0.0312,,35483.0
2013-06-27,0.0312,0.0312,0.03033,0.030431,,34689.0
2013-06-28,0.030521,0.032435,0.029022,0.032181,,36761.0
2013-06-29,0.032184,0.033997,0.03162,0.032584,,37306.0
2013-06-30,0.032586,0.037777,0.032319,0.037196,,42678.0
2013-07-01,0.037541,0.037728,0.028478,0.029057,,33415.0
2013-07-02,0.029057,0.031006,0.028878,0.030647,,35326.0
2013-07-03,0.030739,0.030935,0.026175,0.026362,,30455.0
2013-07-04,0.026824,0.028257,0.024481,0.027383,,31704.0
2013-07-05,0.027201,0.027204,0.019658,0.020529,,23826.0
2013-07-06,0.020552,0.023698,0.020046,0.023423,,27242.0
2013-07-07,0.0242,0.029915,0.02345,0.029915,,34857.0
2013-07-08,0.030693,0.03402,0.030089,0.032988,,38517.0
2013-07-09,0.032765,0.033764,0.031268,0.033071,,38688.0
2013-07-10,0.033082,0.033255,0.020769,0.023425,,27465.0
2013-07-11,0.02376,0.032642,0.023023,0.031052,,36473.0
2013-07-12,0.031052,0.031759,0.021402,0.021809,,25673.0
2013-07-13,0.021901,0.022893,0.020519,0.022866,,26987.0
2013-07-14,0.022998,0.023136,0.022019,0.022737,,26894.0
2013-07-15,0.022476,0.027979,0.022358,0.027555,,32666.0
2013-07-16,0.027692,0.032462,0.027471,0.031183,,37056.0
2013-07-17,0.030946,0.037002,0.028221,0.028569,,34015.0
2013-07-18,0.028569,0.044497,0.027454,0.038755,,46239.0
2013-07-19,0.038536,0.041723,0.030123,0.030416,,36375.0
2013-07-20,0.03036,0.039984,0.03013,0.030901,,37041.0
2013-07-21,0.03105,0.039408,0.030791,0.038897,,46707.0
2013-07-22,0.039428,0.039428,0.032729,0.034812,,41889.0
2013-07-23,0.034808,0.036697,0.031817,0.033924,,40914.0
2013-07-24,0.033924,0.034006,0.02791,0.031188,,37695.0
2013-07-25,0.031187,0.034061,0.029639,0.03101,,37562.0
2013-07-26,0.031026,0.034036,0.028805,0.030246,,36719.0
2013-07-27,0.030246,0.030553,0.022627,0.026823,,32632.0
2013-07-28,0.026904,0.029155,0.021955,0.024941,,30405.0
2013-07-29,0.024652,0.029571,0.024631,0.025806,,31512.0
2013-07-30,0.02588,0.043693,0.025204,0.032422,,39667.0
2013-07-31,0.03241,0.038259,0.031193,0.031859,,39052.0
2013-08-01,0.031896,0.036567,0.031212,0.031512,,38696.0
