Date,Open,High,Low,Close,Volume,Market Cap
2019-03-29,0.798458,0.820632,0.777054,0.809137,642018,
2019-03-30,0.807424,0.869145,0.725955,0.727222,699205,
2019-03-31,0.727222,0.739417,0.67836,0.68915,772160,
2019-04-01,0.687109,0.701277,0.414027,0.581868,672533,
2019-04-02,0.586091,0.612405,0.430107,0.585482,519622,
2019-04-03,0.585482,0.939259,0.585482,0.837131,599543,
2019-04-04,0.830133,0.919628,0.706022,0.738482,876452,
2019-04-05,0.740809,0.973664,0.7297,0.913035,997310,
2019-04-06,0.917713,0.991611,0.884076,0.9619,1509436,
2019-04-07,0.959345,1.02,0.920733,0.996603,1421202,
2019-04-08,0.994708,1.11,0.96061,1.1,1681162,
2019-04-09,1.1,1.15,1.05,1.05,1667836,
2019-04-10,1.05,1.23,1.05,1.13,1449937,
2019-04-11,1.13,1.21,1.08,1.18,1193336,
2019-04-12,1.18,1.24,0.932443,1.15,1322612,
2019-04-13,1.15,1.26,0.877925,1.15,1200995,
2019-04-14,1.15,1.26,0.958279,0.980971,1156995,
2019-04-15,0.980971,1.07,0.980971,1.03,1166773,
2019-04-16,1.02,1.07,1.0,1.05,1181479,
2019-04-17,1.05,1.09,0.990039,0.990039,1337469,
2019-04-18,0.995475,1.08,0.63027,0.99267,2315753,
2019-04-19,0.99377,1.03,0.919666,0.981648,2701121,
2019-04-20,0.981648,0.996299,0.900949,0.907115,2500385,
2019-04-21,0.907508,0.917141,0.855298,0.890694,2957671,
2019-04-22,0.89123,1.05,0.865312,0.99314,1977970,
2019-04-23,0.99314,1.2,0.934704,1.2,1630721,
2019-04-24,1.2,1.21,1.05,1.11,4836414,
2019-04-25,1.11,1.16,1.01,1.04,4775380,
2019-04-26,1.03,1.25,1.01,1.08,3890900,
2019-04-27,1.08,1.13,1.03,1.07,3166395,
2019-04-28,1.07,1.1,1.03,1.07,3477980,
2019-04-29,1.06,1.1,1.05,1.07,3078982,
2019-04-30,1.07,1.12,0.894764,1.07,3320698,
2019-05-01,1.08,1.15,1.06,1.14,4890719,
2019-05-02,1.14,1.17,1.1,1.11,4943509,
2019-05-03,1.11,1.17,1.1,1.16,4580752,
2019-05-04,1.16,1.19,1.09,1.13,4664345,
2019-05-05,1.13,1.18,1.08,1.11,3785029,
2019-05-06,1.12,1.15,1.07,1.11,3221764,
2019-05-07,1.1,1.19,1.08,1.14,3750614,
2019-05-08,1.14,1.18,0.906926,0.907664,3556259,
2019-05-09,0.907639,1.12,0.862064,1.07,3315426,
2019-05-10,1.06,1.14,0.925958,0.984976,3074346,
2019-05-11,0.987543,1.14,0.94525,1.11,3195200,
2019-05-12,1.1,1.15,0.948754,0.972673,3076024,
2019-05-13,0.972673,1.04,0.887792,0.974177,3363918,
2019-05-14,0.975875,1.05,0.920194,0.952319,2728948,
2019-05-15,0.950782,1.13,0.890544,0.997238,3335023,
2019-05-16,0.982074,1.27,0.904754,0.98684,2336220,
2019-05-17,0.989557,0.997376,0.684309,0.921582,1240103,
