Date,Open,High,Low,Close,Volume,Market Cap
2017-06-24,0.093486,0.107344,0.092585,0.107344,263,1073440
2017-06-25,0.107156,0.107575,0.085484,0.088415,3513,884152
2017-06-26,0.089563,0.114815,0.068099,0.114815,5918,1148150
2017-06-27,0.121969,0.143628,0.092434,0.107601,682,1076010
2017-06-28,0.108394,0.146051,0.082671,0.143666,1071,1436660
2017-06-29,0.144306,0.144749,0.083509,0.116897,1356,1168970
2017-06-30,0.117017,0.130988,0.077066,0.077813,1419,778125
2017-07-01,0.077861,0.109525,0.072673,0.078073,4245,780727
2017-07-02,0.077795,0.10174,0.058776,0.064366,649,643661
2017-07-03,0.0642,0.106441,0.063021,0.071931,2408,719311
2017-07-04,0.071901,0.120374,0.071563,0.091858,891,918576
2017-07-05,0.092235,0.113785,0.084705,0.092236,3558,922360
2017-07-06,0.092133,0.128073,0.085214,0.090126,3441,901257
2017-07-07,0.090183,0.099825,0.071926,0.079076,1279,790759
2017-07-08,0.079007,0.083398,0.069278,0.078705,3918,787054
2017-07-09,0.078816,0.084275,0.066763,0.066943,4825,669426
2017-07-10,0.066354,0.071391,0.052745,0.061913,1295,619133
2017-07-11,0.061996,0.064567,0.046295,0.050109,748,501089
2017-07-12,0.050262,0.058975,0.046051,0.055215,408,552147
2017-07-13,0.055353,0.091057,0.045432,0.055547,10674,555474
2017-07-14,0.055714,0.06206,0.038242,0.039677,1036,396767
2017-07-15,0.039659,0.045906,0.034571,0.03896,927,389604
2017-07-16,0.038949,0.044253,0.031534,0.038906,1357,389061
2017-07-17,0.038975,0.054748,0.034676,0.044529,3263,445294
2017-07-18,0.044688,0.063497,0.043571,0.054128,1411,541281
2017-07-19,0.054147,0.065035,0.0407,0.047118,3059,471185
2017-07-20,0.046949,0.072589,0.046744,0.058924,3772,589239
2017-07-21,0.057976,0.066567,0.056563,0.063392,767,633917
2017-07-22,0.063498,0.087068,0.063243,0.083104,1613,831045
2017-07-23,0.083105,0.085274,0.059856,0.060482,434,604824
2017-07-24,0.060555,0.076835,0.007608,0.053001,4754,530011
2017-07-25,0.053038,0.069328,0.039091,0.065399,413,653990
