Date,Open,High,Low,Close,Volume,Market Cap
2017-11-02,1.44,1.62,1.15,1.19,17365,
2017-11-03,1.19,3.13,1.18,2.16,50171,
2017-11-04,2.54,3.14,2.03,3.01,19611,
2017-11-05,3.01,5.74,2.72,4.72,49392,
2017-11-06,4.73,5.12,4.31,4.64,32530,
2017-11-07,4.59,4.81,3.02,4.44,36173,
2017-11-08,4.43,5.92,3.74,4.29,33532,
2017-11-09,4.28,5.65,4.15,5.65,29576,
2017-11-10,5.66,10.43,5.27,8.37,199843,108856930.0
2017-11-11,8.34,8.92,5.54,6.37,93679,82869150.0
2017-11-12,6.37,7.19,5.1,5.92,82816,76899030.0
2017-11-13,5.92,7.72,5.66,6.51,45409,19538250.0
2017-11-14,6.53,7.41,5.94,6.09,45366,18272310.0
2017-11-15,6.09,7.42,6.09,6.9,56554,20708880.0
2017-11-16,6.93,8.87,6.65,7.81,62654,23431020.0
2017-11-17,7.45,8.46,7.45,8.27,44884,24806250.0
2017-11-18,8.24,10.86,7.36,10.86,101107,32576700.0
2017-11-19,11.07,13.34,9.58,12.25,214970,36760200.0
2017-11-20,12.22,13.53,11.32,12.03,111522,36085800.0
2017-11-21,12.03,12.36,10.69,12.36,94387,37071600.0
2017-11-22,12.31,12.47,9.73,11.44,87032,34330800.0
2017-11-23,11.44,12.14,10.61,11.68,80117,35039400.0
2017-11-24,11.66,12.54,10.76,12.53,134562,37577400.0
2017-11-25,12.34,13.17,11.95,12.74,73659,38234100.0
2017-11-26,12.74,13.71,12.3,12.95,71370,38839500.0
2017-11-27,13.48,17.17,13.08,17.15,223252,51454500.0
2017-11-28,17.19,28.52,15.84,23.55,786988,70642500.0
2017-11-29,22.87,29.44,20.34,22.09,423532,66259800.0
2017-11-30,22.42,29.76,21.49,25.1,339668,75292500.0
2017-12-01,24.98,33.92,24.96,31.62,298192,94869600.0
2017-12-02,31.6,49.66,30.86,43.89,845375,131678100.0
2017-12-03,43.15,70.31,42.69,49.31,1259840,147936300.0
2017-12-04,52.14,58.39,28.23,44.27,829176,132808800.0
2017-12-05,45.45,47.36,36.43,41.68,386734,125043000.0
2017-12-06,41.59,42.14,23.56,25.35,480133,76042200.0
2017-12-07,25.4,33.34,18.39,24.91,244377,74740800.0
2017-12-08,24.97,47.27,18.35,32.63,404923,97895700.0
2017-12-09,31.76,37.89,27.67,31.33,239751,93982200.0
2017-12-10,31.53,31.76,24.24,26.83,216072,80499600.0
2017-12-11,26.67,31.12,24.29,26.39,196376,79164900.0
2017-12-12,27.9,28.83,25.81,26.55,174641,79636200.0
2017-12-13,26.57,31.08,24.7,28.6,260143,85811700.0
2017-12-14,28.54,38.32,28.03,36.46,284076,109379100.0
2017-12-15,37.57,41.67,27.39,33.29,330649,99869700.0
2017-12-16,33.33,36.03,32.16,33.85,135518,101535300.0
2017-12-17,33.85,35.95,29.55,31.64,140659,94922700.0
2017-12-18,31.72,34.17,29.52,30.37,141424,91097700.0
2017-12-19,30.4,34.89,22.87,25.3,401084,75900900.0
2017-12-20,25.28,28.04,21.31,24.89,137987,74679600.0
2017-12-21,26.38,27.72,22.55,23.18,71914,69549000.0
2017-12-22,22.65,26.34,16.71,22.58,136920,67733400.0
2017-12-23,22.77,26.08,22.53,22.65,67568,67954200.0
2017-12-24,22.87,23.91,19.71,21.13,83955,63378600.0
2017-12-25,21.31,22.59,19.37,19.99,138053,59965800.0
2017-12-26,19.97,23.24,19.7,20.78,106455,62325300.0
2017-12-27,20.79,21.49,16.21,17.58,149335,52735200.0
2017-12-28,17.55,19.81,15.28,17.21,103425,51624000.0
2017-12-29,17.09,20.33,16.93,17.8,133199,53385000.0
2017-12-30,17.77,19.0,15.23,18.98,107227,56935500.0
2017-12-31,18.81,20.81,17.17,18.91,100546,56737500.0
2018-01-01,18.96,19.61,17.8,19.56,40414,58694100.0
2018-01-02,19.57,23.59,18.4,22.04,194872,66127800.0
2018-01-03,21.98,26.36,19.43,23.85,226949,71540400.0
2018-01-04,23.96,28.9,21.32,24.43,163769,73295100.0
2018-01-05,23.63,27.35,22.53,25.52,139129,76553400.0
2018-01-06,25.54,27.79,24.38,26.19,207731,78572100.0
2018-01-07,26.05,26.06,23.74,24.11,117935,72341700.0
2018-01-08,24.1,31.05,22.68,24.5,136203,73500300.0
2018-01-09,24.44,25.79,23.59,23.71,110788,71118600.0
2018-01-10,23.72,26.94,22.38,25.56,112933,76680600.0
2018-01-11,25.53,26.14,22.25,24.25,85897,72761100.0
2018-01-12,24.32,29.15,23.72,28.17,222126,84517500.0
2018-01-13,28.61,32.42,27.67,30.86,133054,92578200.0
2018-01-14,32.08,34.23,26.83,27.06,114125,81167400.0
2018-01-15,27.06,33.29,27.05,32.18,130794,96529200.0
2018-01-16,32.21,32.68,23.92,26.1,128498,78313500.0
2018-01-17,24.87,31.73,16.95,25.73,138631,77179800.0
2018-01-18,25.38,30.27,21.47,27.27,146150,81801600.0
2018-01-19,27.02,28.85,22.15,24.35,99422,73035900.0
2018-01-20,24.56,28.05,22.94,25.63,131561,76890000.0
2018-01-21,25.67,27.42,22.52,22.96,178213,68888700.0
2018-01-22,23.25,26.3,22.24,23.93,140386,71798100.0
2018-01-23,23.88,24.99,21.0,23.43,95794,70300200.0
2018-01-24,23.42,28.71,22.56,22.96,165000,68881200.0
2018-01-25,23.28,23.8,21.49,21.95,124108,65855100.0
2018-01-26,21.9,24.25,20.69,22.25,73997,66764100.0
2018-01-27,22.24,23.03,18.56,22.52,133716,67547700.0
2018-01-28,22.62,24.55,21.75,22.37,83907,67096800.0
2018-01-29,22.34,23.21,20.18,21.0,73014,63000000.0
2018-01-30,21.01,21.06,16.1,17.64,66416,52924500.0
2018-01-31,17.67,20.29,16.17,17.57,66817,52724100.0
2018-02-01,17.75,22.57,14.31,15.65,74986,46954800.0
2018-02-02,15.62,19.28,15.06,16.14,88758,48420000.0
2018-02-03,16.19,17.94,15.06,16.61,46581,49836300.0
2018-02-04,16.62,17.78,13.34,14.79,47956,44368800.0
2018-02-05,14.66,15.25,11.15,12.49,70718,37480800.0
2018-02-06,12.51,16.57,9.81,15.77,104735,47316000.0
2018-02-07,15.64,16.48,13.29,14.57,84416,43710600.0
2018-02-08,14.52,17.23,14.52,16.69,93645,50069400.0
2018-02-09,16.73,18.68,15.24,17.03,70868,51075300.0
2018-02-10,16.77,18.4,15.98,18.37,56990,55112100.0
2018-02-11,18.09,18.09,15.14,16.27,88385,48816600.0
2018-02-12,16.36,17.58,15.81,17.32,51514,51967800.0
2018-02-13,17.35,17.49,15.5,16.94,53197,50814600.0
2018-02-14,17.43,19.64,16.75,19.08,106599,57227400.0
2018-02-15,19.09,20.49,17.39,20.3,149343,60913800.0
2018-02-16,20.52,21.19,17.53,19.25,163280,57747900.0
