Date,Open,High,Low,Close,Volume,Market Cap
2019-01-10,0.39145,0.392422,0.38854,0.390557,4672,
2019-01-11,0.389621,0.39415,0.37224,0.376843,4255,
2019-01-12,0.377082,0.387468,0.372324,0.383209,3750,
2019-01-13,0.382797,0.383149,0.341869,0.344241,3784,
2019-01-14,0.344535,0.389629,0.344535,0.382555,3435,
2019-01-15,0.382599,0.39657,0.323324,0.329839,3942,
2019-01-16,0.329477,0.347953,0.326193,0.346424,3969,190048.0
2019-01-17,0.346099,0.34684,0.322699,0.345653,3939,189625.0
2019-01-18,0.345491,0.34575,0.310774,0.327165,150,179483.0
2019-01-19,0.328662,0.407916,0.327427,0.381342,482,209204.0
2019-01-20,0.381083,0.450358,0.313407,0.325839,3609,178755.0
2019-01-21,0.325488,0.33288,0.309401,0.326048,6739,178870.0
2019-01-22,0.325977,0.331557,0.311696,0.322328,4009,176829.0
2019-01-23,0.32245,0.349316,0.297738,0.329603,4279,180820.0
2019-01-24,0.329702,0.336415,0.314181,0.332847,4467,182599.0
2019-01-25,0.332969,0.339224,0.304064,0.318348,6621,174646.0
2019-01-26,0.318192,0.331206,0.31486,0.327744,4110,179800.0
2019-01-27,0.327624,0.330541,0.307572,0.318487,2956,174722.0
2019-01-28,0.318318,0.318329,0.279261,0.286533,6460,550181.0
2019-01-29,0.286644,0.303046,0.279612,0.29879,6767,577882.0
2019-01-30,0.298182,0.302101,0.286218,0.296054,8000,576103.0
2019-01-31,0.296148,0.301675,0.278094,0.279989,7679,545231.0
2019-02-01,0.280272,0.296389,0.236679,0.293785,5383,572095.0
2019-02-02,0.293408,0.316111,0.292171,0.316111,2747,616805.0
2019-02-03,0.315115,0.331008,0.272447,0.274039,2521,534713.0
2019-02-04,0.274288,0.279655,0.264534,0.269457,8425,525772.0
2019-02-05,0.269289,0.269661,0.21887,0.220505,3900,430255.0
2019-02-06,0.221168,0.250079,0.204775,0.24326,5017,474656.0
2019-02-07,0.243852,0.261398,0.24208,0.259336,12182,506024.0
2019-02-08,0.25964,0.261209,0.223933,0.250087,5704,487977.0
2019-02-09,0.250133,0.254385,0.234749,0.253892,5156,495401.0
2019-02-10,0.253534,0.270151,0.237994,0.269165,2728,525202.0
2019-02-11,0.269514,0.68538,0.262944,0.499601,26099,974836.0
2019-02-12,0.4991,0.525517,0.494547,0.525304,12008,1024989.0
2019-02-13,0.525336,0.547689,0.498252,0.503643,27686,1001255.0
2019-02-14,0.503254,0.517004,0.493975,0.51283,23386,1019520.0
2019-02-15,0.512515,0.527068,0.490187,0.511024,15788,1015930.0
2019-02-16,0.51117,0.531486,0.496353,0.517187,13336,1028182.0
2019-02-17,0.516867,0.569821,0.458221,0.530863,6991,1055370.0
2019-02-18,0.529173,0.6086,0.529173,0.604777,9472,1202313.0
2019-02-19,0.604916,0.620221,0.589312,0.600441,8537,1193692.0
2019-02-20,0.597025,0.625778,0.589977,0.60002,7776,1192855.0
2019-02-21,0.598618,0.617448,0.531742,0.536886,6207,1067343.0
2019-02-22,0.536616,0.556997,0.521348,0.548191,4386,1089818.0
2019-02-23,0.548205,0.607442,0.52946,0.58859,8064,1170132.0
2019-02-24,0.590142,0.64577,0.542395,0.54245,6238,1078406.0
2019-02-25,0.527887,0.568213,0.513574,0.513574,3646,1020998.0
2019-02-26,0.51217,0.542191,0.507261,0.513304,4731,1020462.0
2019-02-27,0.51276,0.527169,0.491442,0.51344,4059,1020733.0
2019-02-28,0.51252,0.533788,0.508482,0.530003,2540,1053660.0
2019-03-01,0.529872,0.543071,0.523681,0.532439,6034,1058504.0
2019-03-02,0.531939,0.535353,0.492542,0.510445,5110,1014778.0
2019-03-03,0.509995,0.527866,0.480146,0.482194,6734,958614.0
2019-03-04,0.481626,0.515023,0.472773,0.491474,6753,977063.0
2019-03-05,0.493335,0.522663,0.482059,0.510253,5653,1014396.0
2019-03-06,0.51249,0.525836,0.450177,0.451549,4668,897692.0
2019-03-07,0.451297,0.451661,0.291856,0.297609,4218,591654.0
2019-03-08,0.29772,0.312165,0.052775,0.270835,2622,538426.0
2019-03-09,0.24833,0.293119,0.072267,0.072443,828,144019.0
2019-03-10,0.072406,0.180328,0.040683,0.133649,1288,265697.0
2019-03-11,0.133677,0.257213,0.044786,0.105273,997,209286.0
2019-03-12,0.105347,0.506333,0.055874,0.422577,13776,840093.0
2019-03-13,0.42261,0.433218,0.407051,0.407095,6353,829731.0
2019-03-14,0.406895,0.435701,0.40654,0.425889,7231,868037.0
2019-03-15,0.425435,0.437378,0.425088,0.435589,1955,887807.0
2019-03-16,0.436215,0.457119,0.436215,0.450221,5111,917631.0
2019-03-17,0.449816,0.45011,0.393929,0.393946,2779,802932.0
2019-03-18,0.39432,0.440075,0.3864,0.39161,8216,798170.0
2019-03-19,0.391369,0.395595,0.32779,0.366379,1281,746746.0
2019-03-20,0.366515,0.366743,0.330212,0.363997,1642,741889.0
2019-03-21,0.364039,0.364802,0.270426,0.271078,114,552506.0
2019-03-22,0.270875,0.280888,0.270515,0.276588,1070,563735.0
2019-03-23,0.276298,0.311934,0.276019,0.311934,131,635776.0
2019-03-24,0.311933,0.311933,0.260944,0.261271,110,532517.0
2019-03-25,0.26179,0.276019,0.258848,0.27277,364,555954.0
2019-03-26,0.273173,0.274427,0.270716,0.274228,405,558925.0
2019-03-27,0.274314,0.284641,0.249635,0.252444,950,514526.0
2019-03-28,0.252348,0.259496,0.215895,0.216835,2602,441948.0
2019-03-29,0.217355,0.223673,0.181391,0.187522,2703,382203.0
2019-03-30,0.184627,0.195446,0.179578,0.183548,3356,374103.0
2019-03-31,0.183548,0.196776,0.179636,0.190899,3227,389085.0
2019-04-01,0.191251,0.195952,0.176044,0.184718,4524,376488.0
2019-04-02,0.184741,0.220289,0.184412,0.220289,3682,448989.0
2019-04-03,0.220289,0.232123,0.196887,0.207333,3559,422581.0
2019-04-04,0.207367,0.210736,0.165477,0.168481,2637,343394.0
2019-04-05,0.168397,0.17837,0.163085,0.171476,5795,349499.0
2019-04-06,0.171474,0.181144,0.169915,0.173804,3871,354243.0
2019-04-07,0.173685,0.184538,0.171279,0.184348,9948,375733.0
2019-04-08,0.184573,0.267203,0.184121,0.256894,11044,523595.0
2019-04-09,0.256894,0.305255,0.247349,0.280375,10293,571454.0
2019-04-10,0.280375,0.29187,0.270995,0.274714,10128,559916.0
2019-04-11,0.274836,0.286616,0.251042,0.26239,5068,534796.0
2019-04-12,0.262174,0.303773,0.258162,0.297789,3323,606946.0
2019-04-13,0.298027,0.298027,0.274547,0.285672,8768,582249.0
2019-04-14,0.285672,0.306878,0.284549,0.306878,8259,625471.0
2019-04-15,0.306878,0.332978,0.305499,0.307817,3806,627386.0
2019-04-16,0.307844,0.341678,0.298158,0.340422,6827,693840.0
2019-04-17,0.340398,0.342937,0.325807,0.33082,4610,674269.0
2019-04-18,0.330763,0.345452,0.301197,0.337004,2166,686873.0
2019-04-19,0.337216,0.375426,0.302554,0.346734,2599,706704.0
2019-04-20,0.346411,0.403429,0.344186,0.397321,1909,809811.0
2019-04-21,0.39731,0.409326,0.345085,0.35788,549,729422.0
2019-04-22,0.35807,0.36429,0.235324,0.263212,943,536473.0
2019-04-23,0.263212,0.266803,0.251195,0.259809,5333,529536.0
2019-04-24,0.259809,0.260022,0.241154,0.256449,6789,522688.0
2019-04-25,0.256424,0.257277,0.221428,0.233022,9664,474940.0
2019-04-26,0.23305,0.243841,0.222087,0.236288,6992,481597.0
2019-04-27,0.236362,0.238872,0.221007,0.223725,6086,455990.0
2019-04-28,0.223777,0.232153,0.200651,0.209034,13774,426048.0
2019-04-29,0.20903,0.214777,0.202938,0.207979,7160,423898.0
2019-04-30,0.208046,0.22104,0.204858,0.216445,7246,441154.0
2019-05-01,0.216172,0.230158,0.21026,0.22419,6874,456938.0
2019-05-02,0.224049,0.224049,0.210865,0.210905,7824,429862.0
2019-05-03,0.210905,0.228411,0.209993,0.215744,8090,439725.0
2019-05-04,0.215793,0.230384,0.210146,0.219894,7542,448183.0
2019-05-05,0.219866,0.364136,0.194729,0.249958,10652,509458.0
2019-05-06,0.250108,0.260567,0.182757,0.217058,5653,442403.0
