Date,Open,High,Low,Close,Volume,Market Cap
2018-10-24,0.014862,0.02555,0.014568,0.025549,79682,
2018-10-25,0.025549,0.031775,0.023268,0.028779,41209,
2018-10-26,0.028759,0.028885,0.02099,0.021367,57144,741682.0
2018-10-27,0.021384,0.026587,0.020383,0.025133,57073,872418.0
2018-10-28,0.025112,0.025415,0.020212,0.020283,69353,704051.0
2018-10-29,0.020283,0.020607,0.017098,0.017508,51341,607736.0
2018-10-30,0.017513,0.017514,0.013982,0.013982,44654,485345.0
2018-10-31,0.013818,0.01773,0.012357,0.015541,38848,539451.0
2018-11-01,0.015543,0.017412,0.012995,0.013914,40573,482978.0
2018-11-02,0.013915,0.017159,0.013326,0.014719,28361,510907.0
2018-11-03,0.014719,0.014815,0.013324,0.013942,45277,483936.0
2018-11-04,0.013959,0.014373,0.012944,0.014373,38670,498918.0
2018-11-05,0.01441,0.014929,0.012755,0.012879,34632,447068.0
2018-11-06,0.012986,0.015717,0.012743,0.014748,43566,510770.0
2018-11-07,0.014767,0.016084,0.013524,0.015326,35046,537934.0
2018-11-08,0.015319,0.015708,0.013886,0.013938,33065,489236.0
2018-11-09,0.013942,0.014852,0.013648,0.014475,40636,508088.0
2018-11-10,0.014465,0.015122,0.01421,0.014728,33644,516948.0
2018-11-11,0.014703,0.014786,0.013309,0.013436,37106,471619.0
2018-11-12,0.013447,0.013623,0.013002,0.013065,23947,458579.0
2018-11-13,0.013066,0.013363,0.012289,0.012328,51697,432738.0
2018-11-14,0.012326,0.012326,0.010324,0.011105,44259,389806.0
2018-11-15,0.011153,0.011435,0.010724,0.011435,35037,415282.0
2018-11-16,0.011464,0.01165,0.010573,0.010706,39634,388801.0
2018-11-17,0.010698,0.011192,0.010515,0.011067,24156,401911.0
2018-11-18,0.011073,0.011681,0.010718,0.01117,28610,405648.0
2018-11-19,0.01132,0.011514,0.010127,0.010579,32623,384185.0
2018-11-20,0.01052,0.011315,0.009811,0.010419,11800,378356.0
2018-11-21,0.01046,0.011171,0.009703,0.011171,41873,405669.0
2018-11-22,0.01058,0.011158,0.010178,0.010391,24373,377372.0
2018-11-23,0.01032,0.011101,0.009912,0.010602,25083,385020.0
2018-11-24,0.010595,0.011015,0.009633,0.009861,39701,358123.0
2018-11-25,0.009834,0.01121,0.008446,0.008924,26138,324091.0
2018-11-26,0.008901,0.009081,0.007894,0.008198,27616,297710.0
2018-11-27,0.008185,0.00966,0.007695,0.009341,35946,339218.0
2018-11-28,0.009365,0.011033,0.009138,0.010807,47093,392447.0
2018-11-29,0.010819,0.010877,0.006876,0.010177,44620,369569.0
2018-11-30,0.010194,0.010194,0.00722,0.008553,39485,310626.0
2018-12-01,0.008575,0.008575,0.007045,0.00783,30659,284335.0
2018-12-02,0.0078,0.008494,0.007307,0.007316,32043,265677.0
2018-12-03,0.007313,0.007344,0.006674,0.006749,32891,245114.0
2018-12-04,0.006742,0.007087,0.006653,0.006887,36357,250093.0
2018-12-05,0.006896,0.006914,0.006384,0.006384,29676,231855.0
2018-12-06,0.006376,0.006543,0.005862,0.005862,25443,212865.0
2018-12-07,0.005852,0.006407,0.005554,0.006094,28127,221300.0
2018-12-08,0.006084,0.00629,0.005184,0.005565,26353,202112.0
2018-12-09,0.005546,0.005809,0.004937,0.005226,27759,189796.0
2018-12-10,0.005222,0.005547,0.005108,0.005507,34014,199995.0
2018-12-11,0.005502,0.005516,0.004972,0.005502,37142,199802.0
2018-12-12,0.005544,0.005558,0.005009,0.005296,43585,192345.0
2018-12-13,0.005298,0.005684,0.005073,0.005171,48746,187793.0
2018-12-14,0.005184,0.005409,0.005119,0.005198,58529,188775.0
2018-12-15,0.005257,0.005292,0.004099,0.004117,37449,149509.0
2018-12-16,0.004117,0.004489,0.003564,0.003959,50754,143788.0
2018-12-17,0.003965,0.005414,0.003965,0.004348,29119,157904.0
2018-12-18,0.004347,0.004887,0.003958,0.004661,30361,169256.0
2018-12-19,0.004683,0.005185,0.004298,0.004347,39757,157860.0
2018-12-20,0.004339,0.005386,0.004317,0.005386,56907,195587.0
2018-12-21,0.005376,0.005537,0.004784,0.004802,50590,174386.0
2018-12-22,0.004793,0.004975,0.004609,0.004918,52847,178617.0
2018-12-23,0.00492,0.005438,0.00492,0.005423,55485,196957.0
2018-12-24,0.005423,0.007077,0.005423,0.006406,59178,232643.0
2018-12-25,0.00645,0.00645,0.005244,0.005282,37417,191805.0
