Date,Open,High,Low,Close,Volume,Market Cap
2016-01-04,0.000594,0.000595,0.000592,0.000593,3.0,5261
2016-01-05,0.000593,0.000823,0.000358,0.000648,2.0,5749
2016-01-06,0.000648,0.000648,0.000639,0.000639,0.0,5675
2016-01-07,0.000641,0.000684,0.000639,0.000682,1.0,6061
2016-01-08,0.000682,0.001036,0.000672,0.001029,15.0,9141
2016-01-09,0.001029,0.001032,0.000944,0.001003,1.0,8910
2016-01-10,0.001004,0.001004,0.000495,0.000883,71.0,7845
2016-01-11,0.000884,0.000887,0.000508,0.000848,7.0,7537
2016-01-12,0.000847,0.000847,0.000387,0.000741,0.0,6589
2016-01-13,0.000739,0.00074,0.00037,0.000519,1.0,4620
2016-01-14,0.000519,0.000702,0.000432,0.000689,30.0,6143
2016-01-15,0.000701,0.000701,0.000381,0.000623,0.0,5560
2016-01-16,0.000624,0.000664,0.0006,0.000659,13.0,5882
2016-01-17,0.000658,0.000669,0.000355,0.000356,6.0,3175
2016-01-18,0.000355,0.000652,0.00035,0.000619,5.0,5534
2016-01-19,0.000619,0.000636,0.00039,0.000623,0.0,5571
2016-01-20,0.000623,0.00094,0.000618,0.000929,19.0,8302
2016-01-21,0.000927,0.000945,0.00041,0.000923,7.0,8254
2016-01-22,0.000922,0.000923,0.00045,0.000853,2.0,7633
2016-01-23,0.000853,0.000898,0.000853,0.000887,10.0,7945
2016-01-24,0.000889,0.000896,0.000863,0.000891,0.0,7976
2016-01-25,0.000889,0.000959,0.000615,0.000705,34.0,6317
2016-01-26,0.000706,0.000907,0.000594,0.000596,6.0,5342
2016-01-27,0.000597,0.00079,0.000497,0.000498,3.0,4461
2016-01-28,0.000498,0.000767,0.000479,0.000761,18.0,6820
2016-01-29,0.00076,0.000769,0.000731,0.000751,0.0,6739
2016-01-30,0.00075,0.000758,0.000745,0.000753,2.0,6753
2016-01-31,0.000753,0.000761,0.000555,0.000557,6.0,5017
2016-02-01,0.000558,0.000749,0.000556,0.000739,3.0,6660
2016-02-02,0.000738,0.000744,0.000579,0.000738,0.0,6653
2016-02-03,0.000738,0.000856,0.000589,0.000851,2.0,7676
2016-02-04,0.000851,0.000897,0.000613,0.000892,0.0,8051
2016-02-05,0.000891,0.003404,0.000889,0.002319,86.0,20936
2016-02-06,0.00232,0.00232,0.00082,0.001355,1.0,12239
2016-02-07,0.001355,0.003194,0.001352,0.003182,1.0,28762
2016-02-08,0.003184,0.00321,0.001182,0.002446,1.0,22114
2016-02-09,0.002446,0.003153,0.002442,0.002989,118.0,27034
2016-02-10,0.00299,0.003059,0.001379,0.001382,2.0,12498
2016-02-11,0.001383,0.002385,0.001203,0.001898,6.0,17183
2016-02-12,0.001196,0.00305,0.000846,0.001821,72.0,16492
2016-02-13,0.001823,0.001854,0.000865,0.00183,7.0,16575
2016-02-14,0.001835,0.00186,0.000699,0.0007,66.0,6347
2016-02-15,0.000701,0.004424,0.00069,0.003201,808.0,29019
2016-02-16,0.003211,0.003542,0.003211,0.003382,49.0,30871
2016-02-17,0.003384,0.003455,0.003331,0.003356,77.0,30639
2016-02-18,0.003358,0.003395,0.001941,0.002952,53.0,26967
2016-02-19,0.002955,0.003255,0.00151,0.003219,193.0,29423
2016-02-20,0.003225,0.003386,0.001611,0.003169,74.0,28980
2016-02-21,0.003174,0.003423,0.003167,0.003335,1.0,30502
2016-02-22,0.003336,0.028559,0.00316,0.003165,76.0,28982
2016-02-23,0.003169,0.014515,0.001516,0.014496,85.0,132799
2016-02-24,0.014504,0.014595,0.007753,0.007774,72.0,71251
2016-02-25,0.007774,0.014639,0.001596,0.001596,2.0,14638
2016-02-26,0.001597,0.002769,0.001585,0.002161,8.0,19823
2016-02-27,0.002164,0.002816,0.001625,0.002816,12.0,25841
