Date,Open,High,Low,Close,Volume,Market Cap
2018-05-04,0.072981,0.082302,0.072852,0.08165,488558,
2018-05-05,0.081803,0.095879,0.077605,0.081653,538489,
2018-05-06,0.081675,0.086315,0.070752,0.076603,351524,
2018-05-07,0.076651,0.078229,0.069234,0.074508,311408,
2018-05-08,0.074767,0.077687,0.072002,0.07223,302211,
2018-05-09,0.072098,0.073649,0.059181,0.073395,420205,
2018-05-10,0.073414,0.081983,0.068146,0.068146,449799,
2018-05-11,0.068293,0.072277,0.05917,0.064136,387634,
2018-05-12,0.063951,0.065033,0.057308,0.061492,342651,
2018-05-13,0.061413,0.069617,0.054849,0.059343,343634,
2018-05-14,0.060069,0.061437,0.054562,0.061437,390958,
2018-05-15,0.061294,0.065782,0.060488,0.060538,359885,
2018-05-16,0.060548,0.063066,0.054026,0.055478,363012,
2018-05-17,0.055545,0.062945,0.055545,0.058477,417401,10324781.0
2018-05-18,0.058437,0.064602,0.056825,0.063094,517087,11139854.0
2018-05-19,0.063043,0.063508,0.057406,0.061093,502611,10786539.0
2018-05-20,0.061132,0.062234,0.058712,0.059071,354949,10429517.0
2018-05-21,0.059139,0.060401,0.05422,0.054802,374577,9675870.0
2018-05-22,0.054744,0.057597,0.049723,0.050665,153618,8945387.0
2018-05-23,0.050605,0.051878,0.038027,0.044007,332869,7769902.0
2018-05-24,0.043852,0.053145,0.043852,0.050042,620644,8835425.0
2018-05-25,0.050798,0.052377,0.04472,0.045714,865997,8071238.0
2018-05-26,0.045468,0.048585,0.044679,0.044828,772942,7914805.0
2018-05-27,0.044907,0.045911,0.043289,0.04415,837808,7795080.0
2018-05-28,0.044431,0.046392,0.041002,0.041623,818826,7348983.0
2018-05-29,0.041062,0.046835,0.0389,0.043573,897126,7693187.0
2018-05-30,0.043616,0.046069,0.042131,0.043401,555209,7662977.0
2018-05-31,0.043414,0.051181,0.042878,0.045712,1437950,8070973.0
2018-06-01,0.045728,0.052823,0.043566,0.045394,1056350,8014791.0
2018-06-02,0.045321,0.04949,0.044466,0.046762,923320,8256379.0
2018-06-03,0.046824,0.049154,0.046657,0.048188,1114500,8508153.0
2018-06-04,0.048103,0.048641,0.045389,0.045708,1067780,8070161.0
2018-06-05,0.045727,0.048586,0.045463,0.048586,1096100,8578283.0
2018-06-06,0.050334,0.050334,0.046884,0.048585,1137210,8578107.0
2018-06-07,0.048618,0.050067,0.047376,0.048541,1032630,8570479.0
2018-06-08,0.04858,0.048964,0.04687,0.047058,1115690,8308534.0
2018-06-09,0.047099,0.048863,0.046171,0.046171,838701,8152032.0
2018-06-10,0.046218,0.046218,0.039699,0.041019,674590,7242234.0
