Date,Open,High,Low,Close,Volume,Market Cap
2017-06-14,2.45,2.65,2.15,2.19,1632900.0,
2017-06-15,2.14,2.16,1.65,2.08,833425.0,
2017-06-16,2.11,2.4,2.0,2.17,575647.0,
2017-06-17,2.17,2.38,2.05,2.28,435850.0,44230562.0
2017-06-18,2.29,2.6,2.06,2.22,562960.0,43200435.0
2017-06-19,2.21,3.25,2.13,3.25,1762160.0,63067972.0
2017-06-20,3.29,4.56,2.53,2.65,5779950.0,51523635.0
2017-06-21,2.68,2.84,1.85,1.99,1753020.0,38625677.0
2017-06-22,2.0,2.37,1.98,2.0,1352570.0,38816276.0
2017-06-23,2.0,2.35,1.9,2.2,1771010.0,42816129.0
2017-06-24,2.2,2.52,2.06,2.13,1485300.0,41402279.0
2017-06-25,2.15,2.18,1.8,1.88,892047.0,36485570.0
2017-06-26,1.88,1.97,1.33,1.58,590138.0,30699607.0
2017-06-27,1.65,1.9,1.45,1.9,441063.0,36920198.0
2017-06-28,1.92,1.94,1.71,1.78,644797.0,34603869.0
2017-06-29,1.76,1.83,1.67,1.67,430202.0,32479111.0
2017-06-30,1.67,1.7,1.41,1.43,463007.0,27834409.0
2017-07-01,1.43,1.55,1.37,1.37,402282.0,26593671.0
2017-07-02,1.37,1.42,1.23,1.34,439934.0,25944353.0
2017-07-03,1.3,1.57,1.26,1.35,457399.0,26149135.0
2017-07-04,1.36,1.45,1.31,1.34,278542.0,26058596.0
2017-07-05,1.34,1.34,1.22,1.26,272175.0,24459393.0
2017-07-06,1.26,1.28,1.2,1.28,293604.0,24779000.0
2017-07-07,1.28,1.28,1.03,1.05,284250.0,20316931.0
2017-07-08,1.05,1.07,1.0,1.02,172007.0,19743774.0
2017-07-09,1.02,1.04,0.748695,0.805691,448763.0,15653790.0
2017-07-10,0.8238,0.844299,0.57241,0.59306,402639.0,11522577.0
2017-07-11,0.591802,0.687039,0.50644,0.569435,293194.0,11063566.0
2017-07-12,0.554947,0.708294,0.530096,0.701135,221800.0,13622369.0
2017-07-13,0.705809,0.775546,0.680492,0.724393,280629.0,14074249.0
2017-07-14,0.723756,0.733118,0.606594,0.625224,169184.0,12147492.0
2017-07-15,0.637782,0.638722,0.510617,0.510617,109659.0,9920790.0
2017-07-16,0.509197,0.513629,0.429764,0.47193,129399.0,9169139.0
2017-07-17,0.471076,0.58349,0.467348,0.551915,211675.0,10723170.0
2017-07-18,0.553497,0.729758,0.530641,0.678345,193385.0,13179581.0
2017-07-19,0.681052,0.69451,0.569001,0.574386,221503.0,11159760.0
2017-07-20,0.575603,0.721512,0.575603,0.66982,204319.0,13013949.0
2017-07-21,0.673833,0.72934,0.662862,0.714258,148728.0,13877336.0
2017-07-22,0.714437,0.870135,0.71071,0.868356,186802.0,16871310.0
2017-07-23,0.866057,1.12,0.837987,0.984462,471135.0,19127136.0
2017-07-24,0.978703,1.05,0.902454,0.968618,262799.0,18819303.0
2017-07-25,0.968922,0.97201,0.730737,0.753861,210004.0,14646784.0
2017-07-26,0.752156,0.802297,0.721633,0.800925,143587.0,15561191.0
2017-07-27,0.802826,0.895834,0.799951,0.892337,166805.0,17337237.0
2017-07-28,0.892572,0.896601,0.796593,0.80189,149063.0,15579940.0
2017-07-29,0.797345,0.799009,0.735721,0.782238,138174.0,15198121.0
2017-07-30,0.786037,0.793483,0.724727,0.759415,124249.0,14754692.0
2017-07-31,0.760214,0.779037,0.739466,0.776425,139277.0,15085180.0
2017-08-01,0.776622,0.854185,0.747371,0.853558,156987.0,16583799.0
2017-08-02,0.8532,0.925303,0.844387,0.895839,221303.0,17405278.0
2017-08-03,0.8962,1.18,0.8962,1.15,354240.0,22271490.0
2017-08-04,1.15,1.46,1.14,1.25,824874.0,24266463.0
2017-08-05,1.26,1.51,1.2,1.45,662110.0,28245915.0
2017-08-06,1.53,1.73,1.5,1.53,816171.0,29719801.0
2017-08-07,1.53,1.65,1.46,1.55,500899.0,30025808.0
2017-08-08,1.55,1.57,1.34,1.53,614269.0,29646942.0
2017-08-09,1.53,1.64,1.4,1.48,378127.0,28732807.0
2017-08-10,1.48,1.57,1.4,1.44,536154.0,27912513.0
2017-08-11,1.44,1.97,1.39,1.85,1105710.0,35910277.0
2017-08-12,1.88,2.42,1.77,2.18,3544820.0,42451446.0
2017-08-13,2.22,2.23,1.69,2.03,2698830.0,39433342.0
2017-08-14,2.02,2.09,1.74,1.89,2791460.0,36671117.0
2017-08-15,1.9,1.9,1.63,1.68,652319.0,32650087.0
2017-08-16,1.68,1.87,1.57,1.87,491958.0,36384151.0
2017-08-17,1.87,1.9,1.72,1.79,620886.0,34684111.0
2017-08-18,1.78,1.82,1.56,1.56,1233720.0,30356685.0
2017-08-19,1.71,1.73,1.39,1.63,2373650.0,31739254.0
2017-08-20,1.63,1.63,1.47,1.49,335952.0,29001316.0
2017-08-21,1.49,1.51,1.38,1.4,413015.0,27290396.0
2017-08-22,1.41,1.41,1.25,1.38,393983.0,26805253.0
2017-08-23,1.38,1.57,1.28,1.45,1248030.0,28186463.0
2017-08-24,1.45,1.51,1.4,1.48,295877.0,28755344.0
2017-08-25,1.48,1.51,1.3,1.33,440949.0,25858283.0
2017-08-26,1.33,1.46,1.3,1.45,619178.0,28158096.0
2017-08-27,1.45,1.51,1.42,1.5,290430.0,29212315.0
2017-08-28,1.49,1.49,1.37,1.4,322610.0,27127775.0
2017-08-29,1.4,1.46,1.37,1.42,413938.0,27618552.0
2017-08-30,1.42,1.43,1.28,1.43,720976.0,27691994.0
2017-08-31,1.42,1.84,1.4,1.83,1110110.0,35550257.0
2017-09-01,1.82,1.96,1.54,1.86,1660850.0,36222501.0
2017-09-02,1.85,1.86,1.4,1.51,716864.0,29333746.0
2017-09-03,1.5,1.56,1.36,1.5,415868.0,29065043.0
2017-09-04,1.48,1.49,1.06,1.16,670219.0,22607224.0
2017-09-05,1.15,1.28,1.02,1.23,437068.0,23988239.0
2017-09-06,1.24,1.3,1.16,1.3,650810.0,25324762.0
2017-09-07,1.32,1.38,1.18,1.29,808903.0,25018754.0
2017-09-08,1.29,1.29,1.04,1.08,656059.0,21006467.0
2017-09-09,1.08,1.09,1.01,1.04,349686.0,20179762.0
2017-09-10,1.04,1.04,0.962653,1.01,343979.0,19618846.0
2017-09-11,1.01,1.06,0.977767,0.995065,293391.0,19333142.0
2017-09-12,0.994085,1.04,0.950826,0.973071,419578.0,18905820.0
2017-09-13,0.976771,0.989501,0.854573,0.905028,288734.0,17583811.0
2017-09-14,0.905396,0.93468,0.721387,0.740787,286594.0,14392769.0
2017-09-15,0.746008,0.827604,0.588481,0.798776,510165.0,15519438.0
2017-09-16,0.797456,0.835163,0.748283,0.759353,315384.0,14753488.0
2017-09-17,0.756476,0.839302,0.69905,0.811565,384245.0,15767916.0
2017-09-18,0.809765,0.84967,0.809765,0.835243,336454.0,16227956.0
2017-09-19,0.836149,1.05,0.811726,0.887621,702528.0,17245610.0
2017-09-20,0.886326,1.1,0.88243,0.910315,764127.0,17686532.0
2017-09-21,0.91517,0.936591,0.769081,0.784535,332000.0,15242750.0
2017-09-22,0.814399,0.953417,0.792711,0.847431,676643.0,16464757.0
2017-09-23,0.844436,0.920416,0.820598,0.909943,425274.0,17679305.0
2017-09-24,0.914209,0.941382,0.859273,0.865752,410194.0,16820717.0
2017-09-25,0.864759,0.886962,0.852049,0.870799,285682.0,16918775.0
2017-09-26,0.874781,0.894726,0.864623,0.894726,236258.0,17383653.0
2017-09-27,0.893187,1.01,0.888744,1.01,351106.0,19577073.0
2017-09-28,1.01,1.01,0.825103,0.914648,820283.0,17770718.0
2017-09-29,0.911667,0.92112,0.831866,0.879777,339652.0,17093209.0
2017-09-30,0.880118,0.92763,0.871029,0.920182,286585.0,17878238.0
2017-10-01,0.918393,0.927733,0.897407,0.912196,286066.0,17723078.0
2017-10-02,0.914938,0.924157,0.880314,0.916115,381969.0,17799221.0
2017-10-03,0.916968,0.924935,0.811037,0.815057,287332.0,15835762.0
2017-10-04,0.816526,0.836583,0.767367,0.767743,225037.0,14916497.0
2017-10-05,0.766256,0.817366,0.751896,0.7757,330758.0,15071094.0
2017-10-06,0.775847,0.821486,0.754972,0.811014,337222.0,15757211.0
2017-10-07,0.811358,0.812094,0.760747,0.779387,258502.0,15142729.0
2017-10-08,0.77804,0.794278,0.668012,0.686713,298078.0,13342164.0
2017-10-09,0.685282,0.696566,0.637488,0.643944,320474.0,12511204.0
2017-10-10,0.644238,0.712777,0.618552,0.697589,341500.0,13553474.0
2017-10-11,0.697597,0.780205,0.683311,0.697444,303961.0,13550656.0
2017-10-12,0.697747,0.697747,0.600162,0.61276,301763.0,11905329.0
2017-10-13,0.61523,0.633423,0.584667,0.611418,203255.0,11879255.0
2017-10-14,0.611682,0.626634,0.602314,0.61443,147565.0,11937775.0
2017-10-15,0.614492,0.617568,0.57342,0.613337,174771.0,11916539.0
2017-10-16,0.614362,0.621384,0.608646,0.617634,394886.0,12000026.0
2017-10-17,0.617215,0.618453,0.574197,0.600727,431581.0,11671539.0
2017-10-18,0.600543,0.626303,0.577943,0.618351,306561.0,12013957.0
2017-10-19,0.61778,0.65039,0.596998,0.646442,337150.0,12559737.0
2017-10-20,0.64611,0.703797,0.589707,0.6018,521962.0,11692387.0
2017-10-21,0.600811,0.61089,0.573507,0.58117,251377.0,11291566.0
2017-10-22,0.580711,0.600652,0.559233,0.56712,300867.0,11018588.0
2017-10-23,0.566623,0.567734,0.489535,0.551633,295472.0,10717691.0
2017-10-24,0.551513,0.598628,0.522519,0.546743,314091.0,10622683.0
2017-10-25,0.546954,0.707873,0.534289,0.705084,537349.0,13699094.0
2017-10-26,0.698595,0.80291,0.602685,0.661569,1201170.0,12853640.0
2017-10-27,0.661283,0.671852,0.593307,0.605832,365147.0,11770725.0
2017-10-28,0.607769,0.622618,0.569108,0.601306,332700.0,11682789.0
2017-10-29,0.600329,0.639289,0.597564,0.620322,318573.0,12052251.0
2017-10-30,0.618157,0.641021,0.597121,0.610951,311420.0,11870182.0
2017-10-31,0.609957,0.779953,0.606403,0.779953,821668.0,15153726.0
2017-11-01,0.790028,0.790028,0.6514,0.677443,541688.0,13162056.0
2017-11-02,0.677654,0.696479,0.579431,0.605715,357108.0,11768451.0
2017-11-03,0.606894,0.620054,0.576924,0.608775,338376.0,11827904.0
2017-11-04,0.608696,0.629836,0.586704,0.597471,272390.0,11608279.0
2017-11-05,0.59771,0.625613,0.594144,0.624041,274818.0,12124508.0
2017-11-06,0.624757,0.643616,0.599998,0.609143,319518.0,11835054.0
2017-11-07,0.607584,0.620834,0.596096,0.599024,155624.0,11638452.0
2017-11-08,0.598003,0.63997,0.559991,0.582364,808478.0,11314764.0
2017-11-09,0.581336,0.629813,0.571629,0.607081,441828.0,11794991.0
2017-11-10,0.614205,0.622739,0.543445,0.556898,253276.0,10819985.0
2017-11-11,0.555323,0.612531,0.554143,0.594241,348328.0,11545523.0
