Date,Open,High,Low,Close,Volume,Market Cap
2018-03-20,0.000536,0.000631,0.000535,0.000622,177221,
2018-03-21,0.000623,0.000638,0.000444,0.000535,113917,
2018-03-22,0.000534,0.000544,0.000426,0.000522,198397,
2018-03-23,0.000435,0.000522,0.000251,0.000351,327585,
2018-03-24,0.000356,0.00045,0.000345,0.000345,47595,
2018-03-25,0.00034,0.000434,0.000253,0.000253,110900,
2018-03-26,0.000253,0.00042,0.000252,0.000409,48907,
2018-03-27,0.000408,0.000488,0.000311,0.000467,135076,
2018-03-28,0.000389,0.000648,0.000389,0.000555,408219,
2018-03-29,0.000556,0.000901,0.000448,0.000852,1095690,
2018-03-30,0.000779,0.001304,0.000672,0.001299,1661140,
2018-03-31,0.001299,0.002938,0.00106,0.001733,8016520,
2018-04-01,0.001802,0.001992,0.00133,0.001834,2355520,
2018-04-02,0.001843,0.002539,0.001764,0.002395,3215890,
2018-04-03,0.002397,0.003712,0.002389,0.003711,5019180,
2018-04-04,0.003708,0.004781,0.003661,0.004345,10116400,
2018-04-05,0.004347,0.004363,0.002719,0.002724,9880300,
2018-04-06,0.002711,0.00327,0.002624,0.002645,2608930,
2018-04-07,0.002582,0.002645,0.001446,0.001656,4656720,
2018-04-08,0.001726,0.002953,0.0016,0.002735,2903840,
2018-04-09,0.00274,0.003001,0.002294,0.002499,1774480,
2018-04-10,0.002569,0.003168,0.002417,0.003071,3584200,
2018-04-11,0.003006,0.003009,0.002137,0.002437,3856420,
2018-04-12,0.002362,0.00251,0.001804,0.002453,3122020,
2018-04-13,0.002378,0.002469,0.001957,0.001966,1920400,
2018-04-14,0.001967,0.002128,0.0012,0.001205,3691850,
2018-04-15,0.001128,0.001535,0.000652,0.001334,3244150,
2018-04-16,0.001335,0.001859,0.001209,0.001612,2729120,
2018-04-17,0.00161,0.001779,0.001297,0.001573,962386,
2018-04-18,0.001498,0.001628,0.001372,0.001406,501716,
2018-04-19,0.001406,0.001488,0.001145,0.001247,648554,24152021.0
2018-04-20,0.001239,0.001641,0.001239,0.001421,652679,27505500.0
2018-04-21,0.001505,0.001585,0.001232,0.001346,585379,26056650.0
2018-04-22,0.001349,0.00151,0.001246,0.001268,486931,24542163.0
2018-04-23,0.001326,0.001426,0.000976,0.00107,834373,20712575.0
2018-04-24,0.001071,0.002316,0.000836,0.002059,5398900,39870971.0
2018-04-25,0.002046,0.002226,0.001501,0.001501,1672650,29070328.0
2018-04-26,0.001513,0.001949,0.001399,0.001858,2501000,35982136.0
2018-04-27,0.001769,0.00342,0.001758,0.003038,7433580,58817935.0
2018-04-28,0.003028,0.003839,0.002826,0.003186,6057820,61678848.0
2018-04-29,0.003277,0.003965,0.003191,0.003965,1704360,76772409.0
