Date,Open,High,Low,Close,Volume,Market Cap
2017-08-23,4.58,4.59,4.2,4.34,995797,153929420
2017-08-24,4.37,4.61,4.3,4.49,441121,159239155
2017-08-25,4.49,5.34,4.36,4.94,1231690,175507385
2017-08-26,4.94,5.86,4.89,5.69,1828830,202095110
2017-08-27,5.68,5.96,5.42,5.56,1058870,197555370
2017-08-28,5.54,5.65,4.84,5.07,1046260,179816730
2017-08-29,5.07,5.28,4.87,5.17,644801,183404360
2017-08-30,5.17,5.44,5.04,5.42,277276,192343970
2017-08-31,5.42,5.42,5.41,5.41,934,192107185
2017-10-26,1.76,2.0,1.76,1.86,4560900,66142890
2017-10-27,1.86,2.05,1.81,1.97,5200300,70018425
2017-10-28,1.98,1.98,1.65,1.66,909188,59065965
2017-10-29,1.66,2.1,1.66,2.06,4368280,73017110
2017-10-30,2.04,2.06,1.03,1.73,5152710,61253475
2017-10-31,1.72,1.81,1.54,1.81,6424290,64165540
2017-11-01,1.81,1.81,1.55,1.69,4155450,60015235
2017-11-02,1.69,1.9,1.6,1.74,3917230,61718880
2017-11-03,1.74,1.82,1.57,1.65,3329140,58577840
2017-11-04,1.65,1.9,1.61,1.69,4416420,60123865
2017-11-05,1.69,1.81,1.64,1.66,3381360,58807170
2017-11-06,1.66,1.74,1.54,1.54,4157400,54788925
2017-11-07,1.54,1.91,1.54,1.82,4339130,64670350
2017-11-08,1.82,2.13,1.79,2.06,4118620,73209520
2017-11-09,2.06,3.16,1.99,2.81,5308560,99720565
2017-11-10,2.82,3.05,2.25,3.03,13424100,107645230
2017-11-11,3.02,3.4,2.67,2.7,5584820,95780065
2017-11-12,2.7,3.01,2.2,2.72,902325,96670760
2017-11-13,2.73,3.02,2.32,2.48,5208,88118455
2017-11-14,2.49,2.72,2.31,2.37,4585530,84170855
2017-11-15,2.37,3.0,2.22,2.98,5959170,105687760
2017-11-16,2.36,2.87,2.34,2.74,3600880,97102440
2017-11-17,2.73,3.21,2.64,2.64,545,93552085
2017-12-25,3.92,4.04,3.82,4.04,4835210,143254570
2017-12-26,4.04,6.68,3.61,6.54,15623200,232050720
2017-12-27,6.53,7.64,5.12,5.65,29351900,200605530
2017-12-28,5.65,5.65,4.39,5.08,10466100,180401415
2017-12-29,5.12,6.41,5.08,6.03,15972400,213910930
2017-12-30,6.02,6.04,4.66,5.48,11138000,194411135
2017-12-31,5.47,5.73,4.92,5.61,10903700,199158550
2018-01-01,5.66,5.66,5.0,5.29,8631880,187641640
2018-01-02,5.36,5.6,5.11,5.54,18219900,196606100
2018-01-03,5.56,7.69,4.95,7.52,32260000,266786405
2018-01-04,7.51,7.64,6.37,6.92,26605500,245522970
2018-01-05,6.87,6.91,6.13,6.72,18666600,238670405
2018-01-06,6.77,9.9,6.6,9.8,30465900,348062945
2018-01-07,9.75,14.7,9.32,14.03,66197200,498136000
2018-01-08,13.76,13.76,10.15,13.52,43579100,480130400
2018-01-09,13.6,16.64,12.87,16.24,40054300,576679750
2018-01-10,16.27,16.29,12.29,14.24,38735100,505569700
2018-01-11,14.58,14.68,11.0,12.26,34004200,435187400
2018-01-12,12.39,13.27,11.22,12.9,34216700,457776050
2018-01-13,12.78,13.11,11.3,12.51,34867600,443973650
2018-01-14,12.54,12.65,9.83,11.54,30612100,409716150
2018-01-15,11.52,11.82,10.29,10.74,31270000,381120900
2018-01-16,10.68,10.68,6.5,8.11,29455400,287832935
2018-01-17,8.12,8.67,5.63,8.17,25107900,289920335
2018-01-18,8.28,9.37,7.37,8.95,23002100,317820850
2018-01-19,8.89,9.12,7.47,8.41,18686600,298485420
2018-01-20,8.42,12.77,8.42,12.52,17322300,444495500
2018-01-21,12.54,12.54,9.39,10.32,17997600,366477150
2018-01-22,10.38,10.82,8.72,9.65,24012500,342430870
2018-01-23,9.66,10.16,8.44,9.46,20834800,335779590
2018-01-24,9.51,10.88,9.12,10.17,27519800,360942700
2018-01-25,10.33,11.08,10.02,10.62,26709600,376946100
2018-01-26,10.56,11.69,10.1,11.36,31024900,403290650
2018-01-27,11.36,11.95,10.93,11.78,26194600,418026700
2018-01-28,11.81,12.87,11.37,12.72,29816600,451677150
2018-01-29,12.74,13.41,11.91,13.37,33887700,474560450
2018-01-30,13.39,13.41,10.45,11.58,26694000,410926700
2018-01-31,11.55,11.89,10.43,11.26,27971900,399779700
2018-02-01,11.3,11.71,8.7,10.02,20021100,355539600
2018-02-02,9.99,9.99,6.9,9.11,14111700,323541320
2018-02-03,9.14,9.97,8.23,9.53,16576800,338363280
2018-02-04,9.53,9.71,7.58,8.09,17053800,287359720
2018-02-05,8.01,8.17,5.49,6.07,14996000,215446660
2018-02-06,6.04,8.36,4.75,8.03,17735400,285219070
2018-02-07,7.98,8.54,6.83,7.18,16844600,254713920
2018-02-08,7.2,8.15,7.2,7.8,7603820,276793500
2018-02-09,7.81,8.88,7.46,8.79,8132480,312181675
2018-02-10,8.77,9.88,8.09,8.43,7803680,299260030
2018-02-11,8.43,8.6,7.28,7.97,6111070,282996060
2018-02-12,8.01,9.03,8.01,8.61,10112200,305528620
2018-02-13,8.63,8.63,7.99,8.02,7953730,284834250
2018-02-14,8.02,8.97,8.02,8.92,9340850,316606395
2018-02-15,8.95,9.33,8.69,9.25,9306720,328372870
2018-02-16,9.2,9.37,8.87,9.24,7908390,328110525
2018-02-17,9.26,9.7,9.16,9.64,9999020,342063090
2018-02-18,9.66,9.68,8.77,8.79,8856730,311918975
