Date,Open,High,Low,Close,Volume,Market Cap
2018-05-30,0.402711,0.41338,0.400127,0.41335,70353,
2018-05-31,0.413317,0.4212,0.410806,0.421109,78279,
2018-06-01,0.421953,0.42423,0.399112,0.416531,94900,
2018-06-02,0.417202,0.42549,0.401812,0.402398,20048,
2018-06-03,0.414675,0.427008,0.402535,0.424837,15426,
2018-06-04,0.42391,0.510535,0.410285,0.502061,159633,
2018-06-05,0.500621,0.549084,0.420434,0.547164,796190,
2018-06-06,0.546155,0.567746,0.515463,0.550139,134954,
2018-06-07,0.559473,0.56535,0.481148,0.522641,253033,
2018-06-08,0.52309,0.526082,0.4646,0.487319,119174,
2018-06-09,0.491097,0.493012,0.462793,0.480091,113456,
2018-06-10,0.477866,0.477866,0.399214,0.450109,171830,
2018-06-11,0.460623,0.487292,0.455636,0.487127,39526,
2018-06-12,0.487926,0.49026,0.427329,0.428557,28565,
2018-06-13,0.428833,0.461745,0.400177,0.400879,22099,
2018-06-14,0.425398,0.463257,0.404208,0.462777,66186,
2018-06-15,0.462247,0.462799,0.413352,0.420189,108631,
2018-06-16,0.43417,0.439922,0.380015,0.404857,309013,
2018-06-17,0.404832,0.409709,0.384562,0.384699,4971,
2018-06-18,0.407961,0.410234,0.384719,0.409984,6433,
2018-06-19,0.408445,0.42901,0.400291,0.418201,48677,
2018-06-20,0.425104,0.425104,0.401272,0.402529,9491,
2018-06-21,0.413634,0.427148,0.396409,0.427148,71683,
2018-06-22,0.429034,0.429037,0.403835,0.408732,182913,
2018-06-23,0.419502,0.419502,0.373466,0.380618,164612,
2018-06-24,0.384997,0.401177,0.355933,0.400018,93152,
2018-06-25,0.399589,0.399918,0.365349,0.374886,48097,
2018-06-26,0.391301,0.391912,0.360703,0.360711,28785,
2018-06-27,0.360325,0.382334,0.339579,0.347005,154038,
2018-06-28,0.347314,0.364612,0.339773,0.341516,27118,
2018-06-29,0.341563,0.363507,0.323734,0.36126,52929,
2018-06-30,0.361361,0.408469,0.342412,0.408197,91401,
2018-07-01,0.409075,0.409444,0.368115,0.388721,149052,
2018-07-02,0.383431,0.425602,0.379074,0.401981,127462,
2018-07-03,0.423578,0.423893,0.392507,0.393169,72869,
2018-07-04,0.396223,0.410876,0.383948,0.405841,34158,
2018-07-05,0.412293,0.415853,0.381556,0.395036,118579,
2018-07-06,0.400033,0.400033,0.380948,0.382735,5257,
2018-07-07,0.406648,0.40711,0.386489,0.40109,1742,
2018-07-08,0.408079,0.410139,0.400285,0.402014,151,
2018-07-09,0.402321,0.408905,0.397681,0.405638,10350,
2018-07-10,0.406838,0.410636,0.370907,0.371148,100860,
2018-07-11,0.379718,0.386382,0.362655,0.386382,45101,
2018-07-12,0.38638,0.38638,0.355379,0.367774,124851,30287300.0
2018-07-13,0.367837,0.387227,0.343452,0.343836,203465,28315934.0
2018-07-14,0.356602,0.357735,0.34442,0.35716,52347,29413205.0
2018-07-15,0.356986,0.357984,0.326949,0.340787,144808,28064839.0
2018-07-16,0.344631,0.351139,0.337808,0.342335,7734,28192322.0
2018-07-17,0.350331,0.362828,0.327652,0.360249,78087,29667594.0
2018-07-18,0.361511,0.366009,0.34191,0.344704,15650,28387416.0
2018-07-19,0.356621,0.357067,0.34225,0.350438,35490,28859628.0
2018-07-20,0.349968,0.349968,0.311011,0.313343,639486,25804743.0
2018-07-21,0.313373,0.344458,0.311529,0.323667,6162,26654956.0
2018-07-22,0.323593,0.342239,0.315654,0.31642,12927,26058143.0
2018-07-23,0.328658,0.341499,0.319057,0.32592,20079,26840497.0
2018-07-24,0.318982,0.327506,0.301769,0.302234,127133,24889883.0
