Date,Open,High,Low,Close,Volume,Market Cap
2014-05-06,4e-06,4e-06,4e-06,4e-06,66,296863
2014-05-07,4e-06,4e-06,4e-06,4e-06,32,306427
2014-05-08,4e-06,4e-06,4e-06,4e-06,51,310069
2014-05-09,4e-06,5e-06,4e-06,5e-06,80,320264
2014-05-10,4e-06,5e-06,4e-06,5e-06,8,326792
2014-05-11,5e-06,5e-06,4e-06,4e-06,687,318540
2014-05-12,4e-06,4e-06,4e-06,4e-06,11,323054
2014-05-13,4e-06,4e-06,4e-06,4e-06,6,326234
2014-05-14,4e-06,4e-06,4e-06,4e-06,8,331877
2014-05-15,4e-06,4e-06,4e-06,4e-06,23,336551
2014-05-16,4e-06,5e-06,4e-06,4e-06,0,339187
2014-05-17,4e-06,5e-06,4e-06,4e-06,25,340821
2014-05-18,4e-06,4e-06,4e-06,4e-06,0,340459
2014-05-19,4e-06,4e-06,4e-06,4e-06,20,342099
2014-05-20,4e-06,5e-06,4e-06,5e-06,0,374375
2014-05-21,5e-06,5e-06,5e-06,5e-06,0,380473
2014-05-22,5e-06,5e-06,5e-06,5e-06,6,407369
2014-05-23,5e-06,5e-06,5e-06,5e-06,0,406764
2014-05-24,5e-06,5e-06,5e-06,5e-06,0,412061
2014-05-25,5e-06,6e-06,5e-06,6e-06,1,449866
2014-05-26,6e-06,6e-06,6e-06,6e-06,0,461839
2014-05-27,6e-06,6e-06,6e-06,6e-06,0,458273
2014-05-28,6e-06,6e-06,6e-06,6e-06,2,460729
2014-05-29,6e-06,6e-06,6e-06,6e-06,1,455032
2014-05-30,6e-06,6e-06,6e-06,6e-06,1,496215
2014-05-31,6e-06,6e-06,6e-06,6e-06,0,505986
2014-06-01,6e-06,7e-06,6e-06,6e-06,0,525088
2014-06-03,7e-06,7e-06,7e-06,7e-06,67,547905
2014-06-04,7e-06,7e-06,6e-06,6e-06,1,528709
2014-06-05,6e-06,6e-06,6e-06,6e-06,1,529531
2014-06-06,7e-06,7e-06,7e-06,7e-06,0,543923
2014-06-07,7e-06,7e-06,6e-06,7e-06,0,545375
2014-06-08,7e-06,7e-06,7e-06,7e-06,2,550353
2014-06-09,7e-06,7e-06,6e-06,6e-06,1,546806
2014-06-10,7e-06,7e-06,6e-06,7e-06,39,552238
2014-06-11,7e-06,7e-06,6e-06,6e-06,64,538270
2014-06-12,6e-06,6e-06,6e-06,6e-06,0,503335
2014-06-13,6e-06,6e-06,6e-06,6e-06,2,513448
2014-06-14,6e-06,6e-06,6e-06,6e-06,0,512823
2014-06-16,6e-06,6e-06,6e-06,6e-06,1,512901
2014-06-17,6e-06,6e-06,6e-06,6e-06,1,531963
