Date,Open,High,Low,Close,Volume,Market Cap
2018-05-08,9.4e-05,9.4e-05,9.4e-05,9.4e-05,55905,
2018-05-09,9.3e-05,9.3e-05,9.2e-05,9.3e-05,5565,
2018-05-10,9.3e-05,0.001275,9.3e-05,0.000181,58463,
2018-05-11,0.000181,0.000181,8.4e-05,0.000168,60547,
2018-05-12,0.000168,0.000173,8.4e-05,0.000169,57377,
2018-05-13,0.000169,0.000263,0.000167,0.000261,29543,
2018-05-14,0.000261,0.000261,8.4e-05,0.000165,158023,
2018-05-15,0.000165,0.000175,0.00011,0.000121,125414,
2018-05-16,0.000121,0.000162,0.000113,0.00013,17003,
2018-05-17,0.00013,0.00016,9.5e-05,0.000153,4639,
2018-05-18,0.000153,0.000167,9.6e-05,0.000166,633299,
2018-05-19,0.000166,0.000177,0.000157,0.00016,2197620,
2018-05-20,0.00016,0.00018,0.000159,0.000178,3019510,
2018-05-21,0.000179,0.00023,0.000163,0.00023,3747180,
2018-05-22,0.000229,0.000271,0.000184,0.000239,1003610,
2018-05-23,0.000238,0.000244,0.000198,0.000221,667355,
2018-05-24,0.00022,0.000368,0.000212,0.000337,7403680,
2018-05-25,0.000343,0.000343,0.000142,0.000216,611898,
2018-05-26,0.000216,0.000249,0.000198,0.000234,1819210,
2018-05-27,0.000235,0.00024,0.000195,0.00024,978246,
2018-05-28,0.00024,0.000388,0.000231,0.000237,667247,
2018-05-29,0.000236,0.000375,0.000236,0.000373,463333,
2018-05-30,0.000373,0.000527,0.000351,0.000497,882207,
2018-05-31,0.000497,0.000632,0.000494,0.000553,1272050,
2018-06-01,0.000554,0.000588,0.000464,0.000579,985064,
2018-06-02,0.000579,0.000747,0.000559,0.000651,1194670,
2018-06-03,0.000645,0.000757,0.000645,0.000687,1602100,
2018-06-04,0.000686,0.000722,0.000513,0.000598,577569,
2018-06-05,0.000598,0.000625,0.000417,0.000584,625956,
2018-06-06,0.000595,0.000595,0.000482,0.000509,399891,
2018-06-07,0.000509,0.00051,0.000381,0.00041,339011,
2018-06-08,0.000411,0.000572,0.00041,0.00057,668498,
2018-06-09,0.000558,0.000634,0.000485,0.000522,347420,
2018-06-10,0.000523,0.000523,0.000392,0.000441,435096,
2018-06-11,0.000442,0.000447,0.000389,0.000446,421460,
2018-06-12,0.000446,0.000448,0.000384,0.000396,504175,
2018-06-13,0.000397,0.000408,0.000358,0.000381,413417,
2018-06-14,0.000381,0.000473,0.000381,0.000473,537517,
2018-06-15,0.000472,0.000472,0.000374,0.000396,130383,
2018-06-16,0.000395,0.000414,0.000369,0.000414,549516,
2018-06-17,0.000413,0.000473,0.000411,0.000448,451037,
2018-06-18,0.000448,0.000515,0.00043,0.000502,449522,
2018-06-19,0.000502,0.00054,0.000473,0.000526,798623,
2018-06-20,0.000527,0.000537,0.000438,0.000488,391507,
2018-06-21,0.000493,0.000595,0.000493,0.000544,1241570,
2018-06-22,0.000538,0.000556,0.000488,0.00053,444493,
2018-06-23,0.00053,0.00081,0.000525,0.000741,1455180,
2018-06-24,0.00074,0.000743,0.000493,0.000604,742955,
2018-06-25,0.000601,0.000601,0.000504,0.000537,368324,
2018-06-26,0.000537,0.000679,0.000528,0.000609,661077,
2018-06-27,0.00059,0.000666,0.000587,0.000657,532022,
2018-06-28,0.000658,0.000668,0.000612,0.000628,264390,
2018-06-29,0.000628,0.000632,0.000534,0.000609,254443,
2018-06-30,0.000609,0.000647,0.000574,0.000594,441653,
2018-07-01,0.000595,0.000659,0.000594,0.000632,326317,
2018-07-02,0.000632,0.000675,0.000618,0.000662,988176,68945348.0
2018-07-03,0.000638,0.000662,0.000567,0.000568,315173,59182524.0
2018-07-04,0.000568,0.000625,0.00039,0.000475,323308,49509009.0
2018-07-05,0.000467,0.000579,0.000462,0.000553,204005,57626737.0
2018-07-06,0.000553,0.000563,0.000492,0.000503,90136,52396630.0
2018-07-07,0.000503,0.000536,0.000432,0.000467,114286,48630920.0
2018-07-08,0.000467,0.000512,0.000408,0.000467,323074,48705537.0
2018-07-09,0.000467,0.000607,0.000435,0.000538,254201,56098989.0
2018-07-10,0.000538,0.000538,0.000483,0.000503,66000,52373500.0
2018-07-11,0.000494,0.000535,0.000477,0.000513,110197,53502230.0
2018-07-12,0.000513,0.000546,0.000425,0.000456,306882,47469170.0
2018-07-13,0.000457,0.000462,0.000429,0.000434,50537,45201091.0
2018-07-14,0.000435,0.000453,0.000414,0.000436,38554,45451826.0
2018-07-15,0.000436,0.000502,0.000417,0.000495,169777,51552525.0
2018-07-16,0.000495,0.000521,0.000458,0.000499,1112540,52053474.0
2018-07-17,0.000514,0.00053,0.000474,0.000501,1115290,52192597.0
2018-07-18,0.000501,0.000531,0.000462,0.000466,1478790,48603418.0
2018-07-19,0.000466,0.000496,0.000426,0.000441,2013160,46181015.0
2018-07-20,0.000441,0.000458,0.0004,0.000433,643488,45308887.0
2018-07-21,0.000424,0.00045,0.000401,0.000416,538066,43608456.0
2018-07-22,0.000416,0.000433,0.000397,0.000414,1258360,43311091.0
2018-07-23,0.000414,0.000459,0.000374,0.000401,883526,42029909.0
2018-07-24,0.000401,0.000534,0.000384,0.000517,964730,54146432.0
2018-07-25,0.000523,0.000612,0.000489,0.000582,665891,60903650.0
2018-07-26,0.000581,0.000594,0.000432,0.000453,1134050,47481293.0
2018-07-27,0.000453,0.000461,0.000422,0.000425,268342,44542027.0
2018-07-28,0.000429,0.000432,0.000409,0.000416,838169,43509727.0
2018-07-29,0.000416,0.000438,0.000394,0.000414,484078,43396566.0
2018-07-30,0.000415,0.000415,0.000372,0.00039,38009,40785909.0
2018-07-31,0.00039,0.00039,0.000357,0.000363,34017,38054527.0
2018-08-01,0.000363,0.000364,0.000324,0.000341,543422,35660419.0
2018-08-02,0.000341,0.000344,0.000289,0.000302,429552,31579839.0
2018-08-03,0.000302,0.000393,0.000286,0.000343,533121,35939788.0
2018-08-04,0.000343,0.000361,0.000311,0.000334,1020040,35000113.0
2018-08-05,0.000334,0.000365,0.000304,0.000344,200809,35990259.0
2018-08-06,0.000345,0.000346,0.000278,0.000289,138095,30230253.0
2018-08-07,0.000289,0.000341,0.000284,0.00029,136889,42139214.0
2018-08-08,0.000287,0.000305,0.000256,0.000271,60830,39450535.0
2018-08-09,0.000272,0.000274,0.000232,0.000253,581313,36756372.0
2018-08-10,0.000245,0.000278,0.000233,0.000246,49401,35913196.0
2018-08-11,0.000246,0.000246,0.000219,0.00023,23432,33628761.0
2018-08-12,0.000229,0.000234,0.000212,0.000212,58882,30945483.0
2018-08-13,0.000221,0.000231,0.00018,0.000196,50800,28596785.0
2018-08-14,0.000196,0.000196,0.00015,0.000162,146603,23729740.0
2018-08-15,0.000161,0.000178,0.000149,0.000156,115089,22792672.0
2018-08-16,0.000156,0.000204,0.000152,0.000193,211626,28160696.0
2018-08-17,0.000193,0.000275,0.000188,0.000257,453624,37545549.0
2018-08-18,0.000258,0.000269,0.000223,0.000235,40702,34343092.0
2018-08-19,0.000235,0.000254,0.00022,0.000241,310212,35276298.0
2018-08-20,0.000241,0.00025,0.000209,0.000217,86606,31795914.0
2018-08-21,0.000216,0.000227,0.000209,0.000223,710285,32606395.0
2018-08-22,0.000223,0.000234,0.000151,0.000177,318140,25905029.0
2018-08-23,0.000178,0.000202,0.000169,0.000189,280062,27675221.0
2018-08-24,0.000189,0.000203,0.000182,0.000201,173893,29493372.0
2018-08-25,0.000201,0.000222,0.000156,0.000162,27236,23748738.0
2018-08-26,0.000162,0.000205,0.000161,0.000195,436,28565445.0
2018-08-27,0.000195,0.000234,0.000189,0.000234,28316,34250572.0
2018-08-28,0.000235,0.000283,0.000223,0.000266,113022,39081935.0
2018-08-29,0.000266,0.000269,0.00023,0.000251,71221,36826348.0
2018-08-30,0.00025,0.000263,0.000236,0.000253,76460,37166833.0
2018-08-31,0.000253,0.000256,0.000233,0.000236,486994,34667877.0
2018-09-01,0.000236,0.00025,0.000236,0.00024,252647,35287506.0
2018-09-02,0.000239,0.000256,0.000237,0.000238,173867,34999035.0
2018-09-03,0.000245,0.000251,0.000236,0.000241,503498,35352766.0
2018-09-04,0.000241,0.000246,0.000236,0.000238,554985,34984335.0
2018-09-05,0.000238,0.000244,0.00022,0.000233,402256,34290125.0
2018-09-06,0.000231,0.000247,0.000205,0.00024,792262,35289235.0
2018-09-07,0.00024,0.000318,0.000211,0.000302,888949,44454421.0
2018-09-08,0.000302,0.000323,0.000284,0.000287,724986,42129888.0
2018-09-09,0.000288,0.000317,0.000287,0.000303,471090,44555465.0
2018-09-10,0.000303,0.00032,0.000294,0.000316,335786,46544329.0
2018-09-11,0.000316,0.000316,0.000201,0.000242,230031,35676268.0
2018-09-12,0.000224,0.000232,0.00017,0.000195,339971,28715010.0
2018-09-13,0.000195,0.000215,0.000178,0.000192,473443,28297657.0
2018-09-14,0.000192,0.000198,0.000179,0.000195,874311,28772514.0
2018-09-15,0.000195,0.000196,0.000182,0.00019,357936,28057409.0
2018-09-16,0.00019,0.000191,0.000173,0.000186,468358,27578077.0
2018-09-17,0.000186,0.000187,0.00018,0.000186,221098,27516881.0
2018-09-18,0.000186,0.000195,0.000155,0.000165,406829,24481289.0
2018-09-19,0.000166,0.000184,0.000165,0.000183,365633,27089537.0
2018-09-20,0.000183,0.000184,0.000165,0.000168,1129380,24803826.0
2018-09-21,0.000167,0.000179,0.000158,0.000159,374194,23610550.0
2018-09-22,0.00016,0.000173,0.000159,0.000169,564876,25086320.0
2018-09-23,0.00017,0.000183,0.000166,0.00018,967398,26648866.0
2018-09-24,0.00018,0.00018,0.000163,0.000163,521984,24135187.0
2018-09-25,0.000163,0.000172,0.000161,0.000165,1191740,24371256.0
2018-09-26,0.000165,0.00017,0.000161,0.000168,242634,24895775.0
2018-09-27,0.000168,0.000169,0.000155,0.000165,2004380,24382330.0
