Date,Open,High,Low,Close,Volume,Market Cap
2018-07-28,0.447153,0.468275,0.434097,0.45113,316002,
2018-07-29,0.453429,0.484665,0.348558,0.400424,147040,
2018-07-30,0.400645,0.410031,0.363021,0.377502,145280,
2018-07-31,0.376952,0.382726,0.205038,0.287691,169121,
2018-08-01,0.287734,0.312611,0.255069,0.255069,135379,
2018-08-02,0.255105,0.289399,0.241477,0.251253,209569,
2018-08-03,0.251282,0.284621,0.224311,0.246324,205965,9757772.0
2018-08-04,0.24645,0.278433,0.231549,0.232827,787880,9223108.0
2018-08-05,0.232847,0.249816,0.23024,0.249342,472210,9877326.0
2018-08-06,0.249559,0.252342,0.208648,0.212337,539562,8411426.0
2018-08-07,0.212558,0.225618,0.203142,0.203325,435652,8054429.0
2018-08-08,0.20353,0.210006,0.157999,0.158486,297090,6278196.0
2018-08-09,0.158693,0.248221,0.158693,0.231143,499225,9156399.0
2018-08-10,0.212823,0.231731,0.183383,0.187776,315172,7438477.0
2018-08-11,0.187404,0.21223,0.181464,0.19256,488962,7627988.0
2018-08-12,0.192116,0.215543,0.190286,0.213398,118139,8453456.0
2018-08-13,0.213832,0.221587,0.202992,0.208253,130247,8249644.0
2018-08-14,0.208087,0.234288,0.192973,0.21388,127936,8472550.0
2018-08-15,0.213864,0.228925,0.20969,0.210004,131660,8319008.0
2018-08-16,0.210121,0.223209,0.197389,0.206692,125285,8187807.0
2018-08-17,0.206094,0.232823,0.206031,0.226971,82896,8991131.0
2018-08-18,0.227499,0.233174,0.212941,0.225095,189660,8916816.0
2018-08-19,0.224995,0.225379,0.211197,0.211836,98847,8391580.0
2018-08-20,0.211489,0.214567,0.203352,0.209526,183151,8300072.0
2018-08-21,0.209504,0.210795,0.190977,0.191272,91913,7576966.0
2018-08-22,0.191311,0.214733,0.190571,0.21412,174201,8482057.0
2018-08-23,0.214147,0.218665,0.143832,0.176233,145262,6981218.0
2018-08-24,0.171993,0.193435,0.16689,0.191427,150492,7583106.0
2018-08-25,0.191272,0.207302,0.185852,0.186237,140798,7377512.0
2018-08-26,0.186511,0.190898,0.162739,0.16536,101986,6550499.0
2018-08-27,0.165282,0.243371,0.155554,0.233519,131413,9250521.0
2018-08-28,0.161992,0.189671,0.160465,0.179001,185049,7090868.0
2018-08-29,0.180719,0.188295,0.160103,0.168458,168085,6673222.0
2018-08-30,0.168482,0.221962,0.164397,0.212301,176239,8410000.0
2018-08-31,0.212405,0.25918,0.19134,0.250855,181438,9937261.0
2018-09-01,0.250845,0.35516,0.21,0.265197,182481,10505399.0
2018-09-02,0.265293,0.77641,0.241098,0.379261,259787,15023881.0
2018-09-03,0.365123,0.631998,0.305854,0.565944,228277,22419061.0
2018-09-04,0.56595,0.584952,0.388085,0.46792,183524,18535980.0
2018-09-05,0.468292,0.489809,0.32638,0.354711,33129,14051368.0
2018-09-06,0.35532,0.432776,0.335249,0.387335,123305,15343721.0
2018-09-07,0.386949,0.481514,0.312163,0.419516,79315,16618525.0
2018-09-08,0.419954,0.468768,0.359601,0.387529,41420,15351406.0
2018-09-09,0.387365,0.417743,0.337079,0.338371,44928,13404082.0
2018-09-10,0.353083,0.379151,0.332699,0.353525,58566,14605164.0
2018-09-11,0.354116,0.388374,0.322981,0.379067,157767,15677071.0
2018-09-12,0.379108,0.393278,0.322371,0.327827,21094,13572625.0
2018-09-13,0.32917,0.365041,0.270978,0.36049,54219,14939490.0
2018-09-14,0.360557,0.372592,0.288628,0.328784,34130,13611431.0
2018-09-15,0.35214,0.3701,0.328941,0.362884,71574,15023432.0
2018-09-16,0.36415,0.36415,0.330719,0.3551,47925,14704239.0
2018-09-17,0.355742,0.356705,0.329735,0.334571,79393,13855380.0
2018-09-18,0.334538,0.340007,0.289419,0.337459,52988,13974760.0
2018-09-19,0.337837,0.354769,0.310152,0.321522,52369,13315452.0
2018-09-20,0.321732,0.352443,0.305174,0.316427,45581,13105013.0
2018-09-21,0.316518,0.351324,0.31285,0.339124,70604,14045674.0
2018-09-22,0.340594,0.352841,0.285746,0.320594,70185,13278764.0
2018-09-23,0.315168,0.333758,0.286832,0.319586,119746,13237553.0
2018-09-24,0.318741,0.319269,0.282542,0.283291,396,11734703.0
2018-09-25,0.294095,0.341198,0.224337,0.312151,121777,12930744.0
2018-09-26,0.311453,0.352749,0.274733,0.324013,119041,13422718.0
2018-09-27,0.324406,0.329772,0.3045,0.328075,99385,13591521.0
2018-09-28,0.328097,0.3316,0.306095,0.326995,91659,13581800.0
2018-09-29,0.326821,0.326889,0.310196,0.323647,115152,13445400.0
2018-09-30,0.323641,0.323838,0.266999,0.302246,76962,12558798.0
2018-10-01,0.30141,0.328466,0.301233,0.319985,134684,13298479.0
2018-10-02,0.319202,0.324923,0.285862,0.322079,145292,13388120.0
2018-10-03,0.322116,0.322888,0.284545,0.320397,138387,13320786.0
