Date,Open,High,Low,Close,Volume,Market Cap
2018-05-28,0.378953,0.384646,0.362879,0.370172,16839000,
2018-05-29,0.368619,0.390244,0.328445,0.362569,2343600,
2018-05-30,0.361137,0.384703,0.331717,0.360938,2465920,
2018-05-31,0.360693,0.393734,0.356588,0.392609,2160080,
2018-06-01,0.387618,0.510964,0.380724,0.484327,10212600,48432700.0
2018-06-02,0.481376,0.545913,0.459344,0.478464,8101010,47846400.0
2018-06-03,0.478231,0.520819,0.46836,0.514666,3563880,51466600.0
2018-06-04,0.514607,0.538729,0.467136,0.481071,3845320,48107100.0
2018-06-05,0.479895,0.503173,0.456473,0.485767,2571780,73595513.0
2018-06-06,0.487158,0.497368,0.444835,0.468202,3666200,70934350.0
2018-06-07,0.469368,0.475521,0.413974,0.424952,3033190,64381814.0
2018-06-08,0.425486,0.435532,0.36701,0.406559,4826780,61595206.0
2018-06-09,0.393297,0.436291,0.331066,0.342024,3600570,51817912.0
2018-06-10,0.341665,0.353855,0.254662,0.272337,3160380,41260072.0
2018-06-11,0.266144,0.277021,0.199623,0.246606,7204600,37361729.0
2018-06-12,0.248341,0.297477,0.21561,0.248887,18127500,37789065.0
2018-06-13,0.249542,0.27433,0.22096,0.249831,6540190,37458545.0
2018-06-14,0.251832,0.267542,0.240007,0.25751,4810100,38609899.0
2018-06-15,0.257396,0.259931,0.240262,0.244838,1817460,36709916.0
2018-06-16,0.242036,0.258478,0.233668,0.249307,1435000,37379978.0
2018-06-17,0.252285,0.256728,0.245137,0.247484,654206,37106646.0
2018-06-18,0.247479,0.284581,0.244985,0.280583,4788610,42069362.0
2018-06-19,0.281386,0.303853,0.275116,0.295649,5725270,44327866.0
2018-06-20,0.297618,0.322557,0.275665,0.311779,3967600,48081998.0
2018-06-21,0.313956,0.345824,0.298237,0.304478,5963670,46972757.0
2018-06-22,0.304516,0.30574,0.252135,0.252135,3055980,38717176.0
2018-06-23,0.25219,0.265346,0.225091,0.2394,1681320,36647602.0
2018-06-24,0.239323,0.248586,0.211356,0.232418,2955310,35436765.0
2018-06-25,0.232158,0.257114,0.224155,0.23491,2019260,35678071.0
2018-06-26,0.23491,0.250736,0.22172,0.22571,750696,34160109.0
2018-06-27,0.226084,0.246113,0.224891,0.240081,4897570,36178019.0
2018-06-28,0.240589,0.245478,0.230142,0.230354,2477920,34609234.0
2018-06-29,0.230427,0.243443,0.22267,0.234663,974682,34987596.0
2018-06-30,0.23479,0.245935,0.223388,0.224943,1519030,33529115.0
2018-07-01,0.227229,0.231108,0.220441,0.228473,424194,34084938.0
2018-07-02,0.228499,0.247163,0.220151,0.23871,826273,35719535.0
2018-07-03,0.23883,0.247152,0.225533,0.229191,1004540,34359023.0
2018-07-04,0.229215,0.272425,0.22321,0.245958,2707680,36919236.0
2018-07-05,0.245271,0.277709,0.242569,0.25951,3693470,38163439.0
2018-07-06,0.261415,0.267892,0.236043,0.243334,2177620,35724620.0
2018-07-07,0.243286,0.257422,0.236125,0.257422,864791,37763502.0
2018-07-08,0.257503,0.26209,0.239041,0.239723,404621,35128262.0
2018-07-09,0.239295,0.244294,0.231242,0.232397,832481,34189098.0
2018-07-10,0.231547,0.233441,0.175653,0.179098,1426230,26323275.0
2018-07-11,0.178959,0.199616,0.178959,0.190651,1440430,27942818.0
2018-07-12,0.190472,0.197052,0.147031,0.168584,855351,24685277.0
2018-07-13,0.16462,0.1957,0.163423,0.174916,1705240,25641393.0
2018-07-14,0.179905,0.183343,0.165272,0.176185,1364520,25748933.0
2018-07-15,0.172199,0.18824,0.166979,0.176274,972309,25753425.0
2018-07-16,0.176359,0.196442,0.169078,0.183851,427570,26863710.0
2018-07-17,0.184431,0.191913,0.170183,0.18848,713982,27589144.0
2018-07-18,0.184376,0.195046,0.175351,0.178162,471409,26042212.0
2018-07-19,0.176647,0.18249,0.167323,0.171746,1933020,25111170.0
2018-07-20,0.170664,0.171232,0.142578,0.144767,433005,21153530.0
2018-07-21,0.144723,0.14823,0.136115,0.144139,1514910,21080952.0
2018-07-22,0.144194,0.151403,0.141196,0.14633,875288,21395901.0
2018-07-23,0.146341,0.161348,0.142454,0.154733,2452730,22619909.0
2018-07-24,0.150073,0.17437,0.148014,0.167401,2243620,24435433.0
2018-07-25,0.167724,0.249623,0.161137,0.219082,6217070,31631911.0
2018-07-26,0.219301,0.240673,0.188295,0.198973,4394170,28957995.0
2018-07-27,0.197398,0.222038,0.191756,0.201562,2922280,29414692.0
2018-07-28,0.201285,0.211136,0.18632,0.192718,1483630,28274517.0
2018-07-29,0.192324,0.203733,0.190006,0.1934,1882410,28326852.0
2018-07-30,0.195109,0.195109,0.175244,0.188195,1291950,27565025.0
2018-07-31,0.188495,0.188551,0.143302,0.159356,1713840,23307296.0
2018-08-01,0.159179,0.182497,0.130827,0.139997,419945,20509234.0
2018-08-02,0.140002,0.182669,0.120513,0.121846,385047,17871987.0
2018-08-03,0.121848,0.121848,0.102749,0.110787,464502,16269993.0
2018-08-04,0.11069,0.120405,0.102139,0.106215,271624,15754367.0
2018-08-05,0.107124,0.109687,0.103191,0.10815,212407,16038596.0
2018-08-06,0.108487,0.113546,0.105826,0.109127,209456,16195611.0
2018-08-07,0.108285,0.110155,0.097989,0.098001,276800,14712887.0
2018-08-08,0.097867,0.097867,0.076175,0.07713,431136,11702303.0
2018-08-09,0.077206,0.08302,0.076623,0.081971,179941,12481328.0
2018-08-10,0.081655,0.081655,0.061278,0.066765,402100,10319587.0
2018-08-11,0.067859,0.067975,0.057528,0.0624,137187,9672207.0
2018-08-12,0.062263,0.065279,0.056642,0.060529,551765,9434074.0
2018-08-13,0.060805,0.06229,0.046726,0.048308,692102,7590431.0
2018-08-14,0.048224,0.050052,0.041773,0.045829,158322,7212325.0
2018-08-15,0.045965,0.049819,0.04338,0.044381,206600,7030386.0
2018-08-16,0.044445,0.045631,0.040479,0.04431,454657,7041559.0
2018-08-17,0.04387,0.05194,0.043648,0.051298,693429,8165373.0
2018-08-18,0.051795,0.057193,0.042115,0.044614,455868,7115366.0
2018-08-19,0.044669,0.085133,0.044209,0.084369,276010,13489910.0
2018-08-20,0.08403,0.084577,0.04353,0.044211,217374,7073655.0
2018-08-21,0.044116,0.049703,0.044058,0.047691,417480,7692526.0
2018-08-22,0.047674,0.058917,0.047266,0.04901,504202,8117584.0
2018-08-23,0.049013,0.056761,0.048354,0.053292,401465,8907755.0
2018-08-24,0.053262,0.064643,0.053074,0.06435,495447,10999605.0
2018-08-25,0.064729,0.068885,0.059614,0.068807,240335,11758720.0
2018-08-26,0.068454,0.069397,0.061901,0.062124,306431,10623374.0
2018-08-27,0.06221,0.081391,0.06221,0.075539,1586870,12814874.0
2018-08-28,0.074712,0.074829,0.070269,0.072006,465770,12340425.0
2018-08-29,0.071944,0.071944,0.063613,0.064863,414294,11129625.0
2018-08-30,0.064832,0.066649,0.063308,0.064447,205866,11131842.0
2018-08-31,0.064461,0.070406,0.063332,0.06653,163039,11541110.0
2018-09-01,0.067295,0.068878,0.06308,0.068661,239390,11927524.0
2018-09-02,0.069548,0.07124,0.06565,0.066892,247081,11669932.0
2018-09-03,0.067039,0.067588,0.063721,0.066424,96588,11583992.0
2018-09-04,0.066496,0.067862,0.064724,0.06615,160427,11608775.0
2018-09-05,0.066128,0.067513,0.05468,0.05468,276561,9597201.0
2018-09-06,0.054379,0.054379,0.048226,0.05213,112142,9174970.0
2018-09-07,0.052118,0.055831,0.050175,0.051869,165281,9184520.0
2018-09-08,0.05189,0.054714,0.048629,0.050187,80989,8885857.0
2018-09-09,0.049975,0.053091,0.046421,0.050452,88953,8923743.0
2018-09-10,0.050581,0.052045,0.047232,0.049255,149116,8764325.0
2018-09-11,0.049178,0.049249,0.044441,0.045497,173282,8149013.0
2018-09-12,0.045531,0.046731,0.042849,0.046187,282492,8323895.0
2018-09-13,0.046229,0.050955,0.046024,0.050654,497651,9182581.0
2018-09-14,0.050497,0.052326,0.044485,0.045232,312515,8200045.0
2018-09-15,0.045119,0.051445,0.044854,0.050565,317172,9162014.0
2018-09-16,0.050563,0.050563,0.047796,0.048716,274767,8820691.0
2018-09-17,0.048645,0.049354,0.043361,0.043942,463692,7996139.0
2018-09-18,0.043912,0.048515,0.034927,0.035442,437161,6474725.0
2018-09-19,0.035385,0.048455,0.035144,0.045045,493504,8254948.0
2018-09-20,0.045043,0.049517,0.044957,0.049478,558166,9093101.0
2018-09-21,0.04946,0.052488,0.046918,0.052086,481941,9597955.0
2018-09-22,0.052264,0.053122,0.047841,0.049866,32936,9187511.0
2018-09-23,0.049956,0.050871,0.048356,0.049383,558757,9109318.0
2018-09-24,0.04946,0.050589,0.047124,0.047352,266680,8737714.0
2018-09-25,0.047471,0.048893,0.04538,0.047843,512473,8850772.0
2018-09-26,0.047947,0.050882,0.046187,0.049682,511582,9223994.0
2018-09-27,0.049618,0.051821,0.047553,0.051288,427924,9553938.0
2018-09-28,0.051374,0.052158,0.049113,0.050202,524985,9384765.0
2018-09-29,0.050211,0.052883,0.048817,0.052461,484327,9812944.0
2018-09-30,0.052414,0.052802,0.04649,0.048198,616130,9024917.0
2018-10-01,0.048181,0.0531,0.045809,0.04844,397300,9099014.0
2018-10-02,0.047064,0.050236,0.046663,0.049167,597143,9248202.0
2018-10-03,0.049096,0.05329,0.04743,0.05287,553552,9967286.0
2018-10-04,0.052594,0.063492,0.052014,0.060332,1078470,11380776.0
2018-10-05,0.059983,0.066864,0.053505,0.05523,951662,10414882.0
