Date,Open,High,Low,Close,Volume,Market Cap
2018-07-15,0.001286,0.001323,0.001273,0.001273,15641,
2018-07-16,0.001274,0.001384,0.001244,0.001369,47265,
2018-07-17,0.001369,0.001395,0.001266,0.001349,20103,
2018-07-18,0.001349,0.001383,0.000859,0.000972,29627,
2018-07-19,0.000953,0.001034,0.000881,0.000882,6939,
2018-07-20,0.000883,0.001011,0.000769,0.00077,12554,
2018-07-21,0.00077,0.001631,0.00077,0.001374,61554,
2018-07-22,0.001373,0.001585,0.001287,0.001329,34959,
2018-07-23,0.001329,0.002756,0.001247,0.001676,353523,
2018-07-24,0.001676,0.001745,0.001423,0.001463,113129,
2018-07-25,0.001453,0.001515,0.00121,0.001392,138899,
2018-07-26,0.001401,0.001461,0.001265,0.001302,91799,
2018-07-27,0.001302,0.001316,0.001146,0.001238,116637,
2018-07-28,0.001235,0.001431,0.001146,0.001306,44282,
2018-07-29,0.001328,0.001372,0.001267,0.001325,91796,
2018-07-30,0.001326,0.001385,0.001253,0.001273,72096,
2018-07-31,0.001274,0.001549,0.001013,0.001238,80,907485.0
2018-08-01,0.001239,0.00124,0.000606,0.000609,29,446016.0
2018-08-02,0.000609,0.001077,0.000609,0.001056,0,773792.0
2018-08-03,0.001056,0.001056,0.000659,0.000964,62,707200.0
2018-08-04,0.000965,0.000973,0.00067,0.000911,7,668332.0
2018-08-05,0.000912,0.000992,0.000623,0.000986,58,724587.0
2018-08-06,0.000987,0.001002,0.000687,0.000902,40,664711.0
2018-08-07,0.000902,0.00129,0.000672,0.000739,106,551411.0
2018-08-08,0.00074,0.001564,0.000706,0.000878,166,647669.0
2018-08-09,0.00088,0.000949,0.000872,0.000916,22,668862.0
2018-08-10,0.000916,0.00092,0.00085,0.000863,37,650431.0
2018-08-11,0.000862,0.001099,0.000854,0.000878,27,664092.0
2018-08-12,0.000876,0.001027,0.000868,0.001012,28,763671.0
2018-08-13,0.001012,0.001039,0.000866,0.000878,26,667661.0
2018-08-14,0.000877,0.000877,0.00066,0.000682,0,518615.0
2018-08-15,0.000682,0.000792,0.000681,0.000754,3,569908.0
2018-08-16,0.000753,0.000836,0.000748,0.000821,1,617365.0
2018-08-17,0.000821,0.000837,0.000578,0.000592,32,445550.0
2018-08-18,0.000593,0.000838,0.000573,0.000832,3,626852.0
2018-08-19,0.000832,0.000833,0.000636,0.00065,25,460797.0
2018-08-20,0.000649,0.000714,0.000501,0.000503,25,353094.0
2018-08-21,0.000502,0.00052,0.000502,0.000518,10,363766.0
2018-08-22,0.000518,0.000545,0.000503,0.000509,0,358441.0
2018-08-23,0.000509,0.000516,0.000128,0.000458,39,322805.0
2018-08-24,0.000458,0.000462,0.000454,0.000462,4,321133.0
2018-08-25,0.000608,0.000609,0.000602,0.000607,0,417742.0
2018-08-26,0.000609,0.00061,0.000465,0.000471,8,326003.0
2018-08-27,0.00047,0.000471,0.000268,0.000345,11,239177.0
2018-08-28,0.000344,0.00057,0.000344,0.000567,0,392390.0
2018-08-29,0.000567,0.000567,0.000351,0.000422,19,292514.0
2018-08-30,0.000423,0.000424,0.000341,0.000349,63,242123.0
2018-08-31,0.00035,0.000351,0.000347,0.000349,34,241882.0
2018-09-01,0.000424,0.000648,0.000423,0.000647,58,446680.0
2018-09-02,0.000647,0.000651,0.00036,0.000583,13,402485.0
2018-09-03,0.000583,0.000584,0.000435,0.000436,11,305106.0
2018-09-04,0.000436,0.000443,0.000367,0.000368,17,256502.0
2018-09-05,0.000368,0.000491,0.000335,0.000335,5,232799.0
2018-09-06,0.000336,0.000336,0.000317,0.000323,4,222379.0
2018-09-07,0.000391,0.000392,0.000383,0.000387,0,268805.0
2018-09-08,0.000387,0.000523,0.000387,0.000495,7,343733.0
2018-09-09,0.000495,0.000514,0.000312,0.000313,14,216474.0
2018-09-10,0.000313,0.000318,0.000252,0.000253,6,173060.0
2018-09-11,0.000253,0.000255,0.000249,0.000252,0,172108.0
2018-09-12,0.000252,0.000252,0.000249,0.000251,0,171645.0
2018-09-15,0.000653,0.000653,0.000324,0.000326,25,227471.0
2018-09-16,0.000327,0.000522,0.000321,0.000455,6,319513.0
2018-09-17,0.000456,0.000523,0.000436,0.000439,22,308246.0
2018-09-18,0.000439,0.000511,0.000437,0.000508,18,357343.0
2018-09-19,0.000508,0.000509,0.000432,0.000447,9,314458.0
2018-09-20,0.000447,0.000457,0.000446,0.000456,10,320408.0
2018-09-21,0.000456,0.000474,0.000455,0.000472,30,334857.0
2018-09-22,0.000472,0.000476,0.000457,0.000471,16,333418.0
2018-09-23,0.000537,0.000541,0.000466,0.000468,10,330860.0
2018-09-24,0.000469,0.00047,0.00046,0.000461,9,325369.0
2018-09-25,0.000461,0.000461,0.000447,0.000449,9,316493.0
