Date,Open,High,Low,Close,Volume,Market Cap
2017-06-23,35.05,48.58,17.67,45.63,4354180,55828037
2017-06-24,44.48,116.4,42.04,101.83,17322100,124584038
2017-06-25,103.21,168.49,72.49,86.55,34331400,105886522
2017-06-26,88.17,98.78,49.7,59.9,9639820,73281302
2017-06-27,59.82,62.31,36.29,53.05,6824330,64908125
2017-06-28,51.92,58.38,46.21,53.07,4397750,64925008
2017-06-29,53.26,53.26,38.82,42.89,3130230,52472844
2017-06-30,42.26,43.96,29.13,34.2,4824820,41845457
2017-07-01,34.19,68.93,33.29,45.26,12854500,55379397
2017-07-02,43.12,54.01,39.95,42.87,3610660,52454370
2017-07-03,43.17,46.92,41.41,41.69,1348590,51009841
2017-07-04,41.6,43.46,37.38,39.42,1917540,48225021
2017-07-05,39.39,41.59,37.64,39.03,829545,47748977
2017-07-06,38.6,39.21,32.2,35.79,1538390,43787686
2017-07-07,36.08,36.88,25.44,29.39,1277090,35951481
2017-07-08,28.99,30.77,23.66,27.51,860141,33658978
2017-07-09,27.54,30.14,26.83,28.29,576144,34614616
2017-07-10,28.65,31.54,20.99,24.04,678731,29408586
2017-07-11,23.53,26.49,18.33,20.73,613446,25362633
2017-07-12,20.32,32.9,18.75,30.71,1538890,37570352
2017-07-13,30.83,31.24,25.64,26.82,453602,32814797
2017-07-14,26.8,27.67,21.18,23.24,424550,28432884
2017-07-15,23.2,23.24,18.69,19.05,269653,23310905
2017-07-16,18.99,20.06,16.54,17.49,213544,21392412
2017-07-17,17.46,22.79,17.46,22.69,272026,27766103
2017-07-18,23.11,29.48,20.47,25.31,550981,30962981
2017-07-19,25.08,35.93,23.53,28.23,1959790,34533012
2017-07-20,27.93,39.44,26.73,35.54,1116080,43470682
2017-07-21,35.87,38.4,33.27,34.14,320166,41755803
2017-07-22,34.14,41.15,33.96,36.59,909922,44751246
2017-07-23,36.59,37.54,32.41,32.89,515553,40223162
2017-07-24,33.01,36.16,32.04,33.69,551830,41209943
2017-07-25,33.69,33.89,25.92,27.29,460800,33380523
2017-07-26,27.65,28.93,24.75,26.97,323792,32981505
2017-07-27,27.48,28.43,26.25,27.64,163616,33807880
2017-07-28,27.72,28.26,24.15,25.37,214957,31029121
2017-07-29,25.28,26.29,24.13,25.87,120964,31638416
2017-07-30,25.88,27.32,24.76,26.51,116912,32422231
2017-07-31,26.01,26.47,24.69,25.28,166615,30911837
2017-08-01,25.65,30.04,24.18,26.17,305623,32002622
2017-08-02,26.15,29.96,24.75,26.23,551211,32072652
2017-08-03,26.26,28.38,25.59,27.17,320060,33220397
2017-08-04,26.8,28.27,26.47,26.63,403184,32563006
2017-08-05,26.66,30.41,26.59,29.25,558040,35766810
2017-08-06,29.42,29.76,27.6,28.38,386351,34701851
2017-08-07,28.32,30.01,26.7,27.93,456117,34156348
2017-08-08,27.86,28.34,25.22,27.97,521900,35043553
2017-08-09,27.96,33.04,26.79,29.24,1128830,36635145
2017-08-10,28.84,29.21,26.46,26.46,748370,33147676
2017-08-11,26.46,41.47,26.06,33.64,3202390,42148169
2017-08-12,34.64,47.85,32.8,43.37,2680510,54337333
2017-08-13,43.83,46.78,33.13,36.78,1431600,46082768
2017-08-14,36.8,38.09,32.76,34.65,763860,43406123
2017-08-15,34.85,36.1,30.67,31.23,763238,39126122
2017-08-16,31.27,37.92,30.37,33.62,864797,42106520
2017-08-17,33.79,36.14,31.85,33.92,739864,42479761
2017-08-18,34.17,39.43,31.88,35.03,1612640,43868771
2017-08-19,35.56,37.01,31.6,34.84,582704,43631048
2017-08-20,34.73,43.36,32.52,42.53,1894140,53265312
2017-08-21,42.41,48.73,33.48,34.58,2145180,43308282
2017-08-22,34.75,37.23,31.91,35.61,561611,44600349
2017-08-23,35.53,38.34,34.85,36.49,443443,45694040
2017-08-24,35.6,37.29,34.84,35.39,466415,44324646
2017-08-25,35.51,37.67,32.94,35.24,845188,44137302
2017-08-26,35.31,37.01,33.54,34.93,363769,43746583
2017-08-27,35.16,36.33,34.05,35.53,372296,44492330
2017-08-28,35.56,36.2,34.11,36.07,402594,45170076
2017-08-29,36.12,36.84,34.43,34.92,489247,43733685
2017-08-30,34.89,38.4,34.61,35.84,549569,44846828
2017-08-31,35.78,36.6,34.27,35.62,452411,44574675
2017-09-01,35.67,35.9,31.35,32.45,1024920,40606120
2017-09-02,32.49,33.01,26.79,27.24,633861,34085081
2017-09-03,27.7,29.36,24.99,26.9,493926,33662024
2017-09-04,26.91,27.34,17.99,20.74,716231,25948892
2017-09-05,20.87,23.62,18.91,21.53,349885,26939904
2017-09-06,21.64,26.31,20.75,22.38,473273,27997046
2017-09-07,22.34,23.16,20.41,21.53,262532,26926698
2017-09-08,21.53,23.25,18.28,19.13,305855,23931924
2017-09-09,19.17,25.34,17.42,22.97,1345530,28736171
2017-09-10,23.04,27.28,19.26,21.24,1448320,26568831
2017-09-11,21.48,21.48,18.04,18.98,335702,23737042
2017-09-12,19.24,20.09,17.44,19.09,398928,23872634
2017-09-13,18.93,18.93,15.94,17.12,311553,21406572
2017-09-14,17.15,17.49,13.43,13.43,208388,16794293
2017-09-15,13.53,17.18,12.28,17.07,229961,21335933
2017-09-16,17.03,17.03,14.92,15.54,106754,19422808
2017-09-17,15.52,16.81,14.72,16.59,74804,20743067
2017-09-18,16.56,17.95,15.42,16.96,219636,21200032
2017-09-19,17.0,17.0,15.31,15.6,149142,19503699
2017-09-20,15.58,16.12,14.75,15.22,160192,19023980
2017-09-21,15.15,15.15,12.78,13.17,170853,16459485
2017-09-22,13.15,13.91,12.73,13.16,55768,16442237
2017-09-23,13.0,14.0,12.79,13.73,124841,17158541
2017-09-24,13.73,16.62,13.2,15.53,686526,19414066
2017-09-25,15.53,16.09,14.24,15.34,287753,19175090
2017-09-26,15.38,15.73,14.77,15.15,143434,18937364
2017-09-27,15.03,17.19,14.7,16.91,277008,21129462
2017-09-28,17.02,17.05,14.99,15.42,125586,19270257
2017-09-29,15.41,15.42,14.08,14.73,135492,18406502
2017-09-30,14.73,15.57,14.54,14.56,69376,18197591
2017-10-01,14.72,17.08,13.45,16.36,298959,20441631
2017-10-02,16.36,16.92,13.96,14.79,467244,18483969
2017-10-03,14.95,15.1,13.39,13.81,149112,17255869
2017-10-04,13.84,15.36,13.41,14.11,240893,17621028
2017-10-05,14.12,15.42,13.32,14.22,220070,17754292
2017-10-06,14.22,15.36,14.16,14.65,91720,18291098
2017-10-07,14.65,14.96,14.08,14.87,145223,18576237
2017-10-08,14.65,15.11,11.99,12.1,256490,15117602
2017-10-09,12.11,13.82,10.88,11.55,184017,14428298
2017-10-10,11.55,11.92,10.6,11.48,112363,14337873
2017-10-11,11.48,13.8,10.95,12.36,205337,15434152
2017-10-12,12.12,16.12,11.27,12.1,945572,15109998
2017-10-13,12.11,14.52,10.95,11.81,518327,14749383
2017-10-14,11.82,12.32,10.41,11.37,228223,14194475
2017-10-15,11.29,11.76,10.6,10.89,64751,13596113
2017-10-16,10.89,14.39,10.47,12.17,332447,15191411
2017-10-17,12.63,16.77,11.72,13.72,480549,17135086
2017-10-18,13.92,15.84,12.48,14.47,356003,18071462
2017-10-19,14.3,15.18,12.56,14.46,209523,18052982
2017-10-20,14.7,17.58,13.79,14.14,434935,17653033
2017-10-21,14.11,15.22,12.06,12.74,129563,15911392
2017-10-22,12.64,13.16,11.79,12.0,50124,14980261
2017-10-23,11.98,13.44,11.06,11.75,115467,14669093
2017-10-24,11.72,14.03,10.96,13.12,118312,16386011
2017-10-25,13.13,13.15,11.19,12.6,77863,15733582
2017-10-26,12.53,12.53,11.53,12.07,65175,15068542
2017-10-27,12.07,12.55,11.04,12.16,139761,15180672
2017-10-28,12.19,12.75,11.01,12.25,148762,15296299
2017-10-29,12.14,13.77,11.4,11.46,259423,14305481
2017-10-30,11.55,13.6,11.52,12.91,178535,16117672
2017-10-31,12.87,13.07,11.59,11.66,163423,14557587
2017-11-01,11.64,12.36,9.82,10.44,230197,13041830
2017-11-02,10.28,10.42,8.62,9.76,205052,12186776
2017-11-03,9.15,13.75,8.97,12.48,482650,15583555
2017-11-04,12.45,13.36,10.84,11.47,334820,14323310
2017-11-05,11.45,12.89,10.74,10.95,185214,13666904
2017-11-06,11.26,11.53,10.57,10.78,57204,13463003
2017-11-07,10.77,11.27,10.17,10.6,121944,13237750
2017-11-08,10.57,11.72,10.25,11.43,139662,14271367
2017-11-09,11.24,12.62,11.04,11.95,141569,14925900
2017-11-10,11.99,12.55,10.34,10.57,112071,13200790
2017-11-11,10.54,11.35,10.05,11.05,80678,13792642
2017-11-12,11.04,11.04,8.44,9.28,173095,11585322
2017-11-13,9.29,11.99,9.11,10.96,205472,13679765
2017-11-14,10.98,12.58,10.52,11.44,230431,14278527
2017-11-15,11.17,12.34,11.17,12.14,54061,15152416
2017-11-16,12.2,12.2,10.98,11.32,77997,14138434
2017-11-17,11.28,12.61,10.46,10.86,75965,13561959
2017-11-18,10.82,11.79,10.28,10.84,82896,13533242
2017-11-19,10.98,11.92,10.78,11.69,76904,14598416
2017-11-20,11.69,11.96,10.8,11.34,95402,14157913
2017-11-21,11.34,12.28,11.34,11.73,101439,14630427
2017-11-22,11.75,12.87,11.49,12.67,88340,15801650
2017-11-23,12.66,13.45,12.27,12.92,142849,16117037
2017-11-24,12.89,14.7,11.69,13.24,463045,16521750
2017-11-25,13.22,19.62,12.55,15.03,2402960,18748420
2017-11-26,15.02,17.29,14.26,15.87,765795,19798129
2017-11-27,15.87,17.31,14.96,15.7,230823,20377884
2017-11-28,15.74,16.45,14.19,15.27,268716,19812904
2017-11-29,15.06,43.82,14.81,18.58,15692200,24101785
2017-11-30,18.58,35.35,18.29,28.74,12740600,37279214
2017-12-01,28.98,36.66,28.19,31.17,5357520,40427550
2017-12-02,31.14,31.14,25.49,28.06,2238660,36393939
2017-12-03,28.08,28.12,23.98,26.44,1014340,34298335
2017-12-04,26.08,30.24,24.02,28.07,1829210,36404705
2017-12-05,28.12,30.6,25.37,25.78,1661810,33433944
2017-12-06,25.75,26.14,19.98,21.04,1638700,27283062
2017-12-07,21.07,26.0,19.26,21.06,2525910,27308738
2017-12-08,21.11,21.88,17.72,20.91,631112,27110850
2017-12-09,20.55,27.71,20.32,23.6,1498680,30601001
2017-12-10,22.84,24.12,20.85,22.53,566956,29214874
2017-12-11,22.38,25.3,21.94,23.09,446697,29948332
2017-12-12,23.06,24.54,21.5,23.77,875810,30821357
2017-12-13,23.79,24.14,21.63,23.06,767783,29905228
2017-12-14,23.21,25.11,21.88,22.72,1160180,29461233
2017-12-15,22.78,24.07,20.94,23.26,792173,30155364
