Date,Open,High,Low,Close,Volume,Market Cap
2018-08-10,2.9e-05,3.2e-05,2.4e-05,2.7e-05,33761.0,
2018-08-11,2.7e-05,3e-05,1.2e-05,1.6e-05,44877.0,
2018-08-12,1.6e-05,2e-05,1.3e-05,1.9e-05,10819.0,
2018-08-13,1.9e-05,2.9e-05,1.6e-05,1.7e-05,37489.0,
2018-08-14,1.7e-05,2.2e-05,1e-05,1.7e-05,24956.0,
2018-08-15,1.7e-05,1.7e-05,1.1e-05,1.4e-05,6049.0,
2018-08-16,1.4e-05,1.5e-05,9e-06,1.2e-05,11715.0,
2018-08-17,1.2e-05,2.3e-05,1.2e-05,2.1e-05,27284.0,
2018-08-18,2.1e-05,2.5e-05,1.4e-05,1.9e-05,40185.0,
2018-08-19,1.9e-05,2.3e-05,1.2e-05,1.2e-05,16443.0,
2018-08-20,1.2e-05,1.2e-05,6e-06,8e-06,24951.0,
2018-08-21,8e-06,9e-06,3e-06,6e-06,10655.0,
2018-08-22,6e-06,9e-06,3e-06,5e-06,7782.0,
2018-08-23,5e-06,6e-06,3e-06,4e-06,7432.0,
2018-08-24,4e-06,1e-05,4e-06,7e-06,1273.0,
2018-08-25,7e-06,1.6e-05,3e-06,1.1e-05,3175.0,
2018-08-26,1.1e-05,1.2e-05,3e-06,1e-05,5172.0,
2018-08-27,1e-05,2.3e-05,1e-05,1.6e-05,4444.0,
2018-08-28,1.6e-05,2e-05,6e-06,7e-06,2843.0,
2018-08-29,7e-06,1e-05,6e-06,6e-06,2747.0,
2018-08-30,6e-06,9e-06,3e-06,6e-06,1866.0,
2018-08-31,6e-06,6e-06,3e-06,3e-06,286.0,
2018-09-01,3e-06,6e-06,3e-06,6e-06,172.0,
2018-09-02,6e-06,9e-06,3e-06,6e-06,4479.0,
2018-09-03,6e-06,9e-06,3e-06,6e-06,5055.0,
2018-09-04,6e-06,9e-06,3e-06,6e-06,1341.0,
2018-09-05,6e-06,6e-06,3e-06,5e-06,1904.0,
2018-09-06,5e-06,8e-06,2e-06,8e-06,168.0,
2018-09-07,8e-06,8e-06,2e-06,5e-06,142.0,
2018-09-08,5e-06,5e-06,2e-06,4e-06,84.0,
2018-09-09,4e-06,4e-06,2e-06,2e-06,191.0,
2018-09-10,2e-06,4e-06,2e-06,2e-06,783.0,
2018-09-11,2e-06,6e-06,2e-06,4e-06,1651.0,
2018-09-12,4e-06,6e-06,2e-06,4e-06,614.0,
2018-09-13,4e-06,5e-06,2e-06,4e-06,1194.0,
2018-09-14,4e-06,4e-06,2e-06,4e-06,361.0,
2018-09-15,4e-06,4e-06,2e-06,2e-06,38.0,
2018-09-16,2e-06,4e-06,2e-06,4e-06,750.0,
2018-09-17,4e-06,4e-06,2e-06,4e-06,3995.0,
2018-09-18,4e-06,6e-06,2e-06,6e-06,2937.0,
2018-09-19,6e-06,6e-06,2e-06,6e-06,1115.0,
2018-09-20,6e-06,6e-06,2e-06,4e-06,350.0,
2018-09-21,4e-06,5e-06,2e-06,2e-06,3595.0,
2018-09-22,2e-06,5e-06,2e-06,2e-06,1381.0,
2018-09-23,2e-06,2e-06,2e-06,2e-06,319.0,
2018-09-24,2e-06,2e-06,2e-06,2e-06,753.0,
2018-09-25,2e-06,2e-06,2e-06,2e-06,482.0,
2018-09-26,2e-06,5e-06,2e-06,2e-06,799.0,
2018-09-27,2e-06,4e-06,2e-06,2e-06,1706.0,
2018-09-28,2e-06,5e-06,2e-06,3e-06,297.0,
2018-09-29,3e-06,5e-06,2e-06,2e-06,286.0,
2018-09-30,2e-06,5e-06,2e-06,2e-06,849.0,
2018-10-01,2e-06,2e-06,2e-06,2e-06,53.0,
2018-10-02,2e-06,2e-06,2e-06,2e-06,548.0,
2018-10-03,2e-06,2e-06,2e-06,2e-06,275.0,
2018-10-04,2e-06,2e-06,2e-06,2e-06,2.0,
2018-10-05,2e-06,2e-06,2e-06,2e-06,1.0,
2018-10-06,2e-06,2e-06,2e-06,2e-06,814.0,
2018-10-07,2e-06,5e-06,2e-06,2e-06,75.0,
2018-10-08,2e-06,5e-06,2e-06,2e-06,69.0,
2018-10-09,2e-06,2e-06,2e-06,2e-06,494.0,
2018-10-10,2e-06,5e-06,2e-06,4e-06,127.0,
2018-10-11,4e-06,4e-06,2e-06,2e-06,213.0,
2018-10-12,2e-06,2e-06,2e-06,2e-06,11.0,
2018-10-13,2e-06,2e-06,2e-06,2e-06,2.0,
2018-10-14,2e-06,2e-06,2e-06,2e-06,15.0,
2018-10-15,2e-06,5.5e-05,2e-06,4e-06,117.0,
2018-10-16,4e-06,4e-06,2e-06,2e-06,33.0,
2018-10-17,2e-06,2e-06,2e-06,2e-06,59.0,
2018-10-18,2e-06,2e-06,2e-06,2e-06,22.0,
2018-10-19,2e-06,2e-06,2e-06,2e-06,10.0,
2018-10-20,2e-06,2e-06,2e-06,2e-06,213.0,
2018-10-21,2e-06,1.1e-05,2e-06,2e-06,22.0,
2018-10-22,2e-06,2e-06,2e-06,2e-06,47.0,
2018-10-23,2e-06,2e-06,2e-06,2e-06,125.0,
2018-10-24,2e-06,2e-06,2e-06,2e-06,51.0,
2018-10-25,2e-06,4e-06,2e-06,4e-06,490.0,
2018-10-26,4e-06,4e-06,2e-06,2e-06,24.0,
2018-10-27,2e-06,2e-06,2e-06,2e-06,0.0,
2018-10-28,2e-06,2e-06,2e-06,2e-06,1.0,
2018-10-29,2e-06,2e-06,2e-06,2e-06,2.0,
2018-10-30,2e-06,2e-06,2e-06,2e-06,,
2018-10-31,2e-06,2e-06,2e-06,2e-06,20.0,
2018-11-01,2e-06,1.8e-05,2e-06,1.5e-05,12.0,
2018-11-02,1.5e-05,4.9e-05,1.2e-05,4.9e-05,24.0,
2018-11-03,4.9e-05,4.9e-05,2e-06,2e-06,122.0,
