Date,Open,High,Low,Close,Volume,Market Cap
2018-01-30,0.018064,0.019313,0.017963,0.018688,1084330,
2018-01-31,0.018729,0.018833,0.015418,0.016437,1144390,
2018-02-01,0.016473,0.016535,0.013378,0.014074,871202,
2018-02-02,0.014038,0.014038,0.010688,0.012591,738597,
2018-02-03,0.01269,0.014468,0.011569,0.013577,9764550,
2018-02-04,0.013639,0.01473,0.012044,0.012744,10947600,
2018-02-05,0.012669,0.013075,0.008951,0.009491,7816320,
2018-02-06,0.009499,0.011467,0.008011,0.01137,15596300,
2018-02-07,0.010925,0.012323,0.010175,0.010848,12733700,
2018-02-08,0.010805,0.012738,0.010805,0.011992,7608820,
2018-02-09,0.012067,0.01289,0.010825,0.012438,10924500,
2018-02-10,0.012426,0.014634,0.011825,0.014442,7604930,
2018-02-11,0.014151,0.018188,0.011747,0.016551,10634700,
2018-02-12,0.016615,0.017635,0.015782,0.017099,12239400,
2018-02-13,0.017115,0.017851,0.015352,0.016384,14078000,
2018-02-14,0.016374,0.016799,0.014722,0.016767,5755960,
2018-02-15,0.016737,0.017344,0.014787,0.01606,6039560,
2018-02-16,0.016017,0.01783,0.014965,0.01646,1777840,
2018-02-17,0.016453,0.01747,0.016137,0.017081,2137630,
2018-02-18,0.017116,0.018062,0.015283,0.016181,2131540,
2018-02-19,0.016152,0.018477,0.014505,0.016643,7877100,
2018-02-20,0.015852,0.019803,0.015769,0.016219,5678840,
2018-02-21,0.016212,0.017553,0.014297,0.015659,9791580,
2018-02-22,0.015632,0.016815,0.015102,0.015806,9290160,
2018-02-23,0.015983,0.018634,0.015384,0.018331,14191000,
2018-02-24,0.018279,0.019114,0.014806,0.015503,5873480,
2018-02-25,0.015477,0.01627,0.014152,0.015488,4305340,
2018-02-26,0.015504,0.016802,0.014908,0.015808,5633050,
2018-02-27,0.015853,0.016699,0.014046,0.014574,5196380,
2018-02-28,0.014561,0.015344,0.013,0.014003,6562770,
2018-03-01,0.014018,0.01451,0.012778,0.014143,8142290,
2018-03-02,0.014114,0.014203,0.011671,0.012915,6755790,
2018-03-03,0.012908,0.013851,0.012335,0.013277,5828490,
2018-03-04,0.013373,0.013646,0.01133,0.012182,5551760,
2018-03-05,0.012237,0.012321,0.011172,0.011252,4447280,
2018-03-06,0.011226,0.011226,0.009455,0.01001,12369500,
2018-03-07,0.010002,0.010394,0.007584,0.007813,9889980,
2018-03-08,0.008355,0.008922,0.007368,0.007791,10121400,
2018-03-09,0.007865,0.008075,0.006579,0.008039,13804000,
2018-03-10,0.007502,0.009116,0.007496,0.008457,21436400,
2018-03-11,0.008429,0.008853,0.007431,0.008853,17499900,
2018-03-12,0.008836,0.00934,0.00749,0.008393,15926100,
2018-03-13,0.008362,0.008521,0.007565,0.007968,19514600,
2018-03-14,0.008152,0.008292,0.006529,0.006818,9350710,
2018-03-15,0.006778,0.006951,0.005982,0.006717,14349400,
2018-03-16,0.006713,0.006758,0.005904,0.006626,13241000,
2018-03-17,0.006631,0.006654,0.004912,0.005406,7697710,
2018-03-18,0.005395,0.005924,0.004528,0.005896,10745600,
2018-03-19,0.005872,0.006044,0.004409,0.005368,18225100,
2018-03-20,0.005418,0.0056,0.004689,0.005191,11192100,
2018-03-21,0.005208,0.005544,0.004466,0.00489,12048100,
2018-03-22,0.004913,0.006283,0.004839,0.005713,11843000,
2018-03-23,0.005715,0.005715,0.005055,0.005576,9771210,
2018-03-24,0.005631,0.005728,0.005048,0.005482,14315300,
2018-03-25,0.005418,0.005658,0.005356,0.005531,11795700,
2018-03-26,0.005519,0.005831,0.004717,0.005083,10246500,
2018-03-27,0.005079,0.005147,0.004367,0.004516,8702800,
2018-03-28,0.004517,0.004683,0.004343,0.004511,8417540,
2018-03-29,0.00453,0.004596,0.003843,0.003962,8557330,
2018-03-30,0.003953,0.004175,0.003705,0.003954,3576870,
2018-03-31,0.003952,0.004062,0.003637,0.003833,1717810,
2018-04-01,0.003831,0.003979,0.002923,0.003642,1934810,
2018-04-02,0.003646,0.003775,0.003313,0.003673,4026480,
2018-04-03,0.003676,0.003895,0.003593,0.003892,3940250,
2018-04-04,0.003894,0.003901,0.003215,0.003468,2471500,
2018-04-05,0.003463,0.003473,0.002743,0.002896,2721980,
2018-04-06,0.002919,0.002946,0.002284,0.002483,3487580,
2018-04-07,0.002531,0.003115,0.002465,0.002983,3162880,
2018-04-08,0.002988,0.003068,0.002763,0.002783,4440090,
2018-04-09,0.002805,0.003302,0.002781,0.002855,4342200,
2018-04-10,0.00284,0.003015,0.002798,0.002994,1390010,
2018-04-11,0.002995,0.003224,0.002926,0.003224,2748070,
2018-04-12,0.0032,0.003744,0.003012,0.003729,3498490,
2018-04-13,0.00374,0.003887,0.003493,0.003653,7404090,
2018-04-14,0.003631,0.003833,0.003572,0.003684,10069500,
2018-04-15,0.003697,0.003905,0.003691,0.003852,3899060,
2018-04-16,0.003857,0.00391,0.003286,0.00347,4424940,
2018-04-17,0.003466,0.003473,0.003135,0.003367,3522730,
2018-04-18,0.003343,0.003504,0.003202,0.003493,3836710,
2018-04-19,0.003494,0.003761,0.003398,0.003708,4687760,
2018-04-20,0.003731,0.00507,0.003731,0.00507,7264440,
2018-04-21,0.005072,0.005072,0.004171,0.00423,2650020,
2018-04-22,0.00423,0.004837,0.004156,0.004615,5739830,
2018-04-23,0.004598,0.004629,0.004233,0.00433,132312,
2018-04-24,0.004331,0.004611,0.004115,0.004162,363957,
2018-04-25,0.004152,0.005956,0.003631,0.005684,6143080,
2018-04-26,0.005695,0.016527,0.005677,0.012992,23914800,
2018-04-27,0.014343,0.016137,0.01035,0.011202,11986500,
2018-04-28,0.010842,0.01265,0.009905,0.01212,4517410,
2018-04-29,0.012061,0.012223,0.010428,0.011244,9273130,
2018-04-30,0.011251,0.011489,0.010688,0.011076,7107890,
2018-05-01,0.011134,0.011134,0.010134,0.010731,2814460,
2018-05-02,0.010751,0.010903,0.010077,0.010558,1985480,
2018-05-03,0.010517,0.011178,0.00902,0.00997,3024390,
2018-05-04,0.010016,0.011945,0.009096,0.010462,8462500,
2018-05-05,0.010468,0.010594,0.008212,0.009352,12443200,
2018-05-06,0.009353,0.00948,0.006277,0.007976,4701010,
2018-05-07,0.00794,0.007974,0.004722,0.005848,7803370,
2018-05-08,0.005844,0.006145,0.00518,0.005745,473302,
2018-05-09,0.005747,0.005763,0.00473,0.005308,581694,
2018-05-10,0.005308,0.005766,0.005038,0.005595,1379280,
2018-05-11,0.005602,0.005634,0.004944,0.005057,4064350,
2018-05-12,0.005046,0.005382,0.004812,0.005342,6045880,
2018-05-13,0.005201,0.005862,0.005145,0.005671,8810940,
2018-05-14,0.005669,0.00611,0.005032,0.00611,4984410,
2018-05-15,0.006099,0.006682,0.005735,0.0059,7788440,
2018-05-16,0.005899,0.005899,0.005218,0.005478,6073880,
2018-05-17,0.005485,0.005814,0.005127,0.005284,5159380,
2018-05-18,0.005281,0.005617,0.005213,0.005582,2257150,
2018-05-19,0.005582,0.005781,0.005319,0.005413,6144140,
2018-05-20,0.005418,0.005647,0.005372,0.005565,5226790,
2018-05-21,0.005544,0.005623,0.005209,0.005436,5707410,
2018-05-22,0.005426,0.00546,0.004681,0.004728,1380810,
2018-05-23,0.004702,0.004808,0.004202,0.004573,6820530,
2018-05-24,0.00456,0.004812,0.004227,0.004525,4116920,
2018-05-25,0.00453,0.004698,0.004288,0.004416,3905030,
2018-05-26,0.004416,0.004607,0.004271,0.004406,6589410,
2018-05-27,0.004412,0.004676,0.004277,0.004476,2293710,
2018-05-28,0.004476,0.00451,0.003969,0.003992,1929520,
2018-05-29,0.003984,0.004377,0.003921,0.00437,3929120,
2018-05-30,0.004406,0.004543,0.004221,0.004432,3621800,
2018-05-31,0.004402,0.004636,0.004355,0.004516,2554900,
2018-06-01,0.004548,0.004554,0.004329,0.004439,2565080,
2018-06-02,0.004437,0.004519,0.00432,0.004339,4371510,
2018-06-03,0.004327,0.004561,0.004313,0.0045,5812800,
2018-06-04,0.0045,0.004553,0.004101,0.004193,5492650,
2018-06-05,0.004198,0.004242,0.003474,0.003994,4505970,
2018-06-06,0.003952,0.004227,0.00391,0.004137,4357650,
2018-06-07,0.004129,0.004671,0.004126,0.00422,5869740,
2018-06-08,0.004228,0.004463,0.004075,0.004195,4339630,
2018-06-09,0.004193,0.004306,0.003951,0.003951,4495290,
2018-06-10,0.003958,0.003958,0.002651,0.003229,4442700,
2018-06-11,0.003238,0.003456,0.003209,0.003449,5089980,
2018-06-12,0.003453,0.003453,0.002967,0.003043,4835980,
2018-06-13,0.003048,0.003055,0.002756,0.002898,5125160,
2018-06-14,0.002903,0.003387,0.002796,0.00327,5967350,
2018-06-15,0.003269,0.003292,0.002929,0.002969,3694740,
2018-06-16,0.002957,0.003009,0.002877,0.002969,4319930,
2018-06-17,0.00297,0.002996,0.00288,0.002893,3160190,
2018-06-18,0.002894,0.003071,0.002859,0.003053,2682680,
2018-06-19,0.003055,0.003073,0.002841,0.002891,2653100,
2018-06-20,0.00289,0.003025,0.002675,0.002929,1777070,
2018-06-21,0.002932,0.003029,0.002761,0.002932,1517610,
2018-06-22,0.00295,0.00295,0.002371,0.002386,928412,
2018-06-23,0.002382,0.002434,0.001883,0.002347,1388310,
2018-06-24,0.002344,0.002377,0.001996,0.002185,1706970,
2018-06-25,0.002168,0.002243,0.002101,0.002199,3270500,
2018-06-26,0.00215,0.002221,0.001985,0.002065,1678410,
2018-06-27,0.002047,0.002132,0.001955,0.002088,1395090,
2018-06-28,0.002087,0.002167,0.001975,0.001987,1575830,
2018-06-29,0.001988,0.002044,0.001866,0.002006,835183,
2018-06-30,0.00204,0.002132,0.001935,0.002005,253486,
2018-07-01,0.00205,0.00211,0.001927,0.001983,241582,
2018-07-02,0.001995,0.002199,0.001926,0.002199,1077320,
2018-07-03,0.002192,0.002298,0.001939,0.001951,1066630,
2018-07-04,0.001947,0.001998,0.00183,0.001853,540868,
2018-07-05,0.001841,0.001908,0.00171,0.001769,1493210,
2018-07-06,0.001765,0.001875,0.001728,0.00185,1316540,
