Date,Open,High,Low,Close,Volume,Market Cap
2018-09-14,0.000938,0.001336,0.000918,0.001065,609.0,
2018-09-15,0.001063,0.001704,0.000852,0.000962,602.0,
2018-09-16,0.000965,0.00182,0.000645,0.000838,316.0,
2018-09-17,0.00084,0.000844,0.000687,0.000747,202.0,
2018-09-18,0.000747,0.001177,0.000697,0.000827,135.0,
2018-09-19,0.000827,0.000827,0.000286,0.00065,1133.0,
2018-09-20,0.00065,0.000965,0.000644,0.000846,370.0,
2018-09-21,0.000977,0.001009,0.000716,0.000742,201.0,
2018-09-22,0.000742,0.001267,0.000718,0.001071,849.0,
2018-09-23,0.001072,0.001208,0.00081,0.001069,854.0,
2018-09-24,0.00107,0.001608,0.000725,0.000737,704.0,
2018-09-25,0.000736,0.000861,0.000568,0.000575,716.0,
2018-09-26,0.000574,0.000735,0.000572,0.000647,241.0,
2018-09-27,0.000647,0.000803,0.000584,0.000795,75.0,
2018-09-28,0.000796,0.000799,0.000603,0.000754,47.0,
2018-09-29,0.000754,0.000791,0.000525,0.000788,268.0,
2018-09-30,0.000788,0.000861,0.00059,0.00086,458.0,
2018-10-01,0.000857,0.001187,0.000656,0.000725,862.0,
2018-10-02,0.000723,0.000727,0.000652,0.000652,210.0,
2018-10-03,0.000653,0.000654,0.000579,0.000649,52.0,
2018-10-04,0.00065,0.00066,0.000525,0.000654,48.0,
2018-10-05,0.000656,0.000751,0.000408,0.000738,157.0,
2018-10-06,0.000739,0.000757,0.000609,0.000655,373.0,
2018-10-07,0.000658,0.000789,0.000586,0.000589,202.0,
2018-10-08,0.000592,0.000731,0.000589,0.000726,82.0,
2018-10-09,0.000729,0.000863,0.000592,0.000862,619.0,
2018-10-10,0.000859,0.000862,0.000649,0.00072,33.0,
2018-10-11,0.000718,0.000719,0.000556,0.000559,21.0,
2018-10-12,0.000558,0.000564,0.000484,0.000485,92.0,
2018-10-13,0.000485,0.000624,0.000388,0.00056,150.0,
2018-10-14,0.00056,0.000632,0.000502,0.000558,42.0,
2018-10-15,0.000558,0.000733,0.000496,0.000594,689.0,
2018-10-16,0.000593,0.001183,0.000591,0.000723,705.0,
2018-10-17,0.000725,0.000727,0.000543,0.000544,27.0,
2018-10-18,0.000547,0.001162,0.000542,0.000712,467.0,
2018-10-19,0.000712,0.000847,0.000623,0.00082,408.0,
2018-10-20,0.00082,0.001431,0.00063,0.000698,986.0,
2018-10-21,0.000703,0.000758,0.000369,0.000703,1210.0,
2018-10-22,0.000702,0.000704,0.000548,0.000587,355.0,
2018-10-23,0.000587,0.000796,0.000579,0.000687,756.0,
2018-10-24,0.000684,0.000737,0.000527,0.000612,487.0,
2018-10-25,0.000612,0.000709,0.000551,0.000654,439.0,
2018-10-26,0.000653,0.000724,0.00056,0.000617,339.0,
2018-10-27,0.000624,0.000624,0.000541,0.00057,301.0,
2018-10-28,0.00058,0.000596,0.000523,0.000569,318.0,
2018-10-29,0.000569,0.000597,0.000523,0.000526,298.0,
2018-10-30,0.000538,0.000589,0.000511,0.000573,293.0,
2018-10-31,0.000558,0.000597,0.000497,0.000521,197.0,
2018-11-01,0.000551,0.000551,0.000472,0.000503,465.0,
2018-11-02,0.000516,0.000608,0.000503,0.0006,483.0,
2018-11-03,0.00059,0.000641,0.00055,0.000572,392.0,
2018-11-04,0.000572,0.000618,0.000522,0.000546,302.0,
2018-11-05,0.000532,0.000568,0.000497,0.00051,387.0,
2018-11-06,0.000508,0.000577,0.000495,0.000549,256.0,
2018-11-07,0.000555,0.000566,0.000363,0.000434,413.0,
2018-11-08,0.000462,0.000597,0.000426,0.000475,536.0,
2018-11-09,0.000536,0.00061,0.000437,0.000545,306.0,
2018-11-10,0.000564,0.000607,0.000526,0.000569,332.0,
2018-11-11,0.000563,0.000616,0.000549,0.00061,306.0,
2018-11-12,0.000608,0.00062,0.000549,0.000571,445.0,
2018-11-13,0.000552,0.000612,0.000534,0.000556,259.0,
2018-11-14,0.000555,0.000563,0.000473,0.000491,280.0,
2018-11-15,0.000493,0.000495,0.00039,0.000414,244.0,
2018-11-16,0.000414,0.00048,0.000374,0.000385,396.0,
2018-11-17,0.000436,0.000436,0.000359,0.000399,492.0,
2018-11-18,0.000372,0.000431,0.000291,0.000415,412.0,
2018-11-19,0.000372,0.000429,0.000208,0.000253,404.0,
2018-11-20,0.000248,0.000286,0.000183,0.000249,307.0,
2018-11-21,0.000225,0.000276,0.000192,0.000206,194.0,
2018-11-22,0.000205,0.000259,0.000144,0.000186,193.0,
2018-11-23,0.000182,0.000218,0.000164,0.000198,211.0,
2018-11-24,0.000185,0.000201,0.000126,0.000139,155.0,
2018-11-25,0.000135,0.000174,0.000121,0.000165,202.0,
2018-11-26,0.000157,0.000172,0.000119,0.000129,175.0,
2018-11-27,0.000128,0.000165,0.000127,0.000156,194.0,7256.0
2018-11-28,0.000164,0.000187,0.000127,0.000179,298.0,8307.0
2018-11-29,0.000179,0.000194,0.000145,0.000182,321.0,8466.0
2018-11-30,0.000159,0.000193,0.00013,0.000188,289.0,8730.0
2018-12-01,0.000176,0.000198,0.000158,0.000183,173.0,8518.0
2018-12-02,0.000175,0.000235,0.000171,0.000195,228.0,9074.0
2018-12-03,0.000196,0.000223,0.000134,0.000135,124.0,6286.0
2018-12-04,0.000139,0.000145,0.000134,0.00014,207.0,6527.0
2018-12-05,0.00014,0.000141,0.000131,0.000131,171.0,6088.0
2018-12-06,0.000131,0.000168,0.000128,0.00015,209.0,6996.0
2018-12-07,0.000143,0.000156,0.000123,0.000153,153.0,7099.0
2018-12-08,0.000152,0.000156,0.000146,0.000155,156.0,7188.0
2018-12-09,0.000154,0.000155,0.000124,0.000138,156.0,6406.0
2018-12-10,0.000134,0.000146,0.000124,0.000131,145.0,6094.0
2018-12-11,0.000128,0.000167,0.000121,0.000136,148.0,6331.0
2018-12-12,0.000153,0.000257,0.000136,0.000209,271.0,10384.0
2018-12-13,0.000209,0.000254,0.000189,0.000201,215.0,9980.0
2018-12-14,0.000201,0.000338,0.000174,0.000301,406.0,14977.0
2018-12-15,0.000303,0.000379,0.000216,0.000259,403.0,12895.0
2018-12-16,0.000251,0.000706,0.000239,0.000322,186.0,15997.0
2018-12-17,0.000333,0.001334,0.000243,0.000725,283.0,36023.0
2018-12-18,0.000904,0.000906,0.0003,0.000495,173.0,25291.0
2018-12-19,0.000443,0.001218,0.000347,0.000752,1293.0,38585.0
2018-12-20,0.000692,0.001018,0.000436,0.000659,236.0,33951.0
2018-12-21,0.000716,0.000812,0.000545,0.000718,797.0,37128.0
2018-12-22,0.000729,0.000731,0.000481,0.000523,364.0,27174.0
2018-12-23,0.000524,0.000563,0.000453,0.000476,188.0,24842.0
2018-12-24,0.000457,0.000563,0.000457,0.000485,307.0,25392.0
2018-12-25,0.000486,0.000487,0.000336,0.000377,176.0,19812.0
2018-12-26,0.000405,0.000468,0.000293,0.000427,274.0,22560.0
2018-12-27,0.00043,0.00043,0.000363,0.00039,259.0,20583.0
2018-12-28,0.00039,0.000428,0.000368,0.000416,187.0,21982.0
2018-12-29,0.00041,0.000443,0.000396,0.0004,199.0,21129.0
2018-12-30,0.0004,0.000842,0.000389,0.000693,182.0,36591.0
2018-12-31,0.000694,0.001695,0.000375,0.001324,1002.0,69908.0
2019-01-01,0.001422,0.001535,0.000415,0.001529,333.0,80742.0
2019-01-02,0.000993,0.001492,0.000413,0.001168,295.0,61702.0
2019-01-03,0.001032,0.001213,0.000388,0.000443,290.0,23420.0
2019-01-04,0.000435,0.000445,0.00019,0.000259,212.0,13677.0
2019-01-05,0.000262,0.000364,0.000158,0.000349,348.0,18437.0
2019-01-06,0.000334,0.00071,0.000261,0.000546,436.0,28860.0
2019-01-07,0.000583,0.000605,0.000384,0.000594,381.0,31362.0
2019-01-08,0.000547,0.000602,0.000464,0.0005,203.0,26416.0
2019-01-09,0.00049,0.000528,0.000424,0.000452,157.0,23853.0
2019-01-10,0.00046,0.002934,0.000433,0.00292,11435.0,154213.0
2019-01-11,0.002916,0.003008,0.00081,0.002977,39855.0,157221.0
2019-01-12,0.002974,0.002977,0.001096,0.002068,24638.0,109247.0
2019-01-13,0.002066,0.002315,0.001239,0.002145,20528.0,113281.0
2019-01-14,0.002158,0.002476,0.001469,0.001888,18975.0,99729.0
2019-01-15,0.001886,0.001896,0.001404,0.001734,23238.0,91577.0
2019-01-16,0.001733,0.001736,0.001351,0.001639,22483.0,86567.0
2019-01-17,0.001639,0.001647,0.001523,0.001616,16749.0,85346.0
2019-01-18,0.001615,0.001619,0.001456,0.001486,868.0,78495.0
2019-01-19,0.001489,0.002585,0.001044,0.001937,18608.0,102288.0
2019-01-20,0.001935,0.002007,0.000943,0.00122,15728.0,64434.0
2019-01-21,0.001222,0.001688,0.000974,0.001355,33332.0,71546.0
2019-01-22,0.001355,0.001407,0.000776,0.000926,27760.0,48885.0
2019-01-23,0.000925,0.001009,0.000719,0.001008,14975.0,53244.0
2019-01-24,0.001005,0.001074,0.000686,0.00096,1831.0,50686.0
2019-01-25,0.000994,0.001007,0.000853,0.000861,13783.0,45495.0
2019-01-26,0.000862,0.000938,0.000617,0.000757,20544.0,39979.0
2019-01-27,0.000759,0.000935,0.000538,0.000716,12409.0,37815.0
2019-01-28,0.00072,0.00072,0.000507,0.000619,1198.0,32683.0
2019-01-29,0.000619,0.000668,0.000515,0.000516,8198.0,27277.0
2019-01-30,0.000517,0.000556,0.000452,0.000486,8245.0,25686.0
2019-01-31,0.000487,0.000523,0.000414,0.00042,5412.0,22170.0
2019-02-01,0.00042,0.000529,0.000415,0.000422,13921.0,22268.0
2019-02-02,0.000419,0.00049,0.000216,0.000389,5072.0,20522.0
2019-02-03,0.000388,0.000786,0.000384,0.000649,10265.0,34287.0
2019-02-04,0.000651,0.00069,0.00055,0.000689,8298.0,36391.0
2019-02-05,0.000687,0.001871,0.000687,0.001311,29271.0,105976.0
2019-02-06,0.001314,0.001314,0.000689,0.000885,13200.0,71535.0
2019-02-07,0.000885,0.000956,0.000786,0.000849,14723.0,68865.0
2019-02-08,0.00085,0.000852,0.000556,0.000567,5146.0,46028.0
2019-02-09,0.000564,0.000926,0.000528,0.000881,4112.0,71724.0
2019-02-10,0.000885,0.000918,0.000684,0.000768,1386.0,62614.0
2019-02-11,0.000769,0.000975,0.000727,0.000763,6322.0,62275.0
2019-02-12,0.000766,0.000834,0.000728,0.000731,7290.0,59841.0
2019-02-13,0.000736,0.000786,0.000699,0.000736,8776.0,60307.0
2019-02-14,0.000732,0.000744,0.000484,0.000601,6914.0,49340.0
2019-02-15,0.000602,0.00065,0.000541,0.000646,6552.0,53108.0
2019-02-16,0.000647,0.000652,0.000479,0.000582,5378.0,47986.0
2019-02-17,0.000582,0.00059,0.000516,0.000584,5366.0,48182.0
2019-02-18,0.000584,0.000663,0.000524,0.000659,8388.0,54493.0
2019-02-19,0.000661,0.000667,0.000558,0.00063,9075.0,52140.0
2019-02-20,0.000629,0.000639,0.000593,0.000639,7410.0,52972.0
