Date,Open,High,Low,Close,Volume,Market Cap
2018-06-07,0.002799,0.003233,0.002666,0.003233,172644,
2018-06-08,0.003878,0.005779,0.003272,0.004751,578966,
2018-06-09,0.00475,0.00579,0.004024,0.004349,425031,
2018-06-10,0.004452,0.004703,0.00351,0.003555,103813,
2018-06-11,0.003565,0.003664,0.00326,0.003664,132632,
2018-06-12,0.003663,0.00373,0.002936,0.003304,70117,
2018-06-13,0.003317,0.00349,0.002847,0.003352,76547,
2018-06-14,0.00335,0.003856,0.003264,0.003709,53012,
2018-06-15,0.00369,0.003715,0.003222,0.003291,40437,
2018-06-16,0.003281,0.003376,0.002966,0.003203,29556,
2018-06-17,0.003205,0.003238,0.002773,0.002773,15160,
2018-06-18,0.002758,0.003023,0.002488,0.002992,49114,
2018-06-19,0.003002,0.003005,0.002495,0.002576,164210,
2018-06-20,0.002577,0.003047,0.002324,0.002683,59316,
2018-06-21,0.002684,0.003196,0.002548,0.003069,32583,
2018-06-22,0.003066,0.003068,0.002151,0.002193,37509,
2018-06-23,0.002195,0.00241,0.00206,0.00218,25001,
2018-06-24,0.00218,0.002521,0.002054,0.002513,27902,
2018-06-25,0.002507,0.002511,0.001927,0.0021,22729,
2018-06-26,0.0021,0.002104,0.001746,0.001807,49305,
2018-06-27,0.001806,0.001957,0.001768,0.001914,19669,
2018-06-28,0.001915,0.002316,0.001761,0.001937,33988,
2018-06-29,0.001938,0.004185,0.001887,0.002485,206153,
2018-06-30,0.002494,0.002874,0.002314,0.002802,50366,
2018-07-01,0.002803,0.004105,0.002715,0.003743,181370,
2018-07-02,0.003745,0.004355,0.003326,0.003592,169554,
2018-07-03,0.003582,0.004315,0.003501,0.004114,94363,
2018-07-04,0.004114,0.004216,0.003622,0.003908,71431,
2018-07-05,0.003891,0.003891,0.003196,0.0033,80392,2016968.0
2018-07-06,0.003299,0.003442,0.002763,0.002992,42102,1828509.0
2018-07-07,0.002987,0.003071,0.002663,0.002908,30117,1777734.0
2018-07-08,0.002906,0.003148,0.002819,0.002943,28738,1799127.0
2018-07-09,0.002943,0.003669,0.00291,0.003228,45381,1972929.0
2018-07-10,0.003225,0.003263,0.002822,0.002971,49545,1816021.0
2018-07-11,0.002973,0.003411,0.002929,0.003322,56844,2030207.0
2018-07-12,0.003321,0.003352,0.002777,0.00291,85736,1778798.0
2018-07-13,0.002914,0.003072,0.002835,0.002879,70427,1759703.0
2018-07-14,0.002874,0.003003,0.002835,0.002842,23440,1737124.0
2018-07-15,0.002841,0.002863,0.002675,0.002675,27212,1634842.0
2018-07-16,0.002678,0.002881,0.002646,0.002792,45339,1706386.0
2018-07-17,0.002785,0.003034,0.00256,0.002928,129961,1789690.0
2018-07-18,0.003024,0.003055,0.002275,0.002583,109987,1579024.0
2018-07-19,0.002582,0.002709,0.002227,0.002471,22021,1510188.0
2018-07-20,0.002472,0.0026,0.002094,0.002094,23076,1280061.0
2018-07-21,0.002094,0.002472,0.001776,0.002152,29007,1315604.0
2018-07-22,0.002179,0.002725,0.002125,0.002725,16769,1665654.0
2018-07-23,0.002723,0.002961,0.002019,0.00243,30466,1485586.0
2018-07-24,0.002433,0.002508,0.002086,0.002267,10984,1385675.0
2018-07-25,0.002246,0.002422,0.002034,0.002149,11953,1313251.0
