Date,Open,High,Low,Close,Volume,Market Cap
2017-10-27,0.114543,0.196763,0.114543,0.195193,9082,
2017-10-28,0.158414,0.25401,0.155469,0.183544,23137,395697.0
2017-10-29,0.177984,0.26065,0.177819,0.253909,29571,567033.0
2017-10-30,0.215492,0.493239,0.209532,0.416117,166560,962663.0
2017-10-31,0.422249,0.451493,0.306459,0.359802,82688,857191.0
2017-11-01,0.33663,0.337474,0.241165,0.275112,29054,675217.0
2017-11-02,0.269849,0.304148,0.262482,0.289904,22425,733059.0
2017-11-03,0.291574,0.315084,0.264661,0.288157,24190,749984.0
2017-11-04,0.28904,0.305806,0.268401,0.278213,14099,743900.0
2017-11-05,0.278907,0.387145,0.276188,0.387145,59923,1065305.0
2017-11-06,0.391769,0.747874,0.351171,0.571372,370387,1622109.0
2017-11-07,0.564496,0.659648,0.469878,0.56058,305699,1629418.0
2017-11-08,0.556175,0.675098,0.552872,0.635548,100530,1893313.0
2017-11-09,0.638457,0.638457,0.504583,0.513075,94210,1563951.0
2017-11-10,0.515889,0.542806,0.414055,0.464182,57574,1448343.0
2017-11-11,0.446367,0.471671,0.288624,0.355931,55542,1134940.0
2017-11-12,0.355759,0.446335,0.320514,0.411852,43975,1345417.0
2017-11-13,0.412995,0.469263,0.365362,0.396977,42335,1324268.0
2017-11-14,0.394741,0.448467,0.390981,0.413624,32620,1410301.0
2017-11-15,0.414033,0.440656,0.37831,0.388655,44336,1353158.0
2017-11-16,0.39082,0.450907,0.387742,0.428541,33069,1524008.0
2017-11-17,0.425997,0.492623,0.374121,0.390097,55535,1415186.0
2017-11-18,0.388524,0.434047,0.371423,0.371423,24708,1374625.0
2017-11-19,0.373964,0.430724,0.359381,0.386409,47568,1457278.0
2017-11-20,0.385973,0.434711,0.350281,0.408051,105930,1570187.0
2017-11-21,0.408124,0.456013,0.375586,0.405038,54845,1587605.0
2017-11-22,0.406114,0.443191,0.392122,0.407271,53068,1626663.0
2017-11-23,0.406667,0.423891,0.360266,0.380038,31731,1543655.0
2017-11-24,0.369685,0.420466,0.348128,0.408909,33693,1690057.0
2017-11-25,0.408078,0.408078,0.379097,0.40164,30560,1690628.0
2017-11-26,0.402103,0.4235,0.388881,0.393718,37306,1685474.0
2017-11-27,0.393809,0.464516,0.393809,0.438758,40933,1910235.0
2017-11-28,0.439863,0.460136,0.395938,0.442711,61206,1959926.0
