Date,Open,High,Low,Close,Volume,Market Cap
2018-10-01,4.91,5.03,4.89,4.92,514466,
2018-10-02,4.91,5.05,4.86,4.88,484155,
2018-10-03,4.88,4.91,4.76,4.88,487381,
2018-10-04,4.88,4.98,4.85,4.88,459735,
2018-10-05,4.88,4.95,4.82,4.9,431084,
2018-10-06,4.91,4.92,4.79,4.82,449740,
2018-10-07,4.84,4.86,4.73,4.77,455001,
2018-10-08,4.79,5.06,4.77,4.87,471312,
2018-10-09,4.88,4.89,4.79,4.87,496106,
2018-10-10,4.86,4.86,4.63,4.72,385407,
2018-10-11,4.72,4.72,4.26,4.38,483032,
2018-10-12,4.38,4.56,4.29,4.44,484442,
2018-10-13,4.43,4.6,4.3,4.58,665124,
2018-10-14,4.56,4.57,4.43,4.46,556331,
2018-10-15,4.46,4.84,4.44,4.54,831607,
2018-10-16,4.54,4.62,4.51,4.59,857249,
2018-10-17,4.6,4.6,4.52,4.52,962733,
2018-10-18,4.53,4.54,4.37,4.51,1112870,
2018-10-19,4.51,4.52,4.31,4.42,1114210,
2018-10-20,4.42,4.53,4.41,4.51,1092420,
2018-10-21,4.51,4.55,4.49,4.51,1174330,
2018-10-22,4.51,4.54,4.44,4.46,1148670,
2018-10-23,4.46,4.47,4.31,4.33,1080310,
2018-10-24,4.33,4.36,4.31,4.33,1091450,
2018-10-25,4.33,4.36,4.3,4.33,1114390,
2018-10-26,4.32,4.35,4.07,4.27,1117770,
2018-10-27,4.27,4.34,4.26,4.31,1016380,
2018-10-28,4.31,4.34,4.27,4.28,1096010,
2018-10-29,4.28,4.33,3.95,3.99,1038780,
2018-10-30,3.99,4.84,3.94,4.79,1528370,
2018-10-31,4.8,5.12,4.58,4.63,1099760,
2018-11-01,4.63,4.77,4.53,4.59,1189550,
2018-11-02,4.59,4.59,4.53,4.57,1074670,
2018-11-03,4.57,4.65,4.5,4.5,1053050,
2018-11-04,4.5,4.59,4.5,4.57,1002270,
2018-11-05,4.57,4.7,4.56,4.68,1105310,
2018-11-06,4.69,4.72,4.66,4.68,1056710,
2018-11-07,4.69,4.74,4.56,4.57,1034480,
2018-11-08,4.57,4.81,4.57,4.73,1082020,
2018-11-09,4.74,4.75,4.59,4.64,1089840,
2018-11-10,4.64,4.68,4.63,4.63,1091990,
2018-11-11,4.63,4.68,4.62,4.68,1120410,
2018-11-12,4.67,4.71,4.63,4.63,1056100,
2018-11-13,4.62,4.65,4.58,4.61,1088390,
2018-11-14,4.62,4.65,4.09,4.23,982940,
2018-11-15,4.24,4.26,4.04,4.26,1904610,
2018-11-16,4.26,4.28,4.17,4.22,1292240,
2018-11-17,4.22,4.32,4.18,4.31,1627980,
2018-11-18,4.32,4.44,4.3,4.44,2016790,
2018-11-19,4.44,4.44,3.86,3.88,2621480,
2018-11-20,3.87,3.94,3.52,3.56,2677360,
2018-11-21,3.57,3.81,3.48,3.59,2635820,
2018-11-22,3.59,3.6,3.44,3.45,2303630,
2018-11-23,3.41,3.49,3.31,3.38,1751300,
2018-11-24,3.38,3.42,3.07,3.16,1631140,
2018-11-25,3.15,3.36,3.03,3.29,1955830,
2018-11-26,3.27,3.94,2.85,3.81,2507880,
2018-11-27,3.81,4.36,3.71,4.2,2018860,
2018-11-28,4.2,4.87,4.2,4.65,1860900,
2018-11-29,4.65,4.67,4.19,4.52,1860949,
2018-11-30,4.52,4.68,4.41,4.46,2044444,
2018-12-01,4.47,4.87,4.45,4.68,1815510,
2018-12-02,4.67,4.7,4.44,4.44,1394368,
2018-12-03,4.45,4.52,4.18,4.28,1837717,
2018-12-04,4.27,4.45,4.25,4.36,1846736,
2018-12-05,4.35,4.37,4.15,4.16,2167567,
2018-12-06,4.16,4.28,4.06,4.06,1771754,
2018-12-07,4.05,4.27,3.73,4.21,1693521,
2018-12-08,4.2,4.31,3.99,4.28,1969176,
2018-12-09,4.29,4.46,4.21,4.37,1761118,
2018-12-10,4.37,4.42,4.18,4.26,1848868,
2018-12-11,4.26,4.26,4.15,4.23,1520609,
2018-12-12,4.23,4.28,4.14,4.24,1967442,
2018-12-13,4.24,4.25,4.09,4.1,1711887,
2018-12-14,4.1,4.45,4.02,4.32,1874136,
2018-12-15,4.31,4.41,4.09,4.38,1719583,
2018-12-16,4.37,4.53,4.37,4.43,2051522,
2018-12-17,4.47,4.83,4.47,4.73,1981611,
2018-12-18,4.71,5.0,4.69,4.93,1779989,
2018-12-19,4.95,5.12,4.89,5.07,1834503,
2018-12-20,5.06,5.51,5.02,5.45,2047567,
2018-12-21,5.45,7.77,5.32,7.32,2289456,
2018-12-22,7.33,8.38,6.9,8.37,1571219,
2018-12-23,8.38,10.19,8.34,9.84,1976013,
2018-12-24,9.82,14.16,9.82,13.5,2514661,
2018-12-25,13.52,17.83,12.99,16.34,2193668,
2018-12-26,16.4,17.07,15.36,16.52,3070606,
2018-12-27,16.44,16.44,13.2,13.34,3259093,
2018-12-28,13.31,15.36,12.91,15.36,3856934,
2018-12-29,15.42,15.51,14.53,14.53,3722398,
2018-12-30,14.55,15.88,14.25,15.61,3590153,
2018-12-31,15.62,16.07,14.54,15.76,2092374,
2019-01-01,15.77,16.69,15.41,16.61,2765152,
2019-01-02,16.65,16.78,15.99,16.1,3347085,
2019-01-03,16.09,16.61,15.79,16.36,2854550,
2019-01-04,16.36,18.48,16.18,17.77,3539569,
2019-01-05,17.74,18.9,16.78,18.52,4537221,
2019-01-06,18.51,18.64,16.12,17.35,3823675,
2019-01-07,17.37,17.47,16.53,16.69,3631292,
2019-01-08,16.66,16.98,15.88,15.89,3958638,
2019-01-09,16.04,17.41,15.85,16.26,3649833,
2019-01-10,16.4,16.63,14.64,15.82,3240342,
2019-01-11,15.83,16.92,15.41,16.76,2995902,
2019-01-12,16.79,17.99,15.82,17.28,2892382,
2019-01-13,17.36,18.13,17.11,17.53,2795655,
2019-01-14,17.51,17.63,15.95,17.57,3039221,12298055.0
2019-01-15,17.46,17.82,16.75,17.2,2990446,12042085.0
2019-01-16,17.09,17.5,16.12,17.42,2749797,12196439.0
2019-01-17,17.17,17.6,16.16,16.16,3366415,11311459.0
2019-01-18,16.22,16.23,15.65,16.09,3027105,11263355.0
2019-01-19,16.24,16.38,16.02,16.12,3448357,11282711.0
2019-01-20,16.18,16.25,14.48,15.04,3495069,10527958.0
2019-01-21,15.07,15.84,14.71,15.42,3562879,10796497.0
2019-01-22,15.53,15.83,15.33,15.62,3413806,10933027.0
2019-01-23,15.41,15.77,15.03,15.53,2894752,10873697.0
2019-01-24,15.63,15.93,15.34,15.87,2550920,11106329.0
2019-01-25,15.86,17.32,14.63,14.92,2651222,10442424.0
2019-01-26,15.07,15.09,14.09,14.09,2828881,9862604.0
2019-01-27,14.2,14.5,12.62,14.12,2814765,9886351.0
2019-01-28,14.23,14.65,13.69,14.37,2193410,10058074.0
2019-01-29,13.31,14.5,12.57,12.65,3094667,8857392.0
2019-01-30,12.76,13.74,12.6,13.08,2510864,9154337.0
2019-01-31,13.24,15.92,12.8,14.36,3032145,10049230.0
2019-02-01,14.36,15.63,13.48,15.53,1850533,10873600.0
2019-02-02,15.54,16.35,13.83,14.33,3202829,10032465.0
2019-02-03,14.31,15.33,14.0,14.9,2904662,10431074.0
2019-02-04,14.93,17.19,14.88,17.09,3150768,11966490.0
2019-02-05,17.06,17.71,16.24,16.3,3699681,11409423.0
2019-02-06,16.39,20.36,15.8,20.36,3696014,14251212.0
2019-02-07,20.36,20.54,18.25,18.4,4759577,12879013.0
2019-02-08,18.43,20.54,18.3,20.18,5341543,14129465.0
2019-02-09,20.1,20.31,18.87,19.92,5027786,13943601.0
2019-02-10,19.8,20.33,18.55,20.33,5082661,14234077.0
2019-02-11,20.03,20.03,18.69,19.86,5000036,13898844.0
2019-02-12,19.92,20.19,19.36,19.36,4409748,13549337.0
2019-02-13,19.39,20.49,18.9,19.86,4183316,13905412.0
2019-02-14,20.07,20.29,19.5,19.91,4828493,13933865.0
2019-02-15,19.88,20.17,19.21,19.61,4796605,13729628.0
