Date,Open,High,Low,Close,Volume,Market Cap
2018-07-06,0.035801,0.035884,0.034211,0.035746,691391,
2018-07-07,0.035732,0.036372,0.033446,0.034958,748417,
2018-07-08,0.036357,0.038214,0.032975,0.034645,752754,
2018-07-09,0.034654,0.036211,0.032695,0.034309,707746,
2018-07-10,0.032433,0.035533,0.02998,0.030397,820717,
2018-07-11,0.032147,0.033639,0.029432,0.031777,806301,
2018-07-12,0.031724,0.033966,0.028681,0.03146,739056,
2018-07-13,0.030305,0.033242,0.030272,0.030589,700109,
2018-07-14,0.031785,0.032518,0.028701,0.031556,661410,
2018-07-15,0.030027,0.03338,0.029904,0.03311,708887,
2018-07-16,0.032941,0.033167,0.029696,0.030054,682193,
2018-07-17,0.031464,0.03519,0.029708,0.03326,781596,
2018-07-18,0.032287,0.037395,0.031578,0.032875,544158,
2018-07-19,0.033406,0.035733,0.029615,0.030534,577133,
2018-07-20,0.030634,0.032832,0.028042,0.030378,505179,
2018-07-21,0.030207,0.032453,0.028631,0.031859,514364,
2018-07-22,0.031343,0.03272,0.029788,0.030072,340282,
2018-07-23,0.029823,0.032297,0.027924,0.028783,715572,8680699.0
2018-07-24,0.028784,0.03313,0.028763,0.032034,835529,9661045.0
2018-07-25,0.031983,0.032153,0.028123,0.028746,633675,8669360.0
2018-07-26,0.029192,0.031239,0.02805,0.028741,696188,8667912.0
2018-07-27,0.028832,0.033507,0.027261,0.032567,793284,9821732.0
2018-07-28,0.031731,0.033537,0.030257,0.030498,680848,9197834.0
2018-07-29,0.030663,0.033144,0.029245,0.030699,2183480,9258544.0
2018-07-30,0.030453,0.030502,0.02793,0.028822,830884,8887488.0
2018-07-31,0.028778,0.029317,0.026281,0.026697,837146,8232436.0
2018-08-01,0.026918,0.0288,0.025808,0.026529,823538,8180477.0
2018-08-02,0.027124,0.027996,0.024887,0.02514,961765,7752072.0
2018-08-03,0.025355,0.025355,0.022927,0.023538,818771,7258324.0
2018-08-04,0.023644,0.023989,0.021744,0.022164,944442,6834420.0
2018-08-05,0.022088,0.02304,0.021345,0.021784,296410,6725956.0
2018-08-06,0.02214,0.022914,0.021206,0.021485,789396,6633822.0
2018-08-07,0.021521,0.022388,0.019591,0.020084,654964,6201155.0
