Date,Open,High,Low,Close,Volume,Market Cap
2018-08-13,0.001193,0.001193,0.001191,0.001191,14871,
2018-08-14,0.001191,0.001205,0.000961,0.001055,9145,
2018-08-15,0.001062,0.001139,0.000989,0.001023,5925,
2018-08-16,0.001024,0.001353,0.001024,0.001288,15268,
2018-08-17,0.00129,0.001547,0.00129,0.001546,16896,
2018-08-18,0.001552,0.001649,0.001423,0.001572,19186,
2018-08-19,0.001539,0.001765,0.001504,0.00173,24497,
2018-08-20,0.00173,0.001755,0.001527,0.001535,25074,
2018-08-21,0.001527,0.001597,0.001464,0.001519,20246,
2018-08-22,0.00152,0.001601,0.001441,0.001468,11538,
2018-08-23,0.001472,0.00185,0.001466,0.001536,36718,
2018-08-24,0.001537,0.001694,0.001523,0.001694,40711,
2018-08-25,0.001691,0.001694,0.001525,0.001539,30572,
2018-08-26,0.001539,0.001564,0.001394,0.00146,24549,
2018-08-27,0.001462,0.00167,0.001184,0.001616,63892,
2018-08-28,0.001621,0.001754,0.001573,0.001629,29215,
2018-08-29,0.00166,0.001666,0.00155,0.001596,37852,
2018-08-30,0.001599,0.001618,0.001325,0.001361,79650,
2018-08-31,0.001362,0.001427,0.001317,0.001401,13002,
2018-09-01,0.0014,0.001682,0.0014,0.001545,6521,
2018-09-02,0.001545,0.001726,0.001528,0.001686,9629,
2018-09-03,0.001687,0.001693,0.00147,0.001608,25718,
2018-09-04,0.001608,0.00164,0.001431,0.00147,13858,
2018-09-05,0.001469,0.001598,0.001236,0.001236,14179,19584627.0
2018-09-06,0.001236,0.001291,0.001163,0.001199,7474,19000231.0
2018-09-07,0.001201,0.001294,0.001151,0.001262,7186,20111411.0
2018-09-08,0.001262,0.00128,0.001099,0.001142,8845,18208564.0
2018-09-09,0.001138,0.001213,0.001072,0.001133,3605,18063970.0
2018-09-10,0.001134,0.00117,0.001085,0.001147,16036,18286521.0
2018-09-11,0.001149,0.001156,0.000818,0.000854,42582,13606756.0
2018-09-12,0.000853,0.001047,0.000759,0.000873,31258,13912620.0
2018-09-13,0.000874,0.001013,0.000874,0.001005,17670,16028325.0
2018-09-14,0.001002,0.001054,0.000912,0.000962,4722,15334893.0
2018-09-15,0.00096,0.001111,0.000946,0.001046,8953,16680835.0
2018-09-16,0.001047,0.001083,0.000987,0.001076,3814,17148575.0
2018-09-17,0.001076,0.005969,0.001043,0.00114,10308,18166796.0
2018-09-18,0.001139,0.002066,0.001016,0.001062,8313,16937662.0
2018-09-19,0.001061,0.001084,0.000951,0.000991,12445,15802028.0
2018-09-20,0.000991,0.001006,0.000925,0.000989,7902,15762555.0
2018-09-21,0.000989,0.001009,0.000833,0.00096,18041,15303726.0
2018-09-22,0.000963,0.001017,0.000939,0.000986,22966,15711955.0
2018-09-23,0.000986,0.001038,0.000958,0.000979,23585,15613178.0
2018-09-24,0.00098,0.001013,0.000893,0.000918,10979,14635641.0
2018-09-25,0.000918,0.000918,0.000797,0.000857,11679,13659460.0
2018-09-26,0.000862,0.000916,0.000819,0.000863,10198,13765810.0
2018-09-27,0.000863,0.000889,0.000808,0.000857,8343,13661437.0
2018-09-28,0.000857,0.000892,0.000799,0.000858,7972,13671082.0
2018-09-29,0.000856,0.000908,0.000823,0.000885,8718,14105822.0
2018-09-30,0.000884,0.000919,0.000831,0.000871,3897,13887448.0
2018-10-01,0.00087,0.000878,0.000702,0.000759,9473,12100931.0
2018-10-02,0.000758,0.000801,0.000738,0.000755,7386,12041578.0
2018-10-03,0.000756,0.000789,0.000733,0.000755,5946,12042072.0
2018-10-04,0.000756,0.000779,0.00072,0.000759,9528,12105474.0
2018-10-05,0.00076,0.000773,0.000738,0.000773,4570,12329843.0
2018-10-06,0.000774,0.0008,0.000756,0.000797,4794,12699763.0
2018-10-07,0.000797,0.000802,0.000725,0.000729,5151,11616419.0
2018-10-08,0.00073,0.000839,0.000729,0.000831,8387,13244791.0
2018-10-09,0.000831,0.000833,0.000762,0.000778,9026,12398920.0
2018-10-10,0.000776,0.000786,0.00074,0.000753,6846,11997116.0
2018-10-11,0.000752,0.000752,0.000561,0.000601,23846,9583979.0
2018-10-12,0.000595,0.000642,0.00043,0.000509,24954,8113307.0
2018-10-13,0.000504,0.000612,0.000504,0.000543,6517,8649247.0
2018-10-14,0.000544,0.000584,0.000526,0.000543,4007,8658047.0
2018-10-15,0.000544,0.000628,0.00048,0.000624,14093,9993636.0
2018-10-16,0.000624,0.000624,0.000364,0.000453,72922,7252599.0
2018-10-17,0.000461,0.000492,0.000381,0.000461,38977,7384562.0
2018-10-18,0.000511,0.000559,0.000311,0.000318,90165,5089899.0
2018-10-19,0.000318,0.00036,0.000264,0.000352,56799,5633996.0
2018-10-20,0.000352,0.000353,0.00032,0.000333,9780,5326371.0
2018-10-21,0.000333,0.000351,0.000307,0.000335,26744,5370215.0
2018-10-22,0.000335,0.000348,0.000264,0.000332,86458,5312990.0
2018-10-23,0.000325,0.001945,0.00029,0.001245,2008790,19933135.0
2018-10-24,0.001246,0.002229,0.001214,0.001647,35371000,26699380.0
2018-10-25,0.001682,0.001864,0.001519,0.001547,11932200,25075917.0
2018-10-26,0.001544,0.001616,0.001416,0.001487,3850810,24338828.0
2018-10-27,0.001481,0.001554,0.001417,0.00148,1774050,24218530.0
2018-10-28,0.001458,0.001491,0.001353,0.001483,1270670,24274015.0
2018-10-29,0.001419,0.001489,0.001256,0.001293,2156410,21233314.0
2018-10-30,0.001323,0.001394,0.001259,0.00126,909080,20695820.0
2018-10-31,0.001326,0.001382,0.001195,0.001258,1964640,20720421.0
2018-11-01,0.001258,0.001332,0.001202,0.001265,1594820,20843175.0
2018-11-02,0.001234,0.001518,0.001202,0.001466,6358900,24161000.0
2018-11-03,0.001403,0.001466,0.001276,0.001339,1818330,22061326.0
2018-11-04,0.001339,0.001402,0.001268,0.001351,1090730,22265641.0
2018-11-05,0.001351,0.001424,0.001248,0.001284,1243470,21150473.0
2018-11-06,0.001289,0.001416,0.001255,0.001296,1903860,21301403.0
2018-11-07,0.00136,0.001377,0.00127,0.001307,1429940,21541144.0
2018-11-08,0.001333,0.001373,0.001208,0.001286,754288,21188700.0
2018-11-09,0.001286,0.001291,0.001156,0.001213,1412390,19994111.0
2018-11-10,0.001276,0.001276,0.00115,0.001221,386802,20114559.0
2018-11-11,0.001187,0.001223,0.001086,0.00115,951298,18955891.0
2018-11-12,0.001094,0.001223,0.001084,0.001152,935068,18976322.0
2018-11-13,0.00121,0.001278,0.001111,0.001146,1073110,18880426.0
2018-11-14,0.001179,0.001206,0.000884,0.000969,1309990,16184131.0
2018-11-15,0.000918,0.001008,0.000837,0.000959,1121810,16011982.0
2018-11-16,0.000958,0.001012,0.000889,0.000968,590639,16170686.0
2018-11-17,0.000971,0.001001,0.000884,0.000942,326858,15731554.0
