Date,Open,High,Low,Close,Volume,Market Cap
2018-12-04,0.001055,0.001055,0.001055,0.001055,50623,
2018-12-05,0.001072,0.002115,0.00104,0.001593,87677,477504.0
2018-12-06,0.001663,0.001694,0.001244,0.001247,80147,373623.0
2018-12-07,0.001246,0.001296,0.00112,0.00126,85027,377520.0
2018-12-08,0.00126,0.00128,0.001138,0.001199,79418,359153.0
2018-12-09,0.001192,0.001336,0.001174,0.001307,86997,391617.0
2018-12-10,0.001294,0.001312,0.001144,0.001217,87839,364550.0
2018-12-11,0.001219,0.001227,0.001104,0.001132,88915,339138.0
2018-12-12,0.001137,0.001182,0.001118,0.001144,73095,342787.0
2018-12-13,0.001142,0.001166,0.001101,0.001125,82216,337291.0
2018-12-14,0.001124,0.0012,0.001111,0.00116,87137,347555.0
2018-12-15,0.001161,0.00123,0.001026,0.0012,74709,359633.0
2018-12-16,0.0012,0.001434,0.001199,0.001421,78232,425886.0
2018-12-17,0.00142,0.001854,0.001414,0.001714,118925,513636.0
2018-12-18,0.001705,0.001995,0.001581,0.001995,109654,597743.0
2018-12-19,0.002003,0.002217,0.001979,0.00199,116477,596342.0
2018-12-20,0.00199,0.002316,0.001979,0.002303,130856,690175.0
2018-12-21,0.002296,0.002348,0.002152,0.002173,119667,651374.0
2018-12-22,0.002198,0.002231,0.002135,0.002182,113571,653816.0
2018-12-23,0.00218,0.002309,0.00207,0.002175,106786,651768.0
2018-12-24,0.002171,0.002483,0.00203,0.00231,116034,692693.0
2018-12-25,0.002316,0.002462,0.002219,0.002339,101891,701422.0
2018-12-26,0.002355,0.002496,0.002266,0.002368,163608,710165.0
2018-12-27,0.002348,0.002374,0.002118,0.002138,182905,641039.0
2018-12-28,0.002139,0.002352,0.002074,0.002336,196830,700631.0
2018-12-29,0.002341,0.002374,0.001749,0.002068,174948,620257.0
2018-12-30,0.002093,0.002096,0.001458,0.001464,148677,439112.0
2018-12-31,0.001465,0.001479,0.001182,0.001214,110621,364123.0
2019-01-01,0.001234,0.001244,0.001078,0.001155,93406,346436.0
2019-01-02,0.001137,0.001321,0.001137,0.001296,95344,388641.0
2019-01-03,0.001352,0.001392,0.001185,0.001231,83058,369175.0
2019-01-04,0.001237,0.001298,0.001171,0.001205,76224,361437.0
2019-01-05,0.001196,0.001303,0.001196,0.001273,74031,381850.0
2019-01-06,0.001265,0.00129,0.001193,0.001256,99285,376741.0
2019-01-07,0.001263,0.001265,0.001096,0.001238,70079,371277.0
2019-01-08,0.001237,0.001316,0.001208,0.001313,73588,393755.0
2019-01-09,0.001307,0.001379,0.001114,0.001115,47283,334413.0
2019-01-10,0.001114,0.001158,0.000905,0.001136,51112,340595.0
2019-01-11,0.001128,0.001197,0.001076,0.001121,57932,336176.0
2019-01-12,0.001114,0.001272,0.000965,0.001244,69975,372982.0
2019-01-13,0.001243,0.001276,0.001111,0.001199,54254,359565.0
2019-01-14,0.001199,0.001245,0.001152,0.001233,59392,369751.0
2019-01-15,0.001233,0.001249,0.001035,0.001043,58028,312660.0
2019-01-16,0.001041,0.001305,0.001011,0.001227,51391,367866.0
2019-01-17,0.001226,0.001228,0.000985,0.000993,46124,297685.0
2019-01-18,0.000992,0.001191,0.000925,0.000941,35430,282107.0
2019-01-19,0.000944,0.001223,0.000938,0.001194,42802,357944.0
2019-01-20,0.001193,0.001199,0.000805,0.000954,26010,286071.0
2019-01-21,0.000956,0.001143,0.000954,0.001115,61698,334293.0
2019-01-22,0.00111,0.00112,0.001021,0.001044,49400,313155.0
2019-01-23,0.001047,0.001116,0.001036,0.001099,65357,346426.0
2019-01-24,0.001103,0.001173,0.001096,0.001119,36466,352798.0
2019-01-25,0.001113,0.001154,0.000898,0.000949,39427,299207.0
2019-01-26,0.000943,0.000949,0.000925,0.000936,38392,295293.0
2019-01-27,0.000935,0.000942,0.000907,0.000911,36679,287370.0
2019-01-28,0.000908,0.000964,0.000796,0.000896,46543,282556.0
2019-01-29,0.000899,0.001043,0.000868,0.001029,90231,324526.0
2019-01-30,0.001029,0.001096,0.000901,0.000906,45582,285699.0
2019-01-31,0.000902,0.001027,0.0009,0.001002,44884,315917.0
2019-02-01,0.000991,0.001283,0.000959,0.001138,50739,358843.0
2019-02-02,0.00114,0.001143,0.000943,0.000951,50911,299903.0
2019-02-03,0.000953,0.0011,0.000942,0.001049,45945,330696.0
2019-02-04,0.001056,0.001081,0.00088,0.001058,55830,333488.0
2019-02-05,0.001054,0.001089,0.001045,0.001079,58647,340204.0
2019-02-06,0.001078,0.001082,0.001035,0.001051,48666,331308.0
2019-02-07,0.001051,0.001066,0.000875,0.00088,46210,277518.0
2019-02-08,0.000883,0.000979,0.000877,0.00097,45369,305998.0
2019-02-09,0.000968,0.000988,0.000952,0.000982,46551,309744.0
2019-02-10,0.000983,0.001013,0.00096,0.001013,50528,319408.0
2019-02-11,0.001009,0.001009,0.000971,0.00098,45386,309037.0
2019-02-12,0.00098,0.001002,0.000949,0.000967,39616,304941.0
2019-02-13,0.000972,0.000997,0.000958,0.000963,39139,303789.0
