Date,Open,High,Low,Close,Volume,Market Cap
2019-01-03,6e-06,8e-06,6e-06,7e-06,34387,
2019-01-04,7e-06,7e-06,6e-06,7e-06,18332,
2019-01-05,7e-06,8e-06,7e-06,7e-06,15659,
2019-01-06,7e-06,7e-06,6e-06,7e-06,9113,
2019-01-07,7e-06,7e-06,6e-06,6e-06,19501,
2019-01-08,6e-06,7e-06,6e-06,7e-06,10844,
2019-01-09,7e-06,7e-06,6e-06,7e-06,10984,
2019-01-10,7e-06,7e-06,5e-06,5e-06,9555,
2019-01-11,5e-06,5e-06,5e-06,5e-06,9588,
2019-01-12,5e-06,5e-06,5e-06,5e-06,9861,
2019-01-13,5e-06,5e-06,5e-06,5e-06,4838,
2019-01-14,5e-06,6e-06,5e-06,6e-06,7049,78956.0
2019-01-15,6e-06,6e-06,5e-06,5e-06,11249,66341.0
2019-01-16,5e-06,5e-06,5e-06,5e-06,10258,68542.0
2019-01-17,5e-06,6e-06,5e-06,6e-06,11344,83352.0
2019-01-18,6e-06,6e-06,6e-06,6e-06,949,79036.0
2019-01-19,6e-06,6e-06,5e-06,5e-06,11779,70671.0
2019-01-20,5e-06,5e-06,5e-06,5e-06,10438,67777.0
2019-01-21,5e-06,5e-06,5e-06,5e-06,10059,66806.0
2019-01-22,5e-06,5e-06,5e-06,5e-06,10329,63622.0
2019-01-23,5e-06,5e-06,5e-06,5e-06,11034,66187.0
2019-01-24,5e-06,5e-06,5e-06,5e-06,6011,66586.0
2019-01-25,5e-06,5e-06,5e-06,5e-06,5709,65951.0
2019-01-26,5e-06,5e-06,5e-06,5e-06,8288,62694.0
2019-01-27,5e-06,5e-06,5e-06,5e-06,9565,61112.0
2019-01-28,5e-06,5e-06,4e-06,4e-06,12013,56971.0
2019-01-29,4e-06,4e-06,4e-06,4e-06,11028,55866.0
2019-01-30,4e-06,4e-06,4e-06,4e-06,3794,57472.0
2019-01-31,4e-06,4e-06,4e-06,4e-06,7683,50282.0
2019-02-01,4e-06,4e-06,4e-06,4e-06,10734,53393.0
2019-02-02,4e-06,4e-06,4e-06,4e-06,10892,52061.0
2019-02-03,4e-06,4e-06,4e-06,4e-06,10335,49344.0
2019-02-04,4e-06,4e-06,4e-06,4e-06,9934,48175.0
2019-02-05,4e-06,4e-06,4e-06,4e-06,2112,47939.0
2019-02-06,4e-06,4e-06,3e-06,4e-06,3074,46496.0
2019-02-07,4e-06,4e-06,3e-06,3e-06,4781,43303.0
2019-02-08,3e-06,4e-06,3e-06,4e-06,10048,49088.0
2019-02-09,4e-06,4e-06,4e-06,4e-06,3323,47601.0
2019-02-10,4e-06,4e-06,4e-06,4e-06,10393,50187.0
2019-02-11,4e-06,4e-06,4e-06,4e-06,11397,49634.0
2019-02-12,4e-06,5e-06,4e-06,5e-06,9804,64457.0
2019-02-13,5e-06,5e-06,4e-06,4e-06,13674,58854.0
2019-02-14,5e-06,5e-06,4e-06,4e-06,11283,51625.0
2019-02-15,4e-06,4e-06,4e-06,4e-06,10149,50596.0
2019-02-16,4e-06,4e-06,4e-06,4e-06,10605,51389.0
2019-02-17,4e-06,4e-06,4e-06,4e-06,11356,55124.0
2019-02-18,4e-06,6e-06,4e-06,6e-06,12669,72899.0
2019-02-19,5e-06,6e-06,5e-06,5e-06,12193,64033.0
2019-02-20,5e-06,5e-06,5e-06,5e-06,6053,66710.0
2019-02-21,5e-06,6e-06,5e-06,6e-06,10171,74609.0
2019-02-22,6e-06,6e-06,6e-06,6e-06,9745,78111.0
2019-02-23,6e-06,6e-06,5e-06,5e-06,11776,64480.0
2019-02-24,5e-06,7e-06,5e-06,5e-06,9838,66441.0
2019-02-25,5e-06,5e-06,5e-06,5e-06,9356,61690.0
2019-02-26,5e-06,5e-06,5e-06,5e-06,10867,61237.0
2019-02-27,5e-06,6e-06,3e-06,4e-06,11008,49868.0
2019-02-28,4e-06,4e-06,1e-06,3e-06,7464,35161.0
2019-03-01,3e-06,3e-06,3e-06,3e-06,4640,37839.0
2019-03-02,3e-06,3e-06,3e-06,3e-06,9409,36183.0
2019-03-03,3e-06,3e-06,3e-06,3e-06,9417,37010.0
2019-03-04,3e-06,3e-06,3e-06,3e-06,8706,34472.0
2019-03-05,3e-06,3e-06,2e-06,3e-06,7901,36380.0
2019-03-06,3e-06,3e-06,3e-06,3e-06,11167,35342.0
2019-03-07,3e-06,3e-06,3e-06,3e-06,11952,35339.0
2019-03-08,3e-06,3e-06,3e-06,3e-06,12289,35618.0
2019-03-09,3e-06,3e-06,3e-06,3e-06,2904,39344.0
2019-03-10,3e-06,3e-06,2e-06,3e-06,11964,35465.0
2019-03-11,3e-06,3e-06,3e-06,3e-06,12741,33445.0
2019-03-12,3e-06,3e-06,2e-06,3e-06,9753,33284.0
2019-03-13,3e-06,3e-06,2e-06,3e-06,15871,34182.0
2019-03-14,3e-06,3e-06,3e-06,3e-06,13200,37475.0
2019-03-15,3e-06,3e-06,3e-06,3e-06,18102,36644.0
2019-03-16,3e-06,3e-06,3e-06,3e-06,19485,36536.0
2019-03-17,3e-06,3e-06,3e-06,3e-06,18974,36458.0
2019-03-18,3e-06,3e-06,3e-06,3e-06,18981,37013.0
2019-03-19,3e-06,3e-06,3e-06,3e-06,18908,36330.0
2019-03-20,3e-06,3e-06,3e-06,3e-06,18969,35070.0
2019-03-21,3e-06,3e-06,3e-06,3e-06,17704,35011.0
2019-03-22,3e-06,3e-06,2e-06,3e-06,18141,33358.0
2019-03-23,3e-06,3e-06,2e-06,3e-06,20173,34594.0
2019-03-24,3e-06,3e-06,2e-06,2e-06,18324,32430.0
2019-03-25,2e-06,2e-06,2e-06,2e-06,17641,31228.0
2019-03-26,2e-06,2e-06,2e-06,2e-06,16690,31093.0
2019-03-27,2e-06,2e-06,2e-06,2e-06,15949,30516.0
2019-03-28,2e-06,2e-06,2e-06,2e-06,14221,29296.0
2019-03-29,2e-06,2e-06,2e-06,2e-06,17812,30354.0
2019-03-30,2e-06,2e-06,2e-06,2e-06,18662,30378.0
2019-03-31,2e-06,2e-06,2e-06,2e-06,18490,30324.0
2019-04-01,2e-06,4e-06,2e-06,2e-06,15870,30903.0
2019-04-02,2e-06,4e-06,2e-06,3e-06,17682,41007.0
2019-04-03,3e-06,4e-06,3e-06,3e-06,16990,37340.0
2019-04-04,3e-06,3e-06,3e-06,3e-06,17820,35713.0
2019-04-05,3e-06,3e-06,3e-06,3e-06,16459,35554.0
2019-04-06,3e-06,3e-06,2e-06,3e-06,9183,33042.0
2019-04-07,3e-06,3e-06,3e-06,3e-06,16656,37142.0
2019-04-08,3e-06,3e-06,3e-06,3e-06,19477,42378.0
2019-04-09,3e-06,3e-06,3e-06,3e-06,18477,41053.0
2019-04-10,3e-06,3e-06,3e-06,3e-06,19964,38010.0
2019-04-11,3e-06,3e-06,3e-06,3e-06,18096,34323.0
2019-04-12,3e-06,3e-06,3e-06,3e-06,21638,39305.0
2019-04-13,3e-06,3e-06,3e-06,3e-06,15966,38684.0
2019-04-14,3e-06,4e-06,3e-06,4e-06,20656,46639.0
2019-04-15,4e-06,4e-06,3e-06,3e-06,19741,43456.0
2019-04-16,3e-06,4e-06,3e-06,3e-06,21394,45367.0
2019-04-17,3e-06,3e-06,3e-06,3e-06,17248,38245.0
2019-04-18,3e-06,3e-06,3e-06,3e-06,16043,38541.0
2019-04-19,3e-06,3e-06,3e-06,3e-06,7263,41046.0
2019-04-20,3e-06,3e-06,3e-06,3e-06,13279,41312.0
2019-04-21,3e-06,3e-06,3e-06,3e-06,17680,38429.0
2019-04-22,3e-06,3e-06,3e-06,3e-06,18229,36749.0
2019-04-23,3e-06,3e-06,3e-06,3e-06,17949,36119.0
2019-04-24,3e-06,3e-06,3e-06,3e-06,14962,34979.0
2019-04-25,3e-06,3e-06,2e-06,2e-06,11787,27552.0
2019-04-26,2e-06,2e-06,2e-06,2e-06,12347,28894.0
2019-04-27,2e-06,2e-06,2e-06,2e-06,15285,30203.0
2019-04-28,2e-06,2e-06,2e-06,2e-06,14115,31117.0
2019-04-29,2e-06,2e-06,2e-06,2e-06,5703,31163.0
2019-04-30,2e-06,2e-06,2e-06,2e-06,20757,32137.0
